system,start,frames_checked,stride,half_box_A,max_extent_A,mean_extent_A,n_frames_extent_gt_half_box,pct_frames_flagged,clean
GGE_reline,compact,2000,100,15.27,36.01,24.92,2000,100.0,False
GGE_reline,extended,2000,100,15.26,35.75,24.61,2000,100.0,False
GGE_reline,mid,2000,100,15.23,32.49,23.26,2000,100.0,False
GGE_glyceline,compact,2000,100,15.3,33.02,22.4,2000,100.0,False
GGE_glyceline,extended,2000,100,15.22,36.61,22.6,2000,100.0,False
GGE_glyceline,mid,2000,100,15.31,32.4,21.87,1996,99.8,False
GGE_glyceline,open,2000,100,15.31,33.18,22.39,2000,100.0,False
GGE_water,compact,2000,100,15.32,31.95,20.83,2000,100.0,False
GGE_water,extended,2000,100,15.35,34.31,22.56,1999,99.95,False
GGE_water,mid,2000,100,15.26,31.03,20.81,2000,100.0,False
GGE_water,open,2000,100,15.31,35.42,24.34,2000,100.0,False
CME_reline,compact,2000,100,15.32,32.41,24.43,2000,100.0,False
CME_reline,extended,2000,100,15.27,35.6,25.78,2000,100.0,False
CME_reline,mid,2000,100,15.36,35.9,22.3,2000,100.0,False
CME_reline,open,2000,100,15.36,33.34,23.48,2000,100.0,False
CME_glyceline,compact,2000,100,15.33,31.38,22.74,2000,100.0,False
CME_glyceline,extended,2000,100,15.32,31.12,22.44,2000,100.0,False
CME_glyceline,mid,2000,100,15.37,30.02,20.05,2000,100.0,False
CME_glyceline,open,2000,100,15.35,31.73,23.25,2000,100.0,False
CME_water,compact,2000,100,15.39,30.8,22.64,2000,100.0,False
CME_water,extended,2000,100,15.36,37.21,23.9,2000,100.0,False
CME_water,mid,2000,100,15.27,29.86,23.48,2000,100.0,False
CME_water,open,2000,100,15.31,35.81,21.43,2000,100.0,False
YIY_reline,compact,2000,100,15.32,25.43,19.89,1998,99.9,False
YIY_reline,extended,2000,100,15.21,27.42,22.13,2000,100.0,False
YIY_reline,mid,2000,100,15.23,27.76,21.7,2000,100.0,False
YIY_reline,open,2000,100,15.31,27.57,21.14,1987,99.35,False
YIY_glyceline,compact,2000,100,15.34,26.52,19.93,2000,100.0,False
YIY_glyceline,extended,2000,100,15.27,27.25,22.58,2000,100.0,False
YIY_glyceline,mid,2000,100,15.31,24.11,18.78,1996,99.8,False
YIY_glyceline,open,2000,100,15.32,26.69,21.24,2000,100.0,False
YIY_water,compact,2000,100,15.22,25.87,19.26,1997,99.85,False
YIY_water,extended,2000,100,15.32,27.35,21.82,1986,99.3,False
YIY_water,mid,2000,100,15.29,26.68,21.03,2000,100.0,False
YIY_water,open,2000,100,15.25,26.29,19.5,1991,99.55,False
