#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31342.2050063184,290.66277484109077,1.0285258067488374,0
10000,19.999999999999794,-31330.715848238644,300.22601154936746,1.0550181750220855,533
15000,29.99999999999425,-31518.614952430653,304.90325660807423,1.0318909655892081,534
20000,40.00000000000292,-31271.163254321087,300.0247147221599,1.0342532934934514,535
25000,50.00000000001514,-31465.02416033618,301.5980128811127,1.039034701608673,531
30000,60.00000000002736,-31392.173349745746,295.92690423713697,1.015643248405265,532
35000,70.00000000001826,-31101.09169179696,294.1954757478395,1.0247593817215677,526
40000,79.99999999999496,-31537.413100265403,293.5962198235554,1.0393418444386844,529
45000,89.99999999997165,-31503.89679625773,293.1128469837953,1.0415081625563176,530
50000,99.99999999994834,-31792.665323969588,296.9638002618251,1.0319906302904636,530
55000,109.99999999992504,-31626.90706819843,306.4417955869888,1.0550043720129827,529
60000,119.99999999990173,-31285.377708522137,299.22065732606933,1.0348119849226092,527
65000,129.99999999989262,-31348.677248792228,293.64350379904533,1.0491948775548454,529
70000,139.99999999994037,-31649.657053970033,298.21840557503907,1.0331489344939548,527
75000,149.99999999998812,-31433.368868801626,303.17014282519915,1.0444051389201559,525
80000,160.00000000003587,-31372.3144212091,302.7684875728898,1.0303289463598033,519
85000,170.00000000008362,-31486.703754565737,284.6357436841617,1.037098128315365,519
90000,180.00000000013137,-31832.583809906268,294.6590272369993,1.027744444203549,522
95000,190.0000000001791,-31257.16836877243,301.8560543091209,1.0304296444170709,522
100000,200.00000000022686,-31271.290780684736,293.43831930597133,1.0337688701715677,520
105000,210.0000000002746,-31223.30410891623,306.48201282009086,1.0188082532815887,517
110000,220.00000000032236,-31741.207611825026,309.30260058604574,1.0506840484234288,515
115000,230.0000000003701,-31850.82596552343,294.2003592690019,1.0479448312099962,516
120000,240.00000000041786,-31460.46699001413,308.15411131503106,1.0327894032636142,518
125000,250.0000000004656,-31087.637891245366,303.0136020331152,1.0197055164552618,519
130000,260.00000000051335,-31469.055016673927,302.21749232832815,1.0412932292912864,520
135000,270.0000000005611,-31601.73375738063,297.5088203746116,1.0488097696541439,519
140000,280.00000000060885,-31533.35217353952,308.70261692135307,1.0346246568693593,519
145000,290.0000000006566,-31322.258674231474,290.95276024282003,1.0258750734232005,520
150000,300.00000000070435,-31879.830909789773,296.90759189079915,1.0537930779744993,518
155000,310.0000000007521,-31319.02273119692,302.5262266211083,1.0343359626767363,519
160000,320.00000000079984,-31048.463861162018,297.091710214153,1.0263982752729859,519
165000,330.0000000008476,-31393.144193258137,297.60838675313425,1.0364165501731717,519
