#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37335.84776257162,302.43445724551856,0.9896101492427802,0
10000,19.999999999999794,-37482.982560962875,303.847288733224,1.0136678674884527,705
15000,29.99999999999425,-37275.67158371769,289.9846919061782,1.001165584434197,706
20000,40.00000000000292,-37340.60083784067,298.29408616893056,0.9843625977540729,704
25000,50.00000000001514,-37842.12837015322,300.3120017847896,1.0139439337396796,705
30000,60.00000000002736,-38016.568481392926,293.78634258596367,1.0012257169810603,705
35000,70.00000000001826,-37382.73360838811,305.0427879165296,1.0133194818251723,705
40000,79.99999999999496,-37669.955704109394,298.71172093232,1.006602168389094,704
45000,89.99999999997165,-37257.34451298005,297.98167728683774,1.007328097215135,705
50000,99.99999999994834,-37510.918582410726,294.2658416929878,1.008486307155741,705
55000,109.99999999992504,-37459.30844563569,295.7087377182065,1.0018789404557638,705
60000,119.99999999990173,-37640.7351537605,301.3485221150299,1.0116408037323397,705
65000,129.99999999989262,-37480.92537867889,307.7100168325079,0.9846334658473247,705
70000,139.99999999994037,-37263.097447561304,303.2911956769377,1.0046549099755964,705
75000,149.99999999998812,-37549.35316823036,300.436174377982,1.0187934530714664,705
80000,160.00000000003587,-37801.05946343666,298.9555261717651,1.0075215853871013,704
85000,170.00000000008362,-37450.87148672933,296.74180768877255,0.9983297319771813,704
90000,180.00000000013137,-37471.51883978085,295.94199010320904,0.9979907307103032,703
95000,190.0000000001791,-37721.58023606523,308.9067872009567,1.0191284106140555,703
100000,200.00000000022686,-37635.961433829885,292.710294451033,0.9985179311521892,703
105000,210.0000000002746,-37536.29185015583,315.43071113117446,1.00216340970423,703
110000,220.00000000032236,-37279.87077653251,297.60978501106075,0.9925166752024298,703
115000,230.0000000003701,-37265.3071736565,307.42619952736567,0.997452912839544,703
120000,240.00000000041786,-37550.351730625116,297.76640309171734,1.0148233527139046,703
125000,250.0000000004656,-37700.943790263555,288.29667910128734,0.9967953551639203,703
130000,260.00000000051335,-37513.939866873756,292.23535546849075,1.0002986338095488,703
135000,270.0000000005611,-37211.62661439099,309.66413106070445,1.0072415183197434,703
140000,280.00000000060885,-37410.76586197532,305.50509575780785,0.995975086960691,702
145000,290.0000000006566,-37638.43905524866,301.1074811988326,1.000452599191971,702
150000,300.00000000070435,-37889.34514369734,307.10380276200493,0.9950379847117246,702
155000,310.0000000007521,-37700.49202166061,301.13986615367077,0.9960087420405698,702
160000,320.00000000079984,-37598.10330543385,298.4039730624188,1.0097910182143541,702
165000,330.0000000008476,-37386.121719532646,302.31631773737064,0.9905350535907573,702
170000,340.00000000089534,-37171.96643220686,299.70873363541193,0.9877292265527116,702
175000,350.0000000009431,-37779.21990267612,295.2671118574324,1.0115857806529858,702
180000,360.00000000099084,-37248.35347694991,293.5764557945453,1.0009616437368316,702
185000,370.0000000010386,-37549.5280688761,304.74888184040964,0.9920061002574148,702
190000,380.00000000108633,-37405.82577409627,299.71981110594544,1.0099955712223099,702
195000,390.0000000011341,-37847.81786106227,297.09715438014615,1.0187797169666175,702
200000,400.00000000118183,-37516.450825229986,300.6346406806537,0.9990614835819425,702
205000,410.0000000012296,-37750.44866234466,299.64652627356395,1.0114689869495537,702
210000,420.00000000127733,-37200.922893484734,308.5487165414192,0.9830511613259986,702
215000,430.0000000013251,-37725.32220070419,296.50841406097635,1.0120875446368465,702
220000,440.0000000013728,-37242.707006766315,294.15843663716015,0.9853268275262901,702
225000,450.0000000014206,-37368.40028277598,304.9578001098142,1.0004951007086227,702
230000,460.0000000014683,-37196.89212466392,304.04952823624126,0.9974141517781788,702
235000,470.00000000151607,-37262.39760156511,305.54238385534114,0.9887803905681553,702
240000,480.0000000015638,-37397.4964747499,298.12733896221255,1.0104193185909753,702
245000,490.00000000161157,-37641.58811710696,297.02548375112116,1.0042578148396872,702
250000,500.0000000016593,-37264.66166682742,305.9785012471616,0.993351918066188,702
255000,510.00000000170706,-37984.367354124726,292.7395720644101,1.0153791449725416,702
260000,520.0000000015274,-37240.20634232869,303.46778952412996,0.9884331425314021,702
265000,530.0000000012909,-37403.980589603016,303.3453925546295,0.9953276556193781,702
270000,540.0000000010544,-37430.98268908006,300.9846806784931,1.0009647677357998,702
275000,550.000000000818,-37255.21062595138,293.328272028496,0.9967013593179808,702
280000,560.0000000005815,-37726.512116625876,302.01702425754866,1.0059010763530953,702
285000,570.000000000345,-37591.638081061305,293.89699622604616,1.004457327733401,702
290000,580.0000000001086,-37653.26461918905,302.66845619957337,1.00241515938747,703
295000,589.9999999998721,-37357.03026796074,309.8384044905718,1.0104769707224635,703
300000,599.9999999996356,-37556.44746455137,298.96555441011685,0.996561245843636,703
305000,609.9999999993992,-37902.26167048045,295.8528053677669,1.0084035501097872,703
310000,619.9999999991627,-37526.23701658347,301.025741976372,0.9999802146011864,703
315000,629.9999999989262,-37324.22347343381,303.6710984368709,0.9994216680320994,703
320000,639.9999999986898,-37472.048260615295,309.65218595586697,0.9995486017740376,703
325000,649.9999999984533,-37640.91111691308,306.41683816859705,1.012245760390507,703
330000,659.9999999982168,-36939.11441841326,301.2384334461221,0.9858965108372939,703
335000,669.9999999979804,-37173.24226978779,295.36055405422707,0.9932774061855112,703
340000,679.9999999977439,-37431.65264074394,296.7129941588605,1.0074631017789486,703
345000,689.9999999975074,-37789.92833274236,305.7844134710942,1.0099153156322822,703
350000,699.999999997271,-37536.05158412084,302.981470407925,1.0078981586990723,703
355000,709.9999999970345,-37376.45171190836,310.0233316625915,1.00408967053432,703
360000,719.999999996798,-37043.509273308155,302.19472786954844,0.9910306212684449,703
365000,729.9999999965615,-37497.7966959351,298.8516723633215,0.9990553262234566,703
370000,739.9999999963251,-37320.24160591728,302.00312193114155,0.997306516833207,703
375000,749.9999999960886,-37649.525417058525,293.73840074627805,1.0008021191934102,703
380000,759.9999999958521,-37599.21772134554,304.92773557230083,1.007943524129758,702
385000,769.9999999956157,-37138.728522475925,302.98203537909967,0.9858747479991998,702
390000,779.9999999953792,-36958.53779727919,303.7772121300135,0.9913545512878504,702
395000,789.9999999951427,-37431.3644527978,304.7164767080295,1.0084093637911176,702
400000,799.9999999949063,-37508.62462610111,299.7693469714455,0.9889315285146668,702
405000,809.9999999946698,-37085.544039771514,302.8774753566876,0.9784853026462094,702
410000,819.9999999944333,-37545.70337693216,299.03240260661454,0.9940906676010318,702
415000,829.9999999941969,-37681.760545968486,300.404192973983,1.0116440169142136,702
420000,839.9999999939604,-37402.05903871133,307.2085645598365,1.0080520173825775,702
425000,849.9999999937239,-37438.97073406135,302.99539291187403,0.9859865303144275,702
430000,859.9999999934874,-37717.7647826231,295.5936651964359,1.01005914235973,702
435000,869.999999993251,-37837.762821012555,293.72572924993017,1.0098951633950792,701
440000,879.9999999930145,-37608.85424597407,307.5275311430648,1.021415576123177,701
445000,889.999999992778,-37878.283351926424,298.87891204496106,1.0010268528160182,701
450000,899.9999999925416,-37472.24069161515,305.36591107340064,1.0026234376551992,701
455000,909.9999999923051,-37552.80099106967,305.62983332217516,1.002131960629461,701
460000,919.9999999920686,-37489.91573728449,306.53358542635,1.0114700177025553,701
465000,929.9999999918322,-37184.59053744015,297.8941874649198,0.9809234777418819,701
470000,939.9999999915957,-37597.27294687671,302.01583378257334,0.9972165364360447,701
475000,949.9999999913592,-37269.95106668133,298.61944903295876,1.0061800333185138,701
480000,959.9999999911228,-37357.31256236287,296.52960048002933,1.0123556496053423,701
485000,969.9999999908863,-37305.95315461184,301.6216655004779,1.0123195452222018,701
490000,979.9999999906498,-37412.549576151505,292.3908234292558,0.9985824832152984,702
495000,989.9999999904134,-37187.62774524634,302.31032500741,0.9862335149761676,702
500000,999.9999999901769,-37481.43007036339,300.90768317839195,1.0057976925716516,701
505000,1009.9999999899404,-37338.67787485427,307.18289872646943,1.0071202056977495,701
510000,1019.999999989704,-37800.08457047469,300.9506613427566,1.0169068156766121,701
515000,1029.9999999894676,-37652.099102265434,294.551091603609,0.9947490315628341,701
520000,1039.9999999892311,-37643.682394013565,297.74170578036416,0.9944902405053545,701
525000,1049.9999999889947,-37669.1411301856,304.28431411443233,1.00675691582118,701
530000,1059.9999999887582,-37853.6688443427,301.0398057231148,1.0147462662383813,701
535000,1069.9999999885217,-37512.257616167306,302.9105867030362,1.020082470160405,701
540000,1079.9999999882853,-37537.92777530517,298.12786357830333,1.0027945136472856,701
545000,1089.9999999880488,-37681.23564940144,309.65315447788083,1.0095085469210114,701
550000,1099.9999999878123,-37288.27776531791,297.4856124178683,0.9901753657663216,701
555000,1109.9999999875758,-37524.16355369351,302.2328634238438,1.0021918248531807,701
560000,1119.9999999873394,-37439.65590274925,302.19763343559,1.0080575476940994,701
565000,1129.999999987103,-37524.085518515494,298.6230204578848,1.0022565785749602,701
570000,1139.9999999868664,-37707.80678918518,303.2500334913491,1.0048675336361035,701
575000,1149.99999998663,-37397.25592909599,303.34032799159877,0.9912791194931574,701
580000,1159.9999999863935,-37536.28306302038,297.8768751339222,0.9951715995313453,701
585000,1169.999999986157,-37530.35882141697,292.12627567668073,1.0183017822775289,701
590000,1179.9999999859206,-37359.15802870583,307.88009333364863,1.0147886985384198,701
595000,1189.999999985684,-37523.11054529846,296.16983490696754,1.0051635187758146,701
600000,1199.9999999854476,-37409.309216484864,296.7584138058017,1.0079599869447067,701
605000,1209.9999999852112,-37617.50099467812,298.99069562739305,1.016488449616897,701
610000,1219.9999999849747,-37686.38713231514,298.2875082902532,1.0046981512776167,701
615000,1229.9999999847382,-37624.13188355701,295.1812765939548,0.999951754339267,701
620000,1239.9999999845018,-37458.31883354587,292.11519820614734,1.0123904757464457,701
625000,1249.9999999842653,-38062.68841022032,308.7199431624513,1.0227245271532655,701
630000,1259.9999999840288,-37239.21672298448,297.1627515690426,0.9935835783927544,701
635000,1269.9999999837923,-37555.34475888664,306.03217350876247,0.9915566866050677,701
640000,1279.9999999835559,-37248.48393399111,297.1262302181036,0.9975907174165859,701
645000,1289.9999999833194,-37409.67018381809,294.85397668589894,1.0061503552618782,701
650000,1299.999999983083,-37501.90440348134,294.696672568816,0.9971034654751403,701
655000,1309.9999999828465,-37413.5141289935,297.6225372175765,1.005172142162398,700
660000,1319.99999998261,-37406.865409553284,298.46113603877797,1.0212853425781796,700
665000,1329.9999999823735,-37390.04139066939,302.51474368495843,0.9982666404447369,700
670000,1339.999999982137,-37517.90864550311,303.5969056151015,0.987899995709614,700
675000,1349.9999999819006,-37155.29937943781,306.13758098793664,0.9997742042745922,700
680000,1359.9999999816641,-37494.57765505259,301.5041111410466,1.0095152663106224,700
685000,1369.9999999814277,-37810.56302722753,303.1443637041295,1.0023602176225832,700
690000,1379.9999999811912,-37312.475747359305,308.7894346169451,1.0039625209179548,700
695000,1389.9999999809547,-37632.868676767306,288.1916146403264,1.0019378267644572,700
700000,1399.9999999807183,-37591.238981111615,310.3657849046557,1.0043591359400044,700
705000,1409.9999999804818,-37314.890932976385,286.43814588933276,1.0112567057236737,700
710000,1419.9999999802453,-37418.23073562453,296.4727401667995,1.01979072814488,700
715000,1429.9999999800089,-37571.60008604347,294.1543405961432,0.9948882113131016,700
720000,1439.9999999797724,-37817.65901632226,302.3263056206385,1.0274720759069393,700
725000,1449.999999979536,-37633.141594123794,311.8416913885132,0.9913235551410343,700
730000,1459.9999999792994,-37194.64503398992,302.7517894478485,0.9953803202590465,700
735000,1469.999999979063,-37752.06248871444,306.01332768457627,1.0125567845887038,700
740000,1479.9999999788265,-37306.28742039553,294.3601918791705,0.9872803081457027,700
745000,1489.99999997859,-37543.43782372723,296.31799859754483,1.0062131093760731,700
750000,1499.9999999783536,-37069.95317352528,298.8798805669749,1.013516674297469,700
755000,1509.999999978117,-37276.804058473936,298.9389604098198,0.9947033270725767,700
760000,1519.9999999778806,-37281.45297483538,296.7017956230753,1.00526529850834,700
765000,1529.9999999776442,-37277.42885257499,294.73220522019915,1.0025882577541725,700
770000,1539.9999999774077,-37535.354126034945,305.18072159333553,1.0110835668349891,700
775000,1549.9999999771712,-37672.10752620318,305.6336670551466,1.0008194994421125,700
780000,1559.9999999769348,-37551.580453145434,302.8162365168535,1.0102926260968736,700
785000,1569.9999999766983,-37316.25435004203,304.3518483473565,0.9879718502948114,700
790000,1579.9999999764618,-37706.02086486615,297.0170495385839,1.0178644344097112,700
795000,1589.9999999762254,-37546.10852840234,301.21415986315,0.9850466606995878,700
800000,1599.9999999759889,-37708.2886174985,295.2044605896614,0.9934003083154025,700
805000,1609.9999999757524,-37207.58969257219,304.09537161156356,0.9997833926986928,700
810000,1619.999999975516,-37525.97335777711,301.98145125108164,0.997552844153268,700
815000,1629.9999999752795,-37367.398067532515,294.31959466475655,1.014089220007829,699
820000,1639.999999975043,-37337.829875659634,304.5200886921793,0.9944744592740692,699
825000,1649.9999999748065,-37825.84982949926,297.75401408095684,1.0087395593667747,699
830000,1659.99999997457,-37244.92755375753,299.1204775772491,0.9950576182505589,699
835000,1669.9999999743336,-37179.74716941884,312.0316427684798,1.0072983079900037,699
840000,1679.9999999740971,-37572.50985633308,296.72001594346085,1.005334913630496,699
845000,1689.9999999738607,-37226.519257569074,296.973244094999,0.9953421298617585,699
850000,1699.9999999736242,-37375.956894535426,308.83610527148755,1.0025406346378622,699
855000,1709.9999999733877,-37301.896871248,298.90542533509023,1.0010166156849256,699
860000,1719.9999999731513,-37604.161615950376,297.24075794624156,1.0031375128756228,699
865000,1729.9999999729148,-37774.56655500215,310.3186905217322,1.0026247685854854,699
870000,1739.9999999726783,-37414.5722165528,305.5736994004557,0.9955483705686533,699
875000,1749.9999999724419,-37290.340678784356,292.9680423719692,0.9954999617665137,699
880000,1759.9999999722054,-37558.355265861406,299.1293556957094,1.0105736149530102,699
885000,1769.999999971969,-37816.538461984106,298.9708409261091,1.0140694782336046,699
890000,1779.9999999717324,-37646.69045351134,297.5741918270517,1.015908310052975,699
895000,1789.999999971496,-37377.53279151273,303.1881489701724,1.0104939528286532,699
900000,1799.9999999712595,-37702.246494248975,296.5062752415291,1.0190274832998674,699
905000,1809.999999971023,-37378.35668098816,290.9468781718554,0.9913152854042621,699
910000,1819.9999999707866,-37545.87085545008,303.3120794328614,0.9899647800889272,699
915000,1829.99999997055,-37389.36437350442,299.94224832845987,0.9953383788142567,699
920000,1839.9999999703136,-37213.429202724976,305.50075758628753,0.9928326508047308,699
925000,1849.9999999700772,-37306.244988649385,296.9882360086718,1.0057032026658248,699
930000,1859.9999999698407,-37482.09626372601,291.435215042256,1.0070842429396907,699
935000,1869.9999999696042,-37565.10766382486,300.6396043559747,1.0137610272132944,699
940000,1879.9999999693678,-37422.58177456309,304.2818524543138,0.9969356704790542,699
945000,1889.9999999691313,-37463.48900141721,303.15291898191856,1.0004829799281099,699
950000,1899.9999999688948,-37262.86650605081,302.2377867440809,1.0038312033702954,699
955000,1909.9999999686584,-37572.40557671516,301.1843172785982,1.0098082758333957,699
960000,1919.999999968422,-37594.428996980074,300.2894836479675,1.0076978081710282,699
965000,1929.9999999681854,-37475.23378484481,287.97525085794047,1.0036052893817773,699
970000,1939.999999967949,-37057.739427920314,307.14536849843273,0.9986038285808179,699
975000,1949.9999999677125,-37372.77836006318,310.1947600590432,0.9952372724551627,699
980000,1959.999999967476,-37297.26564638174,302.69708813160787,0.9953881166211475,699
985000,1969.9999999672395,-37569.630857046664,299.78052532968866,1.0131142368576354,699
990000,1979.999999967003,-37436.01336243245,305.90057558013046,1.008740849093079,699
995000,1989.9999999667666,-37397.2455577981,293.21840531254975,1.0011971198823613,699
1000000,1999.9999999665301,-37264.60663123857,306.44434015828205,0.9962478141365814,699
1005000,2009.9999999662937,-37461.29397849407,296.6681798381779,1.0162362259072781,699
1010000,2019.9999999660572,-37367.14046056924,302.60061930351986,1.011781308611984,699
1015000,2029.9999999658207,-37467.52805028879,312.76828447018147,0.9976770014830946,699
1020000,2039.9999999655843,-37675.14858740941,307.7588464840396,0.9974870562221948,699
1025000,2049.999999965348,-37588.461629902915,302.23124922048737,1.0131848634064908,699
1030000,2059.9999999651113,-37468.73579363132,301.2194665566842,1.001545146280138,699
1035000,2069.999999964875,-37773.58786158863,302.20255675582706,1.0023419645532228,699
1040000,2079.9999999646384,-37340.561807809165,306.63233431667896,0.984582196554788,699
1045000,2089.999999964402,-37077.60440070773,298.95766499121237,0.9745313534101897,699
1050000,2099.9999999641655,-37568.390550802374,284.8862507824718,1.0024194646458633,699
1055000,2109.999999963929,-37311.0814920617,296.7725784402543,1.0039985357830854,699
1060000,2119.9999999636925,-37453.22378843589,293.62371159780446,0.9964331665016719,699
1065000,2129.999999963456,-37304.590787612164,318.3526815143376,0.9867694307089234,699
