#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31332.8509183462,302.8162925078676,1.034089915094472,0
10000,19.999999999999794,-31527.833539066283,295.5461939529664,1.0457622954586427,693
15000,29.99999999999425,-30952.098853645875,300.8883887401896,1.0397445530801932,693
20000,40.00000000000292,-31232.331352923648,299.53664658205986,1.03666728512191,694
25000,50.00000000001514,-31541.441740201728,304.78218452712554,1.043818675054887,693
30000,60.00000000002736,-31013.750782272167,300.58087772000283,1.036064325390773,693
35000,70.00000000001826,-31467.003489562194,293.1704552153882,1.0346116749301095,693
40000,79.99999999999496,-31442.706944491656,297.1004948954131,1.0316290299765933,693
45000,89.99999999997165,-31314.51298031112,295.41129689633584,1.0403339281288078,693
50000,99.99999999994834,-31569.01924050314,293.27790769842835,1.0351497032373767,692
55000,109.99999999992504,-30771.60154103249,299.35416730214945,1.019609501263699,693
60000,119.99999999990173,-31683.382825100387,297.91177664777524,1.0473693626708596,693
65000,129.99999999989262,-31421.20464779582,297.54891131814355,1.0310550355650985,694
70000,139.99999999994037,-31359.253272797447,295.53526263975664,1.035853457599698,694
75000,149.99999999998812,-31442.451239585003,295.2014311881181,1.026222509130828,694
80000,160.00000000003587,-31829.17597419239,298.50668042022033,1.0374328861607665,694
85000,170.00000000008362,-31309.58505256896,300.0771845148715,1.0384856532930382,695
90000,180.00000000013137,-31351.814641223085,298.5546308969594,1.0368573025834056,695
95000,190.0000000001791,-31529.646226800163,307.95639367303824,1.043279802433328,695
100000,200.00000000022686,-31337.518456950813,294.43050226217906,1.0189229226425003,695
105000,210.0000000002746,-31465.334758198238,300.87947313012495,1.0518039114325801,694
110000,220.00000000032236,-31313.756740788114,299.9616886010121,1.0323372317256125,694
115000,230.0000000003701,-31204.38797390976,312.9670246746611,1.04063950326755,694
120000,240.00000000041786,-31667.827879245917,308.1308489038904,1.0485751817307376,695
125000,250.0000000004656,-31453.68785001588,292.227261197591,1.0387251585051842,694
130000,260.00000000051335,-31548.0470006862,305.6967323021497,1.032680924109664,694
135000,270.0000000005611,-31770.39199607153,297.40263716780004,1.0354126381899558,694
140000,280.00000000060885,-31636.42674498132,300.5966157099431,1.038224223946373,694
145000,290.0000000006566,-31535.21688030826,295.8314934750356,1.036951729303895,694
150000,300.00000000070435,-31458.66442860494,303.7745267722087,1.0279515441751068,694
155000,310.0000000007521,-31755.22316357057,298.44365093341537,1.049524742281498,694
160000,320.00000000079984,-31263.457298721973,301.65063463719616,1.0301510277148243,694
165000,330.0000000008476,-31232.266220698453,301.52418802836604,1.0307955689774768,694
170000,340.00000000089534,-31193.699167263985,292.7313226561816,1.0270331570827564,694
