#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-36236.17239467817,300.63549754982483,0.9825665380386062,0
10000,19.999999999999794,-36596.81496393267,293.7133695670746,0.9988177085871798,553
15000,29.99999999999425,-36931.57027979204,290.8616289565498,1.0119757865305334,544
20000,40.00000000000292,-36342.295283690706,297.66110896514374,0.9849827465504091,535
25000,50.00000000001514,-36650.85574955997,300.6108030501544,0.9991047636488276,534
30000,60.00000000002736,-36567.730942032475,302.67240212364425,1.0040149731217942,538
35000,70.00000000001826,-36358.08777019329,308.76454343758746,0.9976752783217698,533
40000,79.99999999999496,-36546.57457923773,297.7981861127302,1.0111242699862917,535
45000,89.99999999997165,-36423.56105618735,305.03322102786564,0.9985790785718276,536
50000,99.99999999994834,-36687.76297417088,301.4432014522348,0.992989095628128,540
55000,109.99999999992504,-36420.61537725295,304.5821650664392,0.9853934522883071,540
60000,119.99999999990173,-36729.73976469095,311.29251400944463,1.0053753250784612,539
65000,129.99999999989262,-36450.803837212676,309.2407267738873,0.9905603760404488,539
70000,139.99999999994037,-36744.79931709895,293.6647844788248,1.0003788348752296,537
75000,149.99999999998812,-36700.10940535,301.405974184785,1.0062504540368804,535
80000,160.00000000003587,-36859.191011762596,308.4417422148501,0.9941190015578047,536
85000,170.00000000008362,-36485.43037070651,291.00499310113076,1.011718916563667,536
90000,180.00000000013137,-36365.74879082607,305.85469448434895,0.9903320081450432,538
95000,190.0000000001791,-36578.8627914885,298.15524631581167,0.9842506648976946,538
100000,200.00000000022686,-36469.38423944698,293.7420217828859,1.0017303951280803,539
105000,210.0000000002746,-36761.03299792702,298.22450634827635,1.002718137489902,538
110000,220.00000000032236,-36692.13964353106,292.4860240751062,1.0153786142882473,540
115000,230.0000000003701,-36599.96909052637,296.48748122454526,0.9963697736125015,540
120000,240.00000000041786,-36496.39722358447,293.3524753264817,0.9922479350599644,539
125000,250.0000000004656,-36386.80911387116,294.492256348834,0.9877685582695362,539
130000,260.00000000051335,-36591.16345929919,306.31308871111986,1.004391971605325,540
135000,270.0000000005611,-36434.048132762575,294.8149132798371,1.002571846699767,541
140000,280.00000000060885,-36423.54023493364,293.90919406362667,1.0064750102381852,542
145000,290.0000000006566,-36159.93087613335,291.44374303893176,0.998696427263766,542
150000,300.00000000070435,-36705.1900057256,297.95022837447414,0.9902204181062675,543
155000,310.0000000007521,-36268.8219015575,297.4595952516393,0.9891185983633114,542
160000,320.00000000079984,-36624.17526566025,300.1596646363083,0.9872934208393251,543
165000,330.0000000008476,-36380.6394858346,302.2592742752342,0.9879646971686658,544
170000,340.00000000089534,-36530.35676329635,299.9924511293578,1.0096521496407238,545
175000,350.0000000009431,-36585.937319974386,303.2454464398702,0.9988615860946346,546
180000,360.00000000099084,-36293.23084413656,295.13014949307603,0.9800393276080803,544
185000,370.0000000010386,-36270.607319245435,308.3396042800696,0.9896348667711973,545
190000,380.00000000108633,-36039.97040494057,300.20579676507504,1.005216061346594,543
195000,390.0000000011341,-36553.50557868177,308.2963992121987,1.0092877382812027,542
200000,400.00000000118183,-36245.789651045314,301.6797574440696,0.9877322923672088,543
205000,410.0000000012296,-36748.426030035975,299.43008440147025,0.9814713795848043,542
210000,420.00000000127733,-36774.92723041936,293.7194092068104,1.020079063838405,542
215000,430.0000000013251,-36296.1387528686,292.1994606907834,1.0098735307114788,541
220000,440.0000000013728,-36604.085938170116,307.16226618058903,0.997498270468364,541
225000,450.0000000014206,-36802.238864982966,293.67964652745786,1.0013677270867927,540
230000,460.0000000014683,-36211.43090649479,297.3373183133712,1.0011232258417013,539
235000,470.00000000151607,-36508.84115080032,302.48739950716487,1.0154945194178449,539
240000,480.0000000015638,-36348.80057480547,296.15214723402863,0.9943112187020867,539
245000,490.00000000161157,-36407.86460158529,289.84090922810105,0.9979788723848632,539
250000,500.0000000016593,-36379.49083217728,292.9548485329566,0.9996933552030622,538
255000,510.00000000170706,-36318.11006558899,299.17361615030177,0.9973283564973884,538
260000,520.0000000015274,-36738.39393894051,301.9967045450153,1.0133353638145755,539
265000,530.0000000012909,-36632.89541177722,310.63813038128245,0.9986208266743494,539
270000,540.0000000010544,-36725.32260205658,305.72699629949204,0.9955056856424261,538
275000,550.000000000818,-36724.790504145494,301.73875215029403,0.9855939428464151,537
280000,560.0000000005815,-36405.798222902406,303.97783005697477,0.993169594424092,538
285000,570.000000000345,-36400.61454072248,292.7130980386869,0.9995970306154829,538
290000,580.0000000001086,-36619.201995367504,299.97888770633347,1.0060746718339013,538
295000,589.9999999998721,-36703.480585580255,298.2266913373958,1.0067622305287334,539
300000,599.9999999996356,-36313.20753309879,303.49544217609997,0.9972876521379228,538
305000,609.9999999993992,-36454.03808286518,298.4670401405323,0.9972332692673941,538
310000,619.9999999991627,-36496.62842200606,299.4388655841577,0.9875264611669488,538
315000,629.9999999989262,-36637.57373610028,298.02338428376504,0.9967419368905639,538
320000,639.9999999986898,-36530.83649435558,294.33607085300514,1.0009165141999081,538
325000,649.9999999984533,-36260.30001647599,293.92333465358814,0.9910973707039028,538
330000,659.9999999982168,-36355.66788686559,293.35944255593796,0.989225994879303,538
335000,669.9999999979804,-36812.86797744839,299.98533960816724,1.0186790870197155,539
340000,679.9999999977439,-36383.35652115563,298.4413355987217,1.0022000843877417,539
