#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31622.670361171186,308.3752294928389,1.0375614014837444,0
10000,19.999999999999794,-31766.791039601638,297.2511045146809,1.035842201876475,696
15000,29.99999999999425,-31153.204979613773,298.9858844400702,1.0327036905227869,698
20000,40.00000000000292,-31343.648646805872,306.00252764619734,1.0258924827612617,698
25000,50.00000000001514,-31672.198991307407,295.82819965646644,1.038523896674512,699
30000,60.00000000002736,-31610.146887788054,294.47257248391276,1.0366940744646744,699
35000,70.00000000001826,-31612.70454877196,292.82335950971395,1.0325684109748408,698
40000,79.99999999999496,-31513.766315876157,299.52868302950435,1.025559960426561,698
45000,89.99999999997165,-31577.133999438433,298.9002217335628,1.0275316688282692,697
50000,99.99999999994834,-31527.454711375,293.74598113920206,1.0419930945758547,697
55000,109.99999999992504,-31465.191801866575,295.2319312980699,1.0426673252597511,697
60000,119.99999999990173,-31291.764326382254,303.0608860086053,1.0335028840525726,697
65000,129.99999999989262,-31366.99091948077,305.57482694768856,1.0371491128573274,697
70000,139.99999999994037,-31679.12096609053,290.96329332768005,1.0379166161128863,697
75000,149.99999999998812,-31193.294507060695,294.4672101861658,1.0148715603563545,697
80000,160.00000000003587,-31421.09639143487,304.3086735432552,1.0378335992272616,697
85000,170.00000000008362,-31531.295178429747,298.4096672450345,1.0287218170624324,697
90000,180.00000000013137,-31605.311157158372,305.94664484324886,1.0358305420498184,697
95000,190.0000000001791,-31516.940126935748,304.028416881724,1.0327155683112297,697
100000,200.00000000022686,-31636.384215046157,302.2001989180943,1.0447586600758823,697
105000,210.0000000002746,-31386.28205864082,301.694304427797,1.0353793916023433,697
110000,220.00000000032236,-31298.953858108347,293.9481589153252,1.019090358597626,696
115000,230.0000000003701,-31512.770151484176,289.42140291267367,1.0313979042056853,696
120000,240.00000000041786,-31777.90222575635,310.65679142884585,1.0339577906514104,696
125000,250.0000000004656,-31082.39172820389,309.47369618629995,1.0228796674043767,696
130000,260.00000000051335,-31300.58872247237,303.4296780361512,1.0322767254403833,696
135000,270.0000000005611,-31330.455484736187,299.51983523822196,1.0467801216415997,696
140000,280.00000000060885,-31005.668920062366,308.4531934718667,1.0414743042688643,696
145000,290.0000000006566,-31217.41517620592,298.4032516388015,1.0495346701615675,696
150000,300.00000000070435,-31606.60787318187,308.01279561833576,1.0373988343663836,696
155000,310.0000000007521,-31547.16915354022,301.51271404480957,1.047278786019511,696
160000,320.00000000079984,-31560.503929406812,302.4114926003872,1.0294734502239702,696
165000,330.0000000008476,-31528.30970743572,298.3557953037411,1.026768948098964,696
170000,340.00000000089534,-31510.044285192707,312.21771800085384,1.041325445730371,696
175000,350.0000000009431,-31428.531910829683,307.2978481201613,1.0277239139812058,696
180000,360.00000000099084,-31553.898767843843,309.03787543691726,1.044878627296869,696
185000,370.0000000010386,-31661.68346778219,300.86676782800026,1.0363341012933802,696
190000,380.00000000108633,-31629.39603839451,292.81646512689645,1.0367601519277387,696
195000,390.0000000011341,-31358.742437991692,296.8302215947361,1.0338099878123812,696
200000,400.00000000118183,-31488.217377707508,301.8913880210606,1.0343709153565168,696
205000,410.0000000012296,-30947.830523877492,301.88874517431384,1.019826139193059,695
210000,420.00000000127733,-31585.285637043242,300.36993179068264,1.0324569735551832,695
215000,430.0000000013251,-31055.40635438502,305.1068132607608,1.0321928550703896,696
220000,440.0000000013728,-31391.872343172203,301.8576438473816,1.0276709545668063,695
225000,450.0000000014206,-31238.695692004578,307.9575639515423,1.0336481140670115,696
230000,460.0000000014683,-31330.16849442295,299.86750364285757,1.0233646443063324,696
235000,470.00000000151607,-31425.97055819814,298.2809529480445,1.0371191594949074,695
240000,480.0000000015638,-31802.33772000132,298.32892636181623,1.058296679663871,696
245000,490.00000000161157,-31582.834912840015,302.03904271973533,1.0320951738448885,696
250000,500.0000000016593,-31435.550869569095,295.76649493024985,1.040876053420418,696
255000,510.00000000170706,-31731.368955911224,300.99280097611677,1.042301195771426,696
260000,520.0000000015274,-31608.324015154154,298.03708330693894,1.0340716013295785,695
265000,530.0000000012909,-31372.067881971423,304.71984687406547,1.0340052290915174,695
270000,540.0000000010544,-31697.967898418487,300.6463390884742,1.0375891139055815,695
275000,550.000000000818,-31489.32534010138,296.15043544893086,1.0316957252456846,695
280000,560.0000000005815,-31624.571994374623,301.50859656618246,1.0366562271193323,695
285000,570.000000000345,-31647.128273991868,310.5568228779921,1.0450393800622888,695
290000,580.0000000001086,-31681.85196139422,301.3842678627069,1.0257559954964535,695
295000,589.9999999998721,-31438.33488209534,306.6134274170177,1.0146843025084882,695
300000,599.9999999996356,-31568.276764911367,296.6442456182341,1.039561816662832,695
305000,609.9999999993992,-31333.593727513973,298.6482511926466,1.0334813419030544,695
310000,619.9999999991627,-31653.94713257291,303.0187919712917,1.0242568563649446,695
315000,629.9999999989262,-31375.652855045162,296.3730091075558,1.0439451901541483,695
320000,639.9999999986898,-31400.498629184964,308.2272109239599,1.0458557323053765,695
325000,649.9999999984533,-31693.714033529744,297.7252656929543,1.038679244826847,695
330000,659.9999999982168,-31431.378053107735,300.9782844700732,1.0384881800306789,695
335000,669.9999999979804,-31281.324273299193,290.62828377593985,1.0329420877807418,695
340000,679.9999999977439,-31176.632941670512,293.01000577343433,1.0254962154339542,695
345000,689.9999999975074,-31722.285007425293,309.68799658554383,1.0345533823143802,695
350000,699.999999997271,-31613.768856019014,298.01592138190193,1.0441266572467778,695
355000,709.9999999970345,-31438.064495750034,294.0478018981014,1.042359137733614,695
360000,719.999999996798,-31377.14441627066,298.4656075011731,1.0353536780462538,695
365000,729.9999999965615,-31109.004970801383,299.73179920773316,1.0374205430596706,695
370000,739.9999999963251,-31608.913069860806,300.5710754093832,1.0170904940025989,695
375000,749.9999999960886,-31334.06154983901,300.420892770342,1.0350709436504544,695
380000,759.9999999958521,-31149.696858871233,299.42612908509415,1.027972065346016,695
385000,769.9999999956157,-31571.732596367947,307.4347016190886,1.040452274505512,695
390000,779.9999999953792,-31282.184698079654,306.39453076256217,1.0246432509030157,694
395000,789.9999999951427,-31428.86288395783,298.7498284328244,1.0291530043669779,694
400000,799.9999999949063,-31558.7404058947,297.6058971148947,1.0309023662012737,694
405000,809.9999999946698,-31660.408072472987,302.98219428916883,1.0429324364957104,694
410000,819.9999999944333,-31355.97508624391,297.1233286197966,1.0358470200344991,694
415000,829.9999999941969,-31641.163796868,307.2187733794573,1.0350366518650516,694
420000,839.9999999939604,-31637.020461018285,291.7911171934276,1.0240375855006705,694
425000,849.9999999937239,-31582.123800123227,295.3872464220974,1.0350833248893792,694
430000,859.9999999934874,-31638.106584120484,304.6188441657891,1.0446821484405957,694
435000,869.999999993251,-31545.864676429017,304.7790236599156,1.0404754039077515,694
440000,879.9999999930145,-31272.247102360212,301.28246080976857,1.0282646627862633,694
445000,889.999999992778,-31574.33838474177,303.13551770260466,1.0398235073706235,694
450000,899.9999999925416,-31442.89813244168,301.6012111086975,1.033419303348585,694
455000,909.9999999923051,-31308.601477775403,308.33920634261744,1.0201623762188585,694
460000,919.9999999920686,-31645.065834144392,284.1064274433484,1.0289530540027023,694
465000,929.9999999918322,-31277.65728633554,300.4382819358928,1.0374764232326206,694
470000,939.9999999915957,-31697.126981888927,296.1347507280211,1.0274999400465843,694
475000,949.9999999913592,-31214.789372208354,296.44873241216794,1.026144295047905,694
480000,959.9999999911228,-31416.91503793295,297.20902962843076,1.023975906356102,694
485000,969.9999999908863,-31397.03048327251,296.4366672422373,1.0315726199464628,694
490000,979.9999999906498,-31651.222278125264,298.15143430639245,1.0418564516574624,694
495000,989.9999999904134,-31482.51693608708,296.4352117614203,1.0324696258581156,694
500000,999.9999999901769,-31591.154817308736,298.046314119489,1.0430139576692163,694
505000,1009.9999999899404,-31172.615378289687,305.9969546867532,1.0334302709470886,694
510000,1019.999999989704,-31204.552178826503,301.7475826861256,1.0250466698284795,694
515000,1029.9999999894676,-31379.388655952585,304.35249117627313,1.0336488373777388,694
520000,1039.9999999892311,-31617.60517428207,292.8723862319717,1.0215975340117567,694
525000,1049.9999999889947,-31736.96933133359,298.6743732430996,1.0346962007113025,694
