#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31648.62367159652,296.95284585357064,1.0364121819201992,0
10000,19.999999999999794,-31266.374733988283,306.6852439047,1.0395200402580749,693
15000,29.99999999999425,-31475.022042312776,303.882600685134,1.030762823652631,696
20000,40.00000000000292,-31777.938400087238,290.5315326037343,1.0467363614101655,695
25000,50.00000000001514,-31376.87039640316,303.2647873804327,1.0457848475357938,695
30000,60.00000000002736,-31405.479627502442,303.8628559387872,1.0279823588633026,695
35000,70.00000000001826,-31663.46437884384,305.0318368476205,1.0269267697304643,695
40000,79.99999999999496,-31173.860427307285,303.939766609329,1.030647097277822,694
45000,89.99999999997165,-31073.99634412123,298.88721816152645,1.0292744212591758,694
50000,99.99999999994834,-31333.402969649993,308.3330013980817,1.0283301725592808,695
55000,109.99999999992504,-31349.94201673777,299.79599357218945,1.0391451233450517,695
60000,119.99999999990173,-31616.154259215633,291.8827741827736,1.037981227927293,694
65000,129.99999999989262,-31510.16529069384,284.11293880489825,1.0246581410944353,694
70000,139.99999999994037,-31420.608623600478,290.68407082357146,1.0345243008206015,695
75000,149.99999999998812,-31546.989358706225,305.15564847238477,1.0353482738126663,695
80000,160.00000000003587,-31143.53335390857,299.4431352293773,1.0240616077779987,695
85000,170.00000000008362,-31473.27973822647,291.4905604047116,1.0511146423476532,695
90000,180.00000000013137,-31426.279496410163,301.6024750788807,1.0242629379082449,694
95000,190.0000000001791,-31434.9937660438,303.3790426245693,1.0268272175361897,694
100000,200.00000000022686,-31532.600951667002,300.46522748207116,1.04127507682219,694
105000,210.0000000002746,-31348.887827485596,299.02711667953145,1.0248057158833597,694
110000,220.00000000032236,-31538.630589213135,297.2036290285571,1.0334978924510059,694
115000,230.0000000003701,-31386.3515164665,299.7182785569856,1.0349623070104206,694
120000,240.00000000041786,-31396.57511170485,299.8858503615775,1.0298871275129975,694
125000,250.0000000004656,-31617.472903028218,305.3141809750604,1.0342647784590617,694
130000,260.00000000051335,-31507.294655399135,299.6149394189766,1.0428739206012312,694
135000,270.0000000005611,-31438.738061206706,310.06975388299935,1.0344498434639198,694
140000,280.00000000060885,-31180.680934926728,302.3407485722543,1.0346567302015497,694
145000,290.0000000006566,-31577.99111274586,299.97294939783853,1.050565407902071,694
150000,300.00000000070435,-31557.24244467981,301.73722196083594,1.028468686642059,694
155000,310.0000000007521,-31201.23432770194,307.7670300219554,1.0370352764432123,694
160000,320.00000000079984,-31062.719025672617,307.48347937752243,1.0336347165577917,694
165000,330.0000000008476,-31252.011250457843,301.55651252676404,1.0351302971120544,694
170000,340.00000000089534,-31760.13117696636,300.79531521052223,1.0302032873108249,694
