#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45775.186213509936,304.36346976954883,1.0465773114727785,0
10000,19.999999999999794,-45755.02065281477,295.198452071031,1.0391625313044366,696
15000,29.99999999999425,-45650.70445239026,302.73372807822926,1.0353081915683038,692
20000,40.00000000000292,-45800.83907586621,298.8382168764869,1.047370274413442,693
25000,50.00000000001514,-45707.4038714036,297.3579982593203,1.0474126730027116,695
30000,60.00000000002736,-45433.25110873868,295.7750102663712,1.0381587644814454,695
35000,70.00000000001826,-45591.48614157742,286.3316122102841,1.0443794931911692,696
40000,79.99999999999496,-45530.860164147685,293.28180128310794,1.0280690534548655,695
45000,89.99999999997165,-45705.320520556474,310.525213580666,1.0505999126907724,695
50000,99.99999999994834,-45618.08019268079,286.3578544842353,1.0607542774644731,696
55000,109.99999999992504,-45145.85489154211,302.35952482915854,1.043710675920659,696
60000,119.99999999990173,-45347.95624747939,299.42631395404976,1.0258539853562267,696
65000,129.99999999989262,-45593.26955381603,310.9802275968747,1.0445698121155742,697
70000,139.99999999994037,-45501.544671525626,300.37740342688505,1.0363028494484114,697
75000,149.99999999998812,-45083.56111921242,291.5734678404624,1.0325802225637108,697
80000,160.00000000003587,-45541.47618038836,299.7770342270921,1.034962001554978,697
85000,170.00000000008362,-45450.968180573895,299.79034832196436,1.0554938541112169,696
90000,180.00000000013137,-45745.82486389519,300.3813011763984,1.0505986504252218,696
95000,190.0000000001791,-45553.5201946958,301.8586640166938,1.0231855715860925,695
100000,200.00000000022686,-45332.98340476476,296.6088971127508,1.0299992374634757,695
105000,210.0000000002746,-45515.05689450749,302.60041346739905,1.0475791588387418,695
110000,220.00000000032236,-45558.17521832773,305.6562683816505,1.0467738646655877,695
115000,230.0000000003701,-45464.00794231097,291.3342386401335,1.04339576945757,695
120000,240.00000000041786,-45059.367604889645,303.59945297756434,1.0363730187271432,695
125000,250.0000000004656,-45677.431936482,302.28066293677716,1.0373239596957025,696
130000,260.00000000051335,-45689.19319747109,289.45538830417394,1.0383493032534254,695
135000,270.0000000005611,-45419.76774707899,302.2251682456862,1.0400305599621191,695
140000,280.00000000060885,-45640.46881917733,302.50406958957666,1.0558015736564512,695
145000,290.0000000006566,-45494.969491225,309.89431844161504,1.0308161420488924,695
150000,300.00000000070435,-45222.27323363471,299.6265270676659,1.0576273074546825,695
155000,310.0000000007521,-45710.6184599206,293.5204516097467,1.0430073704184712,695
160000,320.00000000079984,-45337.7682057147,302.98210348286176,1.0338338452212976,695
165000,330.0000000008476,-45512.66402639085,309.0924240145083,1.0463664565434276,696
170000,340.00000000089534,-45431.86746206414,296.9171473527294,1.0383404011381403,696
175000,350.0000000009431,-45508.66826820295,300.3592267930159,1.0355568002371334,696
180000,360.00000000099084,-45526.86985283042,307.682827987534,1.034377049675123,696
185000,370.0000000010386,-45528.95516355228,299.52692220138925,1.03026297814466,696
190000,380.00000000108633,-45297.14679836997,310.95687969137396,1.0488529515087195,696
195000,390.0000000011341,-45681.26390360063,296.976520497544,1.0398329545905538,696
200000,400.00000000118183,-45458.51184320144,301.6125462194527,1.0272976502468425,696
205000,410.0000000012296,-45471.61545183539,295.2000729173633,1.0599031455123644,696
210000,420.00000000127733,-45540.69943669482,309.89701985216885,1.0507742991381708,696
215000,430.0000000013251,-45212.29424790625,299.5915438009942,1.0358938930344372,696
220000,440.0000000013728,-45513.703761346114,300.9314241398907,1.0462433985917632,696
225000,450.0000000014206,-45417.27048222127,289.13606228092476,1.0306788413609989,696
230000,460.0000000014683,-45262.08810587827,295.0327784209242,1.0492130875724064,696
235000,470.00000000151607,-45600.77554834247,292.45750444419434,1.0435183109304504,696
240000,480.0000000015638,-45462.157464646065,310.732450361722,1.0483820117147722,696
245000,490.00000000161157,-45371.241772433714,301.8737919157951,1.0455815415801837,696
250000,500.0000000016593,-45667.896663012274,303.3494953181789,1.0273776594907367,696
255000,510.00000000170706,-45821.82776338837,293.0308981300286,1.0380478578485322,696
260000,520.0000000015274,-45717.47691464034,289.82141013842454,1.0519667301966553,696
265000,530.0000000012909,-45322.194507915,296.0586969660999,1.0296955332916304,696
270000,540.0000000010544,-45407.19047681027,303.05179987514987,1.0376717800060296,695
275000,550.000000000818,-45295.62946879421,283.95138007553874,1.0350995862551249,695
280000,560.0000000005815,-45691.59367199949,304.30324760998866,1.0356762821775243,695
285000,570.000000000345,-45608.676438896015,300.8169229239888,1.044577566876712,695
290000,580.0000000001086,-45342.839978826465,298.6785828085468,1.0153645494329973,695
295000,589.9999999998721,-45237.19559857546,300.2170747105169,1.0452251496944704,695
