#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45433.28165559328,300.3489228413321,1.0473226642157134,0
10000,19.999999999999794,-45642.91687344844,302.99968194725113,1.050559443214163,699
15000,29.99999999999425,-45514.48298158537,299.3709736292762,1.0284373307886947,698
20000,40.00000000000292,-45256.41046780543,298.6349936196823,1.0386145600198882,698
25000,50.00000000001514,-45357.937687947735,305.81682864749473,1.03475159498003,698
30000,60.00000000002736,-45561.61733672969,301.7256002511294,1.0398501625823162,697
35000,70.00000000001826,-45067.65671451093,297.8465290621859,1.0210169463589358,697
40000,79.99999999999496,-45493.92941944272,300.5250355136504,1.0441017036909097,697
45000,89.99999999997165,-45125.43806988251,301.6913888160444,1.0474851312083215,697
50000,99.99999999994834,-45548.96128088195,305.158610670271,1.052369043511321,695
55000,109.99999999992504,-45213.3889105868,306.19743809873586,1.044304278527198,695
60000,119.99999999990173,-45420.706123380165,294.8018464101535,1.042589604290823,695
65000,129.99999999989262,-45487.35934802616,301.69194839394487,1.0444076375222666,696
70000,139.99999999994037,-45603.27902669972,289.28097366134665,1.0504840253125416,695
75000,149.99999999998812,-45201.354042265855,293.109644247672,1.0397709377664475,695
80000,160.00000000003587,-45603.503634757595,298.93743582697016,1.0381710958913386,695
85000,170.00000000008362,-45285.69987810482,293.78947350932617,1.03474155022339,695
90000,180.00000000013137,-45071.91765181912,301.8820119221945,1.037018072411386,695
95000,190.0000000001791,-45741.59790856295,299.2922853990018,1.04224340101533,695
100000,200.00000000022686,-45608.87781154204,290.4983643274179,1.0475430195263489,695
105000,210.0000000002746,-45472.21822287288,301.8531647166379,1.0528504549658282,695
110000,220.00000000032236,-45245.96961410178,299.48493456306727,1.0354241005138334,695
115000,230.0000000003701,-45726.21102853608,293.1132332645506,1.0558460445486721,695
120000,240.00000000041786,-45579.659824440925,307.2451029988696,1.039928529787169,695
125000,250.0000000004656,-45378.082126413065,315.87259788454963,1.035937489196232,695
130000,260.00000000051335,-45489.54121354103,293.08089352106373,1.0499739665811736,695
135000,270.0000000005611,-45720.033671786485,294.0637052721165,1.0423882967403724,695
140000,280.00000000060885,-45514.55756214427,294.35252465189734,1.0377985199923383,694
145000,290.0000000006566,-45704.69517874558,303.78911129423096,1.0429016791123111,694
150000,300.00000000070435,-45398.82927517977,292.9099714161666,1.0398030755677123,694
155000,310.0000000007521,-45121.44741771734,295.2295568839791,1.0432817586908658,694
160000,320.00000000079984,-45340.450616085116,289.9264950089675,1.0526164112779224,693
165000,330.0000000008476,-45407.122299197625,301.6510799114238,1.0446354545640768,693
170000,340.00000000089534,-45395.352552746335,302.37779794197604,1.0322438275537673,693
175000,350.0000000009431,-45429.85832018129,302.0864894053277,1.0523537237273564,693
180000,360.00000000099084,-45486.21022500674,295.21689884595554,1.0377761666923941,693
185000,370.0000000010386,-45505.50539339066,307.77324805792773,1.0448061907951731,693
190000,380.00000000108633,-45468.348828999326,294.1086065746786,1.04320469080632,693
195000,390.0000000011341,-45372.427930291626,303.3159978273118,1.0395064340911484,693
200000,400.00000000118183,-45384.57927061443,292.98043964004154,1.0400745998340983,693
205000,410.0000000012296,-45471.16608441257,301.86285120305223,1.0443092871528248,693
210000,420.00000000127733,-45722.338192740426,304.08258095932234,1.0442861067426297,693
215000,430.0000000013251,-45260.9881886692,301.67276837901284,1.0483741805980302,693
220000,440.0000000013728,-45579.56782295427,297.0708383174511,1.038034478285153,693
225000,450.0000000014206,-45420.26020912308,300.13967929815044,1.0395715458972603,693
230000,460.0000000014683,-45061.115016208816,303.12755514539435,1.032137187859649,693
235000,470.00000000151607,-45491.05735636898,295.3374589398138,1.0433191023228343,693
240000,480.0000000015638,-45392.685338794225,297.0395212508166,1.0396876483253266,693
245000,490.00000000161157,-45591.638929784414,301.6386920144556,1.0518812569829523,693
250000,500.0000000016593,-45742.50307932266,298.15506873900955,1.031820228093871,693
255000,510.00000000170706,-45338.37452409029,302.1937547001034,1.025326398078835,693
260000,520.0000000015274,-45273.75596252538,294.33384632749676,1.0361582697872616,693
265000,530.0000000012909,-45399.279335744475,304.23337755559356,1.0569312526795114,693
270000,540.0000000010544,-45441.01609664189,295.016184041808,1.0445782803830783,693
275000,550.000000000818,-45459.46497013129,293.39904250114296,1.0558806881329106,693
280000,560.0000000005815,-45607.71994067979,300.4065400692868,1.0372393097114454,693
285000,570.000000000345,-45384.006755182636,306.55238414971586,1.041235052976741,693
290000,580.0000000001086,-45203.28359433194,305.5125919317675,1.039657702614972,693
295000,589.9999999998721,-45240.150098237384,308.52705737717673,1.0497254670515193,693
300000,599.9999999996356,-45401.84903602986,297.0005823472626,1.042653894070081,693
305000,609.9999999993992,-45858.05625737863,293.5593905133008,1.0448575705122711,693
310000,619.9999999991627,-45370.85689629044,296.084360366361,1.0455390482507019,694
315000,629.9999999989262,-45503.05261367402,300.58861514061306,1.0393974265731605,694
320000,639.9999999986898,-45775.53244935605,293.177063736779,1.0398887704184996,694
325000,649.9999999984533,-45428.623340130725,303.4836975353339,1.033387784528794,694
330000,659.9999999982168,-45478.806162007764,297.8531089264634,1.0432263851076597,694
335000,669.9999999979804,-45447.92361837454,299.0510108449679,1.0438856030344117,694
340000,679.9999999977439,-45502.80035587118,298.2599992432351,1.0432226385966283,694
345000,689.9999999975074,-45327.897434758605,297.5893161858845,1.0425811151590603,694
350000,699.999999997271,-45280.7635466879,297.4398895906799,1.0409466758295143,694
355000,709.9999999970345,-45729.1184011017,295.03700419886195,1.047307677990643,694
360000,719.999999996798,-45726.75682854897,291.02191698853454,1.0514340707104262,694
365000,729.9999999965615,-45868.07348531007,311.38175368411817,1.0502400549704765,694
370000,739.9999999963251,-45394.19562424434,295.3924326445838,1.048072159582169,694
375000,749.9999999960886,-45373.55133041882,296.24667654906517,1.0354933678837859,694
380000,759.9999999958521,-45357.724554885266,292.4623476874015,1.0522447385681972,694
385000,769.9999999956157,-45548.20451913163,298.81351826570926,1.0477106026345961,694
390000,779.9999999953792,-45713.74482938016,294.41994414100435,1.0407905445018886,694
395000,789.9999999951427,-45406.62321563793,296.3245929477527,1.0501962066160158,694
400000,799.9999999949063,-45321.881062505185,297.2724600237131,1.0329469608847535,694
405000,809.9999999946698,-45372.329567056324,295.0903956488789,1.0368496445594422,694
410000,819.9999999944333,-45811.84576836004,305.29912261064806,1.033967755962835,694
415000,829.9999999941969,-45713.935221348394,299.93491237817216,1.040891244404591,694
420000,839.9999999939604,-45233.038266548974,301.0533349390259,1.0294050089230984,694
425000,849.9999999937239,-45202.57808430071,294.2005124208769,1.0331516310492506,694
430000,859.9999999934874,-45487.91168903504,299.214446183473,1.0577950145369448,694
435000,869.999999993251,-45446.03421398069,297.8201710134967,1.0321385366929752,694
440000,879.9999999930145,-45229.640234463004,304.2641543401172,1.0455833313438587,694
445000,889.999999992778,-45372.188196884876,300.48588435640994,1.046912024223833,694
450000,899.9999999925416,-45490.35763063142,301.9316021016465,1.0389306737047033,694
455000,909.9999999923051,-45741.31330428345,303.5373977179856,1.0444394926153668,694
460000,919.9999999920686,-45446.18138223293,301.9482543681317,1.0357915030705456,694
465000,929.9999999918322,-45784.46111583669,301.3701332138283,1.0499298338493053,694
470000,939.9999999915957,-45441.94622931906,302.3693463861006,1.0341939759079195,694
475000,949.9999999913592,-45533.77217661473,296.6401177004369,1.0400871670756435,694
480000,959.9999999911228,-45196.19314859717,298.05218358848896,1.0434805519801433,694
485000,969.9999999908863,-45229.263139771414,296.8152848790613,1.0345093826668286,694
490000,979.9999999906498,-45660.30406887515,301.7116686909876,1.0414478858693506,694
495000,989.9999999904134,-45457.8106328031,307.0632401812297,1.0314039684273213,694
500000,999.9999999901769,-45157.354858954495,302.98924292503966,1.0252886300639028,694
505000,1009.9999999899404,-45769.14709130628,300.6798649299626,1.0349125848995278,694
510000,1019.999999989704,-45326.318638056226,292.8232175458103,1.0387834695444593,694
515000,1029.9999999894676,-45444.82940189037,298.8409182870407,1.0445613172306898,694
520000,1039.9999999892311,-45202.722255311586,299.20757688235045,1.0340336113370805,694
525000,1049.9999999889947,-45800.77343224693,302.2646860229304,1.0576800395512873,694
530000,1059.9999999887582,-45807.42520539145,300.812465596575,1.061541732070162,694
535000,1069.9999999885217,-45423.90198883216,303.05560114571483,1.0261131381856263,694
540000,1079.9999999882853,-45408.40890564336,294.6946390027468,1.0339272997140456,694
545000,1089.9999999880488,-45620.951826853794,300.9495428863908,1.0506022611802555,694
550000,1099.9999999878123,-45535.43326764091,298.64589574084584,1.0295327480409489,694
555000,1109.9999999875758,-45334.07897154146,301.25999284639175,1.0430041039808224,694
560000,1119.9999999873394,-45256.632253082935,301.72540729323265,1.0357637027522617,694
565000,1129.999999987103,-45628.65201285886,294.98615979308147,1.0466097228845361,694
570000,1139.9999999868664,-45179.72147129191,297.6977199322507,1.0393604605906854,694
575000,1149.99999998663,-45359.575712636404,304.3046754984243,1.04036991654727,694
580000,1159.9999999863935,-45688.01518222614,306.13011508857716,1.05352552182149,694
585000,1169.999999986157,-45309.68566018363,293.89851401675145,1.0390439720560554,694
590000,1179.9999999859206,-45447.07297172703,309.9210238145183,1.0332930184413887,694
595000,1189.999999985684,-45483.10714598812,303.6269301820544,1.0473081423775215,693
600000,1199.9999999854476,-45515.35486744603,304.5074356562768,1.0375184243018931,693
605000,1209.9999999852112,-45506.05211090439,301.81320313623127,1.0470424673555216,694
610000,1219.9999999849747,-45574.93607562996,300.97823572563016,1.0311079858829038,694
615000,1229.9999999847382,-45546.17435602602,287.7962977167663,1.0353239457235435,694
620000,1239.9999999845018,-45330.14520194667,298.0621402159587,1.0345970852128359,693
625000,1249.9999999842653,-45325.71327661752,303.02258604958945,1.0449970283507022,693
630000,1259.9999999840288,-45743.945694620605,301.2011020963189,1.0521242657888739,693
635000,1269.9999999837923,-45218.59034205793,308.3886679736633,1.0451306638134086,693
640000,1279.9999999835559,-45308.540115120646,301.1548886800592,1.0390364849027287,693
645000,1289.9999999833194,-45439.36831343954,301.89648376444705,1.0414474372399214,693
650000,1299.999999983083,-45156.001868164516,303.77884593412654,1.0416520799162123,693
655000,1309.9999999828465,-45077.73798725117,293.81179873797436,1.030711200660465,693
660000,1319.99999998261,-45582.005743478774,298.00112692902206,1.043938417651677,693
665000,1329.9999999823735,-45460.82216432391,306.03963713081447,1.0360502333122426,693
670000,1339.999999982137,-45526.60822674795,292.44430612406,1.0532678506271849,693
675000,1349.9999999819006,-45564.57294036055,302.592579376793,1.0605092214075538,693
680000,1359.9999999816641,-45616.73685443404,307.5176560279586,1.0395013902954964,693
685000,1369.9999999814277,-45613.5178344186,303.84176950424046,1.0577344535438193,693
690000,1379.9999999811912,-45587.78096882091,302.68672353459306,1.0424382535323284,693
695000,1389.9999999809547,-45199.787833327166,308.7591857269071,1.0415694569660883,693
700000,1399.9999999807183,-45240.090014504996,301.8824171337776,1.0487300057537026,693
705000,1409.9999999804818,-45468.07918382899,300.13655338022386,1.0448747722712506,693
710000,1419.9999999802453,-45552.28587280039,296.37827383461473,1.0439527499304377,693
715000,1429.9999999800089,-45740.7970484751,306.836977751559,1.041645165753862,693
720000,1439.9999999797724,-45203.57772799887,296.77549696076176,1.0313599908989741,693
725000,1449.999999979536,-45496.208991579624,302.45887885016947,1.0489612422017323,693
730000,1459.9999999792994,-45587.45619283189,308.9560413731206,1.0391206775456787,693
735000,1469.999999979063,-45697.1416060224,307.3019290994478,1.047260966232471,693
740000,1479.9999999788265,-45568.091379082005,308.86249538480035,1.0294708158656527,693
745000,1489.99999997859,-45384.98959024326,302.2376719173924,1.0262352954283342,693
750000,1499.9999999783536,-45723.074974054325,299.79546170622694,1.0471862125121427,693
755000,1509.999999978117,-45434.41032024051,301.31652951012495,1.047064185732072,693
760000,1519.9999999778806,-45661.80675846769,291.10770606940747,1.0417429437126524,693
765000,1529.9999999776442,-45709.823857072595,295.91953573099966,1.0486820829172752,693
770000,1539.9999999774077,-45535.874264344195,301.48201020233506,1.03776921945046,693
775000,1549.9999999771712,-45771.56994129953,304.64389548082323,1.0481419638598832,693
780000,1559.9999999769348,-45525.97133070644,298.41725992904577,1.0377525885647023,693
785000,1569.9999999766983,-45494.394075802615,304.7592264156809,1.0382393874681102,693
790000,1579.9999999764618,-45397.59281710809,305.5507975953142,1.0445642395930532,693
795000,1589.9999999762254,-45170.40878869858,297.6496541201827,1.0469237126751323,693
800000,1599.9999999759889,-45522.46340645006,298.2048132847788,1.04471053646945,693
805000,1609.9999999757524,-45314.970932849275,294.11437601578996,1.0454655158935866,693
810000,1619.999999975516,-45470.952741957124,298.6400491165758,1.0407167036671012,693
815000,1629.9999999752795,-45479.62956953785,306.424433768414,1.0467952742101225,693
820000,1639.999999975043,-45185.35566418411,299.72015023914486,1.041906524831137,693
825000,1649.9999999748065,-45068.54785897012,300.14836240350195,1.0416710669321128,693
830000,1659.99999997457,-45192.43456752162,302.8171244811831,1.0236878126388818,693
835000,1669.9999999743336,-45203.49927611771,303.5502487139058,1.0342646698810964,693
840000,1679.9999999740971,-45611.866885199765,291.79741477537266,1.0457302711423349,693
845000,1689.9999999738607,-45448.029827232385,302.35911961757546,1.0479480293378476,693
850000,1699.9999999736242,-45685.96575133916,309.3319040601029,1.0274442657339455,693
855000,1709.9999999733877,-45146.398379326914,293.69056329147764,1.0392724068714612,693
860000,1719.9999999731513,-45975.11834615507,297.51313640826726,1.0577355545043041,693
865000,1729.9999999729148,-45515.2772603927,297.10827214941094,1.0460813025611229,693
870000,1739.9999999726783,-45469.46450885516,294.59634625016776,1.0656901852670564,693
875000,1749.9999999724419,-45360.16167582592,303.8027534175277,1.0355022118836266,693
880000,1759.9999999722054,-45380.84658979485,290.02687170683095,1.0456848803960574,693
885000,1769.999999971969,-45488.388665108476,305.10382992339777,1.0407945024692342,693
890000,1779.9999999717324,-45251.28201791484,287.24696588065046,1.0474664010597956,693
895000,1789.999999971496,-45488.676856793754,307.51456870161144,1.0379836123505124,693
900000,1799.9999999712595,-45101.5328521964,288.2767435837601,1.0436126567463868,692
905000,1809.999999971023,-45565.328007935284,298.35159635679867,1.0384401414241893,692
910000,1819.9999999707866,-45700.99331433329,294.2728137447705,1.0505989826597275,692
915000,1829.99999997055,-45175.984875328315,308.0419033375034,1.0345101580991962,692
920000,1839.9999999703136,-45565.71851356639,301.2274987365875,1.0360616627529895,692
925000,1849.9999999700772,-45215.60582096517,291.6695222814397,1.0353366365093388,692
930000,1859.9999999698407,-45506.447274073056,297.0803704375481,1.044431771655422,692
935000,1869.9999999696042,-45540.05916845289,303.0608688962947,1.0528255230278767,692
940000,1879.9999999693678,-45745.24269123442,304.09031857098,1.0502122770124747,692
945000,1889.9999999691313,-45883.29126255086,300.99722278266546,1.035507273731768,692
950000,1899.9999999688948,-45500.736478930805,295.2348632261384,1.0365627430426745,692
955000,1909.9999999686584,-44983.024450862635,291.302690024023,1.020247691013927,692
960000,1919.999999968422,-45047.7680955785,303.39979944184864,1.028242825038525,692
965000,1929.9999999681854,-45502.44589077012,305.67683769343876,1.0388701034449848,692
970000,1939.999999967949,-45111.01315398238,304.84364549548724,1.034681680481847,692
