#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45614.18388977481,290.53423520041446,1.0455700209347507,0
10000,19.999999999999794,-44974.18389897642,292.81519049730747,1.0218052234305002,696
15000,29.99999999999425,-45409.6408071043,294.7485128475055,1.0499293426817988,698
20000,40.00000000000292,-45763.61930262335,289.7230209068971,1.0449951969746774,695
25000,50.00000000001514,-45667.29824438732,302.2792736399209,1.05569409063739,694
30000,60.00000000002736,-45348.60370256673,302.85683521632393,1.0357402402860592,695
35000,70.00000000001826,-45204.03200827923,301.28573342981156,1.0210751141871766,695
40000,79.99999999999496,-45493.25725802328,302.1408456448282,1.0392525854476007,696
45000,89.99999999997165,-45445.34654239172,300.10166659250046,1.0555442808736535,696
50000,99.99999999994834,-45404.3135604609,306.3993878334223,1.033106767269484,696
55000,109.99999999992504,-45332.14168472699,299.2169932277094,1.0444391100978865,696
60000,119.99999999990173,-45329.17831868419,297.06147985946114,1.0419903841005338,696
65000,129.99999999989262,-45417.62311398756,293.69017737568424,1.0407734349587532,696
70000,139.99999999994037,-45732.994642667676,279.10499165464745,1.0422240808653003,695
75000,149.99999999998812,-45730.845738253236,306.9928105489341,1.0395342878384717,695
80000,160.00000000003587,-45303.74911522068,301.70167347193853,1.0395853977638634,694
85000,170.00000000008362,-45520.44090942273,300.5961597943741,1.0569399000098192,694
90000,180.00000000013137,-45075.15305173831,304.6232875774556,1.041282961090842,694
95000,190.0000000001791,-45350.67464492857,305.8907122261412,1.03858012941939,694
100000,200.00000000022686,-45362.21382896707,297.5678785635611,1.032334131856508,694
105000,210.0000000002746,-45414.17109011978,302.79163474302896,1.0553888926801578,694
110000,220.00000000032236,-45325.6786553562,304.6793611422367,1.0349043357170964,694
115000,230.0000000003701,-45674.784529020195,308.33741835629974,1.0456051865332907,694
120000,240.00000000041786,-45237.01088075555,298.0835199509131,1.038188033331878,694
125000,250.0000000004656,-45295.43961615523,301.9266430837013,1.0420860918788726,694
130000,260.00000000051335,-45502.876474164485,315.6552694054962,1.035903041306878,694
135000,270.0000000005611,-45322.84052285456,298.1394584451665,1.0274665237100573,694
140000,280.00000000060885,-45389.84217706541,293.3947202442569,1.0426136360826814,694
145000,290.0000000006566,-45046.59550561922,300.2289609169536,1.038358734217193,694
150000,300.00000000070435,-45245.312950664316,304.6136203868309,1.038067839833453,695
155000,310.0000000007521,-45351.338341102004,296.47602630508305,1.040987531503812,694
160000,320.00000000079984,-45458.32318386136,309.80362823016594,1.0310330370740366,694
165000,330.0000000008476,-45470.24989975328,306.42837010950666,1.0338916165212988,694
170000,340.00000000089534,-45103.720219303534,297.7619363202725,1.0463333748931802,694
175000,350.0000000009431,-45367.79601107456,301.98948947065657,1.0289107598944134,694
180000,360.00000000099084,-45430.387871901534,301.2843827245347,1.0375887186112362,694
185000,370.0000000010386,-45528.313255513145,303.7543981686146,1.032137501412035,694
190000,380.00000000108633,-45671.55508470652,301.9470001418032,1.028916225693379,694
195000,390.0000000011341,-45446.228881794465,314.2954179242912,1.0350743576315005,694
200000,400.00000000118183,-45351.378009185486,304.16821567387785,1.0264022105055417,694
205000,410.0000000012296,-45158.82085823055,306.44550477073363,1.0500811226637503,694
210000,420.00000000127733,-45213.83810907716,304.6424290008083,1.046437347471037,694
215000,430.0000000013251,-45337.209748073394,307.28317359188856,1.0486442441313828,694
220000,440.0000000013728,-45531.80868230102,299.8951051640829,1.0333175676407984,694
225000,450.0000000014206,-45402.09026712467,298.63551460600337,1.038292779845366,694
230000,460.0000000014683,-45388.89354712202,302.29990083907813,1.040050374539336,694
235000,470.00000000151607,-45405.28214484113,293.27311817775643,1.033007716496857,694
240000,480.0000000015638,-45528.276826675894,310.1653663991098,1.0470626122232922,694
245000,490.00000000161157,-45684.420172647515,294.0661558374046,1.0450556606344505,694
250000,500.0000000016593,-45194.980130692595,301.9803818579323,1.0424823491179105,694
255000,510.00000000170706,-45282.457013205596,296.4544343164423,1.0352937051564526,694
260000,520.0000000015274,-45725.31827127037,288.56853451515013,1.0473172562066833,694
265000,530.0000000012909,-45555.189861853985,291.8266671925124,1.0494798463329846,694
270000,540.0000000010544,-45254.90681867971,298.74895455347337,1.0467289277921235,694
275000,550.000000000818,-45458.09662420949,301.3559315126311,1.0460738349250212,694
280000,560.0000000005815,-45057.38534705082,295.01448601231704,1.0296211887827555,694
285000,570.000000000345,-45456.25421290423,299.722890241278,1.033506474768856,694
290000,580.0000000001086,-45173.57854628502,297.16370895313287,1.034432757831191,694
295000,589.9999999998721,-45590.46778610459,304.9775196842179,1.0484021023464274,694
300000,599.9999999996356,-45351.433558902034,301.4434572145743,1.0327420306482253,694
305000,609.9999999993992,-45560.31982186742,297.93378462307373,1.0387419453857658,694
310000,619.9999999991627,-45636.7640409547,294.3498618329229,1.0351717964140492,694
315000,629.9999999989262,-45292.497730324074,294.77076089299504,1.0259528008871466,694
320000,639.9999999986898,-45196.46172419199,311.46958811869615,1.0296644610312458,694
325000,649.9999999984533,-45344.45384256699,293.1759445809782,1.0503035570429278,694
330000,659.9999999982168,-45608.355593923916,291.91795557344125,1.0545005143267423,694
335000,669.9999999979804,-45403.397508556634,301.44453777879585,1.055555781201261,694
340000,679.9999999977439,-45353.44860334351,298.30526716580096,1.0582160775181582,694
345000,689.9999999975074,-45152.53251385331,303.5602632287446,1.043327424416937,694
350000,699.999999997271,-45530.76782405077,292.1894859256778,1.053236420735469,694
355000,709.9999999970345,-45460.00367988093,305.8023375094525,1.0374020214792556,694
360000,719.999999996798,-45557.53899076133,304.12144267971775,1.0431651565292221,694
365000,729.9999999965615,-45541.59452771791,300.82977391990903,1.053168987098456,694
370000,739.9999999963251,-45382.48136390856,304.3619454021649,1.046534397710783,694
375000,749.9999999960886,-45712.771207437094,297.40891984825953,1.0456631510262686,694
380000,759.9999999958521,-45427.67841348733,298.02329779135295,1.0468226969821233,694
385000,769.9999999956157,-45241.20994195866,306.67543340044165,1.0509951487895128,694
390000,779.9999999953792,-45433.94963835343,295.8377408785884,1.0436118565155574,694
395000,789.9999999951427,-45666.59881733608,298.0915277036261,1.0588207683162318,694
400000,799.9999999949063,-45188.500669569155,302.33366847100075,1.0299219933083374,694
405000,809.9999999946698,-45013.67533674295,301.22664972184197,1.0289317422165618,694
410000,819.9999999944333,-45445.666349815176,302.5804037335113,1.0349906176082728,694
415000,829.9999999941969,-45295.01587127894,285.746332318013,1.0313201450926441,694
420000,839.9999999939604,-45205.80990167885,301.80585144036695,1.0426478784671858,694
425000,849.9999999937239,-45586.316350824636,305.63183991192824,1.0377859900328719,694
430000,859.9999999934874,-45603.476995192614,302.574865841876,1.0500391991824063,694
435000,869.999999993251,-45742.17186390047,304.57917740227,1.0469151227311277,694
440000,879.9999999930145,-45588.36453663488,305.1388710774385,1.052748689297539,694
445000,889.999999992778,-45439.51719109551,301.69904924454346,1.042834649127702,694
450000,899.9999999925416,-45179.4285655205,297.40376787241763,1.032504978184713,694
455000,909.9999999923051,-45313.32731028224,295.957934352443,1.0305998019967968,694
460000,919.9999999920686,-45900.20888528475,302.4016475380082,1.0541369475888247,694
465000,929.9999999918322,-45389.21369670573,303.78913059002065,1.04572082604311,694
470000,939.9999999915957,-45704.435448883276,309.14739771927816,1.0456202191459858,694
475000,949.9999999913592,-45535.079852858704,309.2699259836828,1.0414878362028366,694
480000,959.9999999911228,-45319.17877188561,307.47134613275057,1.038994628175409,694
485000,969.9999999908863,-45492.39694036363,307.1781659045043,1.0358584398867539,694
490000,979.9999999906498,-45613.984097907785,301.76604422627776,1.0467740633816864,694
495000,989.9999999904134,-45258.30646917154,296.99407966614376,1.0444326233487267,694
500000,999.9999999901769,-45542.05861444096,297.89428614161915,1.057575355976845,694
505000,1009.9999999899404,-45462.62910737624,298.05337992744853,1.0370325426028943,694
510000,1019.999999989704,-45395.6399786596,296.26774755138484,1.0442398375105595,694
515000,1029.9999999894676,-45438.471744515904,294.5432828285752,1.0385450883486036,694
520000,1039.9999999892311,-45593.6764424945,297.969790566598,1.0344547394208226,694
525000,1049.9999999889947,-45372.95730703973,290.0456272143902,1.039023872366712,694
530000,1059.9999999887582,-44883.316386959224,293.43348548570395,1.026423304746377,694
535000,1069.9999999885217,-45596.829812482756,299.69085923042576,1.0398987340063968,694
540000,1079.9999999882853,-45422.88537901634,294.6946968901158,1.0536667109796152,693
545000,1089.9999999880488,-45380.32252608417,295.0114758691285,1.0489271741972577,693
550000,1099.9999999878123,-45679.53054261007,303.24195988234794,1.0493218611690356,693
555000,1109.9999999875758,-45601.632230568386,300.0352890760356,1.0402625970762145,693
560000,1119.9999999873394,-45691.37266201357,298.3441095904067,1.0457546793204895,693
565000,1129.999999987103,-45427.07088964502,305.17943082732495,1.0451540957348404,693
570000,1139.9999999868664,-45533.10860417833,295.3322490766029,1.049378326373519,693
575000,1149.99999998663,-45115.98797037892,302.1279753531183,1.04964686443497,693
580000,1159.9999999863935,-45612.92642491346,294.9065839564823,1.0371612061887874,693
585000,1169.999999986157,-45798.766644547926,298.2442924704437,1.0445282338406545,693
590000,1179.9999999859206,-45386.757021512574,290.928853394956,1.043662308197893,693
595000,1189.999999985684,-45536.00951188238,291.2494143487441,1.0500031613320209,693
600000,1199.9999999854476,-45631.442259779404,302.8445245025145,1.04766671386467,693
605000,1209.9999999852112,-45618.942610111844,303.51916319674746,1.0437477856972859,693
610000,1219.9999999849747,-45622.8574193588,302.2199969740546,1.0552387203451508,693
615000,1229.9999999847382,-45495.73099515613,292.20783622165396,1.03861092925675,693
620000,1239.9999999845018,-45321.62256813425,305.311992902358,1.037325758798871,693
625000,1249.9999999842653,-45716.50327413165,297.8019171964688,1.0440193809792664,693
630000,1259.9999999840288,-45648.067350239464,301.2407163525114,1.032279027694764,693
635000,1269.9999999837923,-45383.74247337683,299.8449168151512,1.0527614510750396,693
640000,1279.9999999835559,-45116.61600849466,301.21348999328706,1.027905552353181,693
645000,1289.9999999833194,-44989.33628347822,309.48810347748173,1.0273804936396085,693
650000,1299.999999983083,-45314.34578381112,302.04924853126465,1.0444854287571324,693
655000,1309.9999999828465,-45410.81612700215,309.2465201908131,1.0359667612258063,693
660000,1319.99999998261,-45765.51587851456,295.97497253472164,1.0274532943262003,693
665000,1329.9999999823735,-45348.173066931835,297.7100692376395,1.0490028917899288,693
670000,1339.999999982137,-45687.047581128485,302.85355493208004,1.0562683508575599,693
675000,1349.9999999819006,-45550.909232299455,295.99916945496784,1.0349628190693672,693
680000,1359.9999999816641,-45469.81798252152,294.39121271018575,1.0458151216628995,693
685000,1369.9999999814277,-45586.09974256772,297.9757722613957,1.0382162278406575,693
690000,1379.9999999811912,-45519.41516561186,290.67061784180214,1.0372873320207265,693
695000,1389.9999999809547,-45436.481459870585,298.13739379567176,1.0416537907289363,693
700000,1399.9999999807183,-45606.57403859537,294.2472082318784,1.0410562395892378,693
705000,1409.9999999804818,-45408.29385201438,300.9503147179776,1.044349826501959,693
710000,1419.9999999802453,-45438.1255052732,299.7661514017182,1.0465121015142582,693
715000,1429.9999999800089,-45540.44797950069,303.35211954557406,1.0350381942083597,693
720000,1439.9999999797724,-45384.17406571089,304.1434784715209,1.0384682882687049,693
725000,1449.999999979536,-45631.50894474276,301.9926346843728,1.039779206608664,693
730000,1459.9999999792994,-45436.90728759096,298.2385616209117,1.0430452355939868,693
735000,1469.999999979063,-45199.901009529305,283.00584779012837,1.044785687507302,693
740000,1479.9999999788265,-45505.44000387532,297.58597801427163,1.030209119545584,693
745000,1489.99999997859,-45509.2256844026,295.86299906726646,1.0585031362017108,693
750000,1499.9999999783536,-45189.6691413926,309.80733302178254,1.0283133708908347,693
755000,1509.999999978117,-45344.714355173404,299.4311379014673,1.059976439968166,693
760000,1519.9999999778806,-45847.30515271681,293.6489229773697,1.0438499085439559,693
765000,1529.9999999776442,-45170.54673455737,299.1999743412204,1.0446448949060487,692
770000,1539.9999999774077,-45375.51922915515,301.08042622772257,1.0423732038953124,692
775000,1549.9999999771712,-45425.992593215225,300.081637562823,1.0448740593156514,692
780000,1559.9999999769348,-45466.8910029855,306.7737647446,1.0555673202447637,692
785000,1569.9999999766983,-45298.4633271755,303.29868950397776,1.0442948935558944,692
790000,1579.9999999764618,-45442.07984033314,294.25519668880173,1.0391025208472784,692
795000,1589.9999999762254,-45438.23245887036,289.0014934437661,1.0358249860021849,692
800000,1599.9999999759889,-45539.594336692826,293.7318562813715,1.0446125765683358,692
805000,1609.9999999757524,-45592.87589221704,299.55106123426646,1.0558140791552653,692
810000,1619.999999975516,-45582.325141000736,294.92443256192706,1.0496562333635504,692
815000,1629.9999999752795,-45371.067972520075,306.2686781541976,1.0395628239847166,692
820000,1639.999999975043,-45213.61947866209,296.02022116149783,1.0328686893884966,692
825000,1649.9999999748065,-45636.0538951949,302.0519306460288,1.0548195088746268,692
830000,1659.99999997457,-45444.97643104516,314.4375121194212,1.0458726589055833,692
835000,1669.9999999743336,-45500.87011641596,303.80101679645736,1.0311631749275698,692
840000,1679.9999999740971,-45461.58842740388,302.86868283118133,1.0444593826306048,692
845000,1689.9999999738607,-45473.28822869912,298.49270646665553,1.031675967187352,692
850000,1699.9999999736242,-45511.532412344764,297.97256916031046,1.0348373724014233,692
855000,1709.9999999733877,-45639.25703365781,298.20230483212174,1.0477152278258908,692
860000,1719.9999999731513,-45577.68135628622,286.9778667979124,1.040154662570056,692
865000,1729.9999999729148,-45098.03524806342,300.3411080465158,1.0317270733395512,692
870000,1739.9999999726783,-45311.76535598101,300.72218059670894,1.0202886362300023,692
875000,1749.9999999724419,-45464.501377076784,296.30687941283566,1.0462973328276226,692
880000,1759.9999999722054,-45431.13901953757,296.94908188463324,1.0510204616805396,692
885000,1769.999999971969,-45453.51439870807,299.4597921491273,1.0430123339886748,692
890000,1779.9999999717324,-45233.713155136444,300.183210599646,1.0363047944496393,692
895000,1789.999999971496,-45305.09275847723,290.3680405639866,1.043854892969424,692
900000,1799.9999999712595,-45314.442586649675,304.42361474595026,1.0512142622844884,692
905000,1809.999999971023,-45457.10777412992,302.63240588667196,1.0378720845416303,692
910000,1819.9999999707866,-45546.2322989665,306.61762321459025,1.0436222169357903,692
915000,1829.99999997055,-45442.47866129779,301.8237000458118,1.034038835167834,692
920000,1839.9999999703136,-45575.28003996026,298.00143566165684,1.0385180646816443,692
925000,1849.9999999700772,-45329.34599757512,293.14630624804505,1.0317009100779904,692
930000,1859.9999999698407,-45641.493637280364,297.25602001091426,1.0369083763397204,692
935000,1869.9999999696042,-45121.2600340505,308.90110625993003,1.0389929260387172,692
940000,1879.9999999693678,-45514.553571821045,295.1833820592987,1.042313103813664,692
945000,1889.9999999691313,-45306.432732140325,295.58052800228705,1.0429494859981943,692
950000,1899.9999999688948,-45210.68634536231,308.5300482245756,1.0351674064132037,692
955000,1909.9999999686584,-45598.31823192001,293.0326540468886,1.0374579513374516,692
960000,1919.999999968422,-45161.9232621812,300.5458556707043,1.0274616073350427,692
965000,1929.9999999681854,-45352.15617791796,294.69946295016433,1.022912665206095,692
970000,1939.999999967949,-45381.34802533858,301.41987775959757,1.0446202672149851,692
975000,1949.9999999677125,-45073.19232084486,296.7965872588711,1.0450626796110083,692
980000,1959.999999967476,-45616.30134993279,295.40530293629365,1.0363717761065834,692
985000,1969.9999999672395,-45473.316730443155,297.2646838204761,1.047257908133068,692
990000,1979.999999967003,-45843.21818512434,292.78022652642545,1.0456958899936033,692
995000,1989.9999999667666,-45382.328728940454,304.44426124089716,1.0498997148504485,692
1000000,1999.9999999665301,-45330.41391774631,299.53251798039355,1.0519703257579822,692
1005000,2009.9999999662937,-45659.20296529395,297.32689344637225,1.054710225545864,692
1010000,2019.9999999660572,-45288.73906296311,322.0769853908376,1.028215137200245,692
1015000,2029.9999999658207,-45467.156806228304,294.6066502018515,1.0576830068283953,692
1020000,2039.9999999655843,-45807.31414361659,295.3376711935002,1.0596592351807017,692
1025000,2049.999999965348,-45599.83763952844,301.9433725333452,1.042657830260747,692
1030000,2059.9999999651113,-45683.5580282131,298.15163408844825,1.0470656723577527,692
1035000,2069.999999964875,-45203.91000099192,301.2855018803355,1.0353132706942116,692
1040000,2079.9999999646384,-45058.54112661746,299.82430891178365,1.0211379243009555,692
1045000,2089.999999964402,-45786.09072609033,311.18018986522515,1.0472868976794831,692
1050000,2099.9999999641655,-45335.82751157181,308.4206989845156,1.0347462477763876,692
1055000,2109.999999963929,-45133.93155613454,304.6814257917314,1.025959943803424,692
1060000,2119.9999999636925,-45348.090541002486,294.14856815508523,1.0285289381308955,692
1065000,2129.999999963456,-45187.47989414213,297.8151348123927,1.0279115607531706,692
1070000,2139.9999999632196,-45351.23924630089,284.9967680724914,1.028291870880117,692
1075000,2149.999999962983,-45123.755672918545,296.426088801417,1.0441268216288495,692
1080000,2159.9999999627466,-45343.86250677955,301.4379386187287,1.0396036338745986,692
1085000,2169.99999996251,-45970.65855242807,300.0939289808428,1.0412105555957216,692
1090000,2179.9999999622737,-45428.510990472336,306.3783168311026,1.0371445569274498,692
1095000,2189.9999999620372,-45287.701860312314,298.11404589017104,1.053913194782627,692
1100000,2199.9999999618008,-45635.64063821302,305.6866785461704,1.0451092229740195,692
1105000,2209.9999999615643,-45749.87430307033,294.7250491672668,1.040879146094879,692
1110000,2219.999999961328,-45704.45159891748,290.92688522440966,1.0361030097227264,692
1115000,2229.9999999610914,-45518.13610262808,300.73121102627454,1.045309400865528,692
1120000,2239.999999960855,-45645.10068281143,300.4309878347987,1.0275650645476004,692
1125000,2249.9999999606184,-45370.17509548564,300.74703357380395,1.0384773607002056,692
