#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45550.26207603139,308.59312616100686,1.0443077166247599,0
10000,19.999999999999794,-45018.67527332157,299.40971957493355,1.0355022937420284,690
15000,29.99999999999425,-45350.32781053605,305.11602486246926,1.048563608856954,688
20000,40.00000000000292,-45623.26359925169,303.6392408958639,1.0356502696461931,687
25000,50.00000000001514,-45453.85252331328,293.4998244105895,1.0338723088334314,689
30000,60.00000000002736,-45718.72138359747,294.2275651179943,1.0601791168609231,690
35000,70.00000000001826,-45146.088484379725,294.35545761192714,1.03726126613112,691
40000,79.99999999999496,-45499.155751405866,303.58652479848547,1.0547373394643107,691
45000,89.99999999997165,-45480.328418813035,294.0241296075033,1.0504392194206449,692
50000,99.99999999994834,-45640.58149312931,297.4919496312096,1.0443066852029281,693
55000,109.99999999992504,-45756.82115169056,295.73375586805673,1.0541360377929672,692
60000,119.99999999990173,-45660.437002355786,296.27081558194243,1.0388713754513244,693
65000,129.99999999989262,-45204.75001722059,292.9460352470599,1.0341892151364935,693
70000,139.99999999994037,-45860.05528135755,293.4810110156612,1.0460687840202765,693
75000,149.99999999998812,-45224.29839404131,299.76765647331246,1.0430190921396163,693
80000,160.00000000003587,-45583.611578270386,301.1888299740887,1.052873870352499,693
85000,170.00000000008362,-45297.69704673122,301.2425108609508,1.0458254025218996,693
90000,180.00000000013137,-45534.622959471715,309.9112987365246,1.054946222822431,693
95000,190.0000000001791,-45306.88595770291,300.51683480304064,1.0316165280270508,693
100000,200.00000000022686,-45589.559731114714,296.454453612232,1.0470763895604431,692
105000,210.0000000002746,-45573.40453386071,302.2264417678044,1.056380886212621,692
110000,220.00000000032236,-45342.794445801555,303.1991039334908,1.042467362990478,692
115000,230.0000000003701,-45333.96568763346,297.23460168438055,1.0500936718759757,692
120000,240.00000000041786,-45894.31659865077,293.5918653273155,1.0344018465937164,692
125000,250.0000000004656,-45381.0850547984,300.7290498978315,1.0367891054446339,692
130000,260.00000000051335,-45472.89076469245,300.27926504062333,1.0441407407352685,693
135000,270.0000000005611,-45595.25882226974,310.66364157575873,1.0467676873620626,693
140000,280.00000000060885,-45663.58315465241,297.735944891587,1.0381146858735517,693
145000,290.0000000006566,-45473.00546787286,305.74410281622846,1.0367759548089084,693
150000,300.00000000070435,-45498.98877261279,308.48890960099914,1.0328365452305162,693
155000,310.0000000007521,-45479.453901218425,299.4652914491832,1.0460884181911398,693
160000,320.00000000079984,-45739.97393595043,293.35554979122674,1.0468330511622366,693
165000,330.0000000008476,-45598.01889991033,307.6394896439351,1.044717469269221,693
170000,340.00000000089534,-45630.23028825829,302.45586870698094,1.043185403219351,693
175000,350.0000000009431,-45509.78876315066,302.35719003860845,1.0457560688069865,693
180000,360.00000000099084,-45426.2807418225,294.544286209638,1.0389131463137409,694
185000,370.0000000010386,-45817.01998611327,291.5390248559014,1.0553193422639302,693
190000,380.00000000108633,-45266.53559461367,302.7965551693948,1.0392996662838039,693
195000,390.0000000011341,-45359.09454928513,290.3041136128098,1.0277306784020066,693
200000,400.00000000118183,-45436.68057854849,301.6690442916065,1.0398155868006784,693
205000,410.0000000012296,-45151.592780446575,298.25706628320523,1.0393957806127376,693
210000,420.00000000127733,-45363.384230155905,286.94284493966126,1.0363874963415205,694
215000,430.0000000013251,-45027.17949284299,301.50412317729683,1.0371602650206457,694
220000,440.0000000013728,-45234.325127747026,303.6486379454332,1.0458115773817118,694
225000,450.0000000014206,-45638.98555804632,301.5111275489471,1.0381493725473228,694
230000,460.0000000014683,-45354.295812336786,291.96592490656093,1.0361647864002372,694
235000,470.00000000151607,-45274.48099626732,305.4203966487242,1.036265972594041,694
240000,480.0000000015638,-45125.5063460721,299.02584913523816,1.0388509747543244,694
245000,490.00000000161157,-45106.20318045659,300.52461100627767,1.0408199644354077,694
250000,500.0000000016593,-45332.54766585326,307.89376956020664,1.0434816169915575,694
255000,510.00000000170706,-45049.63188915767,308.058941519782,1.0383130169924786,694
260000,520.0000000015274,-45295.08775934964,302.0571405092397,1.0309107536608926,694
265000,530.0000000012909,-45355.0088725723,304.2280519176446,1.0439841712316595,694
270000,540.0000000010544,-45597.47422662462,296.03546483533717,1.0572301365022685,694
275000,550.000000000818,-45477.13257822007,298.91273721619257,1.0410238339216358,694
280000,560.0000000005815,-45606.10160206913,296.32717858356847,1.0394876512382578,694
285000,570.000000000345,-45289.2159617258,293.59373701891343,1.0445322668879125,694
290000,580.0000000001086,-45551.65691482587,294.114723340004,1.051524589998333,694
295000,589.9999999998721,-45700.65008832433,304.69668876136035,1.046581275371036,694
300000,599.9999999996356,-45619.64920380499,292.4836502391972,1.0302375307144178,694
305000,609.9999999993992,-45657.71846767774,304.5569872441494,1.0481362416262707,694
310000,619.9999999991627,-45273.83383520326,301.7199851763354,1.0390648315393314,694
315000,629.9999999989262,-45597.65142559924,300.6009258544226,1.0501402586081627,694
320000,639.9999999986898,-45747.05729764179,307.4114327058252,1.0564393285877858,694
325000,649.9999999984533,-45480.129871414916,305.55895971434455,1.0561055742486811,693
330000,659.9999999982168,-45534.56689668333,310.3806109328788,1.0462716869061905,693
335000,669.9999999979804,-45613.65941976168,297.82727186409517,1.048407404774721,693
340000,679.9999999977439,-45632.02287191732,295.2759825539252,1.0318731864775814,693
345000,689.9999999975074,-45653.751936250046,298.59069048659984,1.0428542329128012,693
350000,699.999999997271,-45597.38445514566,297.80407832491187,1.0306218068452997,693
355000,709.9999999970345,-45439.401076979324,302.6461637847067,1.0554882027265204,693
360000,719.999999996798,-45696.98126345448,301.19226462465,1.0511538743377031,693
365000,729.9999999965615,-45494.88203496582,295.83440270697554,1.0437658703812072,693
370000,739.9999999963251,-45519.37581677036,304.08192490247353,1.0315467343953808,693
375000,749.9999999960886,-45746.01270047264,304.85070775450646,1.0451710797731824,693
380000,759.9999999958521,-45568.57546702679,297.30501202088647,1.0601771684808958,693
385000,769.9999999956157,-45413.597762972204,291.94618531372845,1.0444796615443215,693
