#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37639.46480756975,306.58923508706255,1.0105481418487492,0
10000,19.999999999999794,-37693.24053194496,300.5104882650032,1.000809183215016,706
15000,29.99999999999425,-37572.75792252517,288.7382444294356,1.012564032529731,708
20000,40.00000000000292,-37430.89172847988,292.5519612793103,0.9991636911278211,708
25000,50.00000000001514,-37181.23164263449,309.96635028411,1.0030664055502017,708
30000,60.00000000002736,-37454.5582077342,295.6575674718081,1.00820570716206,708
35000,70.00000000001826,-37513.90773258422,303.52442788439834,1.0111581676323236,707
40000,79.99999999999496,-37684.8937152944,301.40072141606805,1.0000076974011465,706
45000,89.99999999997165,-37395.179570750624,297.53222253978487,0.9941745595076832,706
50000,99.99999999994834,-37278.093092516356,300.2813117434756,0.9944638492196849,706
55000,109.99999999992504,-37657.32628683184,297.6413830417627,0.9986647453352836,706
60000,119.99999999990173,-37730.81688874483,302.8407724078711,1.0120462981334055,706
65000,129.99999999989262,-37181.52391781466,296.7304880877357,1.0007192462663173,705
70000,139.99999999994037,-37451.554301389115,304.55029447248626,1.0144119352991317,705
75000,149.99999999998812,-37449.29103020727,297.1225780830097,0.9984212439660802,705
80000,160.00000000003587,-37467.98118888994,298.7583310542366,0.9929739802601318,706
85000,170.00000000008362,-37321.48399129682,298.9080887706283,0.9917795410578246,706
90000,180.00000000013137,-37764.11605859012,302.83831074775253,1.0105278516180995,705
95000,190.0000000001791,-37583.046257748036,310.33495362054816,1.0045153673885932,704
100000,200.00000000022686,-37723.38314267385,293.55906275338,1.019817388051701,704
105000,210.0000000002746,-36902.36040809474,297.036359446235,0.9959401480515743,704
110000,220.00000000032236,-37253.955031820136,307.3768856148271,0.9962457296116094,704
115000,230.0000000003701,-37522.64998824822,299.622636063889,0.9910012664918048,705
120000,240.00000000041786,-37697.9255766788,306.63709621658035,1.011175027217665,705
125000,250.0000000004656,-37381.1457237117,305.0242245779308,1.0045385237542643,705
130000,260.00000000051335,-37400.06029332607,301.91639885581793,0.9955075224253216,705
135000,270.0000000005611,-37601.819455323974,291.5057960840154,1.014473968769063,705
140000,280.00000000060885,-37099.880221597035,303.387987345697,0.9909037482240183,705
145000,290.0000000006566,-37619.066224679205,295.59505744683077,1.0030378328721417,705
150000,300.00000000070435,-37569.73308296103,300.06973003853307,1.0120163370306958,705
155000,310.0000000007521,-37586.401036912925,299.5217685316548,0.9948726205789598,705
160000,320.00000000079984,-37207.35855858761,298.35445737446065,1.000822000447328,705
165000,330.0000000008476,-37281.770061266,294.4238923791232,1.0114510420975735,705
170000,340.00000000089534,-37672.46822434841,292.8470780079476,0.9931026092385583,705
175000,350.0000000009431,-37574.93481985619,300.7784258446267,1.0056037621782339,704
180000,360.00000000099084,-37454.75606704576,301.20610902390985,1.0004964649458041,704
185000,370.0000000010386,-37397.69912640657,293.320604562553,1.0061172805737624,704
190000,380.00000000108633,-37391.751629118226,308.2486563150029,1.0115905218744192,704
195000,390.0000000011341,-37383.4067857647,301.6474322215547,0.9919124624963135,705
200000,400.00000000118183,-37315.59917570662,306.0838280161679,0.9793698433809821,705
205000,410.0000000012296,-37195.50026302322,293.0406613454661,1.005952107992881,705
210000,420.00000000127733,-37311.57786286675,297.6093814602217,0.9871012762624972,705
215000,430.0000000013251,-37812.2246330824,320.44880528281504,1.0105476295438616,705
220000,440.0000000013728,-37597.31992775039,301.2830258138432,0.9923099533392327,705
225000,450.0000000014206,-37154.11897162665,303.03645420975295,0.9952296256164643,704
230000,460.0000000014683,-37237.62144018986,301.0299187275567,0.9941982854339712,704
235000,470.00000000151607,-37411.85805216074,295.8153154948141,1.0067355134574636,704
240000,480.0000000015638,-37382.63637346716,292.2661262199725,1.0029493964930993,704
245000,490.00000000161157,-37405.13649015862,304.480560887489,1.007797084297937,704
250000,500.0000000016593,-37176.50715125943,298.5411399926304,1.0067965122544604,704
255000,510.00000000170706,-37759.75146367951,300.6847818724125,1.0143273743363812,704
260000,520.0000000015274,-37596.89604025544,303.06831454850027,0.9956587641593012,704
265000,530.0000000012909,-37519.19169999688,299.03048574012877,1.0112979474109287,705
270000,540.0000000010544,-37400.93959752124,294.32568828242705,0.9836557211883817,705
275000,550.000000000818,-37170.20290392559,299.1268940355909,1.0014340485927948,704
280000,560.0000000005815,-37613.540464542544,302.2686583832724,0.9933266947105289,704
285000,570.000000000345,-37401.33818572608,296.50143263145986,1.0179393962172085,704
290000,580.0000000001086,-37702.034018832754,302.3665194617553,0.9948583779767173,704
295000,589.9999999998721,-37394.55979671198,310.95418220561226,1.0083732767060614,704
300000,599.9999999996356,-37356.96576846813,290.8399371994927,0.9989808937717335,704
305000,609.9999999993992,-37209.33785007277,303.5706344554758,0.9901701134042837,704
310000,619.9999999991627,-37565.28519088551,298.8573220750689,1.007430282146656,704
315000,629.9999999989262,-37340.64675132136,296.2375507377693,1.0054747534159203,704
320000,639.9999999986898,-37594.763729246566,303.6437175124376,1.0094927137083096,704
325000,649.9999999984533,-36991.853369349265,301.0348420477938,0.9821871167296863,704
330000,659.9999999982168,-37523.67511004966,295.8940684410654,1.0009866506991962,704
335000,669.9999999979804,-37533.82972565066,297.54707321066394,0.9875787013801209,704
340000,679.9999999977439,-37249.00535478888,303.52521480853454,0.9924453951613308,704
345000,689.9999999975074,-37425.65977631949,310.9609820372512,0.9967609380442539,704
350000,699.999999997271,-37496.33239816106,301.21722684952715,1.0060112051998253,704
355000,709.9999999970345,-37691.903100422205,305.5829810697551,1.0006742670985378,703
360000,719.999999996798,-37785.0621965015,299.8655333139461,0.9990672876247954,703
365000,729.9999999965615,-37684.17589227721,311.53830186767436,1.010775879871096,703
