#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31452.642198359652,297.5436782426708,1.0332327427682257,0
10000,19.999999999999794,-31315.985951610754,305.467756177576,1.03941986053315,696
15000,29.99999999999425,-31425.81397289739,294.34262535775906,1.0317842415472387,695
20000,40.00000000000292,-31036.18615900146,309.26464315946123,1.0328389471612667,693
25000,50.00000000001514,-31510.149290306814,296.205290117877,1.0404151847639131,693
30000,60.00000000002736,-31358.379910010495,296.5550921405879,1.0307730480312836,693
35000,70.00000000001826,-31551.113965333672,293.83046232306623,1.050532146219675,693
40000,79.99999999999496,-31581.195515954576,299.6741407946657,1.031824208580367,693
45000,89.99999999997165,-31113.815306564007,291.7454306188791,1.0161646869755918,693
50000,99.99999999994834,-31378.56545333573,295.07773678935143,1.038619496985208,693
55000,109.99999999992504,-31542.078285190626,305.66663242730095,1.0339853738514333,693
60000,119.99999999990173,-31488.89476180199,305.50651969959625,1.045606409576792,693
65000,129.99999999989262,-31434.404223614983,296.96583041991465,1.0361190277898067,693
70000,139.99999999994037,-31811.785182759602,299.2865055744631,1.0282349641638695,693
75000,149.99999999998812,-31569.057677125034,309.34565892048363,1.0463967219939885,693
80000,160.00000000003587,-31446.720330440614,294.15731634074115,1.0442199568676416,692
85000,170.00000000008362,-31443.61458350101,303.6373039042569,1.0494650653684805,692
90000,180.00000000013137,-31316.42934640107,298.4819105296493,1.0294346994903558,692
95000,190.0000000001791,-31496.87233015892,301.32546683272915,1.0330222088894487,692
100000,200.00000000022686,-31610.125549968478,299.26687185055977,1.0282699378704083,692
105000,210.0000000002746,-31291.54403164066,301.1766342899323,1.0418183875889262,692
110000,220.00000000032236,-31422.835487829114,303.323784538157,1.0364595898375837,692
115000,230.0000000003701,-31546.51559993156,302.3559175385939,1.0322294771800313,692
120000,240.00000000041786,-31591.009364500875,296.54226141479916,1.0491847737417461,692
125000,250.0000000004656,-31417.836444858753,295.05141635789965,1.024579970754807,692
130000,260.00000000051335,-31304.853762395825,304.44885700127327,1.031803381039031,692
135000,270.0000000005611,-31507.025883826544,311.87280797507293,1.0479410615419233,692
140000,280.00000000060885,-31479.864092691016,301.8298383994958,1.0498828381869518,692
145000,290.0000000006566,-31640.150582405768,303.25158747839424,1.0443075752981532,692
150000,300.00000000070435,-31120.417951940384,296.7661595179882,1.041634900065185,692
155000,310.0000000007521,-31458.313475402014,306.7056111080102,1.026392786493008,692
160000,320.00000000079984,-30907.348623215017,304.31828207734793,1.019743023310753,692
165000,330.0000000008476,-31296.610904550325,301.08573383079477,1.0287156369736656,692
170000,340.00000000089534,-31266.848375999893,293.6161194280552,1.04532449461949,692
175000,350.0000000009431,-31512.47238930961,299.78587664688916,1.041533286914332,692
180000,360.00000000099084,-31273.030887671222,304.63813927929823,1.0273546263086617,692
185000,370.0000000010386,-31200.92959744166,304.6738404830789,1.032204223284084,692
190000,380.00000000108633,-31630.925526590378,299.1294164014759,1.0550277678307576,692
195000,390.0000000011341,-31451.017799358728,294.35097889675444,1.0347413527376508,692
200000,400.00000000118183,-31324.60163206584,291.20688900745154,1.0321890383305719,692
205000,410.0000000012296,-31304.05371184423,311.5271148856962,1.0294337152489756,692
210000,420.00000000127733,-30856.72135113302,297.400563319372,1.017112910359382,692
215000,430.0000000013251,-31507.172657964955,299.19364755746346,1.0508622762346866,691
220000,440.0000000013728,-31289.4522448052,304.7863128422207,1.0215669235573455,691
225000,450.0000000014206,-31258.903855155368,293.61193296767703,1.0255487924670712,691
230000,460.0000000014683,-31297.573627715552,295.1334787340166,1.0397166879994184,691
235000,470.00000000151607,-31455.178022602602,308.44586066558816,1.0364066445913445,691
240000,480.0000000015638,-31400.06379562471,298.20312327927957,1.0307678609113893,691
245000,490.00000000161157,-31485.185374164488,302.4676340090563,1.0432817296896577,691
250000,500.0000000016593,-31337.319655332045,293.8417812714962,1.0364069173711172,691
255000,510.00000000170706,-31196.938988095266,299.85950795696664,1.0349433300325983,691
260000,520.0000000015274,-31635.006490434404,297.8068825571884,1.0294533711503515,691
265000,530.0000000012909,-31434.805860949506,302.06660599199563,1.0138717820477916,691
270000,540.0000000010544,-31525.77192235741,313.88959649874346,1.051281233743759,691
275000,550.000000000818,-31256.09467455931,303.6803895589825,1.0230815315116082,691
280000,560.0000000005815,-31486.955160591664,295.4330044686672,1.0394230373362523,691
285000,570.000000000345,-31323.425776657707,303.2297829972578,1.035686888065611,691
290000,580.0000000001086,-30932.987236424204,302.24755411278625,1.0141880551717817,691
295000,589.9999999998721,-31687.777062117384,296.82949911296936,1.041097826437991,690
300000,599.9999999996356,-31742.40368833617,294.8634520396234,1.044853501560892,690
305000,609.9999999993992,-31591.539627741615,298.7730633435436,1.0348046829554722,690
310000,619.9999999991627,-31440.066688896448,295.75788154671903,1.0326974753162281,690
315000,629.9999999989262,-31219.90339378579,298.57329553281215,1.0368543833888193,690
320000,639.9999999986898,-31649.45320689911,304.4271494289419,1.044712221441197,690
325000,649.9999999984533,-31557.29268663138,292.330585365536,1.0292717333877748,690
330000,659.9999999982168,-31286.752363310487,298.16439852078133,1.029787485314078,690
335000,669.9999999979804,-31105.337603628403,309.2390592349279,1.0307511455924916,690
340000,679.9999999977439,-31669.369407653547,296.6970829217481,1.0414736705704075,690
345000,689.9999999975074,-31485.26312215408,293.3589040776897,1.02803335874804,690
350000,699.999999997271,-31170.020390880876,298.1333101761211,1.0276702893888423,690
355000,709.9999999970345,-31247.46706848062,297.6973949892421,1.0377032096009,690
360000,719.999999996798,-31066.534156637557,295.1168685648309,1.0188797977161086,690
365000,729.9999999965615,-31129.792803890596,289.88671973800723,1.0484893375615583,690
370000,739.9999999963251,-31227.29696842676,301.1138567660205,1.0470656686237445,690
375000,749.9999999960886,-31298.785553490772,306.2229858770969,1.026711690310881,690
380000,759.9999999958521,-31217.907440650597,297.33466533193746,1.0274843020399396,690
385000,769.9999999956157,-31108.9194956242,304.4174004031538,1.0228095804301225,690
390000,779.9999999953792,-31558.332759935263,306.97860321183794,1.038928032666877,690
395000,789.9999999951427,-31371.594555577,293.73225494002793,1.0285713409778139,690
400000,799.9999999949063,-31399.58298459029,306.12890680915365,1.0443582781801408,690
405000,809.9999999946698,-31423.76393514505,301.6454790887675,1.0353189395335947,690
410000,819.9999999944333,-31487.101809818414,301.53546821327393,1.0360711703459133,690
415000,829.9999999941969,-31404.37021831778,299.5142218845711,1.0368874007426059,690
420000,839.9999999939604,-31425.485051396914,309.1233501216974,1.0373685592112898,690
425000,849.9999999937239,-31154.276865096268,300.77043134268195,1.033213816761582,690
430000,859.9999999934874,-31116.15020338286,298.88299669199307,1.0065057420547063,690
435000,869.999999993251,-31487.912122683105,294.4535665577811,1.0354409122521138,690
440000,879.9999999930145,-31617.61270410198,301.6673029516649,1.0417621467317928,690
445000,889.999999992778,-31322.773251107836,307.0555294212872,1.0310987597771233,690
450000,899.9999999925416,-31572.6006599103,302.939405453804,1.0281754568872685,690
455000,909.9999999923051,-31555.88997337519,298.8935209882216,1.027863169654572,690
460000,919.9999999920686,-31552.00850803434,304.61588901765856,1.0286046603396066,690
465000,929.9999999918322,-31405.007294788607,284.7870876898258,1.0292115816815306,690
470000,939.9999999915957,-31613.2979949906,300.88885390245383,1.0448023391920265,690
475000,949.9999999913592,-31495.33341117474,303.71640087093925,1.0392797856505567,690
480000,959.9999999911228,-31453.086461283005,300.4662539853889,1.0387115205887958,690
485000,969.9999999908863,-31316.82367475654,291.42039848673915,1.0581323545972712,690
490000,979.9999999906498,-31420.294693746982,316.10070655830157,1.0468748049044776,690
495000,989.9999999904134,-31618.412048229133,300.79562763199516,1.0411241390918673,690
500000,999.9999999901769,-31207.553246962634,301.8674390158555,1.027790550733356,690
505000,1009.9999999899404,-31216.84491123166,295.1153374057111,1.0259037250617047,690
510000,1019.999999989704,-31590.76427246901,299.17639779016446,1.0296276645368907,689
515000,1029.9999999894676,-31460.103680333035,296.32818986444227,1.0293790409694454,689
520000,1039.9999999892311,-31797.57136339604,301.8987599416479,1.034523730745185,689
525000,1049.9999999889947,-31487.641101740213,298.24820525538917,1.0518814445835454,689
530000,1059.9999999887582,-31380.72490345416,304.59635220256035,1.0199921755966792,689
535000,1069.9999999885217,-31635.553887672344,294.23183921182516,1.030177347361287,690
540000,1079.9999999882853,-31691.107000685617,303.69711601873416,1.0460296448764703,689
545000,1089.9999999880488,-31753.919176673226,305.41941806561675,1.0449915625003172,689
550000,1099.9999999878123,-31689.510148026777,294.77582709809656,1.0356923443957504,689
555000,1109.9999999875758,-31642.03477565851,305.8013550480824,1.0428042876523094,689
560000,1119.9999999873394,-31234.351131454605,299.50511245689637,1.04063558911834,689
565000,1129.999999987103,-31355.424007490306,291.66488002012096,1.0309696742227719,689
570000,1139.9999999868664,-31004.13346916024,288.34313690939916,1.0361739936334213,689
575000,1149.99999998663,-31679.494166904013,304.1400280213378,1.0393642525454152,689
580000,1159.9999999863935,-31487.19770636488,304.8536256982089,1.04394585227469,689
585000,1169.999999986157,-31603.079674805806,296.92729947902654,1.0461314792555612,689
590000,1179.9999999859206,-31541.814130581915,297.0856097029573,1.0295403156147145,689
595000,1189.999999985684,-31515.50026873898,302.52901604617546,1.032270790323501,689
600000,1199.9999999854476,-31535.305265667732,296.52725993177734,1.0394023547013054,689
605000,1209.9999999852112,-31340.794127338973,297.31559367910353,1.0358028628696985,689
610000,1219.9999999849747,-31109.284521041525,296.0971398914404,1.0257938905822501,689
615000,1229.9999999847382,-31485.278982031246,303.6157126224916,1.039343648042893,689
620000,1239.9999999845018,-31515.100843450404,289.14488283534433,1.0377683300867067,689
625000,1249.9999999842653,-31157.503997961496,300.3582200495184,1.025746969719398,689
630000,1259.9999999840288,-31432.247884885583,298.0633226371135,1.033007927685188,689
635000,1269.9999999837923,-31590.53858811842,290.7721173444722,1.0375910196661684,689
640000,1279.9999999835559,-31311.181566792453,298.9865340593092,1.0315663335032454,689
645000,1289.9999999833194,-31408.484674505045,310.8679218119805,1.0259835183905175,689
650000,1299.999999983083,-31085.62384213353,304.67496462521746,1.0216367826908566,689
655000,1309.9999999828465,-31287.15488853288,296.84178714944983,1.0467017415504543,689
660000,1319.99999998261,-31385.359853316622,307.2926846490072,1.053100626444714,689
665000,1329.9999999823735,-31427.01033655106,299.19800845369076,1.0395035382150535,689
670000,1339.999999982137,-31475.246578363818,298.17637644908564,1.0280803083282861,689
675000,1349.9999999819006,-31799.601931387035,300.7441884382742,1.0362032544038953,689
680000,1359.9999999816641,-31557.67464102694,294.3868932999062,1.0460471468924852,689
685000,1369.9999999814277,-31465.51025495492,292.51360733475474,1.0431405264222615,689
690000,1379.9999999811912,-31565.390044495172,293.94091897906304,1.0354485428157516,689
695000,1389.9999999809547,-31349.710952057212,308.3285041026718,1.050151179162064,689
700000,1399.9999999807183,-31599.204618287942,301.2230923710736,1.0513952132695792,689
705000,1409.9999999804818,-31457.423197976168,305.9791827053504,1.040371581988701,689
710000,1419.9999999802453,-31279.107021072792,306.7015021746761,1.021592255611499,689
715000,1429.9999999800089,-31487.128099550202,305.05624262780884,1.047761897197037,689
720000,1439.9999999797724,-31640.61001882935,297.11293798598155,1.0289451906679306,689
725000,1449.999999979536,-31572.906069570046,300.82599885149796,1.0378520555103858,689
730000,1459.9999999792994,-31303.32235388644,306.44820194003466,1.0344670778970533,689
735000,1469.999999979063,-31438.14480015036,286.5294886228759,1.0293844950257762,689
740000,1479.9999999788265,-31725.6070606602,298.242216291237,1.025122575589914,689
745000,1489.99999997859,-31472.24416184149,298.4568305309022,1.0318978635889668,689
750000,1499.9999999783536,-31158.539254500705,291.21138557600585,1.0268757640300112,689
755000,1509.999999978117,-31325.07772973925,301.45018846482935,1.031742275452311,689
760000,1519.9999999778806,-31523.025197256677,302.2952720083932,1.0464546442284157,689
765000,1529.9999999776442,-31351.799391210574,301.80875104351685,1.0370954509472492,689
770000,1539.9999999774077,-31131.415333745943,297.0804929180506,1.026562011343443,689
775000,1549.9999999771712,-31735.6131250436,301.27610148743634,1.0384011219692162,689
780000,1559.9999999769348,-31631.613689542515,306.21124052992474,1.034808374905815,689
785000,1569.9999999766983,-31300.561306584248,300.90571603453265,1.018425292644329,689
790000,1579.9999999764618,-31651.375330999377,306.3103782374916,1.0411296182013223,689
795000,1589.9999999762254,-31644.666976816166,304.3611739144634,1.0482527156649106,689
800000,1599.9999999759889,-31466.249530659406,294.9246014956103,1.0339117053398201,689
805000,1609.9999999757524,-31741.74233338877,308.42200171778467,1.034448759684076,689
810000,1619.999999975516,-31461.224565847195,300.6343519986298,1.040483623863825,689
815000,1629.9999999752795,-31546.328280827147,292.85238113545086,1.03999172073174,689
820000,1639.999999975043,-31264.914092964842,303.5277388092666,1.0322200735433478,689
825000,1649.9999999748065,-31574.632259413454,303.3612688639506,1.0446660931737435,689
830000,1659.99999997457,-31767.72282524832,299.133447807766,1.0504866156491872,689
835000,1669.9999999743336,-31419.76604514738,290.4476666651625,1.0452647346211348,689
840000,1679.9999999740971,-31414.160366229975,301.84162251019,1.032283857193437,689
845000,1689.9999999738607,-31360.833764041425,308.92334972983383,1.025412050866643,689
850000,1699.9999999736242,-31526.514084884926,299.49290194746,1.0305998537098366,689
855000,1709.9999999733877,-31198.28418046888,287.07704275317315,1.0366366846961925,689
860000,1719.9999999731513,-31608.32794721902,301.1211249263993,1.0381108416159646,689
865000,1729.9999999729148,-31310.125886702124,306.332182718628,1.0284184931416953,689
870000,1739.9999999726783,-31061.270473807934,303.463430126235,1.0374871462454505,689
875000,1749.9999999724419,-31629.277846034005,306.22610634061954,1.0395089702150149,689
880000,1759.9999999722054,-31670.025326306582,299.2762526228887,1.0410606629201768,689
885000,1769.999999971969,-31281.583591073926,293.1622761122419,1.042534458301965,689
890000,1779.9999999717324,-31366.420874352392,306.32214296642474,1.037789622137653,689
895000,1789.999999971496,-31232.395268547087,291.37361091566066,1.0298927115233354,689
900000,1799.9999999712595,-31366.137295963184,297.01816117464205,1.0385318968559016,689
905000,1809.999999971023,-31684.347792909568,299.309395434216,1.0450495113418488,689
910000,1819.9999999707866,-31189.6432749613,295.0401361729918,1.0373162199492503,689
915000,1829.99999997055,-31234.346140950714,300.0882708821693,1.038419403552553,689
920000,1839.9999999703136,-31350.79851406571,307.7511408239409,1.035917066960378,689
925000,1849.9999999700772,-31507.316896541917,294.1335930652648,1.0360565901472447,689
930000,1859.9999999698407,-31339.369855242374,305.5159586172082,1.0256815387840235,689
935000,1869.9999999696042,-31611.624045745848,298.55649154601633,1.0274304844915763,689
940000,1879.9999999693678,-31124.274052541034,293.4253641361935,1.0444308381969425,689
945000,1889.9999999691313,-31585.325074254797,304.0078056477266,1.0365075346925543,689
950000,1899.9999999688948,-31275.75737550782,290.9995429281651,1.026655639015924,689
955000,1909.9999999686584,-31345.005969032645,298.6544857296836,1.0283083420003267,689
960000,1919.999999968422,-31122.54118948357,299.71951349719046,1.0255690586878274,689
965000,1929.9999999681854,-31295.971548445,299.5780266418165,1.0176728300604856,689
970000,1939.999999967949,-31584.820831207937,301.8670901441574,1.0441809496333156,689
975000,1949.9999999677125,-31410.693987394538,304.322139047789,1.0331045395372116,689
980000,1959.999999967476,-31444.856826862233,299.01339718006926,1.0552558195693778,689
985000,1969.9999999672395,-31486.396016884974,307.02812361121886,1.044298789386576,689
990000,1979.999999967003,-31355.066624938976,300.14482686079685,1.0369492572236039,689
995000,1989.9999999667666,-31124.23752550606,305.634206741131,1.0454304876679121,689
1000000,1999.9999999665301,-31392.396458356903,299.1030184429801,1.0330003642541363,689
1005000,2009.9999999662937,-31506.295176063257,301.5877408227183,1.0332190143502984,689
1010000,2019.9999999660572,-31484.639733333053,292.16799177242206,1.0393764889299224,689
1015000,2029.9999999658207,-31145.639738574653,292.1619446629869,1.0235939058396992,689
1020000,2039.9999999655843,-31418.104238721833,305.54958597256075,1.0379019691790137,689
1025000,2049.999999965348,-31465.10634856511,303.3540007035718,1.0397756557396256,689
1030000,2059.9999999651113,-31158.323760134197,302.9113988091444,1.0351466498035848,689
1035000,2069.999999964875,-31506.858932516276,300.54862646968195,1.027330081336079,689
1040000,2079.9999999646384,-31296.080830384017,310.5860528616102,1.0683818752520962,689
1045000,2089.999999964402,-31334.692007427657,303.4207708702517,1.0347095643114588,688
1050000,2099.9999999641655,-31331.050403088186,291.7418643748532,1.0238590439595234,688
1055000,2109.999999963929,-31419.737674047996,301.2287906088106,1.0306439256129332,688
1060000,2119.9999999636925,-31708.885030408885,298.435433066747,1.0386139505807075,688
1065000,2129.999999963456,-31608.714589284646,305.9480362154071,1.0498585562259362,688
1070000,2139.9999999632196,-31248.78638980529,297.2808421816124,1.0326445273605724,688
1075000,2149.999999962983,-31575.10688615145,301.24667997422296,1.0421034600186216,688
1080000,2159.9999999627466,-31426.693031430535,304.174915191156,1.0417590651778066,688
1085000,2169.99999996251,-31605.78203946291,301.9183161385071,1.0405340015955045,688
1090000,2179.9999999622737,-31708.184256635286,300.03801397587,1.031519523445213,688
1095000,2189.9999999620372,-31422.989818657545,293.86459360420514,1.0338584331898566,688
1100000,2199.9999999618008,-31294.82075234913,297.1698815998293,1.0245027484067728,688
1105000,2209.9999999615643,-31405.107090329693,298.25719839249786,1.0370429281446667,688
1110000,2219.999999961328,-31052.46312267799,299.693852045613,1.0264838321552048,688
1115000,2229.9999999610914,-31227.069540020806,299.92875898905584,1.0217195268476535,688
1120000,2239.999999960855,-31183.80742165132,302.33585741594845,1.047443814091631,688
1125000,2249.9999999606184,-31760.723699912545,298.2654937862102,1.0232627616801568,688
1130000,2259.999999960382,-31523.346805198875,311.7951258769444,1.0402085927828904,688
1135000,2269.9999999601455,-31462.38586007437,303.1426038362343,1.0441202359512078,688
1140000,2279.999999959909,-31485.417641200038,295.8626593467398,1.0224060150836614,688
1145000,2289.9999999596726,-31437.278000253864,290.7938442985645,1.0413828818967559,688
1150000,2299.999999959436,-31347.25557749861,299.92891404314395,1.0435633683812324,688
1155000,2309.9999999591996,-31012.801400519762,301.185472372953,1.0412700643475767,688
1160000,2319.999999958963,-31220.187043247133,306.2851625664174,1.0286438971301715,688
1165000,2329.9999999587267,-31192.3278776682,298.6986761447867,1.0281892520915343,688
1170000,2339.99999995849,-31647.197807839577,307.16769167225283,1.0356760469054174,688
1175000,2349.9999999582537,-31412.774065745645,301.920002351715,1.0187434052789508,688
1180000,2359.9999999580173,-31211.549579858867,299.76934400474755,1.0334392665904775,688
1185000,2369.999999957781,-31346.22983994661,308.5115842171735,1.048002227325188,688
1190000,2379.9999999575443,-31148.991759112658,292.70947941152315,1.014241186507772,688
1195000,2389.999999957308,-31134.006421604165,295.1542947453414,1.0334524975274115,688
1200000,2399.9999999570714,-31241.63586902531,292.41078709259597,1.0251502907667822,688
1205000,2409.999999956835,-31262.832008386526,303.26556172808256,1.0331297822693248,688
1210000,2419.9999999565985,-31432.493917574437,298.76684179825935,1.0401653505797672,688
1215000,2429.999999956362,-31314.123227110453,300.0485382720985,1.0402935184488955,688
1220000,2439.9999999561255,-31216.33955742992,308.99841529022603,1.032973099544606,688
1225000,2449.999999955889,-31436.42871044969,307.890941466107,1.0427133900584906,688
1230000,2459.9999999556526,-31425.779863475414,296.1673600115802,1.032199535978235,688
1235000,2469.999999955416,-31363.261446785968,306.11665753619525,1.044461160296244,688
1240000,2479.9999999551796,-31310.452636949252,293.00950907196005,1.0360438965943712,688
1245000,2489.999999954943,-31443.487050212425,304.6583156925098,1.0377877935886914,688
1250000,2499.9999999547067,-31385.806215106248,300.82210311753494,1.0396508201149464,688
1255000,2509.9999999544702,-31584.374459675106,291.6929835735857,1.0345577538584825,688
1260000,2519.9999999542338,-31388.349699820712,303.19950868656,1.0254695660716875,688
1265000,2529.9999999539973,-31258.43895791663,302.28418564109546,1.0314144012020907,688
1270000,2539.999999953761,-31454.264249363216,297.85553077732385,1.044786815870509,688
1275000,2549.9999999535244,-31657.569359134708,301.0092146383268,1.0466504418289506,688
1280000,2559.999999953288,-31482.18003440145,298.4992959692754,1.0422209944505079,688
1285000,2569.9999999530514,-31565.57814370407,308.5261399196921,1.0440205049051459,688
1290000,2579.999999952815,-31713.637087097857,298.36813959251987,1.0429895851294597,688
1295000,2589.9999999525785,-31768.792814080778,293.4164097626068,1.0334549616093802,688
1300000,2599.999999952342,-31360.67132607082,298.5364120416099,1.041311491253996,688
1305000,2609.9999999521056,-31288.056257295306,301.94430708002176,1.0292806651213269,688
1310000,2619.999999951869,-31310.272135194915,304.62139343778546,1.0396907354020852,688
1315000,2629.9999999516326,-31442.42346967745,309.5109853419001,1.0414696900196168,688
1320000,2639.999999951396,-31587.328250658524,309.22962031731595,1.0463516343243022,688
1325000,2649.9999999511597,-31351.993652708567,293.401524570151,1.0361348562181798,688
1330000,2659.999999950923,-31404.8656126172,300.9860340521587,1.0328976975286563,688
1335000,2669.9999999506867,-31587.895241435646,300.0990083777689,1.0359653214623419,688
1340000,2679.9999999504503,-31329.786035598372,293.3246371242238,1.0325332433529888,688
1345000,2689.999999950214,-31455.47197932066,296.8183739821496,1.04448463961492,688
1350000,2699.9999999499773,-31376.897606373648,295.9187113995811,1.0305661127872865,688
1355000,2709.999999949741,-31646.927195295866,299.7505630783287,1.0411644348979545,688
1360000,2719.9999999495044,-31546.777388758957,307.267507741455,1.0381871311920754,688
1365000,2729.999999949268,-31633.34021412322,299.00432651591655,1.0391846658543824,688
1370000,2739.9999999490315,-31363.544547561207,308.22130358252474,1.0368971742024928,688
1375000,2749.999999948795,-31365.552772544965,302.4887407467964,1.0325100226551536,688
1380000,2759.9999999485585,-31301.827563174418,296.82238600667864,1.021746133402643,688
1385000,2769.999999948322,-31365.024904676626,292.5369429750109,1.0322291597527486,688
1390000,2779.9999999480856,-31437.440493618255,302.4165630687947,1.0365688627660914,688
1395000,2789.999999947849,-31497.044142588158,305.76239770845206,1.0291763490515262,688
1400000,2799.9999999476127,-31582.16195964659,295.8807619115233,1.0504006574717326,688
1405000,2809.999999947376,-31370.519331797288,296.8930712890826,1.044524538233884,688
1410000,2819.9999999471397,-31813.885334101156,300.8041943703616,1.04060549467852,688
1415000,2829.9999999469032,-31436.181701026566,300.00101419410163,1.039292034331762,688
1420000,2839.999999946667,-31361.217719450186,306.23500256892316,1.0399206167893986,688
1425000,2849.9999999464303,-31328.82202919494,302.9122322248678,1.040209218956706,688
1430000,2859.999999946194,-31009.740151587088,302.539676014731,1.045279042424744,688
1435000,2869.9999999459574,-31238.821444375295,309.4384587922001,1.0502155673965057,688
1440000,2879.999999945721,-31342.716209431586,295.803680647986,1.0321186558959246,688
1445000,2889.9999999454844,-31753.841967842396,295.9533466065062,1.0438626072310617,688
1450000,2899.999999945248,-31232.033502600592,295.1211906975362,1.0271910871018923,688
1455000,2909.9999999450115,-31103.26839365944,289.69435575998165,1.033306585249709,688
1460000,2919.999999944775,-31457.01811239493,300.9737847792003,1.0506652906579588,688
1465000,2929.9999999445386,-31229.467853101203,303.99578895590037,1.032508991561177,688
1470000,2939.999999944302,-31654.848002383427,298.6620058529555,1.037239600889505,688
1475000,2949.9999999440656,-31659.59328691018,302.0094685605378,1.0458027367811296,688
1480000,2959.999999943829,-31451.264774320327,298.66594035044056,1.043225829604124,688
1485000,2969.9999999435927,-31555.467193324526,294.46788967916757,1.023988988847877,688
1490000,2979.999999943356,-31398.317372331076,298.6163811875376,1.0327410512753614,688
1495000,2989.9999999431197,-31418.16085790965,306.3873238287018,1.0294256803914041,688
1500000,2999.9999999428833,-31410.267017386825,305.6777187945988,1.0388593914164563,688
1505000,3009.999999942647,-31609.114856146392,300.4365805092824,1.0406984751010873,688
1510000,3019.9999999424103,-31563.01708430593,296.9633495545054,1.0317484860972983,688
1515000,3029.999999942174,-31181.030473081628,306.59277049540924,1.0363818936536227,688
1520000,3039.9999999419374,-31454.649043159152,300.919709665982,1.0438532608505624,688
1525000,3049.999999941701,-31490.828825307166,299.6244847229578,1.0321514763176602,688
1530000,3059.9999999414645,-31260.249991450954,308.94308036254216,1.0170337579111544,688
1535000,3069.999999941228,-31599.704719845962,304.3409393559688,1.0250181172681707,688
1540000,3079.9999999409915,-31544.9486701391,302.14227238697924,1.043178025261405,688
1545000,3089.999999940755,-31350.780591209797,301.70994282588714,1.0363485425704988,688
1550000,3099.9999999405186,-31369.373707862454,287.8907472256616,1.0375330000552314,688
1555000,3109.999999940282,-31450.230177029676,293.8901969104995,1.0324593730713836,688
1560000,3119.9999999400457,-31235.89420765554,300.1075169708523,1.028862369293988,688
1565000,3129.999999939809,-31334.733096327865,303.5751659784584,1.039208784043683,688
1570000,3139.9999999395727,-31243.718794779357,307.76575467174257,1.0276972530656519,688
1575000,3149.9999999393362,-31433.033282711665,297.46849639171245,1.0325740053343584,688
1580000,3159.9999999391,-31798.783369322802,294.7895106213697,1.0522507900868543,688
1585000,3169.9999999388633,-31612.215372521692,299.3865348430364,1.0503614847767246,688
1590000,3179.999999938627,-31459.655843773537,290.62613392054385,1.053962242642292,688
1595000,3189.9999999383904,-31468.42467347521,300.47877460300145,1.0371775366467277,688
1600000,3199.999999938154,-31115.37033214196,303.00867586765423,1.029157533663227,688
1605000,3209.9999999379174,-31469.077754580503,313.38516678669373,1.0315382673036178,688
