#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37774.5710068999,296.18434859042964,1.0134451091492007,0
10000,19.999999999999794,-37176.335626040294,304.1094132957018,0.9946661944329431,703
15000,29.99999999999425,-37605.164131994854,292.2271596760078,1.0160402696792126,704
20000,40.00000000000292,-37420.8265254141,301.856975292688,1.0032984631606015,705
25000,50.00000000001514,-37676.74737905778,304.88855401886417,0.9990878873992347,704
30000,60.00000000002736,-37392.86083708666,297.9881625552312,1.0058065835790635,704
35000,70.00000000001826,-37409.927619090595,293.6178635437683,1.0017179897483364,704
40000,79.99999999999496,-37671.604194100626,295.8249589487045,1.01518050972216,704
45000,89.99999999997165,-37432.386820479616,296.48415327677213,1.0054466313638466,704
50000,99.99999999994834,-37653.45050271682,289.35694665376064,1.0170205189254815,704
55000,109.99999999992504,-37445.08713281251,298.9946497165238,1.013673230138311,704
60000,119.99999999990173,-37680.311159265606,302.0102287787546,1.009761174033245,704
65000,129.99999999989262,-37122.73317216177,301.31212849902414,1.002217232721838,704
70000,139.99999999994037,-37369.3212853359,297.4216355017385,1.0101656856793757,704
75000,149.99999999998812,-37641.724336131796,286.0774446547251,1.0129904522990802,704
80000,160.00000000003587,-37334.6998499599,295.9566752115291,1.0154867959090264,704
85000,170.00000000008362,-37296.640523797134,309.7433996856733,1.015282704489818,704
90000,180.00000000013137,-37337.537083487754,298.18632952961434,0.9936515885038576,704
95000,190.0000000001791,-37414.964042839594,297.2805809931628,0.9982442893121944,704
100000,200.00000000022686,-37664.6351147799,302.3585637356848,1.0012475015522726,704
105000,210.0000000002746,-37166.506509382714,302.59610663908796,1.0033711740242341,703
110000,220.00000000032236,-37258.54045977839,310.92880518349904,1.0003710430335309,703
115000,230.0000000003701,-37494.215243930346,291.40269678856595,1.0087005478523894,703
120000,240.00000000041786,-37780.19168291887,308.49062395537266,1.0122812257646938,703
125000,250.0000000004656,-37288.902294293686,309.1144473788561,0.9953517076452213,703
130000,260.00000000051335,-37735.725240478874,297.23626008499235,1.0104634512321569,703
135000,270.0000000005611,-37501.41928014401,295.3616838772243,1.0286714160372943,703
140000,280.00000000060885,-37443.20610823974,310.25714623856464,1.0134545071781365,703
145000,290.0000000006566,-37309.928080104495,308.0773503879464,0.9964191466500926,703
150000,300.00000000070435,-37499.53401641452,297.94574199028796,1.0165095582953092,702
155000,310.0000000007521,-37514.80825124742,298.7695101285929,0.9997979251977178,702
160000,320.00000000079984,-37318.04718179925,288.59184394992195,1.0002323089506737,702
165000,330.0000000008476,-37760.51680920826,295.6291622949058,1.0103181161992485,702
170000,340.00000000089534,-37494.116747552005,295.6581169868733,1.0010220521692437,702
175000,350.0000000009431,-37651.39291389959,295.8510529089321,1.000635236795821,702
180000,360.00000000099084,-37903.05906567551,297.71520787964755,1.0140593743330482,702
185000,370.0000000010386,-37689.31624078777,292.9856418292484,1.012938377142334,702
190000,380.00000000108633,-37410.86098013233,304.0076938485499,1.0218714150031174,702
195000,390.0000000011341,-37513.69061124438,300.20375842019456,1.0065498868283889,702
200000,400.00000000118183,-37778.54463770427,300.79736025622566,1.008670486289207,702
205000,410.0000000012296,-37284.9417131659,292.5328697300134,1.0071776846712852,702
210000,420.00000000127733,-37449.824614434474,309.00857987068133,1.0063871487937324,702
215000,430.0000000013251,-37259.00625616801,297.95787966638443,1.0101529004732293,702
220000,440.0000000013728,-37035.78325479195,300.23500169755397,0.9881849040287729,702
225000,450.0000000014206,-37500.46399634809,303.91672257922073,1.0009207345477273,702
230000,460.0000000014683,-37796.70942966631,300.0676693245674,1.032903474147284,702
235000,470.00000000151607,-37691.197451075015,300.5980694229447,1.005203028440037,702
240000,480.0000000015638,-37934.98120792242,310.44350247762156,1.0272063979117168,702
245000,490.00000000161157,-37531.358440085925,297.50866304802616,1.0050895153526913,702
250000,500.0000000016593,-37493.68280345801,299.7937951280674,1.0063707240395192,702
255000,510.00000000170706,-37546.2054698437,290.4676666193767,0.99171666421451,702
260000,520.0000000015274,-37307.49996066454,293.0421004135153,1.0085882580664978,702
265000,530.0000000012909,-37755.449827545526,295.5569492522713,1.0172964067284418,702
270000,540.0000000010544,-37554.790410676535,302.72671947681295,1.0047640047067148,702
275000,550.000000000818,-37626.54156227753,302.22817566973936,1.0079083502402342,702
280000,560.0000000005815,-37552.9719087258,302.18287393925806,1.0068201640557228,702
285000,570.000000000345,-37491.50944145024,310.0918368115942,0.9993708838643405,702
290000,580.0000000001086,-37678.78661400487,302.6830524501831,0.9953005498082247,702
295000,589.9999999998721,-37704.66391351857,294.62422810227207,1.0134719502438156,702
300000,599.9999999996356,-37335.96331645042,300.8559643892975,1.0043369909144613,702
305000,609.9999999993992,-37357.18538107746,303.40976004731255,1.0043233034254646,702
310000,619.9999999991627,-37413.73299196013,297.25244365312096,0.9958949545082669,702
315000,629.9999999989262,-37237.85973573831,308.7959457672135,1.017364364904452,702
320000,639.9999999986898,-37578.38367243626,296.09112960330486,1.0009788365621468,702
325000,649.9999999984533,-37960.80009265157,301.99896975597824,1.002773409472853,702
330000,659.9999999982168,-37767.92458912602,300.24687373427463,1.0134705120968246,702
335000,669.9999999979804,-37451.86358628509,301.4683857534177,1.0153262969867096,702
340000,679.9999999977439,-37426.90141793215,297.3424545339374,1.012236365883319,702
345000,689.9999999975074,-38155.23027127006,296.928138842806,1.0265448326485556,702
350000,699.999999997271,-37598.913390753936,297.548447653009,1.0119945770827552,702
355000,709.9999999970345,-37495.498994338646,304.41238522075633,1.001067156337038,702
360000,719.999999996798,-37499.74564997302,303.2282670522134,1.0047382044858872,702
365000,729.9999999965615,-37654.443896471785,297.78231247274664,1.0077380422360789,702
370000,739.9999999963251,-37339.56334004513,292.7181429777687,0.9976644018382718,702
375000,749.9999999960886,-37242.431692645216,302.30508848594667,1.002244113776716,702
380000,759.9999999958521,-37405.6831308048,306.44701936937224,1.001146848137266,702
385000,769.9999999956157,-37759.22254303293,301.06661641434556,1.0126324297766616,702
390000,779.9999999953792,-37310.40201495969,293.20710333351366,1.0064437337259637,702
395000,789.9999999951427,-37839.27706515978,302.76785271247326,1.0163891821232542,702
400000,799.9999999949063,-37669.32386161364,302.5923876878261,1.0076667273473707,702
405000,809.9999999946698,-37448.20904247908,292.6714517490138,1.0071660699300184,702
410000,819.9999999944333,-37695.69900430046,298.2739700898462,1.0157064392748936,702
415000,829.9999999941969,-37553.79738681801,300.05465299515083,1.0131966935210086,701
420000,839.9999999939604,-37798.49083223575,296.5360959916496,1.0122789780669832,701
425000,849.9999999937239,-37827.16755055572,306.47869175649265,0.9969759682760507,701
430000,859.9999999934874,-37448.015496635024,292.209525308211,1.0025104804153941,701
435000,869.999999993251,-37594.012931559,298.2948534315476,1.0036332102169272,701
440000,879.9999999930145,-37411.67101693663,304.98647277956167,0.9986925899556284,701
445000,889.999999992778,-37642.649633624096,299.6227233700208,1.0075501770609363,701
450000,899.9999999925416,-37591.408219946956,309.8802652656297,1.0085525209406543,701
455000,909.9999999923051,-38097.218158401956,311.68698082976755,1.0284933478397267,701
460000,919.9999999920686,-37713.27581705831,308.6669676333398,0.9954214627485265,701
465000,929.9999999918322,-37442.52145198308,299.8505397855084,1.0113177625346594,701
470000,939.9999999915957,-37811.13812289978,301.6126279345035,1.0083461520391173,701
475000,949.9999999913592,-37700.22931755896,299.5497338430569,1.0110794217936523,701
480000,959.9999999911228,-37247.48455244073,308.2456840170419,1.0122935602966785,701
485000,969.9999999908863,-37633.81111227936,299.49133404796646,1.016462275377241,701
490000,979.9999999906498,-37412.492650532455,297.6760771562053,0.9983093568792827,701
495000,989.9999999904134,-37680.0910089059,297.67875398376185,1.017395590923197,701
500000,999.9999999901769,-37544.49375841592,295.58253236754535,1.0066127787204295,701
505000,1009.9999999899404,-37551.809232317464,299.21707160930174,1.0135076320110326,701
510000,1019.999999989704,-37437.35789514164,299.7534179429384,0.990637731807486,701
515000,1029.9999999894676,-37627.8329831654,298.59578197678786,0.9945174564375271,701
520000,1039.9999999892311,-37601.23316283003,295.79471692745403,0.9945719780318583,701
525000,1049.9999999889947,-37502.90406330384,303.12785536814266,0.9960516907693651,701
530000,1059.9999999887582,-37561.42033911665,294.33061485676666,1.0042935598004852,701
535000,1069.9999999885217,-37630.79554516118,291.86108818229013,1.0024571676059606,701
540000,1079.9999999882853,-37747.151097225345,297.97563663697,1.0300569327153666,701
545000,1089.9999999880488,-37137.06711862923,301.0422388931619,1.0053748171321069,701
550000,1099.9999999878123,-37221.027004670264,314.14622930377857,1.0011091090444721,701
555000,1109.9999999875758,-37553.858326683025,294.7925208637713,1.0110517560407817,701
560000,1119.9999999873394,-37743.232158735365,307.6618086689265,1.0018776220232466,700
565000,1129.999999987103,-37460.141017648624,291.5991677577033,1.0068090997581443,700
570000,1139.9999999868664,-37773.594768951676,292.94036053256525,1.001328472124058,700
575000,1149.99999998663,-37286.73292739451,303.3483156162989,1.0057795105574192,700
580000,1159.9999999863935,-37548.25300304743,307.4844637348503,1.0195529182318717,700
585000,1169.999999986157,-37552.76246865679,295.5466914856039,1.0131703482877523,700
590000,1179.9999999859206,-37471.292083070235,306.8514451022028,0.9924155783698572,700
595000,1189.999999985684,-37601.911052103475,308.4469569287427,1.0313767453060876,700
600000,1199.9999999854476,-37529.632327821775,301.3129254171517,1.0002320058467498,700
605000,1209.9999999852112,-37483.23370335199,299.92508228113115,0.9948488582293363,700
610000,1219.9999999849747,-37526.027156293654,291.99076106530055,1.0182480882758087,700
615000,1229.9999999847382,-37525.137116185244,299.1670905390459,1.0106196670607672,700
620000,1239.9999999845018,-37443.55708464101,303.6313032867704,0.998152940564129,700
625000,1249.9999999842653,-37158.8246154447,296.51398662205975,0.9865780644861346,700
630000,1259.9999999840288,-37510.29375977864,294.058089290944,1.014720119494238,700
635000,1269.9999999837923,-37368.66237100863,296.1024090598794,1.0000588421708336,700
640000,1279.9999999835559,-37369.400711830735,301.36047486542867,1.0044323127221138,700
645000,1289.9999999833194,-37626.885812974826,296.8355737372218,1.0018146469024358,700
650000,1299.999999983083,-37377.1486736667,298.9757280194441,0.9975450814954839,700
655000,1309.9999999828465,-37470.867237241415,300.1583136531263,1.0066259599519203,700
660000,1319.99999998261,-37376.57411530215,302.2002835352753,0.9949582842705553,700
665000,1329.9999999823735,-37574.51092368137,303.0671465538622,1.0068825728238948,700
670000,1339.999999982137,-37620.43210341627,297.28660896361475,1.0128516949092268,700
675000,1349.9999999819006,-37459.93308753942,316.6216000445238,0.9973260588953151,700
680000,1359.9999999816641,-37476.685074509296,298.58278608116944,0.9976405929825051,700
685000,1369.9999999814277,-37584.9847292472,298.56227054783466,1.0145769089269898,700
690000,1379.9999999811912,-37461.664903747296,297.54231751356633,1.0047642222595332,700
695000,1389.9999999809547,-37348.630775331374,304.5975767333191,1.0262066198960196,700
700000,1399.9999999807183,-37706.30030904373,302.0168288955545,1.0140579744644729,700
705000,1409.9999999804818,-37405.657389426924,299.76557605283307,1.000205725926616,700
710000,1419.9999999802453,-37727.85272925685,311.9502498850317,1.0094137902266234,700
715000,1429.9999999800089,-37449.416351788735,295.43395822125336,1.0161388285034363,700
720000,1439.9999999797724,-37658.18894926272,297.66837361430566,1.005051160051096,700
725000,1449.999999979536,-37470.939003193605,301.24567778746575,0.9910496345368731,700
730000,1459.9999999792994,-37061.10573015074,306.82406381269226,0.998162967526493,700
735000,1469.999999979063,-37465.40949396879,299.42592546011326,1.0112050438654345,700
740000,1479.9999999788265,-37454.02694313519,301.0771398203888,1.008347696661378,700
745000,1489.99999997859,-37653.41780434782,298.1762352333321,1.0177967932442293,699
750000,1499.9999999783536,-37452.20212413234,298.91716475396856,1.0147309714498178,699
755000,1509.999999978117,-37309.832191335125,305.9879740941075,1.0034904408503265,699
760000,1519.9999999778806,-37489.61948133848,296.09525723052957,1.0181201680474241,699
765000,1529.9999999776442,-37501.545038617915,301.5905185649136,0.993802060725549,699
770000,1539.9999999774077,-37429.01912712923,299.26470279277123,1.0037727718842437,699
775000,1549.9999999771712,-37118.96217360272,302.0325833539222,0.9930529963614673,699
780000,1559.9999999769348,-37620.55727051874,297.427316097622,1.017987575297689,699
785000,1569.9999999766983,-37508.106706788734,297.02730406519015,1.0059071661183916,699
790000,1579.9999999764618,-37596.820722608594,292.6255165707901,1.0012379465836603,699
795000,1589.9999999762254,-37424.26053332747,304.0874060951026,1.0043387456041535,699
800000,1599.9999999759889,-37556.019174899324,293.46914636088934,1.012130116195237,699
805000,1609.9999999757524,-37593.370130648575,310.16441766259527,1.0148674351055529,699
810000,1619.999999975516,-37414.456809058436,293.6017821446304,1.0071400400875683,699
815000,1629.9999999752795,-37669.4427061076,303.3875076411357,1.0128631962369843,699
820000,1639.999999975043,-37222.31415439432,309.0287071618514,1.0177431621926545,699
825000,1649.9999999748065,-37400.110822621646,303.8699904828695,1.0021938711047322,699
830000,1659.99999997457,-37608.72145775004,300.4748536201472,1.0056645681687961,699
835000,1669.9999999743336,-37455.32208470907,314.05832310417077,1.0030778449813806,699
840000,1679.9999999740971,-37481.19531195436,308.8307445254497,1.001725313821961,699
845000,1689.9999999738607,-37854.65813778489,297.40665752770025,0.9975046892763232,699
850000,1699.9999999736242,-37556.94708760342,306.77114027550397,1.0226806650155202,699
855000,1709.9999999733877,-37116.02601577036,302.06139500930266,0.9943113745551291,699
860000,1719.9999999731513,-37198.142596226826,313.3792262567126,1.0006430825696775,699
865000,1729.9999999729148,-37434.05939091195,304.64279672860783,1.0163586780843303,699
870000,1739.9999999726783,-37448.28613378134,297.39043309197535,1.0041280561213286,699
875000,1749.9999999724419,-37390.54114358776,296.2736442883111,1.009201704389294,699
880000,1759.9999999722054,-37311.47084449703,308.1235920731423,1.0016588470986247,699
885000,1769.999999971969,-37906.55272943477,300.98968316434014,1.026659848940966,699
890000,1779.9999999717324,-37759.37118535524,297.12373115862323,1.0039476113808965,699
895000,1789.999999971496,-37653.54215132084,312.89212537659864,1.0095697928867382,699
900000,1799.9999999712595,-37140.069774762116,306.7152742713831,0.9991705518733477,699
905000,1809.999999971023,-37678.54752673642,298.11632333717915,1.016876540161186,699
910000,1819.9999999707866,-37546.824549198616,312.86127034140395,0.9996702781662633,699
915000,1829.99999997055,-37557.625232320075,295.96625866285785,0.9965515451227142,699
920000,1839.9999999703136,-37386.21697294907,306.5712568620769,1.00933226912627,699
925000,1849.9999999700772,-37148.073363051546,297.6168600091891,1.0106730687464442,699
930000,1859.9999999698407,-37601.56287825023,298.08007377927487,1.0169918273114904,699
935000,1869.9999999696042,-37390.732270411216,306.1627035020216,1.0036094484426856,699
940000,1879.9999999693678,-37581.07058125766,293.9218367249318,0.99954825849028,699
945000,1889.9999999691313,-37676.426690873166,305.71814578963966,1.0169889158408099,699
950000,1899.9999999688948,-37675.26361945277,298.5728348214742,1.0180127369514393,699
955000,1909.9999999686584,-37346.54471237838,298.77208478715886,0.9959288582305253,699
960000,1919.999999968422,-37262.4045816329,296.75028306377624,0.9935930362161437,699
965000,1929.9999999681854,-37911.57380395115,301.22540745970866,1.0301769525928137,699
970000,1939.999999967949,-37616.694746079185,300.9389664773512,1.0073392321515438,699
975000,1949.9999999677125,-37728.24417359286,306.0090004723959,1.007027478250185,699
980000,1959.999999967476,-37434.19383147231,298.53325455447276,1.0076623686443424,699
985000,1969.9999999672395,-37517.72625174699,287.034543325908,1.0023587077121474,699
990000,1979.999999967003,-37694.28198505027,298.0949291505242,1.0262015826226123,699
995000,1989.9999999667666,-37670.22340260478,302.00769498778493,1.008119105432235,699
1000000,1999.9999999665301,-37596.92846791158,301.5559854460533,1.0089026694232959,699
1005000,2009.9999999662937,-37353.82721852124,297.0755891302002,1.0039971532581013,699
1010000,2019.9999999660572,-37583.75766645308,298.3083601721196,1.0076607623286153,699
1015000,2029.9999999658207,-37515.682699971454,294.50742851209117,1.0032547828715839,699
1020000,2039.9999999655843,-37714.789855354466,293.57644423493406,1.0132015818487388,699
1025000,2049.999999965348,-37626.16115999452,304.62585710994796,1.0074370411741302,699
1030000,2059.9999999651113,-37366.75355275706,298.09691122894407,1.0071649755091048,699
1035000,2069.999999964875,-37399.831714471366,307.3858297912179,1.003712133698262,699
1040000,2079.9999999646384,-37202.87969234114,300.1403727783574,0.9877555860568453,699
1045000,2089.999999964402,-37531.763171453815,298.33978735366236,1.007918169418549,699
1050000,2099.9999999641655,-37576.45221000654,306.8109657480831,1.0165755970970483,699
1055000,2109.999999963929,-37601.61179610589,300.5283901712798,1.0019886674157796,699
1060000,2119.9999999636925,-37753.632464798866,292.25231368152083,1.0155343999760533,699
1065000,2129.999999963456,-37537.336251736444,307.9818019478335,1.0088389609914277,699
1070000,2139.9999999632196,-37775.81716798578,305.14742980752777,1.0103508767832161,699
1075000,2149.999999962983,-37353.703354311234,296.08303781924053,1.006618893366109,699
1080000,2159.9999999627466,-37462.02021506676,304.17596617625094,1.0123776079082527,699
1085000,2169.99999996251,-37822.95015457872,311.7256824434488,1.0016095131566627,699
1090000,2179.9999999622737,-37129.73054203266,299.5648548536821,1.0057088439207205,699
1095000,2189.9999999620372,-37786.7476129946,292.332659375816,1.0251032316591924,699
1100000,2199.9999999618008,-37486.61609115437,304.8735760448259,1.0016485786927736,699
1105000,2209.9999999615643,-37527.931036435446,303.8741998452868,0.9975382622413135,699
1110000,2219.999999961328,-37589.72691226631,306.7561010000713,1.0229870832990295,699
1115000,2229.9999999610914,-37382.90884452083,296.0536540175121,1.0027839948579935,699
1120000,2239.999999960855,-37378.58593692456,290.9220734224631,0.9980309918607572,699
1125000,2249.9999999606184,-37722.28485072922,293.0544219937951,1.0102323107837055,699
1130000,2259.999999960382,-37304.62681366908,296.51480397398547,0.9900902908787925,699
1135000,2269.9999999601455,-37539.82483327843,297.8750410487159,1.0056448966514782,698
1140000,2279.999999959909,-37404.42259638314,303.48240219970813,0.9995120501316372,698
1145000,2289.9999999596726,-37693.73364107651,295.2348104245593,1.0132637601292884,698
1150000,2299.999999959436,-37731.96412878603,299.71743402440995,0.9975271993473691,698
1155000,2309.9999999591996,-37185.409216175496,298.54318538036983,0.9973073857238964,699
1160000,2319.999999958963,-37248.22601849135,306.3486919327119,0.9938002357268194,699
1165000,2329.9999999587267,-37645.59189074079,308.2117230445296,1.0005706375601937,699
1170000,2339.99999995849,-37681.73463918935,296.9216817625931,1.0044846484287475,699
