#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-44563.23224658173,293.0667752731862,1.0217857681945701,0
10000,19.999999999999794,-43927.91307329942,299.3877571808977,1.0229827446679818,705
15000,29.99999999999425,-43999.42380518673,298.10805788638777,1.0221027220156176,702
20000,40.00000000000292,-44806.18848750464,314.4183354628107,1.051171297391119,699
25000,50.00000000001514,-44731.49625391199,298.03936611754733,1.0259597450962459,700
30000,60.00000000002736,-44394.02591887768,298.6581828493431,1.042716732034069,700
35000,70.00000000001826,-44243.52727253878,299.7618200987174,1.0342735553807256,700
40000,79.99999999999496,-44587.75246779129,302.36698694197617,1.0370957221034274,700
45000,89.99999999997165,-44352.80176424142,302.3552888597826,1.045612297701633,700
50000,99.99999999994834,-44488.67403628552,305.2558815127819,1.0344765797705828,699
55000,109.99999999992504,-44774.8747082926,304.3679104218284,1.0406966421084072,699
60000,119.99999999990173,-44144.16044520776,289.6058956868411,1.0175322269353722,699
65000,129.99999999989262,-44179.93027429498,300.78049854913013,1.0246565132843475,699
70000,139.99999999994037,-44785.4307141763,307.6622794274552,1.0505458321259749,699
75000,149.99999999998812,-44479.05147773182,305.51085637837167,1.0383669114773202,699
80000,160.00000000003587,-44575.59642749131,295.01897643763965,1.0283452701287403,699
85000,170.00000000008362,-44496.45539915847,312.0470711822004,1.030599106298011,699
90000,180.00000000013137,-44234.50967463374,299.0352786032871,1.0235308978426396,699
95000,190.0000000001791,-44311.419256340334,304.96898309292317,1.0335337975251555,699
100000,200.00000000022686,-44393.95308412099,304.39388646629527,1.0308611310330884,699
105000,210.0000000002746,-44292.40747963064,297.64832719492824,1.0317053013217412,699
110000,220.00000000032236,-44299.91843874805,287.72100772935346,1.0279269893276528,699
115000,230.0000000003701,-44317.55553155849,300.626769206364,1.0241983621969524,699
120000,240.00000000041786,-44154.08009923558,305.1419335269704,1.0428027610339503,699
125000,250.0000000004656,-44446.03162889776,293.434378643936,1.0528572063123838,699
130000,260.00000000051335,-44494.75130246981,306.59251541271556,1.037828647978604,699
135000,270.0000000005611,-44430.60970090833,309.9468321661491,1.0315889299860757,699
