#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-44492.83863696287,298.84239810328046,1.051032376959203,0
10000,19.999999999999794,-44367.17580842602,305.898704914938,1.0154981520396305,693
15000,29.99999999999425,-44432.615378828836,303.43781441873335,1.023499422161291,696
20000,40.00000000000292,-44191.71736145756,298.7607872403003,1.0286237050072358,696
25000,50.00000000001514,-44407.12782954605,295.7778944433835,1.034324275979305,696
30000,60.00000000002736,-44495.56007183666,291.3512141013895,1.0333759190207412,696
35000,70.00000000001826,-44209.88493692211,299.0606441417809,1.0418860179412088,696
40000,79.99999999999496,-44414.325327739265,290.5608254974212,1.0317263136466368,697
45000,89.99999999997165,-44147.96904103336,308.2683740025219,1.020980557132744,697
50000,99.99999999994834,-44502.956649436615,294.2606886316099,1.032952745475568,696
55000,109.99999999992504,-44646.40814273787,294.15666629129595,1.0507173822729883,696
60000,119.99999999990173,-44069.384212326695,295.48989317402504,1.0227746847225492,696
65000,129.99999999989262,-44565.077412730665,299.05855660522786,1.0363484279310606,696
70000,139.99999999994037,-44164.54624256873,307.9539043451699,1.0357192616159279,696
75000,149.99999999998812,-44464.126410173805,304.093222121431,1.034437403022227,697
80000,160.00000000003587,-44406.0579031471,300.49970518900204,1.057035453652217,697
85000,170.00000000008362,-44238.8598107436,305.69329919561295,1.0372561746638749,697
90000,180.00000000013137,-44392.3480219325,314.7609868636291,1.0252314215185423,697
95000,190.0000000001791,-44696.19171606685,299.74559245607844,1.0386688371160289,697
100000,200.00000000022686,-44374.62466798755,302.1026181618976,1.035155583521514,697
105000,210.0000000002746,-44324.17413256326,295.815292857669,1.0401218522671098,697
110000,220.00000000032236,-44304.217781043524,299.21053320503904,1.0328236769866392,697
115000,230.0000000003701,-44134.818679223914,301.1575943030741,1.033257283619402,697
120000,240.00000000041786,-44912.4360514493,299.92214684474084,1.048952676445617,698
125000,250.0000000004656,-44389.610074547934,307.81876589397064,1.041469559329412,698
130000,260.00000000051335,-44103.77819342184,294.37956005268813,1.0441798310056272,698
135000,270.0000000005611,-44694.30206814906,301.55810591514626,1.033621416233106,698
140000,280.00000000060885,-44200.39578544174,300.6707256364247,1.0254868031506834,698
145000,290.0000000006566,-44202.02722862881,295.2894502774488,1.0405671273890749,698
150000,300.00000000070435,-44278.27512425819,300.1662507652618,1.044344486994233,698
155000,310.0000000007521,-44493.889736961166,302.21918541527106,1.036778172411024,698
160000,320.00000000079984,-43844.46888236079,306.5194516333583,1.0247648569839722,698
