#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31268.047021135833,303.45135528912573,1.0332912092798712,0
10000,19.999999999999794,-31388.131167951302,297.6058936955133,1.0432963075349406,457
15000,29.99999999999425,-31087.25742546821,305.4922159599708,1.043946172868505,455
20000,40.00000000000292,-31153.532284246,298.40651547932,1.0272053351397985,452
25000,50.00000000001514,-31228.19996102588,307.1052824018002,1.0345684190426545,453
30000,60.00000000002736,-31563.04724754044,302.658350537396,1.04387233811256,452
35000,70.00000000001826,-31194.889124132867,298.8351431240591,1.0522239846519363,452
40000,79.99999999999496,-31212.42829242471,302.23466524171454,1.039507192509875,453
45000,89.99999999997165,-31176.477047873486,300.17052707589625,1.0265282388942043,454
50000,99.99999999994834,-31477.869702151424,307.10805399362465,1.0284987023583794,455
55000,109.99999999992504,-31407.190799925273,310.8633089528601,1.0351332434512717,456
60000,119.99999999990173,-31494.91706781462,305.7911602417911,1.0372451186275315,457
65000,129.99999999989262,-31599.180967277178,293.3971055286407,1.0382061881729467,455
70000,139.99999999994037,-31151.5949624356,303.1847785481923,1.0237237688124647,454
75000,149.99999999998812,-31421.164217804122,291.9802987987999,1.039745494754191,454
80000,160.00000000003587,-31255.278718201385,294.2575975722076,1.0321343156090148,453
85000,170.00000000008362,-31472.39361157056,292.86720818262364,1.04396945867726,453
90000,180.00000000013137,-31270.60302302314,301.2274145037789,1.0256816996275233,453
95000,190.0000000001791,-31454.15711330506,296.5367376129113,1.0386287094715791,454
100000,200.00000000022686,-31455.156767671404,297.3147796451411,1.031568139512554,454
105000,210.0000000002746,-31079.31865040472,295.7075471133757,1.0154481917622564,453
110000,220.00000000032236,-30947.078455467563,299.9163546620094,1.0406707046017691,453
115000,230.0000000003701,-31197.164353745262,299.4244455675722,1.0240886595216543,454
120000,240.00000000041786,-31568.659273720405,297.70772546786054,1.0510658443080285,453
125000,250.0000000004656,-31463.340333807893,308.23473514290475,1.0364806822152155,453
130000,260.00000000051335,-31291.380335498543,294.5073315628232,1.0344123798687543,453
135000,270.0000000005611,-31636.24082083389,301.3572723025468,1.0547151551096903,453
140000,280.00000000060885,-31439.64407336581,295.650661644811,1.0494066402364015,453
145000,290.0000000006566,-31517.61003104932,294.6034844791945,1.0279139427240784,453
150000,300.00000000070435,-31363.658096593426,293.79483864632965,1.0306395943933608,453
155000,310.0000000007521,-31533.331435989618,303.75997106969004,1.039591735599521,453
160000,320.00000000079984,-31475.049313033494,303.9822992502373,1.044518792585182,452
165000,330.0000000008476,-31547.698088735924,304.9798784894289,1.0382563959325926,452
170000,340.00000000089534,-31370.66862670885,296.1392952216375,1.042566435351724,452
175000,350.0000000009431,-31442.835613619507,297.4364971042848,1.0480235489467724,452
180000,360.00000000099084,-31698.303559462453,304.7980388076318,1.0397445429853882,452
185000,370.0000000010386,-31209.91072506641,295.88587869643,1.026858671761685,452
190000,380.00000000108633,-31474.907518750144,289.827004532335,1.0524806341673638,452
195000,390.0000000011341,-31526.26248994129,294.05015458411617,1.0395973396865004,452
200000,400.00000000118183,-31295.318429927604,301.16124517169027,1.0414124097821595,452
205000,410.0000000012296,-31719.12949390718,304.70066484031696,1.0374534577484649,452
210000,420.00000000127733,-31430.117759727815,300.5647908583644,1.049499354304545,452
215000,430.0000000013251,-31181.558224177046,303.12151648025525,1.027447105275125,452
220000,440.0000000013728,-31142.780918196426,297.90910196475585,1.0503405399984065,452
225000,450.0000000014206,-31540.66366697033,304.49921081637757,1.0515110351843278,452
230000,460.0000000014683,-30966.986815779994,294.16578617030257,1.0286655837543945,452
235000,470.00000000151607,-31087.441126557358,294.08271594261316,1.02164798738576,452
240000,480.0000000015638,-31183.097594300052,302.4619939166024,1.023523327085967,452
245000,490.00000000161157,-31638.508605353127,306.62170746459736,1.0402197760815437,452
250000,500.0000000016593,-31783.915479845076,305.00445456238975,1.0449988989176158,452
255000,510.00000000170706,-31566.25803416592,294.95694965473626,1.0534570522467943,452
260000,520.0000000015274,-31240.598516618484,311.3816353875541,1.019365017966791,452
265000,530.0000000012909,-31059.745336644468,296.6510706211101,1.0266140071118885,452
270000,540.0000000010544,-31498.396235899243,303.0644565758414,1.034972678630391,452
275000,550.000000000818,-31547.282595940866,294.1804581633873,1.0375740186037306,452
280000,560.0000000005815,-31409.628396671236,292.5507427888502,1.0359978832780732,452
285000,570.000000000345,-31463.21076401329,297.46103441372355,1.0300279564584196,452
290000,580.0000000001086,-31430.027579458343,292.48961271462423,1.036451807510689,452
295000,589.9999999998721,-31550.826349235722,304.18078786474206,1.0432473799884108,452
300000,599.9999999996356,-30961.433551812195,308.47212295175683,1.0396272124921562,452
305000,609.9999999993992,-31487.688575596956,290.64788025639723,1.0351155797487073,452
310000,619.9999999991627,-31272.734660953836,301.3613812358809,1.0370929770974215,452
315000,629.9999999989262,-31257.803601817635,301.27939638680806,1.0377811825945853,452
320000,639.9999999986898,-31213.409762681607,304.4395537559884,1.046215463794461,452
325000,649.9999999984533,-31562.459200849466,293.3076393198179,1.032792898852272,452
330000,659.9999999982168,-31226.520702800393,297.8738271597174,1.0275166065474397,452
335000,669.9999999979804,-31665.247673755715,306.4658781060759,1.026549105342174,452
340000,679.9999999977439,-31510.809999766177,291.60937065658794,1.0365211365975648,452
345000,689.9999999975074,-31019.91906128166,300.34655222939034,1.0129923335316187,452
350000,699.999999997271,-31089.897585614613,294.5697020697538,1.0325130705473085,452
355000,709.9999999970345,-31212.7741125607,302.60501193109616,1.0334608913000531,452
360000,719.999999996798,-31401.50024105748,285.4788421220385,1.0333275268172033,452
365000,729.9999999965615,-31511.973312508868,298.8896446360195,1.042582622320036,452
370000,739.9999999963251,-31566.353114785597,296.84775673184095,1.0596950470426938,452
375000,749.9999999960886,-31271.76380160611,304.9567754303048,1.0394611009589583,452
380000,759.9999999958521,-31642.875655728392,302.5936736009052,1.028727461188899,452
385000,769.9999999956157,-30903.337734459375,299.94879972994033,1.0312681595617141,452
390000,779.9999999953792,-31507.999596572743,301.1596171037654,1.0491466221684684,452
395000,789.9999999951427,-31381.330785195023,302.46271104175975,1.032568041900314,452
400000,799.9999999949063,-31615.81198389188,299.1037937134205,1.045945081279085,452
405000,809.9999999946698,-31154.723179322405,309.66231813186715,1.0325019104703952,452
410000,819.9999999944333,-31182.140493310028,297.37284740112744,1.033103811573348,452
415000,829.9999999941969,-31343.169992611336,305.5357861587216,1.048002351822741,452
420000,839.9999999939604,-31360.123761271563,295.29711894222515,1.0325991474695866,452
425000,849.9999999937239,-31353.04909033398,303.8397657797688,1.0337090679759686,452
