#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37615.17568348616,298.7368569191617,1.010166025349565,0
10000,19.999999999999794,-37614.420959647105,292.19828671923284,0.9924869285693588,486
15000,29.99999999999425,-37366.30424629117,301.038233868726,1.0044351347916116,491
20000,40.00000000000292,-37208.8810311112,310.14884710841096,0.9997887388225077,487
25000,50.00000000001514,-37496.895737514686,288.9590393025374,1.0104717287416212,485
30000,60.00000000002736,-37555.35863578509,310.12111844433196,0.9963195989687457,484
35000,70.00000000001826,-37411.538252286,304.00957375797896,0.99850472053896,483
40000,79.99999999999496,-37591.408070937614,299.71624886411774,1.0100453986798281,482
45000,89.99999999997165,-37316.933810658404,308.65060016102797,1.006061063238485,483
50000,99.99999999994834,-37083.125654919335,307.6357555762952,1.0021879229631878,483
55000,109.99999999992504,-37129.82691881893,300.44734972784784,0.9885889805144512,482
60000,119.99999999990173,-37367.46728821081,291.972574984954,1.0029863763464097,483
65000,129.99999999989262,-37588.82776530806,292.1019617947905,1.0138309656836477,482
70000,139.99999999994037,-37629.97078768394,295.76492444976265,1.0076080645168721,482
75000,149.99999999998812,-37515.03722618133,298.5482120947128,1.001601393711254,483
80000,160.00000000003587,-37306.35468962439,293.53273634070786,1.0022789275851767,483
85000,170.00000000008362,-37462.28712585007,302.30308597372874,1.012055123428636,483
90000,180.00000000013137,-37354.89625790439,304.3364532268599,1.0127461898441514,483
95000,190.0000000001791,-37358.27170955637,300.79454039208207,0.9981733542884041,484
100000,200.00000000022686,-37735.09587577786,300.2240287479516,1.0092185367514201,485
105000,210.0000000002746,-37320.56237534448,308.559220215736,1.0101701163909191,486
110000,220.00000000032236,-37400.939743317576,309.19199364280576,1.004505300679839,487
115000,230.0000000003701,-37697.16435361153,301.0196799800129,1.0198671431675415,488
120000,240.00000000041786,-37304.24927947513,300.6606785804525,1.0102590010520842,489
125000,250.0000000004656,-37364.89126672971,291.10511938622096,1.0011144563291543,488
130000,260.00000000051335,-37315.42515268005,301.4436199900693,0.9988347366137332,488
135000,270.0000000005611,-37729.73209159958,296.38002264143944,1.031064393296301,487
140000,280.00000000060885,-37330.33800707999,306.03370493434977,1.0077977529159439,487
145000,290.0000000006566,-37432.437846745685,292.8692100474341,1.0039782110731494,486
150000,300.00000000070435,-37598.044818433555,307.058378175989,1.0054283488024292,486
155000,310.0000000007521,-37370.65964170173,308.28479430668614,1.0003653029827373,486
160000,320.00000000079984,-37251.48922179479,309.9300419979042,1.0045565680083253,485
165000,330.0000000008476,-37315.310056413844,302.162603611501,0.9958703238197905,485
170000,340.00000000089534,-37502.87553845864,302.26462956562506,1.0011486985876559,484
175000,350.0000000009431,-37217.92060974531,302.69909298172473,0.9923512906683586,484
180000,360.00000000099084,-37219.26360580386,303.58342689772314,1.0119002606297542,484
185000,370.0000000010386,-37270.14565912253,307.9910175907956,1.0041173152997018,483
190000,380.00000000108633,-37505.18877737207,293.83534045739583,0.9945752010971765,483
195000,390.0000000011341,-37112.11584232721,303.64313445589477,1.0003787392020602,483
200000,400.00000000118183,-37804.56026162385,298.29691724515993,1.0032723162903172,483
205000,410.0000000012296,-37275.26646957212,300.48934118303004,1.0170986942449207,482
210000,420.00000000127733,-37384.89015172166,305.7438515077026,0.9923832359919514,482
215000,430.0000000013251,-37571.59109604097,299.9121068193108,1.0121852055361473,482
220000,440.0000000013728,-37112.800231488014,297.14032340271467,0.9964797094275125,482
225000,450.0000000014206,-37375.091576563515,302.0765568875242,1.0054808472051204,481
230000,460.0000000014683,-37338.812943748344,306.0175418000193,1.014208343355446,481
235000,470.00000000151607,-37614.19444366265,301.77810083185915,1.010041852759703,481
240000,480.0000000015638,-37723.68312126046,313.3902196401131,1.0043010539027226,481
245000,490.00000000161157,-37449.668571807415,311.0633413104673,1.0030069986524357,481
250000,500.0000000016593,-37484.72234111518,302.2303825199387,1.0148627725741597,481
255000,510.00000000170706,-37567.36607958833,294.16221992627675,1.0001977156434076,480
260000,520.0000000015274,-37042.57832286149,308.8611704508834,0.9955060064493478,480
265000,530.0000000012909,-37567.153844433255,306.28224122115347,1.0180803850744522,480
270000,540.0000000010544,-37565.366676768,301.169704925973,1.0121817955426164,480
275000,550.000000000818,-37247.12433745782,308.6003943189925,1.0108220773424026,480
280000,560.0000000005815,-37399.89902481786,317.14971155750914,1.0068754927515051,480
285000,570.000000000345,-37496.29551818795,303.42426804399355,1.0074241424182813,479
