#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-30508.13227885164,293.57131756837845,1.0207490188808106,0
10000,19.999999999999794,-30402.635633281607,296.6304821600442,1.0177597482344987,434
15000,29.99999999999425,-30371.63876528159,302.45109317562134,1.036845043216352,438
20000,40.00000000000292,-30384.28585101475,303.2916379041967,1.0269818681205518,434
25000,50.00000000001514,-30522.14377742805,292.34004950201177,1.0305347912760436,435
30000,60.00000000002736,-30694.28178634442,299.3663467878685,1.035853136419227,433
35000,70.00000000001826,-30586.664990310208,299.6803247373987,1.028534166470487,430
40000,79.99999999999496,-30296.348862319428,288.37109930817513,1.0274828144718093,430
45000,89.99999999997165,-30610.548902704497,303.03107099263906,1.0322905119926833,429
50000,99.99999999994834,-30426.319920917973,306.7217678536355,1.03518765052486,429
55000,109.99999999992504,-30326.807332148455,299.3492271137873,1.0170123703420244,429
60000,119.99999999990173,-30328.032092287933,295.1311426674541,1.025565918908921,427
65000,129.99999999989262,-30234.89420115974,300.1517411508536,1.0210037086221804,427
70000,139.99999999994037,-30267.982027749444,301.8904043064554,1.0258335585377056,427
75000,149.99999999998812,-30271.142474873806,296.3277218964988,1.037659493780398,428
80000,160.00000000003587,-30196.324397955643,303.70577376430464,1.0283453449244861,428
85000,170.00000000008362,-30401.787631364743,291.66194624713825,1.0191184100782067,430
90000,180.00000000013137,-30382.342460156884,304.1551847519428,1.0156820473662689,429
95000,190.0000000001791,-30051.38705272926,300.2427138481686,1.0222163985730908,429
100000,200.00000000022686,-30758.108897411643,293.20797398331285,1.0492203312410702,429
105000,210.0000000002746,-30716.88776008159,293.8138267415217,1.026684775174187,428
110000,220.00000000032236,-30145.294336770836,305.5076976333777,1.0287189424504484,429
115000,230.0000000003701,-30227.089082069375,302.52680278451464,1.0177086873782426,429
120000,240.00000000041786,-30387.92660497318,294.829926301457,1.0416015261205949,429
125000,250.0000000004656,-30494.84104064046,302.9114482471471,1.0435746926531928,428
130000,260.00000000051335,-30388.804457731632,295.33356913335933,1.0341343200413324,428
135000,270.0000000005611,-30514.75349938721,298.85072409271083,1.0211862380961891,428
140000,280.00000000060885,-30168.389934947947,300.82642437951216,1.0213282809516815,428
145000,290.0000000006566,-30374.28941837419,305.1561971105189,1.0375864063230573,428
150000,300.00000000070435,-30313.98306587196,314.912300692048,1.012192960541797,427
155000,310.0000000007521,-30148.092944955686,303.40416653816874,1.030050687759182,426
160000,320.00000000079984,-30672.950211562216,292.23111678131704,1.0412445654682934,426
165000,330.0000000008476,-30662.13375819364,296.42043392143165,1.0303478878486256,427
170000,340.00000000089534,-30471.0581380816,286.0343224251134,1.0247347790137586,427
175000,350.0000000009431,-30448.410137344443,298.30015850114086,1.029247246204393,427
180000,360.00000000099084,-30330.097577968612,308.55220496983696,1.0276483541178119,427
185000,370.0000000010386,-30353.910663557326,304.8827513573865,1.0328396128252577,426
190000,380.00000000108633,-30576.269208098995,298.02079121690497,1.0291028002943623,426
195000,390.0000000011341,-30547.579167450196,287.50342888596424,1.0287707156250812,427
200000,400.00000000118183,-30539.08678127572,300.9618574176202,1.0329391457662522,427
205000,410.0000000012296,-30476.633054520556,307.91553288968055,1.0335803317350187,427
210000,420.00000000127733,-30514.307101589133,297.33676643092804,1.0410400828905555,427
215000,430.0000000013251,-30296.814710087172,303.3850534773795,1.0382543105781816,427
220000,440.0000000013728,-30409.612751077104,284.66207110666704,1.026730362638008,427
225000,450.0000000014206,-30251.239501389296,306.7184259994484,1.031740777800794,427
230000,460.0000000014683,-30286.453488425148,306.2022561000964,1.0348133054461452,427
235000,470.00000000151607,-30079.43684339695,302.63405480661237,1.0130278864658302,427
240000,480.0000000015638,-30494.128798350226,295.60310628510337,1.0340940193565948,427
245000,490.00000000161157,-30566.182692151488,291.63257310770445,1.019840917554054,427
250000,500.0000000016593,-30371.72733593441,297.48607500396497,1.022173274198965,426
255000,510.00000000170706,-30536.508055742772,305.68479636228614,1.0304429777200053,426
260000,520.0000000015274,-30387.406138114544,306.4061678345292,1.0236104933564156,427
265000,530.0000000012909,-30542.571058599424,298.9672785861129,1.0304472631845039,427
270000,540.0000000010544,-30513.316333351133,299.3854989346717,1.0353315748450649,427
275000,550.000000000818,-30071.80556352157,300.68344774072455,1.0289613142316227,427
280000,560.0000000005815,-30247.207218913914,304.76019716085324,1.0257777030071735,427
285000,570.000000000345,-30201.835484331852,303.01854392518925,1.0274806800813496,427
290000,580.0000000001086,-30425.878301583696,307.0678158775575,1.0280919468850642,427
295000,589.9999999998721,-30329.99004918369,302.824208264158,1.030956127730549,427
300000,599.9999999996356,-30149.939836196398,302.65480947998475,1.0220402975263254,426
305000,609.9999999993992,-30205.99851790539,299.94173199825485,1.019715264294922,427
310000,619.9999999991627,-30462.481011584052,297.3288319701096,1.0181759416071599,427
315000,629.9999999989262,-30044.212077473756,296.0515792084083,1.02152744525287,427
320000,639.9999999986898,-30163.898981364793,304.56732722534264,1.0190331472557688,427
325000,649.9999999984533,-29962.274418727495,293.87261210640327,1.0218084041936466,427
330000,659.9999999982168,-30015.607190982235,301.0872258071531,1.0271770692625188,427
335000,669.9999999979804,-30408.230713300436,304.1838152571129,1.0273246370775933,427
340000,679.9999999977439,-30304.85078315361,299.9879316666657,1.0442055853347312,427
345000,689.9999999975074,-30317.700531297567,298.2714302809361,1.0176561451832933,427
350000,699.999999997271,-30754.355271269684,296.97651064095925,1.0370696631686391,427
355000,709.9999999970345,-30492.743260966294,295.495737004964,1.0264714348818078,426
360000,719.999999996798,-30317.125438216637,297.18194672993354,1.0422688179488333,427
365000,729.9999999965615,-30219.79050442984,295.97571325545954,1.0144027002156943,426
370000,739.9999999963251,-30418.08646008288,298.0987482715966,1.030898424072723,426
375000,749.9999999960886,-30674.891180530773,294.3897786991094,1.0335427991168715,426
380000,759.9999999958521,-30266.61341152509,308.18041880577243,1.0169525839167997,427
385000,769.9999999956157,-30271.947904464527,298.4045181582111,1.02744865777246,427
390000,779.9999999953792,-30422.249208968744,299.36806657247945,1.0291833876559318,427
395000,789.9999999951427,-30131.093047630246,299.7708088595401,1.0189581917799677,427
400000,799.9999999949063,-30311.833711811167,300.6909717983972,1.0275992378332972,427
405000,809.9999999946698,-30096.224616182444,304.08125355668125,1.0300031566959758,427
410000,819.9999999944333,-30636.62598119318,290.37531284210485,1.0343323514403617,427
415000,829.9999999941969,-30639.123648607638,296.0215416067385,1.0374125713234228,427
420000,839.9999999939604,-30288.630473875382,297.93097155699957,1.0351164715268655,427
425000,849.9999999937239,-30366.38742157747,294.79384991064217,1.0287397508447105,427
430000,859.9999999934874,-30455.831152048486,297.04770581524895,1.0201658084557688,427
435000,869.999999993251,-30163.866122271866,297.0155184828155,1.0336476731483286,427
440000,879.9999999930145,-30299.605890990322,304.6552707565816,1.0258933057267936,427
445000,889.999999992778,-30061.12582330528,300.255045485549,1.0237739503487784,427
450000,899.9999999925416,-30437.464595521364,303.3486643984535,1.0177271475716245,427
455000,909.9999999923051,-30640.05902045456,306.02679898377113,1.030232293316843,427
460000,919.9999999920686,-30068.563184265717,304.6964478722084,1.023257569710177,427
465000,929.9999999918322,-30325.420786308183,298.1431499833688,1.0346927915056316,427
470000,939.9999999915957,-30476.601806742226,301.85036068523124,1.026561381312258,427
475000,949.9999999913592,-30476.653220030596,302.4317455987488,1.0272144063655324,427
480000,959.9999999911228,-30363.592384189804,304.99784012526794,1.017684870455618,427
485000,969.9999999908863,-30387.193833881494,307.79700455257733,1.0438339904229303,427
490000,979.9999999906498,-30484.04739808227,289.9103847069547,1.0304076573974492,427
495000,989.9999999904134,-30363.206639025273,295.99388825191556,1.0335366904129817,427
500000,999.9999999901769,-30411.253455828264,304.559119162427,1.0389063258926166,427
505000,1009.9999999899404,-30321.732916690642,305.0023545598715,1.0277950641657863,427
510000,1019.999999989704,-30554.734193010925,298.5173594802942,1.049993151879057,427
515000,1029.9999999894676,-30383.79426172006,301.05396360933787,1.0294363941803941,427
520000,1039.9999999892311,-30510.383794338122,297.35199043333586,1.0324392111168683,427
525000,1049.9999999889947,-30362.730729337665,290.49124195928476,1.0340905919731944,427
530000,1059.9999999887582,-30293.807194464927,296.4561976241355,1.0139827919175497,427
535000,1069.9999999885217,-30374.07429084598,291.8587638700511,1.0250503432881823,428
540000,1079.9999999882853,-30295.014560535696,297.8013232489463,1.030396414780842,428
545000,1089.9999999880488,-30239.857500087353,289.4167088085929,1.0285089011978712,427
550000,1099.9999999878123,-30242.03546756311,293.05469817986676,1.0206887819393868,427
555000,1109.9999999875758,-30499.274207675888,297.82547840552667,1.0195881246193652,427
560000,1119.9999999873394,-30195.88495126521,303.2651766727973,1.0263351047012608,427
565000,1129.999999987103,-30298.387115921447,305.82974684477495,1.0297735654107756,428
570000,1139.9999999868664,-30178.95156319518,300.14656225401393,1.018708198725155,428
575000,1149.99999998663,-29971.951334173704,298.4033846638085,1.0126041603735605,428
580000,1159.9999999863935,-30175.70552445692,295.632889827683,1.020252905378009,428
585000,1169.999999986157,-30331.39676808784,308.8766384280811,1.019864389771977,428
590000,1179.9999999859206,-30391.311589259392,296.1497046462641,1.0110731173583543,428
595000,1189.999999985684,-30191.758718563855,308.22091191615624,1.0294855778445584,428
600000,1199.9999999854476,-30617.63413510009,303.0953088564574,1.0365690313661513,428
605000,1209.9999999852112,-30311.037347252248,299.11619629901094,1.0265053745438715,427
610000,1219.9999999849747,-30296.091888217576,306.9696904397017,1.0230673212393318,428
615000,1229.9999999847382,-30198.32847735344,293.11981547899745,1.0412753653064704,428
620000,1239.9999999845018,-30091.642540601984,297.7186758725886,1.021312772156093,428
625000,1249.9999999842653,-30407.794560404873,303.2384027532867,1.0214927173590007,428
630000,1259.9999999840288,-30269.640981187695,297.5186727395442,1.0371261777912684,428
635000,1269.9999999837923,-30107.790344074398,290.6763142350255,1.021873544310286,428
640000,1279.9999999835559,-30448.84116674328,305.22084537748304,1.0245989849999206,428
645000,1289.9999999833194,-30010.62794264211,295.45897660890614,1.0290450517024625,428
650000,1299.999999983083,-30359.234299378237,309.2262432792665,1.0186267784161178,428
655000,1309.9999999828465,-30569.17113428496,300.5581184372055,1.0211011739666824,428
660000,1319.99999998261,-30300.5589263422,302.73806268955764,1.019040331254443,428
665000,1329.9999999823735,-30006.29291488495,297.24686859899487,1.0224394579877012,428
