#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
505000,1009.9999999899404,-30331.943143407872,308.19458748580536,1.0241239581304318,0
510000,1019.999999989704,-30481.365063747304,289.9216414789533,1.0243360470869463,415
515000,1029.9999999894676,-30483.799096112314,303.6995395450901,1.0285020197154686,412
520000,1039.9999999892311,-30683.363711597514,312.5955163050879,1.0346510999249972,417
525000,1049.9999999889947,-30598.783820279525,301.77121150711616,1.0388480920522867,422
530000,1059.9999999887582,-30338.358419927798,308.5529671471077,1.0249066089108727,423
535000,1069.9999999885217,-29988.787322311924,300.1168568834621,1.0190081771365178,423
540000,1079.9999999882853,-30312.4767240051,302.5414795827281,1.0331126405692177,422
545000,1089.9999999880488,-30581.941182184848,307.8716197530819,1.0259674456323447,422
550000,1099.9999999878123,-30520.901096077345,297.83429230165746,1.0200098117551046,421
555000,1109.9999999875758,-30376.079152473947,301.23866456794667,1.0253174387782107,421
560000,1119.9999999873394,-30630.30374172688,305.84200031012756,1.0221462904035352,421
565000,1129.999999987103,-30390.19696072454,288.6229304956297,1.0191531498250017,419
570000,1139.9999999868664,-30358.51074904893,301.90940010920303,1.0205421906418728,420
575000,1149.99999998663,-30208.5234404715,291.7004068848001,1.0229103341745323,419
580000,1159.9999999863935,-30423.043067653227,301.71987202787955,1.0328205525300251,418
585000,1169.999999986157,-30396.650514651614,301.235869917954,1.0363694147368492,419
590000,1179.9999999859206,-29940.556667829922,306.62565534549475,1.0165386057430814,417
595000,1189.999999985684,-30237.806341412244,292.77089463305504,1.0185829919887235,417
600000,1199.9999999854476,-30333.13316870373,302.4590667224537,1.023530683423797,417
605000,1209.9999999852112,-30531.825940221024,297.331059872901,1.0312085336721226,417
610000,1219.9999999849747,-30340.497844499507,297.7996425503493,1.026115458060958,417
615000,1229.9999999847382,-30238.44598248831,300.7063326018536,1.035692659175892,417
620000,1239.9999999845018,-30357.887268793187,308.18446420820936,1.0244328942998933,417
625000,1249.9999999842653,-30599.134702927724,303.45351263069733,1.035217232269101,417
630000,1259.9999999840288,-30092.360513227293,297.4120265506617,1.023979655488775,417
635000,1269.9999999837923,-30630.357403053524,304.02567324493816,1.0314579073872976,417
640000,1279.9999999835559,-30663.363975273358,306.4575463997797,1.0308196167397963,418
645000,1289.9999999833194,-30454.341927358357,312.6979998334918,1.0440572252236668,418
650000,1299.999999983083,-30284.265564637346,299.24901057418873,1.0191161055969913,417
655000,1309.9999999828465,-30458.290542228293,306.03453801452014,1.0306848339592676,418
660000,1319.99999998261,-30197.25101506099,292.0293938636617,1.037805999092541,418
665000,1329.9999999823735,-30318.07562922695,299.6405351752648,1.0226616215569626,418
670000,1339.999999982137,-30620.107674590545,303.4270513992978,1.0409347751133364,418
675000,1349.9999999819006,-30167.48718012584,304.68851341139,1.0241585818901264,418
680000,1359.9999999816641,-30515.769477259048,295.4891314686176,1.0252381426426538,418
685000,1369.9999999814277,-30546.487993796618,308.5682106925225,1.0247290131342426,418
690000,1379.9999999811912,-30205.99429439043,305.65907776515047,1.0217212622841725,418
695000,1389.9999999809547,-30433.114066654263,302.9055071730367,1.0233669799558622,418
700000,1399.9999999807183,-30611.05273210458,304.7923649502797,1.03470923117683,418
705000,1409.9999999804818,-30789.668179951143,316.88075052327383,1.0263468193574594,418
710000,1419.9999999802453,-30526.59842234754,296.34267229680944,1.0268712602032222,418
715000,1429.9999999800089,-30406.97845593476,295.695212476821,1.021101775256197,417
