#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
505000,1009.9999999899404,-36128.852834703575,300.3304235973017,0.9830220761418108,0
510000,1019.999999989704,-36673.552123550675,300.3757312018724,0.9935235670097415,451
515000,1029.9999999894676,-36326.95022750288,299.22519013876206,0.9999489029092781,447
520000,1039.9999999892311,-36303.545464265015,300.38490403355297,0.9968476475076918,450
525000,1049.9999999889947,-36309.17327265901,306.0816447693003,0.9926341590087651,451
530000,1059.9999999887582,-36510.29858399942,298.2676289637276,0.9992141767232728,451
535000,1069.9999999885217,-36668.10264472835,295.1289539329918,0.9888220919467218,454
540000,1079.9999999882853,-36570.391985329275,305.53543871565444,0.9892377354145881,454
545000,1089.9999999880488,-36177.005327495426,301.4263605455313,0.9832673105434464,454
550000,1099.9999999878123,-36300.732872684894,300.72652502106416,0.9999416966674919,454
555000,1109.9999999875758,-36746.048223800404,292.30227885802566,1.028935631389563,454
560000,1119.9999999873394,-36313.18076244087,296.43833958246313,0.9999855896668812,454
565000,1129.999999987103,-36518.52974799342,298.2734212462046,1.0012901628029658,454
570000,1139.9999999868664,-36474.09201220056,302.59056809719044,0.9963671373288343,454
575000,1149.99999998663,-36609.48534754358,299.1262884614509,1.002963146437476,455
580000,1159.9999999863935,-36334.01386207837,305.14593348546,0.9909803803265581,456
585000,1169.999999986157,-36336.933403908624,298.3053097194852,0.9938883584385494,456
590000,1179.9999999859206,-36622.55252277886,290.55919348145386,0.9910888394251931,456
595000,1189.999999985684,-36214.57861193197,297.7751818876616,0.9912178188408892,456
600000,1199.9999999854476,-36542.715209566435,299.835214365179,0.9931569946187349,456
605000,1209.9999999852112,-36361.90165451562,299.70675349544086,1.001748663891216,456
610000,1219.9999999849747,-36602.029567830556,292.9942607895258,1.004697910565744,456
615000,1229.9999999847382,-36858.78704036269,300.12039667147343,0.9979056405329205,456
620000,1239.9999999845018,-36557.13045139055,303.7272159275979,0.9835033240659359,457
625000,1249.9999999842653,-36536.01754698393,297.3647543559934,0.986324948389189,458
630000,1259.9999999840288,-36302.27703364132,296.1865092798973,0.9884337649128266,459
635000,1269.9999999837923,-36372.44701268984,297.4243056160501,0.9812359978589323,459
640000,1279.9999999835559,-36482.193161999254,298.1165761310188,0.9766831318821768,459
645000,1289.9999999833194,-36634.46914409677,304.8988235839162,1.0162194755677376,459
650000,1299.999999983083,-36443.42604934424,298.82500732022936,0.98028449226371,459
655000,1309.9999999828465,-36752.97088139926,304.0665488604652,1.009213034131338,459
660000,1319.99999998261,-36395.71435459453,311.52991513858035,0.9894293825021908,459
665000,1329.9999999823735,-36601.1644238256,307.0420093266012,0.9983668417607311,459
670000,1339.999999982137,-36204.9680052785,307.3831562126997,0.9884099828203827,459
675000,1349.9999999819006,-36732.6901516479,301.7300740331311,1.0016289995098822,459
680000,1359.9999999816641,-36366.52228022629,309.8092155939302,0.9901497168255466,458
685000,1369.9999999814277,-36184.237420023856,302.79432863912905,0.9733456165729788,458
690000,1379.9999999811912,-36078.34040887802,296.1652983949549,0.9827977388970123,458
695000,1389.9999999809547,-36462.767448113766,307.0721456859653,0.9859122502528885,458
700000,1399.9999999807183,-36584.79547448733,303.27059442784844,1.0031244803267347,458
705000,1409.9999999804818,-36492.51096862031,295.3137710315271,0.99862162381915,458
710000,1419.9999999802453,-36351.88765752109,290.8495084508684,0.9873061036478942,457
715000,1429.9999999800089,-36826.04782443409,307.731373393779,1.0153252468391734,457
720000,1439.9999999797724,-36331.72139739702,308.6585920784004,0.9978862446929997,457
725000,1449.999999979536,-36408.944079623296,297.8891311315499,1.002165192914585,457
