#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37731.611701979564,305.5755383124052,1.012647303606144,0
10000,19.999999999999794,-37600.916003069404,296.9674739042298,1.0157881409670746,704
15000,29.99999999999425,-37416.40831824564,307.273484769032,1.0080010543734839,705
20000,40.00000000000292,-37776.76380784722,307.7551911264364,1.0308993467367273,704
25000,50.00000000001514,-37295.187872477225,295.87945588834975,1.0123363820625892,704
30000,60.00000000002736,-37449.59738681701,298.165732261087,1.0081334708819243,703
35000,70.00000000001826,-37349.884986157325,305.43039704420113,1.0112515522905314,703
40000,79.99999999999496,-37589.69849105226,289.7422463515301,1.0097428618732798,703
45000,89.99999999997165,-37642.8336052793,302.2410080949727,1.0171998632857395,703
50000,99.99999999994834,-37151.402195862465,292.7142196885255,0.9931101904349067,703
55000,109.99999999992504,-37780.083168843965,298.3466122422418,0.992561136252037,702
60000,119.99999999990173,-37358.18633184343,292.83373697385923,1.001154506130569,702
65000,129.99999999989262,-37195.218735337956,303.2577121553364,1.0014011698089853,703
70000,139.99999999994037,-37487.091313139244,291.06572302340277,1.0107843069711384,702
75000,149.99999999998812,-37527.5043782843,309.196203005223,1.006667128739386,702
80000,160.00000000003587,-37416.816876751254,298.18835247563044,0.98871098766569,702
85000,170.00000000008362,-37549.69120029689,300.53529679505186,1.0148641161108196,702
90000,180.00000000013137,-37364.82489476615,299.10131414282614,1.0022945409873703,702
95000,190.0000000001791,-37284.883335599385,306.6002319878425,1.0058908094901309,702
100000,200.00000000022686,-37775.18048274773,304.8119068420327,0.9918548485220151,702
105000,210.0000000002746,-37334.28426811981,300.33663940951334,1.015827973915304,702
110000,220.00000000032236,-37706.17746750818,298.3455905523347,1.0035236483391692,702
115000,230.0000000003701,-37805.09271950796,300.0519352999979,0.9881547586093119,702
120000,240.00000000041786,-37474.65226056537,285.5959630691002,1.0174172209185,702
125000,250.0000000004656,-37587.32491872617,305.8398290575765,1.0001318113089106,702
130000,260.00000000051335,-37288.25960211494,297.2960698121546,1.019881334488146,702
135000,270.0000000005611,-37809.05686279401,290.0577033272495,1.0217568673846424,702
140000,280.00000000060885,-37438.30883696108,302.1323820240487,1.0124853804559597,702
145000,290.0000000006566,-37593.16163636159,293.2781312158559,1.005356750738521,703
150000,300.00000000070435,-37779.053419916425,300.68681340827635,1.0122562269779307,702
155000,310.0000000007521,-37234.069031774765,307.27791890322885,0.9932544295605483,702
160000,320.00000000079984,-37653.28152966505,305.74340196414346,1.0125716368279343,702
165000,330.0000000008476,-37584.4445919595,297.14234634873077,1.0077896978553806,702
