#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31605.919957887527,299.86321380466,1.0271930512640877,0
10000,19.999999999999794,-31475.506485596357,300.74475640319395,1.036631578385445,700
15000,29.99999999999425,-31495.59608614826,301.8846851488769,1.0345480646984653,697
20000,40.00000000000292,-31868.24313177279,294.39118046453956,1.046408273879624,697
25000,50.00000000001514,-31404.663426284038,289.0639291635864,1.0473584417005068,697
30000,60.00000000002736,-31660.334559611918,291.32224170864765,1.0385724222857557,698
35000,70.00000000001826,-31673.502860598674,297.74106532024433,1.0290557894766539,697
40000,79.99999999999496,-31657.17603953011,299.2557803763118,1.0359344584115244,697
45000,89.99999999997165,-31413.57497400287,302.8032276018647,1.039612696576951,698
50000,99.99999999994834,-31763.108264051552,299.4601796757872,1.035032069096319,697
55000,109.99999999992504,-31306.56381839153,300.91202179077175,1.0275832791241521,697
60000,119.99999999990173,-31566.60685924205,301.24584397658225,1.0409937333010433,697
65000,129.99999999989262,-31498.04111550792,301.740630850118,1.0427823715776086,697
70000,139.99999999994037,-31762.75267057735,295.879371297823,1.035312730201817,697
75000,149.99999999998812,-31475.598719172587,300.4109342173834,1.039523346019609,698
80000,160.00000000003587,-31669.476555673842,297.2852125585642,1.0396139198495273,697
85000,170.00000000008362,-31570.41668714452,305.3632651505083,1.040921503435835,697
90000,180.00000000013137,-31269.407191932958,294.9767433785056,1.0330402109759906,697
95000,190.0000000001791,-31464.831880925834,297.29873320931176,1.0329573334031021,697
100000,200.00000000022686,-31456.579689898965,300.4764308541496,1.0229244387417011,697
105000,210.0000000002746,-31652.56766968232,297.4399339996268,1.0234078802870152,697
110000,220.00000000032236,-30992.116268514917,305.5752099689562,1.0313940403790345,697
115000,230.0000000003701,-31252.666525935434,293.41464859163125,1.010525916392609,698
120000,240.00000000041786,-31925.90332193242,302.87427804701167,1.0326813544134463,698
125000,250.0000000004656,-31502.345860223606,295.0219973412771,1.0312288185772827,698
130000,260.00000000051335,-31358.490876223077,305.7734043238959,1.0432207214006415,697
135000,270.0000000005611,-31369.675441141386,296.03662067925205,1.028521139008431,697
140000,280.00000000060885,-31456.368823506287,307.0173233437427,1.0350331824976098,697
145000,290.0000000006566,-31548.076587992808,303.92894625851824,1.04157578177034,698
150000,300.00000000070435,-31470.87986522459,305.9705262192861,1.0217046214073098,698
155000,310.0000000007521,-31166.84801888623,297.0390447898527,1.0302534156809857,698
160000,320.00000000079984,-31285.834016185778,294.9817226549849,1.0315572241742947,697
165000,330.0000000008476,-31602.92430385764,303.0060948162695,1.0382648883050707,698
170000,340.00000000089534,-31387.773918749997,303.1417417982037,1.04446085432283,698
175000,350.0000000009431,-31237.217057287897,290.88856587836375,1.0327452534819503,697
180000,360.00000000099084,-31219.813799629803,297.6803372982602,1.037278926517458,697
185000,370.0000000010386,-31261.430608222814,297.80868772504596,1.0168435567703158,697
190000,380.00000000108633,-31487.277265939716,299.23019455563355,1.0246208047104444,697
195000,390.0000000011341,-31357.61463974268,291.98488765272606,1.0486555735694558,697
200000,400.00000000118183,-31519.410430891934,302.8310923990854,1.0382649830691737,697
205000,410.0000000012296,-31274.20414758433,297.2261123769675,1.0249448767622598,697
210000,420.00000000127733,-31254.55340395664,297.81634815039877,1.0283122508121831,697
215000,430.0000000013251,-31442.82402875417,292.9524568279716,1.028475872480762,697
220000,440.0000000013728,-31402.58785789687,297.9361189007894,1.0438950115052152,697
225000,450.0000000014206,-31604.23026871492,293.7214103248831,1.0379748706219531,697
230000,460.0000000014683,-31229.822134639806,293.85629126428205,1.020648666827456,697
235000,470.00000000151607,-31271.78246386748,297.0278222667109,1.0304281444898247,697
240000,480.0000000015638,-31509.543734892417,304.1096173904634,1.0293261525218396,697
245000,490.00000000161157,-31624.802948245633,308.8287649758499,1.0287271926162276,697
250000,500.0000000016593,-31784.572893586475,301.6105568276279,1.0398021544939107,697
255000,510.00000000170706,-31373.193035480712,299.4633396012452,1.041891167687069,697
260000,520.0000000015274,-31533.131691398798,300.6134567126474,1.0320105937835702,697
265000,530.0000000012909,-31549.90796190116,301.27028073345764,1.0414416609273525,697
270000,540.0000000010544,-31273.632875447714,298.95993474918765,1.0374121059196306,697
275000,550.000000000818,-31632.705565580196,298.96841867026586,1.023387020403058,697
280000,560.0000000005815,-31628.30874550913,297.2783564778734,1.0406439451277607,697
285000,570.000000000345,-31484.859718793916,296.06333641266986,1.0382800105588428,697
290000,580.0000000001086,-31504.54612358904,294.4448800462625,1.037598119326527,697
295000,589.9999999998721,-31626.0161772118,293.16271635284187,1.0381918789026061,697
300000,599.9999999996356,-31502.627988583554,297.0357125048243,1.034047159575085,697
305000,609.9999999993992,-31529.937699105532,294.96862332763163,1.037791854241369,697
310000,619.9999999991627,-31673.53590732126,294.81725332266086,1.037501833742445,697
315000,629.9999999989262,-31560.59508638963,299.15110066386615,1.0297335808083787,697
320000,639.9999999986898,-31353.56086772232,300.27938556301285,1.0291619380121544,697
325000,649.9999999984533,-31743.086963707145,316.1883079718306,1.0275028711034462,696
330000,659.9999999982168,-31539.569976936356,292.3158180279659,1.0299271101626057,696
335000,669.9999999979804,-31113.903281968378,296.72400979721994,1.0207159446699796,696
340000,679.9999999977439,-31359.493406224065,302.423519468191,1.0318447674286197,696
345000,689.9999999975074,-31546.991219864925,309.83105502900685,1.027657521747651,696
350000,699.999999997271,-31528.5690330122,303.0257438072994,1.0429994732588537,696
355000,709.9999999970345,-31736.286684597668,299.25390357210034,1.0369806450731427,696
360000,719.999999996798,-31680.17567114104,303.11027660106726,1.0323320581872693,696
365000,729.9999999965615,-31618.96027732629,303.3160739281695,1.0301388777043305,696
370000,739.9999999963251,-31121.269682301616,298.8042557549559,1.0150588614408549,696
375000,749.9999999960886,-31363.141151243646,313.16192287877345,1.035760722739522,696
380000,759.9999999958521,-31718.42455907169,297.47817867320055,1.040758298553439,696
385000,769.9999999956157,-31307.45615202232,292.44755819297023,1.0272096914971713,696
390000,779.9999999953792,-31501.154220907338,290.25524021232314,1.0381911137743753,696
395000,789.9999999951427,-31435.015763278934,300.95815670245884,1.0317189496388244,696
400000,799.9999999949063,-31345.33998313418,303.7744546302162,1.0219203020248928,696
405000,809.9999999946698,-31309.663987420878,300.29076129466176,1.0336695730918615,696
410000,819.9999999944333,-31370.113575261727,305.4977247665129,1.0193452292393854,696
415000,829.9999999941969,-31361.145307970088,301.1159040115358,1.031613654257321,696
420000,839.9999999939604,-31180.4720963664,300.42970225949773,1.024912086068644,696
425000,849.9999999937239,-31334.497749471077,292.3575673461385,1.0279386202113714,696
430000,859.9999999934874,-31645.50922722186,290.36706327141025,1.038144761131888,696
435000,869.999999993251,-31707.81186837182,299.2434279404305,1.0432502368763483,695
440000,879.9999999930145,-31713.219423436618,291.1277626600041,1.045339566319162,695
445000,889.999999992778,-31678.598822910048,295.491370753705,1.0369291359986643,695
450000,899.9999999925416,-31309.975068443047,298.37107785231984,1.0235406173515944,695
455000,909.9999999923051,-31358.845767287392,306.81704152289444,1.0375407760982267,695
460000,919.9999999920686,-31381.66358713314,301.87805888094675,1.0306512485605923,695
465000,929.9999999918322,-31222.98566953477,300.7197642654805,1.0210161152591577,695
470000,939.9999999915957,-31361.86633904089,298.32727937036543,1.0358674344601297,695
475000,949.9999999913592,-31208.77223121302,297.5264585039864,1.0329408592173779,695
480000,959.9999999911228,-31693.27924656126,300.3146809728258,1.0422970222833885,695
485000,969.9999999908863,-31555.81187063511,314.322036845261,1.024101295258281,695
490000,979.9999999906498,-31535.150753545953,305.08750898887183,1.0259837504304825,695
495000,989.9999999904134,-31406.546544438577,304.09096425472944,1.0316150479932407,695
500000,999.9999999901769,-31392.47562132933,309.75165472022536,1.0282338033346965,695
505000,1009.9999999899404,-31344.72555435667,296.3852657881202,1.0093098784136396,695
510000,1019.999999989704,-31312.977331155707,299.4606584523717,1.0365747289562879,695
515000,1029.9999999894676,-31733.016016435256,306.7707342516369,1.039594419398029,695
520000,1039.9999999892311,-31240.260549146304,295.81563655888795,1.034797091913279,695
525000,1049.9999999889947,-31395.271361081395,304.00601013756716,1.0194557954431245,695
530000,1059.9999999887582,-31474.709590574086,290.9471298301857,1.03092449069145,695
535000,1069.9999999885217,-31027.746567373833,297.06344324460133,1.0218245498929013,695
540000,1079.9999999882853,-31630.610034137266,298.3780488393909,1.0295825840590216,695
545000,1089.9999999880488,-31525.025530788495,311.1702122870521,1.0481323563903897,695
550000,1099.9999999878123,-31117.76056075294,296.4198143064612,1.0276197274158294,695
555000,1109.9999999875758,-31538.979977395793,301.86201028983265,1.038548654493048,695
560000,1119.9999999873394,-31345.297908922512,304.080565227313,1.029934479369622,695
565000,1129.999999987103,-31795.153422842937,307.7692323942443,1.037973639124627,695
570000,1139.9999999868664,-31492.900755755167,292.7607738345818,1.0357885097657726,695
575000,1149.99999998663,-31234.55417077162,290.21938942167213,1.022272587422504,695
580000,1159.9999999863935,-31225.078684202483,304.18315747385003,1.0329973886130432,695
585000,1169.999999986157,-31329.6370734534,300.9467426686832,1.0274058343062824,695
590000,1179.9999999859206,-31093.053571284196,298.2155712176586,1.0252009385351106,694
595000,1189.999999985684,-31270.625813858904,306.14204314293477,1.0274013225308096,694
600000,1199.9999999854476,-31243.654674355756,300.28840571386576,1.0345227934452128,694
605000,1209.9999999852112,-31425.35787460071,301.7503787413794,1.0297630996364426,694
610000,1219.9999999849747,-31458.623926783068,299.05796904263974,1.032848177830784,694
615000,1229.9999999847382,-31247.949408002052,294.2622172037256,1.0248836920546338,694
620000,1239.9999999845018,-31358.218440124183,299.16105921682475,1.0233257538908611,694
625000,1249.9999999842653,-31511.4117513244,305.96035700463034,1.0398210798406107,694
630000,1259.9999999840288,-31286.50581278777,295.93707345179274,1.0227064040780622,694
635000,1269.9999999837923,-31254.824513884378,302.19140858000196,1.0223304797091355,694
640000,1279.9999999835559,-31277.99124885135,301.3249761704764,1.0275176618667046,694
645000,1289.9999999833194,-31787.654692407727,307.0852521655585,1.0480091953662591,694
650000,1299.999999983083,-31482.88473502989,292.2458591934317,1.026308367195635,694
655000,1309.9999999828465,-31521.339875241916,301.4359757338381,1.0419835271592341,694
660000,1319.99999998261,-31445.78861374958,302.6727131049168,1.023170438427907,694
665000,1329.9999999823735,-31607.74425918376,301.5444856589602,1.0171910318358912,694
670000,1339.999999982137,-31199.081031739042,292.9233280605677,1.0200654510335145,694
675000,1349.9999999819006,-31642.076540694397,296.9503370642676,1.0280535261611596,694
680000,1359.9999999816641,-31537.730995597958,299.795419040288,1.0286537349065767,694
685000,1369.9999999814277,-31571.047005283297,305.40308021127936,1.0244327665098223,694
690000,1379.9999999811912,-30888.117063843616,293.63149608230486,1.0134514518300708,694
695000,1389.9999999809547,-31794.748910922237,289.07369620591123,1.0418607481458686,694
700000,1399.9999999807183,-31567.343208765466,304.0361156092036,1.0342567714838973,694
705000,1409.9999999804818,-31430.257567742374,306.1333868622861,1.0456478751633413,694
710000,1419.9999999802453,-31262.21011274631,302.3377035531766,1.030281004901452,694
715000,1429.9999999800089,-31213.349314785504,293.9685164957002,1.0368455281587008,694
720000,1439.9999999797724,-31503.50390517537,306.5324184189121,1.0387820027102808,693
725000,1449.999999979536,-31672.656296231755,311.69401302161145,1.0403252663418656,693
730000,1459.9999999792994,-31433.498594887467,305.8365262288027,1.026227462032555,693
735000,1469.999999979063,-31434.892473571817,293.4173297405047,1.0429387987466334,693
740000,1479.9999999788265,-31524.881512076157,298.0169363882612,1.022213052474387,693
745000,1489.99999997859,-31467.44093326287,303.2916371712942,1.0314228521061888,693
750000,1499.9999999783536,-31585.369497821725,301.2209284431224,1.0382363247664046,693
755000,1509.999999978117,-31521.688216408016,289.3016704644098,1.0203544407890044,693
760000,1519.9999999778806,-31301.978431310097,301.7042438296923,1.0315383899326749,693
765000,1529.9999999776442,-31397.200638366165,291.36588698209516,1.0392744352275993,693
770000,1539.9999999774077,-31671.010239555704,303.10537392884146,1.0385500717324987,693
775000,1549.9999999771712,-31284.60143073264,303.23422228327513,1.0138123053514083,693
780000,1559.9999999769348,-31403.060079744697,298.05477888950384,1.0187413609691987,693
785000,1569.9999999766983,-31438.34881916488,301.37262401617073,1.0290721587381446,693
790000,1579.9999999764618,-31420.38885690135,293.1638654166448,1.0280863345207156,693
795000,1589.9999999762254,-31419.495008405764,301.8704176066573,1.0186480171723953,693
800000,1599.9999999759889,-31306.290536919434,297.6347194652845,1.0414386441541017,693
805000,1609.9999999757524,-31527.863717143482,304.92568250329447,1.0266185942861257,693
810000,1619.999999975516,-31445.13577432366,287.8191483458874,1.0521951070111748,693
