#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31448.137772311457,301.9232170884014,1.0368384173613594,0
10000,19.999999999999794,-31677.39809132705,298.67649901113504,1.0528003253926113,697
15000,29.99999999999425,-31247.804269376094,299.7721313472155,1.0394524828895202,697
20000,40.00000000000292,-31473.69587675709,294.2696478163178,1.0315188467619065,696
25000,50.00000000001514,-31541.845155306015,307.291662326689,1.0283590452644757,695
30000,60.00000000002736,-31100.985428658198,305.2966002988758,1.0235186330159884,694
35000,70.00000000001826,-31366.4046631238,301.72707189724355,1.0330772376527646,694
40000,79.99999999999496,-31333.145256150194,305.6356507249896,1.0381430966587517,695
45000,89.99999999997165,-31592.00076292918,294.23596109582894,1.035192276187018,695
50000,99.99999999994834,-31436.001614360895,296.5697671327418,1.026531687105851,695
55000,109.99999999992504,-31338.94004913111,309.1625871616604,1.0347033340285783,695
60000,119.99999999990173,-31479.59084543999,300.0739138039881,1.037152411778659,695
65000,129.99999999989262,-31813.222026343225,300.481965511467,1.0456502963264178,695
70000,139.99999999994037,-31745.280525299575,305.97807173825856,1.0367892150233136,694
75000,149.99999999998812,-31056.002185648802,306.746872026663,1.0212269987665366,694
80000,160.00000000003587,-31300.054584928876,301.67084437515416,1.0365391133745578,694
85000,170.00000000008362,-31479.45573276261,318.7102349043442,1.0412788373449375,693
90000,180.00000000013137,-31509.619283267006,306.7474274075011,1.0292203405745874,694
95000,190.0000000001791,-31078.377136644587,297.8681709279102,1.0243420407669264,693
100000,200.00000000022686,-31329.627418220596,302.90671994838067,1.0464501290370942,693
105000,210.0000000002746,-31374.15315696568,298.2853576926223,1.0238135602630583,693
110000,220.00000000032236,-31155.578902382636,302.53651074214446,1.0307366017432786,693
115000,230.0000000003701,-31457.74980676605,298.7313859587876,1.0423721578567835,693
120000,240.00000000041786,-31556.008979486447,300.0456851365631,1.0414244331185198,693
125000,250.0000000004656,-31545.775339828804,296.40928122160113,1.0314868019841208,693
130000,260.00000000051335,-31313.563359512453,296.9809787656787,1.0186502733280762,693
135000,270.0000000005611,-31459.79853932289,302.80895376981584,1.0327355718496958,693
140000,280.00000000060885,-31358.082571245206,306.6192493402858,1.014539254198537,693
145000,290.0000000006566,-31369.504945976543,299.3647690780184,1.0359909167876045,693
150000,300.00000000070435,-31186.159757599497,309.08004607848426,1.0234370394812846,693
155000,310.0000000007521,-31283.839524710056,307.7591014817153,1.035196585949843,693
160000,320.00000000079984,-31480.198933956708,294.99064705052086,1.0274311576789066,693
165000,330.0000000008476,-31321.963231247617,294.18448303745834,1.0230432250090447,693
170000,340.00000000089534,-31478.137814268994,295.7393961755644,1.0213105200268902,693
175000,350.0000000009431,-31245.676985988626,305.89227497430755,1.033206687539924,693
180000,360.00000000099084,-31777.93559530552,302.8582294558976,1.0344512846421945,694
185000,370.0000000010386,-31077.616044855647,309.36133689743815,1.0285753520061955,694
190000,380.00000000108633,-31099.756736592448,289.32449853196107,1.0139927601262724,693
195000,390.0000000011341,-31580.392511938495,293.1501915573901,1.0418579178287533,693
200000,400.00000000118183,-31477.313313722523,301.077199712441,1.0168425159527483,693
205000,410.0000000012296,-31380.038524551317,293.7356395649758,1.033478847407292,693
210000,420.00000000127733,-31249.395987190015,301.02593231576753,1.0429208881706724,692
215000,430.0000000013251,-31648.35707900679,288.27149646296874,1.0328164681448937,692
220000,440.0000000013728,-31736.5774880666,301.53948723141747,1.0374288977509751,692
225000,450.0000000014206,-31265.76219530721,302.07389765509043,1.0380091410670262,693
230000,460.0000000014683,-31447.327864200604,295.22530503013974,1.0322936255472757,693
235000,470.00000000151607,-31117.556720192923,295.5270683358489,1.0267037357288171,693
240000,480.0000000015638,-31478.905253552366,298.6392310417937,1.033339493302485,693
245000,490.00000000161157,-31286.85792023997,307.9511674963727,1.0471358145799134,693
250000,500.0000000016593,-31442.186284893978,298.01417863513416,1.0316738600262365,693
255000,510.00000000170706,-31403.452495869948,299.3499270038974,1.0346325979377144,693
260000,520.0000000015274,-31412.218788867904,295.9005523739234,1.0314177632567212,693
265000,530.0000000012909,-31183.24257833886,308.02026453305467,1.029279779100541,693
270000,540.0000000010544,-31735.655222125002,304.259723425251,1.0393095490967519,693
275000,550.000000000818,-31301.79775137303,303.6697366156437,1.0369988813030802,693
280000,560.0000000005815,-31801.490007930755,309.62150409348175,1.0397222595720776,693
285000,570.000000000345,-31211.104663055856,297.3844150668826,1.026450601184547,693
