#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37789.35344150863,294.28553497393614,1.0179788447296216,0
10000,19.999999999999794,-37726.92378585381,306.39060736405526,1.0095046434609407,707
15000,29.99999999999425,-37554.503993777005,302.7061276704038,1.0008275863289775,708
20000,40.00000000000292,-37796.61154430997,288.98001173714323,0.9936426083060285,708
25000,50.00000000001514,-37324.738724094525,297.4300232897816,0.9973547635308287,708
30000,60.00000000002736,-38190.725785682676,302.3153088602729,1.0202372912968194,709
35000,70.00000000001826,-37575.211524509126,299.6423696999212,0.9990953989649153,708
40000,79.99999999999496,-37514.10698500401,302.59555474048915,0.9908289640531561,708
45000,89.99999999997165,-37507.54898677932,302.72265307726514,1.0078112831876234,707
50000,99.99999999994834,-37042.8243559906,299.3816758578596,1.0029382334828825,708
55000,109.99999999992504,-37374.39552772732,306.73830676702784,1.0117045777169231,708
60000,119.99999999990173,-37681.03619760752,305.44565271920777,0.9981232561719994,708
65000,129.99999999989262,-37521.53174391907,305.7206322609737,1.0034283747938817,707
70000,139.99999999994037,-37565.54247049935,291.30644196949766,0.993099977871371,707
75000,149.99999999998812,-37599.59823274851,296.90486240531277,1.0150578888382356,707
80000,160.00000000003587,-37583.09340500893,309.7203456925917,0.9883916569080355,707
85000,170.00000000008362,-37512.12187695241,301.2132922288459,0.9897257078645006,708
90000,180.00000000013137,-37574.66190042024,290.51834753581016,1.0021069622705208,708
95000,190.0000000001791,-37210.975080207165,304.05481475223354,0.9947883356585453,708
100000,200.00000000022686,-37144.743427060836,298.84606300665797,0.9977451742982104,708
105000,210.0000000002746,-37536.27379124638,286.170753103342,1.0044159148740561,708
110000,220.00000000032236,-37527.39770500557,304.9862100888871,0.9986670189172705,708
115000,230.0000000003701,-37523.49241915904,304.6010208129617,1.0052051330097918,708
120000,240.00000000041786,-37399.65039739461,300.6288295485706,1.0155418984628382,708
125000,250.0000000004656,-37579.39432472404,304.0647622804175,1.0090320093764251,708
130000,260.00000000051335,-37490.15201346486,300.45933819614663,1.005047540020117,708
135000,270.0000000005611,-37790.172510759294,296.2117033065246,1.0091830562510367,708
140000,280.00000000060885,-37883.33474064892,299.2767324621504,1.0177849276342275,708
145000,290.0000000006566,-37309.642712285946,295.8204002353868,1.0006684656489795,708
150000,300.00000000070435,-37151.01040727142,313.47825146141827,0.9970883763364796,708
155000,310.0000000007521,-37373.52329772888,300.0231804492423,0.9978305221993842,708
160000,320.00000000079984,-37657.16673060434,291.9226842783525,1.0031750126707095,708
165000,330.0000000008476,-37278.46699579517,296.0976396618517,0.9939874954525751,708
170000,340.00000000089534,-37605.30557537064,297.7373676088437,0.9954838099611897,708
175000,350.0000000009431,-37705.65791092848,296.38642064231504,1.0131750370359227,708
180000,360.00000000099084,-37503.60586531853,294.27875531983915,1.0099484372394276,708
185000,370.0000000010386,-37468.04711201784,294.1323874304959,1.0168073199211027,708
190000,380.00000000108633,-37110.434891095356,299.03167621510414,0.9878797176443401,708
