#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37424.16282998724,291.5700615551428,1.0094453611324035,0
10000,19.999999999999794,-37362.5534702242,296.5603510539691,0.9982713328909409,704
15000,29.99999999999425,-37429.10833680557,301.9627668472311,0.9993427720074297,707
20000,40.00000000000292,-37441.66519027494,302.29896505128914,1.0019423221829595,708
25000,50.00000000001514,-37782.18864363359,292.49725996306967,1.000749938943051,708
30000,60.00000000002736,-37526.48597888346,292.96011259798075,1.003154964320025,708
35000,70.00000000001826,-37343.95019999237,304.6498504644934,1.0011328988905268,708
40000,79.99999999999496,-37827.741166341904,302.74928743264604,1.0137674547127618,708
45000,89.99999999997165,-37428.01804909925,304.03669531955774,1.0022666408617236,708
50000,99.99999999994834,-37539.85926386327,295.6262721042355,1.0135558473487762,708
55000,109.99999999992504,-37523.71307788737,305.7230333884663,0.9973329860466364,708
60000,119.99999999990173,-37656.381490904634,307.36679684384944,1.0017622396058161,708
65000,129.99999999989262,-37701.22506937393,301.52681087574626,1.0013531480171465,708
70000,139.99999999994037,-37487.85186197527,295.6060340296544,1.0048444187395917,708
75000,149.99999999998812,-37313.56304894679,302.7568943659632,1.0041624098372208,708
80000,160.00000000003587,-37631.50516888994,305.24066907048456,1.015407000644852,707
85000,170.00000000008362,-37391.83572478211,298.70189446938775,0.9866656199138348,707
90000,180.00000000013137,-37654.18818404808,289.012537934775,1.007809464435967,707
95000,190.0000000001791,-37620.020151141594,296.21626343100655,1.0090561404555172,707
100000,200.00000000022686,-37643.15260097632,293.64602795920695,0.9924308003279652,707
105000,210.0000000002746,-37410.290138464305,299.32760004541956,1.001169303590294,707
110000,220.00000000032236,-37552.488361549826,294.769251187229,1.0052950325911163,707
115000,230.0000000003701,-37734.75458867542,295.8876116276397,1.0078910841944861,707
120000,240.00000000041786,-37503.51545216856,308.8778526057929,1.0006446753402536,708
125000,250.0000000004656,-37524.34206563007,310.24823054522454,1.0069608615912589,707
