#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31682.868597277557,308.6343482914117,1.0326335656437984,0
10000,19.999999999999794,-31622.906871723157,311.4035173957346,1.0334836650977308,695
15000,29.99999999999425,-31186.00711968259,299.59004333364277,1.0523438209029272,696
20000,40.00000000000292,-31265.412131219084,304.91727540136617,1.0296629598150038,696
25000,50.00000000001514,-31424.85275050692,289.56599035681154,1.0227491575877263,695
30000,60.00000000002736,-31578.152601480717,306.0997954041165,1.0445025381577622,695
35000,70.00000000001826,-31363.078504654608,301.7428918196044,1.0330116724700327,695
40000,79.99999999999496,-31286.09514604273,299.1873678668962,1.0349401395328612,694
45000,89.99999999997165,-31251.410847715335,304.8448651422323,1.0455194456198282,694
50000,99.99999999994834,-31220.07839965055,299.5784142770367,1.0420188511622752,693
55000,109.99999999992504,-31500.82679099473,311.0613711686227,1.0252525361515086,693
60000,119.99999999990173,-31611.485912564152,298.3322833346511,1.0437322120153907,693
65000,129.99999999989262,-31346.441882465588,298.6061863812463,1.037768285072778,694
70000,139.99999999994037,-31485.289841169928,304.60049989941655,1.0296113128553237,694
75000,149.99999999998812,-31239.325418155757,302.5323109455472,1.0370668543108175,694
80000,160.00000000003587,-31477.52161383856,309.2930762028631,1.0289287796160247,694
85000,170.00000000008362,-31366.67623875721,307.5783911880576,1.03754573058918,694
90000,180.00000000013137,-31238.175905600627,302.61069078707214,1.026317092486641,693
95000,190.0000000001791,-31695.31161232479,299.7106947959308,1.0262076903578556,693
100000,200.00000000022686,-31107.921596453583,298.55571627557595,1.0309285800595989,693
105000,210.0000000002746,-31667.812751439604,300.5817111357262,1.046404485244745,693
110000,220.00000000032236,-31240.281706963084,298.20511960066364,1.0250073498046703,693
115000,230.0000000003701,-31125.03148827856,296.3459823210495,1.031454521003314,693
120000,240.00000000041786,-31403.785037680267,307.2181617779232,1.0385626259721743,693
125000,250.0000000004656,-31426.24583206122,305.3651103712663,1.0327495052610371,694
130000,260.00000000051335,-31037.022252206167,304.232246440224,1.0158385968024508,694
135000,270.0000000005611,-31440.714727907645,305.3986989630969,1.033820892523241,694
140000,280.00000000060885,-31662.791627961007,298.102493176115,1.0317938639228066,694
145000,290.0000000006566,-31413.267699543474,310.56395765405864,1.0610748325491361,694
150000,300.00000000070435,-31621.93333500455,303.17516519473133,1.0419969240548295,694
155000,310.0000000007521,-31653.869623779523,309.70410520860503,1.03655055788549,694
160000,320.00000000079984,-31271.696302598168,298.98849161717123,1.0223332312191429,694
165000,330.0000000008476,-31303.731237114902,306.5306131878497,1.043111193271243,694
170000,340.00000000089534,-31405.041118031397,301.23910170566796,1.0395717773994892,694
175000,350.0000000009431,-31301.886722944968,302.9845649569576,1.0501467304625698,694
180000,360.00000000099084,-31201.687899931218,309.06303408143384,1.0385661334601206,694
185000,370.0000000010386,-31381.90461009837,289.1386612900601,1.0289932230686336,694
190000,380.00000000108633,-31212.899623220117,303.93681025714653,1.0393976864080845,694
195000,390.0000000011341,-31567.690948328032,306.54840564445703,1.0343453463292758,694
200000,400.00000000118183,-31098.274744205526,304.3005671477847,1.0149425232092144,694
205000,410.0000000012296,-31270.762889104662,305.78693501789087,1.0494671137038338,694
210000,420.00000000127733,-31130.717946084973,292.93899822540516,1.0430427688052728,694
215000,430.0000000013251,-31136.622925239906,305.56024594111636,1.0402340520675533,694
220000,440.0000000013728,-31570.593646906666,302.4939350587471,1.0459066239183787,694
225000,450.0000000014206,-31321.247965073737,307.4095760496593,1.0332905386874047,694
230000,460.0000000014683,-31394.414875938586,300.78120760180354,1.0303377893069487,694
235000,470.00000000151607,-31358.039815087017,298.44861266423396,1.0495521429321675,694
240000,480.0000000015638,-31612.324003596877,287.7722471388456,1.0306203554370115,694
245000,490.00000000161157,-31512.70185717949,295.0221111352523,1.0294633277231013,694
250000,500.0000000016593,-31602.763868031354,297.98961379999196,1.0398890640883047,694
255000,510.00000000170706,-31396.847763458354,299.83762594878624,1.0392413636425306,694
260000,520.0000000015274,-31366.929401870148,302.52312399082837,1.032884876386534,694
265000,530.0000000012909,-31390.31213835941,298.4878025849964,1.0492009235306026,694
270000,540.0000000010544,-31130.77209153073,299.9258517249043,1.0391938776680254,694
275000,550.000000000818,-30980.34062907673,299.07789968071097,1.0303686369459923,694
280000,560.0000000005815,-31430.33693357071,293.33764228586165,1.0384968729226252,694
285000,570.000000000345,-31203.81178818646,299.7059462644834,1.0343487951447314,694
290000,580.0000000001086,-31141.126747549104,299.4639649782718,1.0434857023542023,694
295000,589.9999999998721,-31240.42985273758,302.0276680341263,1.0299246625362637,694
300000,599.9999999996356,-31551.473006565473,296.6455274374612,1.03941652942958,694
305000,609.9999999993992,-31299.04741732159,293.87265641678533,1.0276192568398166,694
310000,619.9999999991627,-31630.874080897163,298.99199971591406,1.055511676283466,694
315000,629.9999999989262,-31587.763183527015,302.7295785091083,1.0364553027020302,694
320000,639.9999999986898,-31284.38539687838,297.3258272489169,1.028992571403586,694
325000,649.9999999984533,-31618.22912763679,305.56113750212285,1.0409675664863245,694
330000,659.9999999982168,-31546.973554077238,300.2660985394373,1.0422954962031663,694
335000,669.9999999979804,-31426.2787358216,305.48012174110045,1.026875065497519,694
340000,679.9999999977439,-31410.901612108835,309.3282734808575,1.0272079175408837,693
345000,689.9999999975074,-31601.036997887306,300.06582680291956,1.036809671654314,693
350000,699.999999997271,-31528.368482896738,297.7141214489939,1.0404040514308237,693
355000,709.9999999970345,-31618.044624740898,293.6981236588891,1.0407570663879433,693
360000,719.999999996798,-31342.694511404843,300.27251390233164,1.0263192753674062,693
365000,729.9999999965615,-31263.92141958096,303.53934848411166,1.0201563391612314,693
370000,739.9999999963251,-31119.850009760296,301.6301481158085,1.0348996026152926,693
375000,749.9999999960886,-31248.829302511644,295.13803344785396,1.0372552882993893,693
380000,759.9999999958521,-31229.555897558457,302.40706600589965,1.0299497284548513,693
385000,769.9999999956157,-31270.611296868738,301.77690681017714,1.0453783603181388,693
390000,779.9999999953792,-31315.602913653187,292.8336777360761,1.0332096276682172,693
395000,789.9999999951427,-31481.99656016074,290.1171494946567,1.0441365209145625,693
400000,799.9999999949063,-31721.42501076465,297.8679351043703,1.03264207546094,693
405000,809.9999999946698,-31325.807172550092,321.53541049082617,1.0170409388507926,693
410000,819.9999999944333,-31381.411726526538,294.05182141556304,1.0259242250653835,693
415000,829.9999999941969,-31535.149889415887,308.4538653328853,1.0478258668093547,693
420000,839.9999999939604,-31455.14666892594,290.6727664375343,1.0417396376582324,693
425000,849.9999999937239,-31154.326901219436,302.66333164997565,1.0489376618358266,693
430000,859.9999999934874,-31277.99607190583,302.96619104752006,1.0475642189535337,693
435000,869.999999993251,-31420.845920509164,304.61406713212364,1.0456199479668742,692
440000,879.9999999930145,-31843.606892541633,301.5758985667411,1.0387742055956937,692
445000,889.999999992778,-31304.04045903895,294.0615510595901,1.0339592282130785,692
