#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31730.78051588527,296.59618147392933,1.0408753780422084,0
10000,19.999999999999794,-31602.934434359428,306.82203734639813,1.0385954778882198,698
15000,29.99999999999425,-31620.140028489608,308.23915418441504,1.034412902131554,698
20000,40.00000000000292,-31320.353882496856,299.2387876788561,1.0315087001616856,697
25000,50.00000000001514,-31450.668588717614,297.75280744397014,1.0340449312294977,696
30000,60.00000000002736,-31452.879697194323,301.2681937289442,1.037055162638966,697
35000,70.00000000001826,-31594.6036403162,308.99667093173514,1.0427266293026434,697
40000,79.99999999999496,-31689.597133281233,303.15237224378336,1.0382770292814936,696
45000,89.99999999997165,-31739.16546775718,301.46922135414127,1.0425566494922065,696
50000,99.99999999994834,-31322.827257777622,302.419121461248,1.0375072810007806,696
55000,109.99999999992504,-31364.93047665895,311.0097963025747,1.0343904870214433,697
60000,119.99999999990173,-31673.209315709537,304.4090081006364,1.0376400453290506,697
65000,129.99999999989262,-31770.565586386045,304.00458827539893,1.0435821096152913,697
70000,139.99999999994037,-31424.317482405924,299.59388092232274,1.037568844423274,697
75000,149.99999999998812,-31700.0867495767,300.4538690401034,1.0382980816772784,697
80000,160.00000000003587,-31291.206091494678,296.61548570789546,1.0200533866662578,696
85000,170.00000000008362,-31140.51131432841,302.6957379543846,1.0123798037962126,696
90000,180.00000000013137,-31811.374141733017,297.1531745218386,1.0417004778987222,696
95000,190.0000000001791,-31620.674290356314,305.1606327926094,1.0437590022152698,696
100000,200.00000000022686,-31641.17698149543,295.8201745266056,1.0311067136100094,696
105000,210.0000000002746,-31727.561508206592,299.6257057739014,1.0547788242483163,696
110000,220.00000000032236,-31970.568219669512,307.21920839301777,1.0686798230400014,696
115000,230.0000000003701,-31492.860810534563,298.2261488113596,1.039086102596737,696
120000,240.00000000041786,-31725.19406869437,301.58250774724553,1.0544154931355005,696
125000,250.0000000004656,-31414.690023323463,296.03033096123846,1.0424559247549399,696
130000,260.00000000051335,-31356.558795728197,295.5934466863091,1.0345464614148154,696
135000,270.0000000005611,-31322.186759971722,297.3307889797355,1.041604744794502,696
140000,280.00000000060885,-31553.679211260285,299.3560085694454,1.046454607908226,696
145000,290.0000000006566,-31272.798090669065,301.3278507893334,1.0213855017597597,696
150000,300.00000000070435,-31547.2360873922,293.6567435991325,1.0458927897557968,696
155000,310.0000000007521,-31283.052369303477,296.6454111468951,1.0446031925587025,696
