#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31321.111724131188,298.97538954672837,1.0358680472532786,0
10000,19.999999999999794,-31442.68335451014,301.85084822843083,1.0420397570074114,697
15000,29.99999999999425,-31484.662461721455,300.623285013093,1.0244121784106512,696
20000,40.00000000000292,-31308.921548081387,301.7176955302912,1.034757417417282,695
25000,50.00000000001514,-31246.868208435626,305.4326751901477,1.0465043127590938,694
30000,60.00000000002736,-31745.814572292642,306.3251277576203,1.0352516349868541,695
35000,70.00000000001826,-31295.771661642822,308.64915595682345,1.039808463599529,694
40000,79.99999999999496,-31470.71783868171,301.29172318681054,1.0496772759918724,694
45000,89.99999999997165,-31642.116993198724,303.5114387482571,1.0385232218764073,694
50000,99.99999999994834,-31835.071952360508,307.7460046572732,1.0408615844454243,694
55000,109.99999999992504,-31900.651402228803,310.1342252489419,1.046816892549732,694
60000,119.99999999990173,-31574.78623381976,305.19697359450345,1.039587999436936,694
65000,129.99999999989262,-31657.724488279462,301.06571247167136,1.038813730551576,694
70000,139.99999999994037,-31212.863125732198,295.2431407378119,1.0363999588800077,694
75000,149.99999999998812,-31699.417972892465,298.20139830254965,1.0450983185105465,694
80000,160.00000000003587,-31787.03257337236,307.6702801170066,1.0472468178311756,694
85000,170.00000000008362,-31798.32699050603,295.826667416544,1.0451014479819232,694
90000,180.00000000013137,-31361.782268808136,305.1186131347394,1.0333927751212282,694
95000,190.0000000001791,-31474.352670000022,303.2572857161312,1.045583263045302,694
100000,200.00000000022686,-31460.861803580716,299.4694500166377,1.0376893335930015,694
105000,210.0000000002746,-31264.383962154592,288.5768809471814,1.027352945411584,693
110000,220.00000000032236,-31194.238279108395,298.0591361767353,1.0235424176589307,693
115000,230.0000000003701,-31646.85262022642,305.6388971272955,1.031921543214633,693
120000,240.00000000041786,-31625.9800934534,297.9594945433822,1.0452485313484734,693
125000,250.0000000004656,-31204.16888200806,300.6422403753609,1.0319949941239799,693
130000,260.00000000051335,-31227.20531256564,301.1786499930774,1.0348630216094428,693
135000,270.0000000005611,-31815.165186356695,288.51053717924367,1.0480160170872603,693
140000,280.00000000060885,-31338.856208323617,299.762734824243,1.044247783916328,693
145000,290.0000000006566,-31389.786779077782,299.6855954154227,1.0453559850750616,693
150000,300.00000000070435,-31727.474428137823,296.2858019531131,1.0333193502547457,693
155000,310.0000000007521,-31459.62181470584,306.12830597456235,1.0328929377047174,693
160000,320.00000000079984,-31377.961934817606,294.0218378312803,1.0561729912468691,693
165000,330.0000000008476,-31323.185951602965,300.0693736651844,1.0253557557313644,693
170000,340.00000000089534,-31597.879326108843,298.42603291265715,1.0289298276249932,693
175000,350.0000000009431,-31135.20146538253,312.13804737449664,1.019733972232038,693
180000,360.00000000099084,-31558.228500898957,296.44124367641433,1.0353817458833245,693
185000,370.0000000010386,-31287.704382450524,300.7479678816712,1.0389016426156283,693
190000,380.00000000108633,-31621.202321131917,298.7076305183733,1.0460270754032974,694
195000,390.0000000011341,-31318.92961382022,297.99120310439474,1.0450632911761737,694
200000,400.00000000118183,-31559.307361239276,296.0295750725591,1.039732609892469,694
205000,410.0000000012296,-31967.25474611108,302.2855036008441,1.039898658365246,694
210000,420.00000000127733,-31817.427327344223,299.0479742417113,1.0380443076422077,694
215000,430.0000000013251,-31531.691129172978,296.7536776638977,1.0641958395784963,694
220000,440.0000000013728,-31402.460377251293,301.33680516292003,1.032137973369447,693
225000,450.0000000014206,-31528.24394302661,313.2635462363551,1.0407860493337093,693
230000,460.0000000014683,-31619.11922730325,303.99799847665554,1.0385219002899946,693
235000,470.00000000151607,-31468.175343067793,303.3558807343898,1.0349767655382844,693
240000,480.0000000015638,-31297.881542927993,304.40819406667396,1.0369231075367926,693
245000,490.00000000161157,-31490.847535689536,295.8259502913866,1.0204256700154564,693
250000,500.0000000016593,-31297.65217605239,304.7157826139048,1.0346141930256973,693
255000,510.00000000170706,-31527.420826920483,296.7027230142021,1.0266515196635781,693
260000,520.0000000015274,-31090.84084684716,301.26993808743515,1.0271717625283288,693
265000,530.0000000012909,-31262.95862107587,295.03339132016026,1.0380992586369766,693
270000,540.0000000010544,-31768.841592200886,306.88706315458705,1.0471234602438122,693
275000,550.000000000818,-31476.649349488813,299.29175803169676,1.0356446183692591,693
280000,560.0000000005815,-31266.09682933279,300.10106284443594,1.0405558519323375,693
285000,570.000000000345,-31316.77838561809,301.05555642890204,1.037388529139338,693
290000,580.0000000001086,-31249.703519987495,290.6057636897222,1.0220951721954368,693
295000,589.9999999998721,-31253.637219755008,306.92739659924916,1.0353971845558938,693
300000,599.9999999996356,-31170.193885954504,299.43287663361156,1.031405829183326,693
305000,609.9999999993992,-31437.44571117789,287.7689134759519,1.0342713502224818,693
310000,619.9999999991627,-31332.34165140835,297.99856817357863,1.042415107779077,693
315000,629.9999999989262,-31455.29382954538,297.70559347414945,1.0473806709636952,693
320000,639.9999999986898,-31158.03140078907,302.9001573877585,1.0227984849726313,693
325000,649.9999999984533,-31618.256091137126,300.0239621991376,1.0341027629917283,693
330000,659.9999999982168,-31205.541590164474,297.21155238600113,1.039350313869978,693
335000,669.9999999979804,-31475.752535682317,297.1295675369283,1.0497120538280742,693
340000,679.9999999977439,-31135.628358160728,293.829900251997,1.0286131791711608,693
345000,689.9999999975074,-31488.347684680804,299.12274907568843,1.0347283542649899,693
350000,699.999999997271,-31622.140018270933,304.3977279157285,1.0381588439929874,693
355000,709.9999999970345,-31237.87708316528,307.61847266982653,1.0386027945664513,693
360000,719.999999996798,-31375.345823742653,297.4459554036577,1.0334892258489368,693
365000,729.9999999965615,-31455.70720630174,301.5579898195677,1.0305890172486551,693
