#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45685.20605899661,297.3459823982676,1.0429314845056483,0
10000,19.999999999999794,-45498.6621406427,304.48517704205915,1.0320860870215682,704
15000,29.99999999999425,-45239.217536209326,301.567198457108,1.0307718792120606,704
20000,40.00000000000292,-45395.688528408675,304.2994271302629,1.0505644959489027,705
25000,50.00000000001514,-45386.64849786731,298.6608988172997,1.0601690275161804,704
30000,60.00000000002736,-45485.560336242605,302.37626812338715,1.0479854335744436,705
35000,70.00000000001826,-45085.64161772665,310.110874139372,1.0440162637508759,705
40000,79.99999999999496,-45505.302856366965,304.09676423101894,1.0548119793827018,705
45000,89.99999999997165,-45264.46885782093,291.8023894571098,1.0521952537719526,704
50000,99.99999999994834,-45255.612092717754,291.18078834338365,1.0380080115164256,703
55000,109.99999999992504,-45279.089647429966,294.39507621881654,1.0253354781047967,704
60000,119.99999999990173,-45231.48515846676,285.9291299707812,1.0370465495970405,704
65000,129.99999999989262,-45362.13327574011,291.9565593449995,1.0514282547967253,704
70000,139.99999999994037,-45548.005686493154,291.8726584280532,1.041698791540015,704
75000,149.99999999998812,-45681.96218699639,312.7949613413275,1.065645767004844,704
80000,160.00000000003587,-45066.017017018836,307.3282189840114,1.0477980686481327,704
85000,170.00000000008362,-45532.2543452548,301.76644360484687,1.04221229765995,704
90000,180.00000000013137,-45453.68376328281,298.3331852729889,1.0523634325906364,704
95000,190.0000000001791,-45547.10782099032,302.14165413007333,1.0327398625591455,704
100000,200.00000000022686,-45244.80798787362,305.0233850190626,1.0434437882417131,704
105000,210.0000000002746,-45566.26658415873,298.39636485081047,1.060282357126785,704
110000,220.00000000032236,-45642.98493134152,296.76504276244697,1.0462112406725024,704
115000,230.0000000003701,-45380.040529830876,299.10462061269556,1.042702924064583,704
120000,240.00000000041786,-45180.23153391166,290.9523653627961,1.0374485556009783,704
125000,250.0000000004656,-45450.921073415026,301.32625674100774,1.0488638762459952,704
130000,260.00000000051335,-45392.649911842775,290.0045545154213,1.0398102840895846,704
135000,270.0000000005611,-45271.3060842485,308.8846434893932,1.0453989573910973,704
140000,280.00000000060885,-45415.61517089335,296.8131842336464,1.0520212179628001,704
145000,290.0000000006566,-45550.56212540576,305.3655898297547,1.0529402538429453,704
150000,300.00000000070435,-45257.59715032895,304.0752031015244,1.0480124789589753,704
155000,310.0000000007521,-45294.698564510036,303.4891270734419,1.0369613272098763,704
160000,320.00000000079984,-45261.85239732449,301.28545855304196,1.0584808614884986,704
165000,330.0000000008476,-45334.2603514505,300.5920651277016,1.0410002987703966,704
170000,340.00000000089534,-44952.08138663357,294.5389733221826,1.0391768269863186,704
175000,350.0000000009431,-45090.08826025887,288.13066972024376,1.040703275254626,704
180000,360.00000000099084,-45399.30492134584,308.8921625427043,1.0456799593256607,704
185000,370.0000000010386,-45427.03300305124,300.64432743071563,1.0422816882335009,704
190000,380.00000000108633,-45257.13244294634,296.279565808664,1.042999226384625,704
195000,390.0000000011341,-45381.59754035433,301.8043318215312,1.0461907980613883,704
200000,400.00000000118183,-45643.11630104121,295.24203410178006,1.052031510189183,704
205000,410.0000000012296,-45428.67701287716,294.36101588381786,1.035613773963596,704
210000,420.00000000127733,-45450.223294282245,304.91749331243244,1.0596918504050268,704
215000,430.0000000013251,-45713.28775400421,295.0680803151784,1.0450021923515966,704
220000,440.0000000013728,-45222.22501765986,303.4403997019845,1.0476820685410184,704
225000,450.0000000014206,-45184.11697046613,300.25021185716423,1.0512478887047723,704
230000,460.0000000014683,-45682.32882509826,302.43058107730417,1.0389409350057397,704
235000,470.00000000151607,-45391.28877101367,300.4903333129033,1.0467977068969596,704
240000,480.0000000015638,-45283.35825727132,311.5601765475819,1.0473383337868698,704
245000,490.00000000161157,-45273.73136154006,301.68111699727274,1.0320358076208753,704
250000,500.0000000016593,-45605.58309716103,296.0971164683212,1.0396044081488962,703
255000,510.00000000170706,-45415.78720941601,291.9348615054448,1.0480647525482791,703
260000,520.0000000015274,-45347.61872313917,301.05740664261776,1.048887129471438,703
265000,530.0000000012909,-45075.29480191317,309.68886971353953,1.036129147715607,703
270000,540.0000000010544,-45247.22429112921,302.09708665044775,1.0401931883426936,703
275000,550.000000000818,-45232.51037173075,296.04860392695844,1.0392910496245926,703
280000,560.0000000005815,-45669.570935142634,303.58363278505817,1.0646230694519596,703
285000,570.000000000345,-45653.39838159521,308.76984609884147,1.0442391271314155,703
290000,580.0000000001086,-45410.34015460138,305.5015968096463,1.040173106947856,703
295000,589.9999999998721,-45520.239222642034,296.1547690537089,1.0499797204735275,703
300000,599.9999999996356,-45250.17650431115,287.0515390950415,1.0389956552743522,703
305000,609.9999999993992,-45107.072785895,295.2137155893098,1.0401193593580071,703
310000,619.9999999991627,-45355.12834682627,300.63753098772276,1.0402601233080933,703
315000,629.9999999989262,-45260.90361852094,298.99333862369184,1.0491438041557588,703
320000,639.9999999986898,-45779.94466270847,299.11774477847484,1.0423351796039326,703
325000,649.9999999984533,-45958.66726950425,295.677592353581,1.0462703500839536,703
330000,659.9999999982168,-45428.305071749724,299.05075684897633,1.0488780408726306,703
335000,669.9999999979804,-45536.33040906186,304.3689734908881,1.0435903730665896,703
340000,679.9999999977439,-45077.86644938338,301.3036995810745,1.046623582642011,703
345000,689.9999999975074,-45431.4473157725,301.58776355616396,1.0573060115464619,703
350000,699.999999997271,-45378.064065669576,297.32403066860104,1.0469913430434434,703
355000,709.9999999970345,-45554.10741619437,302.23731211219695,1.0586870894462428,703
360000,719.999999996798,-45545.122563242214,298.06042917287897,1.0441559342672002,703
365000,729.9999999965615,-45465.404720000224,303.8816411862881,1.0496708850533623,703
370000,739.9999999963251,-45622.79023061076,307.86748158147924,1.0598668953535204,703
375000,749.9999999960886,-45456.58876224203,299.16143340771345,1.0459593896572534,703
380000,759.9999999958521,-45474.177016412694,290.73394174661183,1.043023846369006,703
385000,769.9999999956157,-45541.302952043014,306.6842950704552,1.0643498088052956,703
390000,779.9999999953792,-45335.84986911333,306.01656407641553,1.0449387073704917,703
395000,789.9999999951427,-45074.30104789519,307.8193401102798,1.04000092220995,703
400000,799.9999999949063,-45467.01943873573,301.7501555776744,1.0411136038496471,703
405000,809.9999999946698,-45418.3574225223,301.4897815030169,1.0421697297075778,703
410000,819.9999999944333,-45508.96030979522,291.1908658278213,1.056868735788861,702
415000,829.9999999941969,-45755.31909049346,307.51916387809524,1.0559884012068539,702
420000,839.9999999939604,-45603.83992292054,298.33642725441655,1.046872509584551,702
425000,849.9999999937239,-45544.45366780981,303.9576715097686,1.0500419855730172,702
430000,859.9999999934874,-45361.394530565536,305.2669242263066,1.05549500175184,702
435000,869.999999993251,-45194.28529754345,296.2000200836355,1.0348542260004256,702
440000,879.9999999930145,-45415.50003547952,300.3138796852008,1.054179834630382,702
445000,889.999999992778,-45204.705496915965,294.50186630584227,1.0439387731162015,702
450000,899.9999999925416,-45258.42743440345,309.37633098591107,1.044737314693712,702
455000,909.9999999923051,-45284.39088179375,303.63648098833016,1.0425063059590145,702
460000,919.9999999920686,-45661.18277188321,312.96438416593395,1.0425096082201055,702
465000,929.9999999918322,-45451.53552106637,302.0321689018608,1.0491656692444844,702
470000,939.9999999915957,-45472.09771311385,293.9542839247108,1.0486738951499437,702
475000,949.9999999913592,-45776.12757714087,301.7322660897966,1.0433278272490043,702
480000,959.9999999911228,-45507.1520190172,302.05015603978154,1.0549107366238044,702
485000,969.9999999908863,-45422.05269346561,299.6816933068133,1.0335881864500058,702
490000,979.9999999906498,-45629.16959048563,306.2018257379967,1.0513873719422493,702
495000,989.9999999904134,-45607.10299526618,299.01230226204257,1.062628344474167,701
500000,999.9999999901769,-45243.43628652737,306.8461011917077,1.0450374802108666,701
505000,1009.9999999899404,-45314.498282250745,306.1817488891557,1.0457544071638893,701
510000,1019.999999989704,-45344.005658639566,294.7103686776577,1.0389675576011195,701
515000,1029.9999999894676,-45500.26465851179,298.000198626356,1.048725363578254,701
520000,1039.9999999892311,-45487.156525585684,302.9174446616978,1.0471727940068238,701
525000,1049.9999999889947,-45382.901900103694,300.25130553764586,1.0433114577306382,701
530000,1059.9999999887582,-45390.979560816195,295.23832340014604,1.0366843694192032,701
535000,1069.9999999885217,-45248.310779933236,305.9094810392608,1.0334685582664553,701
540000,1079.9999999882853,-45624.99265946282,299.87560676220437,1.048783348957685,701
545000,1089.9999999880488,-45355.3887343402,289.614735543762,1.0368589944388114,701
550000,1099.9999999878123,-45492.721679284645,295.63894246656133,1.042061857350578,701
