#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45481.464045267465,300.9188412315996,1.0399913655863056,0
10000,19.999999999999794,-45586.57302236912,298.646134130798,1.0540108740205367,702
15000,29.99999999999425,-45723.17355146917,297.464607670505,1.0454371917417986,702
20000,40.00000000000292,-45633.336456690275,303.0854027356593,1.0569635925321097,701
25000,50.00000000001514,-45670.876691297075,291.65282865124976,1.0538869593021396,701
30000,60.00000000002736,-45320.500253274135,299.10423001252354,1.0571959777985545,702
35000,70.00000000001826,-45489.053651519,298.8103424431082,1.0440525646074779,702
40000,79.99999999999496,-45157.30543603399,307.1076470668811,1.034184448274547,702
45000,89.99999999997165,-45579.27117624995,300.345322999047,1.04479955157112,701
50000,99.99999999994834,-45407.20144735905,306.40319965667305,1.0415921122163918,701
55000,109.99999999992504,-45261.432101146085,310.68790777347255,1.0364787293138789,701
60000,119.99999999990173,-45556.06106858849,303.11008866652986,1.0631379674027928,701
65000,129.99999999989262,-45429.02502852879,304.53382629348215,1.0540552840271065,701
70000,139.99999999994037,-45391.574123697326,302.16700408123637,1.051405588352629,700
75000,149.99999999998812,-45331.91495235817,301.60625847430833,1.049299677312724,700
80000,160.00000000003587,-45400.59737553366,296.4540859655151,1.0406482052393975,700
85000,170.00000000008362,-45225.25898670594,300.63858560818716,1.0367700520936527,700
90000,180.00000000013137,-45208.67893564922,304.9064393275647,1.0573745355487054,700
95000,190.0000000001791,-45124.281793740985,302.00670177064615,1.0481323631671347,700
100000,200.00000000022686,-45314.08246761357,297.00057466616505,1.0413632552968328,700
105000,210.0000000002746,-45221.72918210528,305.4424208835878,1.0243164462727756,701
110000,220.00000000032236,-45649.849640221975,302.05205045061575,1.0433726781871897,701
115000,230.0000000003701,-45634.65328158374,297.65943903630034,1.0589290967558502,701
120000,240.00000000041786,-45106.72184251883,291.0810876494798,1.0462839871447904,701
125000,250.0000000004656,-45445.841236891545,299.4869010010353,1.0570712055724982,701
130000,260.00000000051335,-45255.52567302459,310.2411392967351,1.0420722841291021,701
135000,270.0000000005611,-45679.74346150065,297.0586959717591,1.0361544641254332,702
140000,280.00000000060885,-45242.67785944388,304.01706226592165,1.0277749455699237,702
145000,290.0000000006566,-45342.59137895712,295.1108119739955,1.0428991398591274,702
150000,300.00000000070435,-45453.61810117244,294.860554443793,1.0468748808899369,702
155000,310.0000000007521,-45950.430815495434,293.2604608391812,1.068280529249087,702
160000,320.00000000079984,-45349.07990190387,301.66965288222445,1.042700756333281,702
165000,330.0000000008476,-45139.5485242139,290.39294779645286,1.0460595302526954,701
170000,340.00000000089534,-44993.33435841929,297.4475189129799,1.0312311069683069,702
175000,350.0000000009431,-45553.58503207777,303.3888404792801,1.0429951851972608,702
180000,360.00000000099084,-45282.3052649913,298.58719256484267,1.0385382403705277,702
185000,370.0000000010386,-45665.39352260952,305.6583641886798,1.0389333484575312,702
190000,380.00000000108633,-45503.162929495506,293.94938189255214,1.053738276018359,702
195000,390.0000000011341,-45468.53583984231,298.56613921557175,1.0349023522060943,702
200000,400.00000000118183,-45748.279444769316,307.76180470494376,1.0449620971647178,702
205000,410.0000000012296,-45365.1425814727,300.876715003049,1.043655793028494,702
210000,420.00000000127733,-45363.787406460615,305.69260029375596,1.0391889067542646,702
215000,430.0000000013251,-45777.28467029886,303.2099456005025,1.0493137134345583,702
220000,440.0000000013728,-45636.09939254416,303.58443351541075,1.052728233012098,702
225000,450.0000000014206,-45422.402500783355,306.2101845816776,1.0547705068317745,702
230000,460.0000000014683,-45500.73157550424,308.54042708781526,1.040211466290888,702
235000,470.00000000151607,-45610.419518646464,310.4338614216016,1.0553127354192484,702
240000,480.0000000015638,-45263.54514724252,299.12477558157093,1.0379804404170025,702
245000,490.00000000161157,-45392.50952654902,293.80226233776705,1.0554366504631132,702
250000,500.0000000016593,-45580.50625181483,313.66045320245263,1.0710377709960894,701
255000,510.00000000170706,-45371.14110421791,309.68390909135513,1.0488550197989042,701
260000,520.0000000015274,-45473.5119477094,297.94828786349683,1.0457225923243043,701
265000,530.0000000012909,-45393.01613512146,293.350689478914,1.044025449042807,701
270000,540.0000000010544,-45526.266551406094,303.2987290195989,1.0428266198222518,701
275000,550.000000000818,-45230.79354814053,293.5024376457373,1.0506555185531194,701
280000,560.0000000005815,-45091.39673826532,304.4074476078305,1.0489078758325459,701
285000,570.000000000345,-45763.21420272731,299.3523783017973,1.0515250917194077,701
290000,580.0000000001086,-45347.40104240956,298.02590011767387,1.045579637626033,701
295000,589.9999999998721,-45774.86470729564,306.15725825837114,1.0539339628357058,701
300000,599.9999999996356,-45711.82286639919,301.88838897854635,1.042721736602962,701
305000,609.9999999993992,-45471.177990277734,288.12848235928055,1.0393444399493748,701
310000,619.9999999991627,-45639.95549585539,303.148328423369,1.053768327820679,701
315000,629.9999999989262,-45649.88412251978,302.6240844025147,1.0496978262315793,701
320000,639.9999999986898,-45462.99093783085,294.97542995437914,1.0463748632746968,701
325000,649.9999999984533,-45225.89060228772,308.26237835537466,1.0466348537002266,701
330000,659.9999999982168,-45698.612788887054,302.1079843952466,1.0360017021744936,701
335000,669.9999999979804,-45488.93018834744,298.57828688092104,1.0371398556810174,701
340000,679.9999999977439,-45067.968157629744,309.2565339131577,1.0334055264203035,701
345000,689.9999999975074,-45618.086940613255,296.51857405391286,1.0374716557933716,701
350000,699.999999997271,-45588.97359116064,297.4658966510726,1.0471382195889505,701
355000,709.9999999970345,-45643.569388089876,293.8271045087065,1.0458543448535822,701
360000,719.999999996798,-45608.40361269601,307.9435704949855,1.0420101238089179,700
365000,729.9999999965615,-45501.14155748082,294.9792773660734,1.0445052262970496,700
370000,739.9999999963251,-45597.38502376742,302.203115067138,1.0449401015435942,700
375000,749.9999999960886,-45676.6283832131,294.447514291908,1.0324536896657188,700
380000,759.9999999958521,-45737.04685373255,302.4452090537457,1.0494962239651835,700
385000,769.9999999956157,-45433.6971482645,305.05336358226384,1.0315469715697083,700
390000,779.9999999953792,-45130.62521673471,292.8603495529896,1.046626288024165,700
395000,789.9999999951427,-45246.54191167402,306.1778624174443,1.0278066993291466,700
400000,799.9999999949063,-45688.703432392416,298.59398900783555,1.0502562560984827,700
405000,809.9999999946698,-45814.13085454196,296.29675221623216,1.0507613841821228,700
410000,819.9999999944333,-45382.30764801873,298.84537927853694,1.0502968859254993,700
415000,829.9999999941969,-45301.71766016615,297.7212710435284,1.046785790836392,700
420000,839.9999999939604,-45063.208540410764,293.7300013059465,1.0326852279307002,700
425000,849.9999999937239,-45694.58354417095,297.8717692898013,1.0431548326409388,700
430000,859.9999999934874,-45356.645497767284,295.54055028323364,1.058975092931338,700
435000,869.999999993251,-45502.06335995108,297.4430660710191,1.0516826801949377,700
440000,879.9999999930145,-45483.437026743224,297.56669102545806,1.0301234108514121,700
445000,889.999999992778,-45211.40355892273,296.80394653957853,1.034418713959552,700
450000,899.9999999925416,-45118.76692795585,292.03247248842837,1.0489501719530416,700
455000,909.9999999923051,-45274.8256589504,305.98428097219943,1.0544366566959953,700
460000,919.9999999920686,-45284.207768040884,301.97209459540665,1.0392822017825978,700
465000,929.9999999918322,-45570.020334482804,295.738115850233,1.0491729651485255,700
470000,939.9999999915957,-45555.78958933233,301.1668137507959,1.0508193403659534,700
475000,949.9999999913592,-45397.15980063577,305.89090800108204,1.0626394727998856,700
480000,959.9999999911228,-45169.93432689895,289.9949652811987,1.030274826343488,700
485000,969.9999999908863,-45658.97074247003,298.15241551338573,1.047974385856942,700
490000,979.9999999906498,-45668.63452485649,297.8693475687349,1.0555617365463035,700
495000,989.9999999904134,-45165.21801567802,296.999988765907,1.0352054873494254,700
500000,999.9999999901769,-45441.51457046121,307.5163515568569,1.061524443596694,700
505000,1009.9999999899404,-45680.2800149619,304.17318515467144,1.056258627173168,700
510000,1019.999999989704,-45408.900625636685,297.63065180362366,1.0353219356243486,700
515000,1029.9999999894676,-45571.55257488761,305.83833321793037,1.0532081523343493,700
520000,1039.9999999892311,-45480.61045687544,294.9575990565272,1.042166233877346,700
525000,1049.9999999889947,-45442.12339764688,300.6840514682084,1.0505379453580417,699
530000,1059.9999999887582,-45197.87842852803,299.2670321642146,1.050774372647338,699
535000,1069.9999999885217,-45410.801077556476,294.42767180317026,1.0440849872991897,699
540000,1079.9999999882853,-45543.73301551913,295.8747087303825,1.04850943993771,699
545000,1089.9999999880488,-45490.04960875207,303.04790511914695,1.0515228475007923,699
550000,1099.9999999878123,-45543.87990663163,302.4503454460076,1.0442391424971866,699
555000,1109.9999999875758,-45527.96639648909,294.4904217208026,1.0424089606030034,699
560000,1119.9999999873394,-45119.3678694281,296.7896310432746,1.0340248092700033,699
565000,1129.999999987103,-45455.727153691,296.69362152099615,1.0444689035556656,699
570000,1139.9999999868664,-45385.58448493562,295.3980788704954,1.04398575903895,699
575000,1149.99999998663,-45534.70595133043,297.3716643595768,1.046568493551974,699
580000,1159.9999999863935,-45361.81556330543,294.7333164377629,1.0382922850552008,699
585000,1169.999999986157,-45440.78892476656,290.7054865240813,1.048228496547974,699
590000,1179.9999999859206,-45107.607486993424,301.0386187743444,1.0437503001447705,699
595000,1189.999999985684,-45219.91343605032,297.9096965665029,1.03836274000921,699
600000,1199.9999999854476,-45610.87707511973,304.39049556036554,1.0355333366266046,699
605000,1209.9999999852112,-45391.2955133144,300.7756862685603,1.055680954198339,699
610000,1219.9999999849747,-45354.60857907744,301.94867811509505,1.0379482488768883,699
615000,1229.9999999847382,-45114.21004409189,293.3536971002384,1.0341719658191173,699
620000,1239.9999999845018,-45307.64643712138,303.1471370928444,1.0297346237410772,699
625000,1249.9999999842653,-45029.955259513896,297.55186774893053,1.0531526695113902,699
630000,1259.9999999840288,-45314.45572090169,301.08181915336803,1.0430556445903234,699
635000,1269.9999999837923,-45324.75313737398,303.64245717096185,1.0442079750296522,699
640000,1279.9999999835559,-45434.15477941479,309.6009846748388,1.0369720592894323,699
645000,1289.9999999833194,-45576.41632874013,301.75533102995337,1.0523431585174223,699
650000,1299.999999983083,-45414.32365162566,299.66829572091365,1.0462288339373633,699
655000,1309.9999999828465,-45571.48645162908,301.013386003233,1.0497305857679777,699
660000,1319.99999998261,-45681.2207716284,300.8135549552361,1.0494277220740371,699
665000,1329.9999999823735,-45537.623113330774,309.3709407035374,1.0457435335619174,699
670000,1339.999999982137,-45586.32585367959,302.05212857065015,1.0502273411063343,699
675000,1349.9999999819006,-45210.10733259417,293.2603827191468,1.0341428250983407,699
680000,1359.9999999816641,-45663.141276458104,294.1029463501753,1.044217072211342,699
685000,1369.9999999814277,-45212.76325601395,310.24484999836915,1.0455597477863818,699
690000,1379.9999999811912,-45076.40992548209,295.535355300946,1.0379159185200322,699
695000,1389.9999999809547,-45307.33285989339,300.54632584755996,1.0381274450436966,699
700000,1399.9999999807183,-45274.44816003839,310.43546288230675,1.045562336483279,699
705000,1409.9999999804818,-45310.90952971671,300.918821701591,1.0439585620884184,699
710000,1419.9999999802453,-45351.15267823578,304.20265593764907,1.0487882016557188,699
715000,1429.9999999800089,-45774.5077763623,299.064545035048,1.0454772328294526,699
720000,1439.9999999797724,-45505.5530795948,295.6547617735274,1.0486768275160903,699
725000,1449.999999979536,-45370.522116585955,285.7786512545169,1.0279068227341233,699
730000,1459.9999999792994,-45335.16499658409,303.24572457625806,1.0677639055236108,699
735000,1469.999999979063,-45189.4985605391,311.7589920351316,1.0527086058649744,699
740000,1479.9999999788265,-45363.02798478899,302.09702806042196,1.04769421929031,699
745000,1489.99999997859,-45290.522654316825,295.7647743119722,1.0494574700221933,698
750000,1499.9999999783536,-46087.62898448884,304.8796832157825,1.070210881943223,698
755000,1509.999999978117,-45334.17021105945,310.3557413872009,1.0481123562046382,698
760000,1519.9999999778806,-45370.7145753504,302.8534448235151,1.051991179794927,698
765000,1529.9999999776442,-45846.954181728885,293.5622580620796,1.043312061228166,698
770000,1539.9999999774077,-45692.852409217245,300.5252139082632,1.059018783348978,698
775000,1549.9999999771712,-45465.244627494685,310.67005734561207,1.0402790288495092,698
780000,1559.9999999769348,-45645.04335187498,301.0910568474359,1.0398918674402868,698
785000,1569.9999999766983,-45329.97530800724,291.778055066394,1.0326258857654955,698
790000,1579.9999999764618,-45393.287422597816,305.7665799663334,1.03537013603482,698
795000,1589.9999999762254,-45681.77540670245,294.3722261087544,1.0401621480384757,698
800000,1599.9999999759889,-45415.99821882468,298.53467637171684,1.0472015866114999,698
805000,1609.9999999757524,-45353.69595705214,300.26163691219534,1.0460290537777095,698
810000,1619.999999975516,-45367.20623884525,303.0477293490695,1.045927941702338,698
815000,1629.9999999752795,-45247.24375190257,303.80762245369345,1.0501322820841896,698
820000,1639.999999975043,-45275.056036136986,302.40568031633904,1.0466122871272092,698
825000,1649.9999999748065,-45234.350901880476,307.3840552785993,1.0363822790169477,698
830000,1659.99999997457,-45229.92447392942,301.4635331714583,1.0480583965014634,698
835000,1669.9999999743336,-45355.221155227424,298.9015085232538,1.0513815169377894,698
840000,1679.9999999740971,-45527.103276719456,292.5718522659478,1.0520392986745155,697
845000,1689.9999999738607,-45477.49998691605,306.2759225906257,1.0420477189590245,697
850000,1699.9999999736242,-45443.710204449075,299.6838806677766,1.047977487924106,697
855000,1709.9999999733877,-45478.08642979959,299.13379844554424,1.027142919520569,697
860000,1719.9999999731513,-45218.75596590541,308.207655271277,1.030603278145003,697
865000,1729.9999999729148,-45505.174393238645,303.40317550559257,1.042417592406162,697
870000,1739.9999999726783,-45105.04212073266,314.5807267377011,1.0413700108205703,697
875000,1749.9999999724419,-45790.95655147644,301.64899013312544,1.0497196803070268,697
880000,1759.9999999722054,-45419.98628502595,293.4948209423832,1.0508497695010877,697
885000,1769.999999971969,-45327.065511631576,298.4480412535665,1.0529496132892227,697
890000,1779.9999999717324,-45141.23097702541,302.8460038902384,1.0422662000225693,697
895000,1789.999999971496,-45663.3813313515,303.8006697706318,1.053218705565123,697
900000,1799.9999999712595,-45487.49051982607,296.92222027166116,1.05838280283803,697
905000,1809.999999971023,-45282.554157843784,302.5337385827303,1.039473738785795,697
910000,1819.9999999707866,-45404.638511922996,302.83188369402046,1.0577041396304079,697
915000,1829.99999997055,-45392.754615857295,293.2668276219849,1.050780819606393,697
920000,1839.9999999703136,-45482.86002208444,304.4793375694877,1.041325064802599,697
925000,1849.9999999700772,-45258.25747626304,297.63955748754535,1.0388748392545044,697
930000,1859.9999999698407,-45507.21287586403,300.04569360710326,1.0533003309710727,697
935000,1869.9999999696042,-45606.11822626827,300.22974440815125,1.046977703663837,697
940000,1879.9999999693678,-45444.80346597807,302.85160900270665,1.05632848041913,697
945000,1889.9999999691313,-45483.98528415154,299.81051324354,1.0553797260259763,697
950000,1899.9999999688948,-45293.386013872456,302.87553326324183,1.0545152961910857,697
955000,1909.9999999686584,-45316.15660863754,303.45094590662865,1.041182068138081,697
960000,1919.999999968422,-45405.591774130735,307.55877073553637,1.033256803792462,697
965000,1929.9999999681854,-45156.411379958416,303.21351959207635,1.0466354474116242,697
970000,1939.999999967949,-45395.53578570328,300.64161275952017,1.0273404710261407,697
975000,1949.9999999677125,-45243.47316259687,293.91489189736427,1.0438001951782228,697
980000,1959.999999967476,-45340.59872450202,301.58586914532975,1.0447212280515574,697
985000,1969.9999999672395,-45339.1870780263,305.0243029294667,1.052980098905491,697
990000,1979.999999967003,-45418.11081219665,302.0657019266273,1.0546771922058753,697
995000,1989.9999999667666,-45306.38232662651,301.3856670271694,1.0335581153569207,697
1000000,1999.9999999665301,-45160.7452444268,296.6988750933096,1.0445703179103538,697
1005000,2009.9999999662937,-45368.57558548072,298.81862316675466,1.0467566018644527,697
1010000,2019.9999999660572,-45501.47448129207,305.5999694629653,1.0521160817726825,696
1015000,2029.9999999658207,-45137.07573933905,304.3690906709397,1.0310109380128138,696
1020000,2039.9999999655843,-45614.139023228636,298.20102570479156,1.0510085872463644,696
1025000,2049.999999965348,-45408.13422945302,295.2923434039341,1.0356809106753708,696
1030000,2059.9999999651113,-45343.85219507161,298.7770828384621,1.0425829772321564,696
1035000,2069.999999964875,-45374.25646552583,295.8721112392387,1.0313699548760171,696
1040000,2079.9999999646384,-45332.23109409775,292.13852043512736,1.0548749355331033,696
1045000,2089.999999964402,-45583.47525139575,295.78631591145813,1.0543277425288535,696
1050000,2099.9999999641655,-45146.01412754835,304.20589791907673,1.043672208572071,696
1055000,2109.999999963929,-44960.75796995565,302.2087592396235,1.0351672547291395,696
1060000,2119.9999999636925,-45189.96839768771,304.8496070025383,1.0314510392337712,696
1065000,2129.999999963456,-45262.22557310606,300.83275295369003,1.043341345812071,696
1070000,2139.9999999632196,-45315.388855981815,307.45147286828706,1.039138431516437,696
1075000,2149.999999962983,-45582.80220886733,312.74734718036035,1.0466918669359924,696
1080000,2159.9999999627466,-45510.36088997149,295.70616475616305,1.0393615644060408,696
1085000,2169.99999996251,-45638.82061594966,297.0280924482827,1.0390293895729292,695
1090000,2179.9999999622737,-45507.99621910977,292.28429241931894,1.0509052441064182,695
1095000,2189.9999999620372,-45277.15243722033,301.50907715151385,1.040798558439612,695
1100000,2199.9999999618008,-45291.437897227064,299.7973695477521,1.047342317927011,695
1105000,2209.9999999615643,-45345.06832356166,304.9005217349589,1.0466830551882904,695
1110000,2219.999999961328,-45297.226220922894,298.1304051936934,1.0530971448012147,695
1115000,2229.9999999610914,-45197.31376951127,301.8814362954847,1.033981437167024,695
1120000,2239.999999960855,-45470.38754381047,305.12974544589906,1.0391601694828645,695
1125000,2249.9999999606184,-45228.82143584028,304.97743090882636,1.0410979283312718,695
1130000,2259.999999960382,-45560.87554342879,301.9528380069269,1.0481795282325461,695
1135000,2269.9999999601455,-45128.45466130471,294.7804032884979,1.0533907094790564,694
1140000,2279.999999959909,-45895.65760021881,307.5675592394065,1.0542884311587908,694
1145000,2289.9999999596726,-45143.8021679341,302.48522604136747,1.034649538443038,694
1150000,2299.999999959436,-45586.65386911915,298.6262916420602,1.051552774787221,694
1155000,2309.9999999591996,-45495.232312813896,303.73651369238024,1.0464262508561089,694
1160000,2319.999999958963,-45429.89683576839,304.83447124587315,1.0482186910786557,694
1165000,2329.9999999587267,-45361.0667468294,296.3883479565669,1.0473776098945828,694
1170000,2339.99999995849,-45593.069385668176,298.36265605596657,1.0455614917847196,694
1175000,2349.9999999582537,-45585.532736741094,296.13791465628697,1.046823651043695,694
1180000,2359.9999999580173,-45341.80736362244,307.9273410578388,1.0476226746841795,694
1185000,2369.999999957781,-45789.829327123385,301.3173705870946,1.043319274865312,694
1190000,2379.9999999575443,-45294.408710872405,300.569429847734,1.038169619365326,694
1195000,2389.999999957308,-44895.61768786877,298.2508076967134,1.0446465671758354,694
1200000,2399.9999999570714,-45185.19418880431,293.8700900576354,1.0319413275600535,694
1205000,2409.999999956835,-45372.318715617555,291.6851117554658,1.0571871766824819,694
1210000,2419.9999999565985,-45282.73527704197,291.73118304575365,1.029907411112075,694
1215000,2429.999999956362,-45507.11987274277,300.83285060373305,1.0604772859128915,694
1220000,2439.9999999561255,-45362.17819852667,299.3047836708387,1.0436171506552354,694
1225000,2449.999999955889,-45496.7462951582,291.33945013325143,1.0377525669115153,693
1230000,2459.9999999556526,-45126.544737576856,301.23985598296053,1.0388029245782664,693
1235000,2469.999999955416,-45238.138196901506,301.2680377853706,1.040936896069925,693
1240000,2479.9999999551796,-45378.40004104271,304.01405464459725,1.0480798959558613,693
1245000,2489.999999954943,-45151.60625687236,299.33089529233706,1.0318327963580627,693
1250000,2499.9999999547067,-45518.242466096766,305.1403697705776,1.0353448254677189,693
1255000,2509.9999999544702,-45184.31001748581,301.42287169355274,1.0380838331521738,693
1260000,2519.9999999542338,-45499.63536455529,297.8876276567847,1.047017499498273,693
1265000,2529.9999999539973,-45125.325214512704,304.0462205687617,1.0350795312097694,693
1270000,2539.999999953761,-45621.24213376819,294.1054266612675,1.060242102887898,693
1275000,2549.9999999535244,-45460.457429482485,299.916365890153,1.0515355919742402,693
1280000,2559.999999953288,-45639.8540458857,302.5979923110249,1.0322904546621499,693
1285000,2569.9999999530514,-45399.93057549899,306.5264340109401,1.0507214644448446,693
1290000,2579.999999952815,-45221.069333524036,298.7604237411262,1.0438588735325984,693
1295000,2589.9999999525785,-45590.153074401576,301.1795473164032,1.047722578834306,693
1300000,2599.999999952342,-45368.132477280684,303.31630602733907,1.036769442231619,693
1305000,2609.9999999521056,-45181.23113162644,299.1708664018673,1.0441678378269075,693
1310000,2619.999999951869,-45331.15656874873,296.11941973814265,1.046491739573699,693
1315000,2629.9999999516326,-45496.57117642756,299.1756707839829,1.0551341211019518,693
1320000,2639.999999951396,-45250.66146679869,304.2321462506353,1.0420820168797011,693
1325000,2649.9999999511597,-45497.38791709722,295.59019556509526,1.0478229716892025,693
1330000,2659.999999950923,-45702.93111508875,293.96119754775526,1.0463532252678345,693
1335000,2669.9999999506867,-45409.26691797082,303.8524047634137,1.020568972114892,693
1340000,2679.9999999504503,-45589.60531370164,294.6277372112704,1.0598827737346415,693
1345000,2689.999999950214,-45420.115458193235,298.5670766559845,1.0386648940619785,693
1350000,2699.9999999499773,-45639.99540320903,289.2817684271377,1.0490998300628611,693
1355000,2709.999999949741,-45649.86883547093,286.5617460093579,1.0520915002157696,693
1360000,2719.9999999495044,-45399.98601777639,293.9697126315049,1.050170742323404,693
1365000,2729.999999949268,-45705.22800910054,300.2507196373878,1.0522693521680244,693
1370000,2739.9999999490315,-45210.30118684066,305.12312477298366,1.0474813939277172,693
1375000,2749.999999948795,-45390.625987685664,297.05465325997886,1.0440117295932194,693
1380000,2759.9999999485585,-45504.63044385062,301.3233272397177,1.0506776524250432,693
1385000,2769.999999948322,-45793.29926577481,302.92164361354685,1.0508000742555181,693
1390000,2779.9999999480856,-45160.03905493501,297.98018036754087,1.0353341102111897,693
1395000,2789.999999947849,-45322.0345709385,307.46426502392023,1.0379303257987433,693
1400000,2799.9999999476127,-45289.67797772735,299.2919524551884,1.0414808194731424,693
1405000,2809.999999947376,-45294.182346331276,299.6534529143775,1.0467698412243023,693
1410000,2819.9999999471397,-45352.47436952204,284.87443138633773,1.045184981852377,693
1415000,2829.9999999469032,-45262.17992710843,305.37264016285934,1.0382112781019035,693
1420000,2839.999999946667,-45694.261336625146,297.86758986796093,1.049958957795963,693
1425000,2849.9999999464303,-45217.41498338751,297.6932454811872,1.0427935785749303,693
1430000,2859.999999946194,-45223.59166030638,306.9572464706512,1.028956968145893,693
1435000,2869.9999999459574,-45377.61213736297,301.1053723437398,1.038611942260007,693
1440000,2879.999999945721,-45703.04145919657,295.1322754534471,1.0402186121921224,693
1445000,2889.9999999454844,-45672.501547626045,302.39304440077467,1.0679824577659576,693
1450000,2899.999999945248,-45280.7440722851,305.6567822579832,1.0527396303097343,693
1455000,2909.9999999450115,-45210.356223547424,305.85833194673694,1.0431878023832972,693
1460000,2919.999999944775,-45237.9881106418,304.47927897946187,1.0530197784446038,693
1465000,2929.9999999445386,-45425.1348630416,300.7078390186834,1.0476243837461734,693
1470000,2939.999999944302,-45571.829545686895,302.83203993408927,1.0397451727414424,693
1475000,2949.9999999440656,-45077.89005781431,304.8666762300548,1.0338925475378251,693
1480000,2959.999999943829,-45178.1154089958,308.68987071362375,1.0443397562850143,693
1485000,2969.9999999435927,-45572.3697876051,302.5247938387914,1.049583228610351,693
1490000,2979.999999943356,-45304.64263495433,295.44233386998343,1.0360541999435398,693
1495000,2989.9999999431197,-45387.15344777092,301.24274642423336,1.0504223782881204,693
1500000,2999.9999999428833,-45603.50155931723,300.7435008143873,1.0486731066349142,693
1505000,3009.999999942647,-45635.50689934491,298.12843266282476,1.0628122429423867,693
1510000,3019.9999999424103,-45395.1129091582,296.693973061151,1.0460038213069618,693
1515000,3029.999999942174,-45658.31487917752,295.4601647678353,1.049035518047033,693
1520000,3039.9999999419374,-45495.95817261544,304.4100450989743,1.033320806024592,693
1525000,3049.999999941701,-45705.1324633621,301.48196949957685,1.0427942462616144,693
1530000,3059.9999999414645,-45684.379300838395,307.2345921227822,1.0598484256796241,693
1535000,3069.999999941228,-45586.21468800976,305.5069089719855,1.0517934486296456,693
1540000,3079.9999999409915,-45197.133021641115,293.2850686500174,1.0350974030591988,693
1545000,3089.999999940755,-45319.42198923032,297.43343777677916,1.048695821374131,693
1550000,3099.9999999405186,-45418.019019937376,294.772044444817,1.0432613563792752,693
1555000,3109.999999940282,-45472.45912285804,294.5395006324148,1.03804376009202,693
1560000,3119.9999999400457,-45437.08019351904,296.81949242642423,1.0462711285516375,693
1565000,3129.999999939809,-45222.05642639214,302.5992031715581,1.0484570137276878,693
1570000,3139.9999999395727,-45659.03287141069,295.764149351697,1.0443502024142173,693
1575000,3149.9999999393362,-45608.87469766894,299.70561756734855,1.0412318788471746,693
1580000,3159.9999999391,-45333.729069666646,293.5198584134086,1.055927795383094,693
1585000,3169.9999999388633,-45538.291035818256,298.0804864917113,1.0577901880767018,693
1590000,3179.999999938627,-45525.96494658719,306.1207371422888,1.0439084425952427,693
1595000,3189.9999999383904,-45167.82413553281,300.9286062358997,1.030641665132279,693
1600000,3199.999999938154,-45580.723676181166,304.76062828335586,1.0490012656537204,693
1605000,3209.9999999379174,-45489.940985133755,305.4250391759336,1.0466586344979496,693
1610000,3219.999999937681,-45335.96407290315,304.6125126981322,1.0506205545895249,693
1615000,3229.9999999374445,-45317.45114517247,303.90947144854334,1.0391860549071257,693
