#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45329.93383630726,305.04639136919354,1.0518745956478905,0
10000,19.999999999999794,-45605.43239090807,314.39220356468365,1.0419957694069317,703
15000,29.99999999999425,-45306.38563255087,306.21717632475645,1.0476274208945335,704
20000,40.00000000000292,-45496.16726539514,293.69996415271936,1.0487595589027283,704
25000,50.00000000001514,-45104.3220093656,301.9526036468237,1.025076033283216,704
30000,60.00000000002736,-45605.451933708304,305.5155217057782,1.0490705173222787,704
35000,70.00000000001826,-45523.95885588415,295.1942441707355,1.0441303190889006,704
40000,79.99999999999496,-45094.33370501542,310.7157185057192,1.0468378868959136,704
45000,89.99999999997165,-45117.30540602491,301.3726405114331,1.0257267516274275,704
50000,99.99999999994834,-45222.57248421438,287.898692278091,1.0525048783203041,703
55000,109.99999999992504,-45201.825185691734,298.90100074303024,1.0553013741445811,703
60000,119.99999999990173,-45234.68030537825,300.66458004963397,1.0403334128610757,703
65000,129.99999999989262,-45485.73690089316,294.35910194297503,1.04475236666545,703
70000,139.99999999994037,-44914.652628224285,296.9459687621189,1.03595295739781,703
75000,149.99999999998812,-45454.39108079416,305.5513202115423,1.037686853188351,703
80000,160.00000000003587,-45190.51717628987,302.3936303010327,1.0431513132396355,703
85000,170.00000000008362,-45487.292841551855,299.3658930677486,1.0428411765545147,703
90000,180.00000000013137,-45698.72197564767,299.12961902370375,1.0447087451448214,703
95000,190.0000000001791,-45441.33941985754,300.81275422488346,1.044832391260461,703
100000,200.00000000022686,-45237.84021382313,300.65991237757856,1.035344278268066,703
105000,210.0000000002746,-45663.78904581757,305.6456501530811,1.0563486430817035,703
110000,220.00000000032236,-45295.953667149995,304.6181764006263,1.0480675534195865,703
115000,230.0000000003701,-45093.40356688737,293.5141165908802,1.041437973948744,703
120000,240.00000000041786,-45595.567819521326,297.4033225035177,1.0573090420726199,703
125000,250.0000000004656,-45325.362057682185,298.46759079217526,1.0402989142832737,703
130000,260.00000000051335,-45520.53507558041,304.680320887992,1.0553311330213866,702
135000,270.0000000005611,-45570.84806585411,304.68657049074403,1.0375554688078092,702
140000,280.00000000060885,-45562.132866695174,307.57580090303577,1.052292883949088,702
145000,290.0000000006566,-45585.601220911194,287.87287360672156,1.0397145150526401,701
150000,300.00000000070435,-45403.79667782612,306.25402945098494,1.0506289349238873,701
155000,310.0000000007521,-45908.20255699879,298.41415668864516,1.0542398146699996,701
160000,320.00000000079984,-45338.830959621555,297.16427519825163,1.046740209788347,701
165000,330.0000000008476,-45511.66341469041,296.79232618446144,1.0307263596190175,701
170000,340.00000000089534,-45770.914517838275,301.94822892489725,1.0501032860808255,701
175000,350.0000000009431,-45482.07357100467,304.76133136366553,1.046851206806084,701
180000,360.00000000099084,-45337.49657949849,310.88277819928504,1.0543401670327652,701
185000,370.0000000010386,-45724.778926234605,304.77394774922124,1.0477151159874634,701
190000,380.00000000108633,-45753.649974244094,290.58508402106133,1.0460165765863088,701
195000,390.0000000011341,-45524.61010206811,299.37163489027705,1.0524482665094856,701
200000,400.00000000118183,-45438.77921045531,302.55904947387614,1.0486534980310342,702
205000,410.0000000012296,-45383.56368560984,302.6506452142109,1.0550732204314326,702
210000,420.00000000127733,-45259.2599470882,299.8782042533482,1.0420697812327178,702
215000,430.0000000013251,-45519.82496064974,290.6037937693003,1.0349239750382813,702
220000,440.0000000013728,-45491.3252793171,303.1352628476155,1.037396173407149,702
225000,450.0000000014206,-45674.90853592468,302.35554678426234,1.051162786314633,702
230000,460.0000000014683,-45654.858160268195,299.93472409823715,1.0538612946271906,702
235000,470.00000000151607,-45413.987220705196,303.2196715447854,1.0336089107910849,702
240000,480.0000000015638,-45218.91327301558,302.47093007507215,1.0454029031762133,702
245000,490.00000000161157,-45352.48477814667,304.2993099502113,1.057829021609771,702
250000,500.0000000016593,-45340.98641425476,292.4620740876063,1.0502063894797071,702
255000,510.00000000170706,-45567.308980623726,302.61156566700197,1.0490355476032078,702
260000,520.0000000015274,-45604.7051282546,304.46552985340736,1.0426007384190223,702
265000,530.0000000012909,-45173.25696269056,306.84203894991884,1.0468060744830965,702
270000,540.0000000010544,-45485.15567273146,289.2850885285997,1.0453298230316506,702
275000,550.000000000818,-45318.72839528578,308.1040485756531,1.0503463487053333,702
280000,560.0000000005815,-45525.287491851195,302.21688372320114,1.0426062603587771,702
285000,570.000000000345,-45071.027225939615,310.45364532031357,1.0398512065783618,702
