#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37650.17336821227,296.8429094707549,1.0040569292013295,0
10000,19.999999999999794,-37499.81453773932,294.7739261074619,1.004196463711258,707
15000,29.99999999999425,-37409.699150626955,298.23226470783806,1.0033943505900418,706
20000,40.00000000000292,-37614.793989827915,292.422608955238,1.0107624270086617,707
25000,50.00000000001514,-37067.69505614985,300.8718005828577,1.009552467108984,707
30000,60.00000000002736,-37750.01902279109,296.50667132232485,1.014505520903505,707
35000,70.00000000001826,-37802.88645538068,297.75350081736605,1.0263385234205014,707
40000,79.99999999999496,-37134.93585582782,296.50895990771676,0.999327300441156,707
45000,89.99999999997165,-37440.60579102184,295.3295619465448,1.0007972032727244,707
50000,99.99999999994834,-37126.89844209794,302.64655768670104,1.0030839659895023,707
55000,109.99999999992504,-37513.30967290414,299.60423078270213,1.0211555700202841,706
60000,119.99999999990173,-37438.20150679874,307.2611836225504,0.9975563959738386,706
65000,129.99999999989262,-37369.16384503068,305.43199088045617,1.011663439186791,706
70000,139.99999999994037,-37577.80088024144,299.2208927295543,1.0058571497216653,706
75000,149.99999999998812,-37327.674587052345,304.4105461789235,1.0068452820926967,706
80000,160.00000000003587,-37476.18773495557,304.8796448828742,1.000617881402957,706
85000,170.00000000008362,-37636.060834799486,297.3422093283597,1.0042365085663179,706
90000,180.00000000013137,-37684.81890852889,296.2892148424954,1.0081057193692766,706
95000,190.0000000001791,-37342.592206786125,308.84786804829287,1.0060302575369595,706
100000,200.00000000022686,-37757.98722989787,299.82710221903926,1.0265196180823692,706
105000,210.0000000002746,-37126.12798445468,305.3001520148427,1.0032504100115276,706
110000,220.00000000032236,-37828.627561701316,301.7147560576183,1.0293407781027386,706
115000,230.0000000003701,-37273.681793582684,296.2033928902982,1.0046901268961181,706
120000,240.00000000041786,-37379.6470502865,300.3401335889956,0.9983125476512941,706
125000,250.0000000004656,-37278.27341828626,302.4197220935244,1.0167767678323865,706
130000,260.00000000051335,-37577.406423307926,297.98419839839164,0.9894222944430794,706
135000,270.0000000005611,-37739.55785203929,298.59982786882006,1.0109920865995807,706
140000,280.00000000060885,-37737.95588093766,299.84420530808427,1.0057631803741587,706
145000,290.0000000006566,-37656.47914222616,298.07514923392256,1.0078478307387915,706
150000,300.00000000070435,-37712.8022827137,303.59773055642273,1.0294703531797753,706
155000,310.0000000007521,-37725.02577665096,294.2706416592193,1.0040131849786191,706
160000,320.00000000079984,-38126.33476715375,300.5725884766614,1.010649838598555,706
165000,330.0000000008476,-37603.16872532622,295.32151103007675,1.0019122438065269,706
170000,340.00000000089534,-37167.31125320381,298.966655413069,1.0180860975354542,706
175000,350.0000000009431,-37128.776524656074,300.15612723672507,1.0009383443044535,706
180000,360.00000000099084,-37836.69520684332,302.18867713793054,1.0277816001269988,706
185000,370.0000000010386,-37531.740992444684,294.0546972804524,1.0099672662553272,706
190000,380.00000000108633,-37417.1439529988,295.0364391121948,1.0105576452941547,706
195000,390.0000000011341,-37626.97921269349,301.15666816275825,1.0115967872017804,706
200000,400.00000000118183,-37696.478458444966,296.42900245558627,0.9948372885906566,706
205000,410.0000000012296,-37641.63576817702,308.9569640965741,1.0269233060417133,706
210000,420.00000000127733,-37362.21576974599,295.03621434041526,1.0042278794487158,706
215000,430.0000000013251,-37747.84286769811,299.8559343082179,1.0037653053883884,706
220000,440.0000000013728,-37747.25196408128,297.0419959660544,1.0110897722295404,706
225000,450.0000000014206,-37569.00562281441,301.8464314528467,1.0105127226977892,705
230000,460.0000000014683,-37580.06932671016,300.90255344906177,1.0125395325314244,705
235000,470.00000000151607,-37538.43482819712,297.40485935346373,1.0142800666440361,706
240000,480.0000000015638,-37550.6225771576,305.79013406049467,1.006176814370592,706
245000,490.00000000161157,-37261.10277105434,293.0370328315761,0.998825213215443,706
250000,500.0000000016593,-37593.807650007686,295.33499733685056,1.009376604724532,705
255000,510.00000000170706,-37502.56978608525,292.35433963564486,0.9962339953699046,705
260000,520.0000000015274,-37669.39109448608,301.48818610381744,1.015266681091073,705
265000,530.0000000012909,-37677.19098573123,297.4830799327521,1.0109172987178412,705
270000,540.0000000010544,-37630.600767182594,301.24616819862115,1.0234155466100114,705
275000,550.000000000818,-37453.31490300386,304.1033444576535,1.020164462375824,705
280000,560.0000000005815,-37501.230235528434,300.24329781959966,1.012046950049639,705
285000,570.000000000345,-37519.4746457077,307.40830696917425,1.0152280997263379,705
290000,580.0000000001086,-37703.8384079634,304.61453678577715,1.003196005074362,705
295000,589.9999999998721,-37545.42374104165,295.7693381501614,1.0145974337432,705
300000,599.9999999996356,-37501.363978570094,303.1533158806278,1.0126699524831477,705
305000,609.9999999993992,-37240.48825683264,302.3207203415255,1.0067034254233915,705
310000,619.9999999991627,-37501.94752973862,296.4364199243119,1.0041508652972178,705
315000,629.9999999989262,-37710.58642080249,303.41076130342157,1.0115385193726247,705
320000,639.9999999986898,-37761.72611905518,291.68513274648757,1.0121849602707769,705
325000,649.9999999984533,-37538.76435006468,305.5963603527121,1.0137011975482084,705
330000,659.9999999982168,-37512.654186423984,294.40918281062346,1.0156299101162767,705
335000,669.9999999979804,-37213.76393969054,292.78925259530365,1.0123764125669494,705
340000,679.9999999977439,-37724.35678848956,292.34011771213784,1.0078836544702823,705
345000,689.9999999975074,-37413.323255375755,302.1211434350705,0.9954746720072624,705
350000,699.999999997271,-37721.546191925154,301.7438946537691,1.0146458284113657,705
355000,709.9999999970345,-37828.31963809999,298.21277086441034,1.0155999183067501,705
360000,719.999999996798,-37717.62345370345,307.77253942105915,0.9997223587393366,705
365000,729.9999999965615,-37115.12419154032,298.26504052005816,1.0051021467281502,705
370000,739.9999999963251,-37366.38335198152,299.12133926500553,0.9989038543439986,704
375000,749.9999999960886,-37320.4752909455,293.0658649207547,0.9811102512447694,704
380000,759.9999999958521,-37179.21693220653,303.87154345152834,0.9792193274980683,704
385000,769.9999999956157,-37305.81866044138,291.7295762574468,0.999876724938929,704
390000,779.9999999953792,-37504.98241939556,295.4700443087725,0.9984158268557204,704
