#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-30387.692178757366,304.3834666160323,1.0055316719772482,0
10000,19.999999999999794,-30812.314579355123,301.9310146748809,1.0304982387091097,701
15000,29.99999999999425,-30293.03022800584,298.55714904242814,1.0273587251383716,700
20000,40.00000000000292,-30446.383558292582,308.8247712876571,1.0279219489421707,701
25000,50.00000000001514,-30342.08237920326,300.79503831036334,1.0350073992650328,700
30000,60.00000000002736,-30032.3478140379,295.16995507924094,1.0162684356099174,699
35000,70.00000000001826,-30358.613343463978,305.9280286266862,1.0243778726011588,698
40000,79.99999999999496,-30557.708527021023,295.06872230328133,1.0391459461541093,698
45000,89.99999999997165,-30388.615435623273,299.62110942636446,1.0305640800299203,698
50000,99.99999999994834,-30279.989402800216,302.50712297652404,1.0263161073304152,697
55000,109.99999999992504,-30305.71322687622,298.90763332892595,1.0138403927252038,697
60000,119.99999999990173,-30100.494463370065,299.58644013204935,1.030907142373124,696
65000,129.99999999989262,-30362.295263833075,306.9042018234391,1.0348499148193389,697
70000,139.99999999994037,-30877.265196155786,296.1370407777657,1.0525545733276773,697
75000,149.99999999998812,-30821.3493874486,304.4693776745493,1.0375294789758214,697
80000,160.00000000003587,-30454.847835598805,304.78151858142695,1.031182334091308,696
85000,170.00000000008362,-30560.062061890872,299.8507788439468,1.0230961079379288,697
90000,180.00000000013137,-30959.58911354473,302.4404617798449,1.0501184190530057,697
95000,190.0000000001791,-30406.865182230802,297.93022892273575,1.0283789407020725,697
100000,200.00000000022686,-30431.1430022353,297.7218809257271,1.025732781459549,697
105000,210.0000000002746,-30552.967936867586,294.33613314505357,1.0356788908882406,697
110000,220.00000000032236,-30665.387080989633,313.1448702302275,1.0205369990090831,698
115000,230.0000000003701,-30525.693913098192,305.6643152910109,1.0480407394391404,698
120000,240.00000000041786,-30296.49801198658,303.32857418731714,1.0255063946420768,698
125000,250.0000000004656,-30205.53234348391,287.9237598792728,1.0045199670908547,698
130000,260.00000000051335,-30490.783690250973,303.0237814510497,1.0326350956853372,698
135000,270.0000000005611,-30535.429314047826,293.1913428844052,1.029596357350213,698
140000,280.00000000060885,-30366.695782592404,296.30223781544646,1.0373668272975984,698
145000,290.0000000006566,-30257.695007489645,294.6463979232648,1.0365677619566702,698
150000,300.00000000070435,-30754.63198476017,302.2947882060992,1.0364236991843971,698
155000,310.0000000007521,-30496.519845097442,297.4038771167669,1.0311302635052617,698
160000,320.00000000079984,-30434.206189191318,300.35491025102255,1.0242747839230804,698
165000,330.0000000008476,-30277.653779745597,305.2815850430588,1.0207956099701743,698
170000,340.00000000089534,-30699.007832932373,302.41716651557005,1.0220025107528838,699
