#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-30773.84322871876,308.24004451995245,1.0223344471115905,0
10000,19.999999999999794,-30402.21621968958,302.49516265627557,1.0346350333059082,701
15000,29.99999999999425,-30545.12760825781,297.12325908008677,1.0404517238052833,699
20000,40.00000000000292,-30095.090302603377,300.2036669202984,1.0188490203847478,699
25000,50.00000000001514,-30165.10426867893,300.6689077435597,1.0286482661940404,699
30000,60.00000000002736,-30729.289907503407,307.0336937874368,1.018146016521363,700
35000,70.00000000001826,-30492.53040191371,304.71741751865716,1.034940238608767,701
40000,79.99999999999496,-30228.245153657917,305.1137496994409,1.0291039144999992,701
45000,89.99999999997165,-30470.08197034913,309.24654846347926,1.0244868338808037,699
50000,99.99999999994834,-30637.949700809666,302.3985224869474,1.0308394049126028,698
55000,109.99999999992504,-30755.279585861164,304.66484682998316,1.0288708453113973,698
60000,119.99999999990173,-30579.893002901925,294.43169844899995,1.0156285758912358,697
65000,129.99999999989262,-30088.67930727583,292.4374909346245,1.0273548474218597,697
70000,139.99999999994037,-30486.608344592765,291.86026868158564,1.0369378138624503,697
75000,149.99999999998812,-30507.742715557077,298.75046846709836,1.016668143335961,697
80000,160.00000000003587,-30437.841487125697,294.7355531209341,1.0221812980905665,697
85000,170.00000000008362,-30241.76913113313,303.37037667916604,1.0210832107560217,698
90000,180.00000000013137,-30702.784065603424,306.68242778066127,1.0325641903172027,697
95000,190.0000000001791,-30151.861989076977,306.9399850691499,1.0254676553539508,697
100000,200.00000000022686,-30608.63304120372,298.25939178865985,1.041113012685383,697
105000,210.0000000002746,-30434.3190511899,292.8804722729788,1.024510631411094,697
110000,220.00000000032236,-30571.112102193438,301.3930152367746,1.0370762568971632,697
115000,230.0000000003701,-30621.949321428518,297.4304946922219,1.02778258980938,697
120000,240.00000000041786,-30328.705771980633,299.61595007253175,1.027561865235527,697
125000,250.0000000004656,-30487.493132460077,297.131916632162,1.032606442565071,697
130000,260.00000000051335,-30574.002711863723,305.48494957329723,1.0358787267209724,697
135000,270.0000000005611,-30622.903670819098,301.04907785760236,1.0298393716363015,697
140000,280.00000000060885,-30406.704099172173,300.8162033868815,1.0172370152308488,697
145000,290.0000000006566,-30519.882149257726,304.02340625613294,1.0251673277090643,697
150000,300.00000000070435,-30021.771731101675,306.53143850902734,1.0249937347402633,697
155000,310.0000000007521,-30453.28338675495,303.7759527022333,1.0257011879591742,697
160000,320.00000000079984,-30503.33186441139,300.3060331906606,1.0264608212978732,698
165000,330.0000000008476,-30378.343062377593,294.75542835899415,1.023195019531818,698
170000,340.00000000089534,-30337.265807703196,311.2028034583733,1.036463756383073,698
175000,350.0000000009431,-30707.55574432225,304.005856635899,1.0171718270570527,698
180000,360.00000000099084,-30704.585698548006,307.5544367504133,1.0232460340855063,698
185000,370.0000000010386,-30453.91622522552,294.3561060981483,1.0419128877854362,698
190000,380.00000000108633,-30730.56084161633,302.3333856448097,1.0391184971965544,698
195000,390.0000000011341,-30193.909146333317,308.79111822970293,1.026648362680138,698
200000,400.00000000118183,-30225.13312818267,307.63831533620834,1.0304060607791845,698
205000,410.0000000012296,-30666.1751866696,297.4545130477536,1.033634758339684,697
210000,420.00000000127733,-30505.363395445223,296.18372902135013,1.0350550790268171,697
215000,430.0000000013251,-30474.070258877502,301.22754459699667,1.0379140291319768,697
220000,440.0000000013728,-30248.906067348144,297.7824642472473,1.0194059296785078,697
225000,450.0000000014206,-30510.36409687862,313.1597620015173,1.0319685905659344,697
230000,460.0000000014683,-30452.90980779429,291.11739990170645,1.0418025573342926,697
235000,470.00000000151607,-30015.247814625764,297.48998360535336,1.0261435046011298,697
240000,480.0000000015638,-30447.61124019313,298.0081078053996,1.0347090009206077,696
245000,490.00000000161157,-30596.41211546448,304.1956192333058,1.0320079712212507,696
250000,500.0000000016593,-30411.310953048378,307.4293028769636,1.0178125080370475,696
255000,510.00000000170706,-30368.724614968378,299.0973959263327,1.0193273331845294,696
260000,520.0000000015274,-30228.401094181056,298.5162846149124,1.0216661759914838,696
265000,530.0000000012909,-30231.271454472415,298.11430450512245,1.023476237863811,696
270000,540.0000000010544,-30339.92390196101,288.0063486266096,1.0067292544488673,696
275000,550.000000000818,-30605.95632909966,303.64864955501315,1.0364561408652775,696
280000,560.0000000005815,-30417.15889670694,300.32614294480396,1.0220309509237966,696
285000,570.000000000345,-30381.63605224894,304.384912798546,1.0288900805606918,696
290000,580.0000000001086,-30312.046264070377,298.7222483650741,1.0341803149636228,696
295000,589.9999999998721,-30587.812375701324,301.8652133705072,1.0224588967964459,696
300000,599.9999999996356,-30575.033043245407,301.16942369435117,1.0458288573482677,696
305000,609.9999999993992,-30419.384780402295,305.7531382575623,1.039610016996114,696
310000,619.9999999991627,-30367.01701169199,293.98392907394486,1.0300868197838189,696
315000,629.9999999989262,-30153.74926858404,290.90993134001013,1.0304806246539522,696
320000,639.9999999986898,-30785.839225908974,298.3121969934171,1.0420908921684324,696
325000,649.9999999984533,-30416.709404181078,300.7498744213204,1.0333408462030655,696
330000,659.9999999982168,-30276.97382063931,294.08305120515473,1.018711501368048,696
335000,669.9999999979804,-30437.826516493864,294.6260341100312,1.0190246671043455,696
340000,679.9999999977439,-30283.213629498903,306.33976069694023,1.01951306723474,696
345000,689.9999999975074,-30573.75767861656,297.27825466814375,1.0316507144448455,696
350000,699.999999997271,-30736.890962390084,298.6542387009159,1.035214623519453,696
355000,709.9999999970345,-30635.417922242923,306.50536813776677,1.03206631728767,696
360000,719.999999996798,-30616.310527138412,295.29174709850344,1.0381040086620639,696
365000,729.9999999965615,-30280.89061605133,295.6844051939821,1.0331364750098402,696
370000,739.9999999963251,-30474.60669851821,303.12575686127303,1.0274970619433077,695
375000,749.9999999960886,-30425.262619829882,311.6860238480212,1.0395260039174439,695
380000,759.9999999958521,-30399.93230938801,307.37958546730323,1.0236713060270388,694
385000,769.9999999956157,-30248.057253621053,306.2790992033923,1.0173920640998677,694
390000,779.9999999953792,-30548.167947216483,301.6305018571338,1.0132207054002687,694
395000,789.9999999951427,-30321.491151482565,308.76375801998415,1.0346549376628977,694
400000,799.9999999949063,-30078.543340276054,306.57996379526435,1.0127585719867018,693
405000,809.9999999946698,-30487.895883128193,302.95678802325256,1.0251155897569788,693
410000,819.9999999944333,-30279.06112588392,296.6513345484513,1.0103363819373867,693
415000,829.9999999941969,-30229.174563716922,296.0883200614593,1.022878391148557,693
420000,839.9999999939604,-30499.685073470027,294.4803800792925,1.0277594264097025,693
425000,849.9999999937239,-30421.968028920062,293.64003078078656,1.020729180812701,693
430000,859.9999999934874,-30391.787478949496,306.9029510709948,1.0382546714388563,693
435000,869.999999993251,-30698.93309647718,308.29871262679234,1.0326964685486955,693
440000,879.9999999930145,-30813.111721201276,296.8748674618539,1.032684885149834,692
445000,889.999999992778,-30811.178460342373,301.44755976914973,1.0449903317170477,692
450000,899.9999999925416,-30287.320007451228,302.716369951852,1.0305837543702845,692
455000,909.9999999923051,-30206.58715245314,298.0905988377018,1.0245340188757075,692
460000,919.9999999920686,-30916.98223641474,293.06329710292124,1.0368359091718338,692
465000,929.9999999918322,-30443.299279761384,306.4276651421653,1.033422653575837,692
470000,939.9999999915957,-30362.022841345373,309.04953541049696,1.019233557898535,692
475000,949.9999999913592,-30244.139310056722,315.7104761815731,1.0275376929058242,692
480000,959.9999999911228,-30321.471601855505,293.9820138592646,1.0194447778180011,692
485000,969.9999999908863,-30176.934089077724,295.1488681747505,1.0126258501482956,692
490000,979.9999999906498,-30322.837479141803,306.02320307049376,1.0256679868171574,692
495000,989.9999999904134,-30637.568312803574,303.8486331450506,1.0241925490838444,692
500000,999.9999999901769,-30708.476718636928,299.35458189768946,1.0454327156965757,692
505000,1009.9999999899404,-30384.132501296874,312.8151015310882,1.0301525731371188,692
510000,1019.999999989704,-30938.40214318462,307.24710342324335,1.0263679685305727,692
515000,1029.9999999894676,-30304.750571311364,297.5209397283495,1.019972374357692,692
520000,1039.9999999892311,-30137.268827132182,294.66719168265104,1.029440932064053,692
525000,1049.9999999889947,-30514.60750397315,304.54743244427567,1.0287059818997184,692
530000,1059.9999999887582,-30359.636709225073,302.533760094986,1.0379770955840857,692
535000,1069.9999999885217,-30343.82085600507,305.0965127673181,1.0192927828465423,692
540000,1079.9999999882853,-30211.641488228226,294.4956822537281,1.024384314658744,692
545000,1089.9999999880488,-30463.699339287035,304.315847812013,1.035709628766066,692
550000,1099.9999999878123,-30269.92216133038,293.89022035565796,1.0235045751867435,692
555000,1109.9999999875758,-30717.832102356537,296.03422501824383,1.041952063438319,692
560000,1119.9999999873394,-30357.899523252185,294.2253242956925,1.0277489396807,692
565000,1129.999999987103,-30715.365043320577,302.8861009671433,1.0323796957190399,692
570000,1139.9999999868664,-30550.61374556049,295.00870572896247,1.030674201016777,692
575000,1149.99999998663,-30738.047079589014,310.17714736804334,1.0438826873089813,692
580000,1159.9999999863935,-30873.438939643383,308.79084462760574,1.0391040434516123,692
585000,1169.999999986157,-30382.21826222437,297.09525395113883,1.020092097147557,692
590000,1179.9999999859206,-30356.268741124804,303.16281040243507,1.022745606245817,692
595000,1189.999999985684,-30896.312443087605,311.48215119960224,1.0379577513116591,692
600000,1199.9999999854476,-30428.26787495741,301.50902252598235,1.0381852918158465,692
605000,1209.9999999852112,-30237.35525122992,299.4945879994219,1.0201910504143508,692
610000,1219.9999999849747,-30511.413517365814,306.52532154785456,1.0449979995378686,692
615000,1229.9999999847382,-30591.520025478938,302.9445931869207,1.0295453626441446,692
620000,1239.9999999845018,-30489.304362853552,305.88319696876124,1.0407439365524953,692
625000,1249.9999999842653,-30440.42072959215,302.5662405725236,1.0290514172488627,692
630000,1259.9999999840288,-30440.990340655873,302.78363698174644,1.0366906172323334,692
635000,1269.9999999837923,-30744.16959427335,301.4038225196136,1.0370858179804958,692
640000,1279.9999999835559,-30534.443202018563,296.0439183496871,1.0398356376093336,692
645000,1289.9999999833194,-30541.576665113884,296.2663959407148,1.0241336617472323,692
650000,1299.999999983083,-30470.46686650999,300.83531644767083,1.0307162391236855,692
655000,1309.9999999828465,-30229.738969889033,296.5167809456557,1.0154296130914917,692
660000,1319.99999998261,-30753.21060901598,298.0510437916512,1.0238276352033424,692
665000,1329.9999999823735,-30179.584889379505,291.4295798945979,1.0243744421806702,692
670000,1339.999999982137,-30506.041664430435,298.28143630049044,1.026358700660073,692
675000,1349.9999999819006,-30556.969657717826,298.89190120833763,1.0340980352419966,692
680000,1359.9999999816641,-30449.051171002793,293.48421438643794,1.0249053987698915,692
685000,1369.9999999814277,-30308.63126343541,290.5109022242684,1.0218768711615007,692
690000,1379.9999999811912,-30440.907630507747,297.14172722164693,1.0261966664694606,692
695000,1389.9999999809547,-30377.61075945152,300.6335935300155,1.0278381961792273,692
700000,1399.9999999807183,-30639.166428471566,309.5419410134076,1.022247504670965,692
705000,1409.9999999804818,-30221.739247003774,285.1246345379772,1.022765687573935,692
710000,1419.9999999802453,-30123.464098209282,296.65049419915283,1.0141071918482385,692
715000,1429.9999999800089,-29913.38215101749,302.6386669562507,1.0053846351337474,692
720000,1439.9999999797724,-30471.593413426424,299.6347895312238,1.0336215155405721,692
725000,1449.999999979536,-30474.10161415601,302.6539691306863,1.0317527140771294,692
730000,1459.9999999792994,-30154.46844403408,304.2362296017313,1.0201358289909124,692
735000,1469.999999979063,-30588.810395712237,295.2039208253061,1.0352996582825875,692
740000,1479.9999999788265,-30644.535846691346,301.49334903441485,1.0379050643303869,692
745000,1489.99999997859,-30684.59157047374,291.7686510650416,1.0258137778132135,692
750000,1499.9999999783536,-30608.125051549898,300.1528746452562,1.0141103151222544,692
755000,1509.999999978117,-30641.335793095786,306.1274063835085,1.0386501865113777,692
760000,1519.9999999778806,-30282.668323039776,298.2679516257004,1.0248075093683389,692
765000,1529.9999999776442,-30123.239749713626,302.1087778660253,1.0297065871646032,692
