#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-30350.71227667731,297.26281569265956,1.015950746254578,0
10000,19.999999999999794,-30761.604678753705,305.9509721168361,1.031250545819437,700
15000,29.99999999999425,-30537.28795985732,298.67511063233,1.0367536749594597,701
20000,40.00000000000292,-30669.18455176818,296.2093499034511,1.0251486568120924,697
25000,50.00000000001514,-30602.20266803552,299.05588657958793,1.0262044180198087,697
30000,60.00000000002736,-30542.057836199325,294.49138279220085,1.0135903361177252,698
35000,70.00000000001826,-30181.89132643194,294.5993774485623,1.031774145662185,697
40000,79.99999999999496,-30525.99800563848,300.8069009155771,1.0105240418937638,697
45000,89.99999999997165,-30381.73907440345,300.66703161489323,1.0128686110229448,697
50000,99.99999999994834,-30595.068588370952,305.2603222515059,1.0352877838505115,697
55000,109.99999999992504,-30415.172916522715,295.34736649626035,1.0249462689134827,697
60000,119.99999999990173,-30480.78637553405,307.70282680212387,1.02331732145457,697
65000,129.99999999989262,-30287.527527415106,300.0435119784088,1.0293039819565841,698
70000,139.99999999994037,-30558.934736219933,293.73307503683736,1.0181891257294786,698
75000,149.99999999998812,-30362.958796625346,300.20204485072225,1.01765567759728,698
80000,160.00000000003587,-30366.850486541167,301.02435595382076,1.0330782491366297,698
85000,170.00000000008362,-30562.612628012954,313.0065057410782,1.0367213207460515,698
90000,180.00000000013137,-30576.384586062748,287.87656351750786,1.0373009002473743,698
95000,190.0000000001791,-30541.066936252988,296.61803326462217,1.0202736825365164,698
100000,200.00000000022686,-30239.110132915666,298.619843008698,1.0120837421072164,698
105000,210.0000000002746,-30408.874426973896,302.9553418407388,1.0365343342973632,698
110000,220.00000000032236,-30572.671522401157,295.2840080677544,1.050797801634275,698
115000,230.0000000003701,-30456.147489821713,298.59474978778456,1.0298543396245978,698
120000,240.00000000041786,-30582.054156241327,291.50544584754675,1.0451997501761208,698
125000,250.0000000004656,-30210.19939009723,299.8849791060953,1.037280935047994,698
130000,260.00000000051335,-30225.685844258813,296.10684683204033,1.027300491451676,699
135000,270.0000000005611,-30060.09256229439,298.55632823613655,1.0183145199038754,699
140000,280.00000000060885,-30567.690107891685,304.5326774740345,1.0381174446766699,699
145000,290.0000000006566,-30519.643367962475,294.9877360825137,1.0129708600823775,699
150000,300.00000000070435,-30456.967426560936,298.3945903106846,1.018106706852536,699
155000,310.0000000007521,-30425.70713545248,299.4576321732946,1.03537709550981,699
160000,320.00000000079984,-30538.368998350517,292.49918820754044,1.035948193892117,699
165000,330.0000000008476,-30143.272037615854,297.10447825041547,1.0167665375072759,699
170000,340.00000000089534,-30509.079791732103,292.41892507802964,1.0238087800044544,699
175000,350.0000000009431,-30469.079177388892,300.699140775299,1.02250659947834,699
180000,360.00000000099084,-30483.1197881446,305.09221330579084,1.0202279628195425,699
185000,370.0000000010386,-30655.746199614194,301.3797064490471,1.033085159386901,699
190000,380.00000000108633,-30242.16718119153,305.06968021878674,1.025420373106421,699
195000,390.0000000011341,-30283.807231909916,298.3243918297489,1.0154416009457075,699
200000,400.00000000118183,-30660.88559247594,296.7684948750686,1.0213538591948126,699
205000,410.0000000012296,-30397.24011140241,306.8871798643926,1.02267526458662,699
