#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-30639.88002401989,298.33967446117754,1.0346018197358196,0
10000,19.999999999999794,-30121.890422175988,298.21631900135964,1.0232959367829415,696
15000,29.99999999999425,-30608.55804639493,307.2664119141021,1.0468245637629272,698
20000,40.00000000000292,-30520.289657774323,300.69286747007055,1.0306629306191715,699
25000,50.00000000001514,-30112.691699969262,299.5714701887318,1.019110574932638,699
30000,60.00000000002736,-30532.403553719138,306.7000751159299,1.0314368909065854,698
35000,70.00000000001826,-30490.158225318562,301.481154198083,1.0341276290016357,698
40000,79.99999999999496,-30577.05108386799,286.85632084010075,1.0235214025271917,698
45000,89.99999999997165,-30634.23842647299,295.90229017837845,1.0365330085607796,698
50000,99.99999999994834,-30506.332235658658,300.03542117353476,1.047811112988295,697
55000,109.99999999992504,-30739.67129928805,301.0577549526846,1.0250684999892072,697
60000,119.99999999990173,-30541.061117756326,293.56867926244126,1.0401986566910033,697
65000,129.99999999989262,-30361.42719293156,305.96902985525054,1.0355685144570028,697
70000,139.99999999994037,-30530.001915064553,292.95840978466356,1.0367722178871346,697
75000,149.99999999998812,-30119.346457706415,303.6186901253711,1.0060135917896946,698
80000,160.00000000003587,-30461.037511513277,294.78749843338596,1.0295393705394453,698
85000,170.00000000008362,-30603.345964366774,297.47862911832,1.0226959268656879,697
90000,180.00000000013137,-30591.574209415907,302.2839809232603,1.0261569705424296,698
95000,190.0000000001791,-30279.124676536216,306.2717510327821,1.0152873196930439,698
100000,200.00000000022686,-29931.28803819514,299.24156468854386,1.0196191366792589,698
105000,210.0000000002746,-30298.423262479017,300.4428733252685,1.0256528945241068,698
110000,220.00000000032236,-30133.331880840327,302.5259624352162,1.0206574842650558,699
115000,230.0000000003701,-30208.4261233329,305.5689845031478,1.0326749328301132,699
120000,240.00000000041786,-30582.83585670212,295.26552038318727,1.036197610549776,699
125000,250.0000000004656,-30589.0183907724,297.2315664245593,1.035146679430432,699
130000,260.00000000051335,-30724.794251907035,308.0544836690381,1.019185043895883,699
135000,270.0000000005611,-30528.06743544631,311.22297184153746,1.0255299264068265,699
140000,280.00000000060885,-30475.58255295636,296.63190879955096,1.0191653634095992,699
145000,290.0000000006566,-30287.13002088247,292.61187318556796,1.0147146014813984,699
150000,300.00000000070435,-30121.115300144447,307.5126538015713,1.0146165335644515,698
155000,310.0000000007521,-30513.926514694496,294.40383012110067,1.0336235582331406,699
160000,320.00000000079984,-30197.12263009639,302.48650510420026,1.011308103272231,699
165000,330.0000000008476,-30298.226732910873,304.38413107826835,1.0210346026619292,698
170000,340.00000000089534,-30117.517775165266,297.75080457600126,1.0425483422099115,698
175000,350.0000000009431,-30662.550800172554,309.6980700958672,1.0280098587859239,698
180000,360.00000000099084,-30498.818818805972,299.6228682969892,1.0182557301542112,698
185000,370.0000000010386,-30520.892257886007,299.41139341886986,1.022138137662248,699
190000,380.00000000108633,-30250.64170339273,313.06077667135605,1.0236827005283788,699
195000,390.0000000011341,-29960.588217537355,299.0840089665774,1.0327207972823096,699
200000,400.00000000118183,-30170.11704510072,296.8675779202646,1.0283934216102026,698
205000,410.0000000012296,-30203.171273878455,311.3996210812862,1.0254622787628962,698
210000,420.00000000127733,-30750.895121968642,309.72976885312715,1.0363134820802178,698
215000,430.0000000013251,-30426.495363031252,310.15135059887996,1.0168030552847558,698
220000,440.0000000013728,-30496.986475923943,292.7096077632849,1.0228548382544649,698
225000,450.0000000014206,-30611.268698224187,306.44427669806606,1.012491230272108,698
230000,460.0000000014683,-30400.827495152218,302.4070041519602,1.0349055440717365,698
235000,470.00000000151607,-30404.161660489073,309.3499505132094,1.0337753394857405,698
240000,480.0000000015638,-30359.730927058554,304.4247414466938,1.0273851612374327,698
245000,490.00000000161157,-30178.936254444096,311.31720822101175,1.0169351022395046,698
250000,500.0000000016593,-30287.282313298405,290.088519215231,1.0297472896540087,698
255000,510.00000000170706,-30410.009293406823,303.24608315501496,1.0208612684200185,698
260000,520.0000000015274,-30158.885961843713,303.4093063489945,1.0179915479096386,698
265000,530.0000000012909,-30379.058976368222,294.86273901011265,1.0372689076822255,698
270000,540.0000000010544,-30944.83356140449,305.02119401856356,1.0365517729083369,698
275000,550.000000000818,-30373.21359642438,298.5258411453071,1.0230463409190829,698
280000,560.0000000005815,-29995.469428877463,302.7606153195687,1.022125750352641,698
285000,570.000000000345,-30666.11757435903,287.98346376548056,1.0377721939348927,698
290000,580.0000000001086,-30322.464787255332,296.31789176400696,1.0226502238050812,698
295000,589.9999999998721,-30276.279177926655,294.63090031875976,1.0323943533913402,698
300000,599.9999999996356,-30377.303233917744,297.23451741860754,1.030358481203698,698
305000,609.9999999993992,-30201.037520811544,294.70291629934104,1.0354798882238558,698
310000,619.9999999991627,-30406.235021370783,302.09771652409614,1.0333749788087057,698
315000,629.9999999989262,-30503.159944102226,300.47513882972976,1.0262752600475769,698
320000,639.9999999986898,-30460.0887989685,308.61001318437144,1.0270135530886242,698
325000,649.9999999984533,-30462.811906026618,302.7925876789259,1.032533359190729,698
330000,659.9999999982168,-30450.778012412862,300.86025332452874,1.0267100328701935,698
335000,669.9999999979804,-30385.3365248123,300.69536897495914,1.034783259808575,698
340000,679.9999999977439,-30292.090245478612,310.2712469464691,1.0315317269245527,698
