#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-44362.693978338764,315.5904281561326,1.0432219803685878,0
10000,19.999999999999794,-44058.10515124412,304.8540307263172,1.0205139483177228,700
15000,29.99999999999425,-44454.86240207142,297.5335520719919,1.0441716312912654,697
20000,40.00000000000292,-44290.902121708205,308.5310885083508,1.0408581252699804,698
25000,50.00000000001514,-44498.02998595743,297.9846569048642,1.0318710612395332,699
30000,60.00000000002736,-44377.450490542746,307.42756942142296,1.0186289594657392,700
35000,70.00000000001826,-44402.634215518396,291.62576454559945,1.0396850167968865,701
40000,79.99999999999496,-44190.44547086765,293.1854497568538,1.0319796300616333,701
45000,89.99999999997165,-44284.32543359211,294.9988100467874,1.0465965606184522,701
50000,99.99999999994834,-44558.11782939735,287.7670516959672,1.050746866580417,701
55000,109.99999999992504,-44650.4927335401,301.63737322293946,1.0453632621680837,701
60000,119.99999999990173,-44860.831463723734,297.7772030364683,1.0587062801390699,701
65000,129.99999999989262,-44444.83046775966,298.8041134706469,1.0357082324917015,701
70000,139.99999999994037,-44188.217600335076,300.37537860164844,1.029152487547002,701
75000,149.99999999998812,-44613.09155231237,304.36229770562437,1.0339002341369843,700
80000,160.00000000003587,-44142.5565438598,302.7210410188721,1.0390603874699775,700
85000,170.00000000008362,-44354.578135896096,307.66580460710605,1.0223449744371471,700
90000,180.00000000013137,-44295.75708378042,298.59921978858966,1.04244363486312,700
95000,190.0000000001791,-44303.091819351655,299.19022895799935,1.0360269832557842,700
100000,200.00000000022686,-44234.69947259087,302.81885983075006,1.0301740187854653,700
105000,210.0000000002746,-44525.13172304272,297.2893496827656,1.04624877178083,700
110000,220.00000000032236,-44469.46356489477,311.56605155664784,1.0333335574124864,700
115000,230.0000000003701,-44017.86803475724,285.9444156539912,1.026424864653959,700
120000,240.00000000041786,-44390.011859936814,300.65148485140264,1.035193656496018,700
125000,250.0000000004656,-44191.401972243446,302.6177079594955,1.040594074002185,700
130000,260.00000000051335,-44577.19340043262,292.90851636997473,1.0501304453131661,700
135000,270.0000000005611,-44442.29992258566,294.1498522568869,1.0420907071166734,700
140000,280.00000000060885,-44602.80020311402,297.1288850805547,1.0529218561108398,700
145000,290.0000000006566,-44300.144134440256,306.1651218440874,1.0220004898198958,700
150000,300.00000000070435,-44591.16575553603,299.1433972417429,1.0480273095074002,699
155000,310.0000000007521,-44481.526598286175,308.03401848382896,1.0449785170990338,699
