#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-44174.28626122855,295.04442075109773,1.0243598854226919,0
10000,19.999999999999794,-44525.51560897991,299.0864823300603,1.030486196125676,698
15000,29.99999999999425,-44342.66597624947,307.62450683208937,1.0344429545979688,694
20000,40.00000000000292,-44267.124594050285,306.4688978000403,1.0363033471796577,692
25000,50.00000000001514,-44404.03940858392,286.25193342074675,1.0453862101333087,692
30000,60.00000000002736,-44371.725854152115,304.6155001345182,1.035347844763922,692
35000,70.00000000001826,-44501.0560325759,298.0465346392956,1.0455857957329646,692
40000,79.99999999999496,-44512.94287549882,297.87827131562227,1.0320289857569125,692
45000,89.99999999997165,-44640.98693368165,302.32637844789673,1.0409677082292046,693
50000,99.99999999994834,-44381.536202606745,299.0690336754753,1.041195494819194,692
55000,109.99999999992504,-44570.992755823565,303.6389465962469,1.0411350799481507,692
60000,119.99999999990173,-44519.474799400225,295.4748668495912,1.0285689751750067,693
65000,129.99999999989262,-44390.52924577947,309.7828029968051,1.030660292646359,693
70000,139.99999999994037,-44523.34040382216,310.64460110588107,1.0335829590310324,694
75000,149.99999999998812,-44427.67004315331,304.9923792573104,1.0318275343871655,694
80000,160.00000000003587,-44467.43088554818,293.0086196558164,1.0478663234272625,695
85000,170.00000000008362,-44206.6241743562,304.6892728885537,1.0408146474763036,695
90000,180.00000000013137,-44042.303612148185,299.7059489553113,1.0254911040632353,695
95000,190.0000000001791,-44510.807789558545,300.7560980039486,1.0264782609249747,696
100000,200.00000000022686,-44320.87189141559,302.7844154776245,1.036013877658067,696
105000,210.0000000002746,-44556.87169336743,306.8478447656445,1.0428893263507515,696
110000,220.00000000032236,-44220.91250885351,311.4805413329365,1.0184177685845073,696
115000,230.0000000003701,-44203.430851728626,301.5073551444175,1.0477340488252767,696
120000,240.00000000041786,-44557.23080748823,304.9989963543087,1.0510548291900355,696
125000,250.0000000004656,-44558.11182707694,302.6640079447431,1.0490573377160732,696
130000,260.00000000051335,-44640.93910024717,301.42850140518675,1.0397237209806436,696
135000,270.0000000005611,-44278.49081204558,303.18817655697273,1.0372439691839284,696
140000,280.00000000060885,-44717.44269496997,311.1989602231657,1.035573305134393,696
145000,290.0000000006566,-44082.8643334574,299.53605105112945,1.039552158971482,696
150000,300.00000000070435,-44606.187791986216,297.23861860577796,1.0500452946943788,696
155000,310.0000000007521,-44218.75733671716,299.34632154969347,1.047010680338885,696
160000,320.00000000079984,-44270.61681122615,295.17577800401216,1.0359011290650126,696
165000,330.0000000008476,-44405.427609109815,297.92624526886055,1.0264492656679804,696
170000,340.00000000089534,-44390.57460120242,302.1834806627172,1.038887536811095,696
175000,350.0000000009431,-44359.65248017383,299.7458287809713,1.029943583519638,696
180000,360.00000000099084,-44309.48426001557,293.9468885614541,1.0249805206434646,696
185000,370.0000000010386,-44290.52728534301,291.48524970308904,1.0373637979676278,696
190000,380.00000000108633,-44344.03869358136,308.653780515196,1.0417760849373363,696
195000,390.0000000011341,-44228.89782475954,305.26665398914537,1.032935781142874,696
200000,400.00000000118183,-44359.212169797625,302.1821611820658,1.030104035439736,696
205000,410.0000000012296,-44313.208775118634,300.00421066376555,1.035606263096134,696
210000,420.00000000127733,-44237.80346388047,306.2422228403633,1.0337915944671443,696
215000,430.0000000013251,-44230.80032844556,296.6010534324867,1.0245884612762255,695
220000,440.0000000013728,-44615.04371015789,295.51671604935774,1.0461293407175087,695
225000,450.0000000014206,-44246.61466900649,299.8132601503834,1.03326962321209,695
230000,460.0000000014683,-44447.86935370954,301.78458393741255,1.0307206688769548,695
235000,470.00000000151607,-44462.068331281014,298.0896245447494,1.041082935280712,695
240000,480.0000000015638,-44198.840890602296,289.68224832095643,1.0285172986135462,695
245000,490.00000000161157,-44231.8632179235,304.3639716736151,1.0307741112446767,695
250000,500.0000000016593,-44264.11636202704,303.4345649514574,1.045455919284137,695
255000,510.00000000170706,-44553.849994107004,290.36715724777184,1.0363842789570121,695
260000,520.0000000015274,-44184.46566489438,296.67868615977136,1.0441463073294917,695
265000,530.0000000012909,-44587.88286022906,302.25500833027127,1.0393152619915942,695
270000,540.0000000010544,-44433.63323172627,299.6534257478866,1.0347950225424292,695
275000,550.000000000818,-44053.3842821983,309.7882975505627,1.0234285181140401,695
280000,560.0000000005815,-44305.272820121085,299.2468878510481,1.0388412482616638,695
285000,570.000000000345,-44481.34162564427,308.87876181314124,1.0420233439950415,695
290000,580.0000000001086,-44217.18534973936,304.9250266628625,1.0510679110632712,694
295000,589.9999999998721,-44677.32205770712,307.37695650688175,1.0397002025541442,694
300000,599.9999999996356,-44239.56156941838,306.063915708746,1.0356400761692126,694
305000,609.9999999993992,-44473.655267029564,309.78656450134883,1.0304078486046173,694
310000,619.9999999991627,-44519.62221443176,294.37593640433187,1.029994859280844,694
315000,629.9999999989262,-44309.649899952725,300.2692096435582,1.0344369848781263,694
320000,639.9999999986898,-44340.731237301574,307.46754771578827,1.0220432973539,694
325000,649.9999999984533,-44538.08468214274,297.59800968650296,1.0296584582017871,694
330000,659.9999999982168,-44400.63578690312,299.07017591245716,1.0310305319868505,694
335000,669.9999999979804,-44593.92252670083,302.48810344953597,1.0312911311883743,694
340000,679.9999999977439,-44282.151424796815,293.6715306738605,1.0252501620054322,694
345000,689.9999999975074,-44133.894975309726,299.8960526378276,1.0368635664863564,694
350000,699.999999997271,-44227.85898090416,290.4936698403839,1.0288847087609545,693
355000,709.9999999970345,-44612.04988803525,301.70937354027905,1.040279730394855,693
360000,719.999999996798,-44533.0888212228,303.6844588318519,1.0389697142882464,693
365000,729.9999999965615,-44234.69467863266,303.1564696338554,1.029136043646502,693
370000,739.9999999963251,-44266.086975401326,292.3349755488912,1.0352486278963096,693
375000,749.9999999960886,-44818.73157833668,299.4755124910906,1.0431842573611136,693
380000,759.9999999958521,-44480.492587035435,301.2806211035173,1.0281312945349508,693
385000,769.9999999956157,-44520.659736600675,288.6095302450568,1.041094513629098,693
390000,779.9999999953792,-44677.07924847666,298.1786008668885,1.0475391743554083,693
395000,789.9999999951427,-44057.32095948534,298.46610979272026,1.0265997243938219,693
400000,799.9999999949063,-44343.316164842894,298.4843265032069,1.044626605853308,693
405000,809.9999999946698,-44053.36394671979,291.3769538209636,1.0206279335976574,693
410000,819.9999999944333,-44675.55455160761,296.45449261146877,1.041266876837481,693
415000,829.9999999941969,-44379.20935936668,286.6748565101527,1.0412952700983111,693
420000,839.9999999939604,-44591.148529817,311.80007228174264,1.0344602562582257,693
425000,849.9999999937239,-44589.11697045027,301.79062991591996,1.0437714348195577,693
430000,859.9999999934874,-44159.12402830759,292.32152472374264,1.0296982250041988,693
435000,869.999999993251,-44532.71252755233,292.22329234330226,1.0367655995526908,693
440000,879.9999999930145,-44045.10863067259,296.52153010605963,1.0256722893264532,693
445000,889.999999992778,-44206.54932513778,302.2761003269536,1.0331221078111976,693
450000,899.9999999925416,-44377.3047618549,289.3142510753853,1.0212878946544444,693
455000,909.9999999923051,-44476.661921999505,305.66405399012905,1.0429345195251896,693
460000,919.9999999920686,-44294.78481163157,300.6670232131042,1.0363193276670464,693
465000,929.9999999918322,-44463.19670009997,296.7442663175233,1.043429135633499,693
470000,939.9999999915957,-44317.46998167204,297.30896464886797,1.0272629155654738,693
475000,949.9999999913592,-44571.846047802625,304.50499855339325,1.0300180134070964,693
480000,959.9999999911228,-44189.704576353135,302.70999283013373,1.0314578161931145,693
485000,969.9999999908863,-44265.59217200766,301.0296637611052,1.0266612537071043,693
490000,979.9999999906498,-43983.53301636412,301.76589457714033,1.0399249132383106,693
495000,989.9999999904134,-44589.61759719849,301.6097429042229,1.045062591164233,693
500000,999.9999999901769,-44165.91674316075,301.09991133548994,1.0355051671108793,693
505000,1009.9999999899404,-44135.00270587791,296.3476737599234,1.0332282416020924,693
510000,1019.999999989704,-44258.436766849016,290.9893416092901,1.028722501312936,693
515000,1029.9999999894676,-43966.47463341986,294.49772249908796,1.030616550940634,693
520000,1039.9999999892311,-44340.08363716534,302.54897680317293,1.0288975424538367,693
525000,1049.9999999889947,-44513.83485388107,296.6503271726354,1.0321600959796675,693
530000,1059.9999999887582,-44375.45786528796,289.0933266880998,1.0412052536920269,693
535000,1069.9999999885217,-44741.95293688623,301.52468563655617,1.0387664643182513,693
540000,1079.9999999882853,-44240.388848988834,302.9351119842664,1.030089845420336,693
545000,1089.9999999880488,-44433.91169266909,305.1770868547743,1.0332868582667747,693
550000,1099.9999999878123,-44432.564982257056,313.28795411306805,1.038678842618365,693
