#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-36474.81337116312,300.4129584693221,0.9958980097137401,0
10000,19.999999999999794,-36489.85351802246,304.5998511104436,0.9974953128543498,701
15000,29.99999999999425,-36587.660477717145,298.2916226178315,0.9899960102822221,698
20000,40.00000000000292,-36216.526157438755,301.0811941039773,1.0018952427163395,699
25000,50.00000000001514,-36647.087971399626,292.35100823800974,0.9960411652310451,701
30000,60.00000000002736,-36623.234564680984,307.07933965957545,0.9957574323805151,701
35000,70.00000000001826,-36212.57144788085,307.2570452369202,0.9978510849907516,701
40000,79.99999999999496,-36843.66674135387,309.1405058578624,1.0117912524469115,701
45000,89.99999999997165,-36357.14976667211,301.1161745429929,1.0012819187653674,701
50000,99.99999999994834,-36018.942410514544,297.6213668988961,0.9876440743945281,701
55000,109.99999999992504,-36456.01646968475,301.308061936509,0.9969171053090843,700
60000,119.99999999990173,-36335.78841499114,289.6026835747693,0.9794319481428475,701
65000,129.99999999989262,-36367.508955374156,304.27189661148117,1.003452186267676,701
70000,139.99999999994037,-36197.11775300978,306.4449301300616,0.9973925768128137,702
75000,149.99999999998812,-36207.23164188638,290.2619318956879,0.9924431296707406,702
80000,160.00000000003587,-36474.37569857275,302.29777955518784,0.9964805715558727,702
85000,170.00000000008362,-36280.260748445085,295.5540992215587,1.0005522032912224,703
90000,180.00000000013137,-36559.350611670234,308.4113172720174,1.0031954794127385,703
95000,190.0000000001791,-36923.839829954435,302.5309343847141,1.0134868730371709,703
100000,200.00000000022686,-36681.716615620244,307.18411607178325,1.004353538420708,703
105000,210.0000000002746,-36819.04513888428,297.13017722222895,0.9864562393125609,703
110000,220.00000000032236,-36245.444709973934,302.75710137167925,1.0018242200094676,703
115000,230.0000000003701,-36950.01017082142,300.12849762169924,0.9969081328011768,703
120000,240.00000000041786,-36695.515521944646,294.3113969664396,1.0003794633527976,703
125000,250.0000000004656,-36641.06299433787,302.19446667342794,1.0057257668041812,703
130000,260.00000000051335,-36496.69708510631,292.85421535483374,0.983219222016192,703
135000,270.0000000005611,-36372.829749868804,294.5823768434578,0.988637545431918,703
140000,280.00000000060885,-36625.697638218466,293.712050328361,0.9882577001152795,703
145000,290.0000000006566,-36314.15479430268,292.87270530992924,1.0066567049294126,703
150000,300.00000000070435,-36640.97841333697,296.4663527920225,1.0010176535981044,703
155000,310.0000000007521,-36733.590337360336,296.7436196660353,1.0000794935768116,703
160000,320.00000000079984,-36378.54396188163,306.30465795121563,1.0005892686734845,703
165000,330.0000000008476,-36523.2008483221,302.00643393052815,1.0089290372580806,703
170000,340.00000000089534,-36647.44082476318,299.92756107513196,0.9928829305846107,703
175000,350.0000000009431,-36720.18706367165,291.7259570581206,0.9988372528974075,703
180000,360.00000000099084,-36447.00664248236,306.36326100844695,0.9892487475404583,703
185000,370.0000000010386,-36681.88651898634,291.9018899084439,0.9959154494813645,703
190000,380.00000000108633,-36340.929604908015,295.50908020045665,0.9920074058846865,704
195000,390.0000000011341,-36620.37519894747,299.23640366782786,0.9856707973331121,704
200000,400.00000000118183,-36422.087992017885,308.79239174230764,1.006750970484436,703
205000,410.0000000012296,-36331.91019374697,301.88782612493236,1.011524605272396,703
210000,420.00000000127733,-36340.34365067474,306.9685442207368,1.0055259927846993,703
215000,430.0000000013251,-36249.498029687995,305.42334465120706,0.9941365208381966,703
220000,440.0000000013728,-36197.63840214553,296.22006741467476,0.9953721723634257,703
225000,450.0000000014206,-36277.04454514981,304.8857961016193,0.9994825874611633,703
230000,460.0000000014683,-36429.839729764266,291.9547419094081,0.9912477223046111,703
235000,470.00000000151607,-36396.435594859766,298.668306496778,1.0022922664833263,703
240000,480.0000000015638,-36272.15220611819,300.6141011469384,1.0053736459456537,703
245000,490.00000000161157,-36622.4681346624,298.09773575314006,0.9976967111240127,704
250000,500.0000000016593,-36432.72469447885,290.3805397012837,0.9952242562393441,704
255000,510.00000000170706,-36615.81660210277,304.1297074138795,0.9987577790876778,704
260000,520.0000000015274,-36328.18463014078,295.1461452624786,1.0055904424240762,703
265000,530.0000000012909,-36235.99979682389,314.10529585170804,1.0009273534589023,703
270000,540.0000000010544,-36565.917082478234,297.94742499220774,0.9843807122243087,703
275000,550.000000000818,-36550.74173742425,291.4571415571169,0.9934202750594647,703
280000,560.0000000005815,-36604.420607494394,293.79619302256367,1.0112647291624197,703
285000,570.000000000345,-36802.97722834398,300.716857474866,1.0155435684260594,703
290000,580.0000000001086,-36386.15372690398,304.620629120183,1.0117686545416722,703
295000,589.9999999998721,-36661.36301687342,303.549139314365,0.9946673357804678,703
300000,599.9999999996356,-36563.99216940446,296.3195256458183,0.9855454447720863,703
305000,609.9999999993992,-36445.18858249643,301.8030238113729,1.002158711583276,703
310000,619.9999999991627,-36109.43833647281,287.1273176466174,0.9850460333545984,703
315000,629.9999999989262,-36383.64246406293,299.1311119279975,0.9838548205053281,703
320000,639.9999999986898,-36196.92623067627,308.5561861732561,0.9939490956343175,703
325000,649.9999999984533,-36454.44687836629,302.61299515532187,1.002183994472169,703
330000,659.9999999982168,-36356.97528450418,294.1791638985047,1.0019844413529988,703
335000,669.9999999979804,-36437.778098138806,282.5163103721742,0.9889986155081176,703
340000,679.9999999977439,-36538.98497927177,306.0754402247253,0.9795382574687669,703
345000,689.9999999975074,-36345.4329415776,294.98777477753026,0.9930928692537169,703
350000,699.999999997271,-36718.140166007564,297.9589683309518,0.9984375588664048,703
355000,709.9999999970345,-36282.879933809396,299.06218170521123,1.0083021581225304,703
360000,719.999999996798,-36308.18809758616,292.9792132229486,0.986016084961495,703
365000,729.9999999965615,-36474.516625081655,297.0021904539036,1.0005275147199173,703
370000,739.9999999963251,-36216.64295998408,293.99539806831933,0.972986503215369,703
375000,749.9999999960886,-36788.59521986297,294.66618972798204,1.0135025163625953,703
380000,759.9999999958521,-36551.45516646933,297.0100440468705,0.9976440046265126,703
385000,769.9999999956157,-36516.600049632776,305.85481816297835,0.9987965325857154,703
390000,779.9999999953792,-36451.309305414994,300.5491698665028,1.0001901890110805,702
395000,789.9999999951427,-36297.42137281055,304.40633528164034,0.9927098730165778,702
400000,799.9999999949063,-36655.68057839916,302.16597936245586,0.9815059492825424,702
405000,809.9999999946698,-36655.501991581754,311.89181942131347,1.0000889346651383,702
410000,819.9999999944333,-36394.60522701661,292.3828760981855,0.9957300028546716,702
