#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-36308.46846345224,310.0482039321433,0.9885548687164708,0
10000,19.999999999999794,-36368.8913450485,299.2556769209095,0.9976842752156897,705
15000,29.99999999999425,-36552.50112883755,302.1593007164682,0.9979863303967931,706
20000,40.00000000000292,-36459.423343399714,303.07732595630404,0.9901724160747871,706
25000,50.00000000001514,-36555.797824317124,307.7477195859649,0.9969370797921614,707
30000,60.00000000002736,-36204.23552387647,308.8895619188072,1.0013844006737558,707
35000,70.00000000001826,-36407.02411594591,301.05363438272565,0.9864368843288112,707
40000,79.99999999999496,-36551.02037357853,304.8380149244606,0.9982076027820307,707
45000,89.99999999997165,-36702.54107890019,295.27042167192195,1.008576983424095,707
50000,99.99999999994834,-36494.05427789266,306.189739891397,1.0016039833205863,706
55000,109.99999999992504,-36441.894497586385,303.2510119781933,0.9985707360311448,707
60000,119.99999999990173,-36800.72264812331,298.7719491882162,0.9887374784252662,706
65000,129.99999999989262,-36534.464243794675,307.739845379893,0.992615750449225,707
70000,139.99999999994037,-36305.46105994008,293.61974484461786,0.9959981130480124,707
75000,149.99999999998812,-36438.03897110987,299.639802130725,0.9972843461304017,707
80000,160.00000000003587,-36180.04403765718,299.7689432329248,1.0033438860320176,707
85000,170.00000000008362,-36376.6926058034,305.65313954463466,1.0067204200462225,707
90000,180.00000000013137,-36577.96753938438,299.83836817022876,1.0174065460840107,707
95000,190.0000000001791,-36202.77105307844,302.4327747791793,0.9954386277894238,707
100000,200.00000000022686,-36465.21988711049,310.7581811042213,1.0003624679458472,707
105000,210.0000000002746,-36653.87757017388,301.5720333578611,0.9960808899676636,707
110000,220.00000000032236,-36477.138708603656,303.78359276950005,0.998411766764526,707
115000,230.0000000003701,-36296.47630209636,302.26170662161246,0.9930413461284167,707
120000,240.00000000041786,-36437.71714950705,306.26056651983413,0.994559496708804,707
125000,250.0000000004656,-36382.73144353763,302.91563676146677,0.9867190948843297,707
130000,260.00000000051335,-36708.49874059923,287.38603272622,1.0066948341331827,707
135000,270.0000000005611,-36266.91104160444,291.0598239601653,0.9974321109374298,707
140000,280.00000000060885,-36181.594578563556,303.4080838375329,0.9860577291489331,707
145000,290.0000000006566,-36529.542469895736,302.27246666237033,1.0027545115474608,707
150000,300.00000000070435,-36955.725407606486,306.06556654747806,1.0029569126291904,707
155000,310.0000000007521,-36052.05852515987,306.4433223078794,0.9887448131520743,707
160000,320.00000000079984,-36597.58836038876,298.8593899792029,0.9953097208700449,707
165000,330.0000000008476,-36530.42507870562,299.2809692006221,1.007644300913494,707
170000,340.00000000089534,-36499.76918731813,303.7326990135014,0.9994293601373375,707
175000,350.0000000009431,-36646.695623180945,305.7558752594573,0.9837572279894845,707
180000,360.00000000099084,-36553.54733738495,296.08668001286554,0.9909081862227105,707
185000,370.0000000010386,-36452.087191690516,302.4333519461165,0.9980818326699613,707
190000,380.00000000108633,-36526.3396041691,298.90735667430573,0.9993871901866461,707
195000,390.0000000011341,-36688.111965416756,303.1597783759049,1.0093354068079194,707
200000,400.00000000118183,-35860.34223229252,297.7785624368652,0.9787189614112005,707
205000,410.0000000012296,-36449.6287989924,305.24648421116325,0.991415686060962,707
210000,420.00000000127733,-36428.63815447132,308.4600672651064,0.9914266064984961,707
215000,430.0000000013251,-36476.33795821789,302.4290438071924,0.9932704974065149,707
220000,440.0000000013728,-36511.61794228642,309.37421724122106,1.0029079623062842,707
225000,450.0000000014206,-36393.98217423697,303.86355100340796,0.9999871016462969,707
230000,460.0000000014683,-36337.087146603124,299.0257789619574,1.004569041224459,707
235000,470.00000000151607,-36582.12930790047,291.968181653803,1.0027641136156002,707
240000,480.0000000015638,-36329.64061999935,299.2719818868856,0.9969276063133324,707
245000,490.00000000161157,-36569.80750336862,297.28129189425243,0.9942234219162037,707
250000,500.0000000016593,-36238.1700308311,303.1474517391746,0.9993558431223302,707
255000,510.00000000170706,-36850.58591591616,298.5631796617869,1.001211700591121,707
260000,520.0000000015274,-36578.09129815086,292.3732910044069,0.9970097922349777,707
265000,530.0000000012909,-36663.38738291804,298.2664127905385,1.009994867972462,707
270000,540.0000000010544,-36265.994919057295,302.9575638168338,1.0099613080914072,707
275000,550.000000000818,-36855.13344331167,289.1747142908311,0.9956955435338025,707
280000,560.0000000005815,-36662.86467268117,313.9812461864186,0.9991278739429282,706
285000,570.000000000345,-36185.451044796064,313.72580859049515,0.9939105372472699,706
290000,580.0000000001086,-36403.28467944221,304.38263021100516,1.0040308348056595,706
295000,589.9999999998721,-36593.03475809854,298.27849207001003,0.9938749478243362,706
300000,599.9999999996356,-36602.95209282791,298.5604999581498,0.9975943048413424,706
305000,609.9999999993992,-36695.448679451365,309.62239902421965,0.9923209189870659,706
310000,619.9999999991627,-36373.118349897064,296.25626402687953,0.9897237960138783,706
315000,629.9999999989262,-36334.05993202655,298.3846907864559,0.9913057783182746,706
320000,639.9999999986898,-36461.79279022894,293.6870878583269,0.9989230392906341,706
325000,649.9999999984533,-36358.61001210663,306.28484875740656,0.9877704493278336,706
330000,659.9999999982168,-36356.963670857396,294.0827564068864,0.9905656003790253,706
335000,669.9999999979804,-36811.02301370446,297.64259839694336,1.0082873978055216,705
340000,679.9999999977439,-36107.89181600086,299.46013830841474,0.9800457384519815,705
345000,689.9999999975074,-36445.05872014971,304.94798583910324,1.0044956432133283,705
350000,699.999999997271,-36337.638583363354,298.58082447958145,1.0008302565749152,705
355000,709.9999999970345,-36558.2412295735,303.840608617654,0.9952484887954876,705
360000,719.999999996798,-36743.41822551945,302.03624048021396,1.0050036559047306,705
365000,729.9999999965615,-36636.98511785219,298.39852217984395,1.002924477100205,705
370000,739.9999999963251,-36585.30225905194,301.9175914484083,1.0096727484017012,705
