#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-36454.18881806251,292.22852516869267,0.9959620105383065,0
10000,19.999999999999794,-36582.701422201295,296.0067011658527,0.9840370491487108,708
15000,29.99999999999425,-36464.39593285488,307.744998656118,0.9937400096419714,710
20000,40.00000000000292,-36513.4677605,296.60283215956684,1.0096332373396009,709
25000,50.00000000001514,-36756.750042826956,301.7030914788167,1.0002705004967636,710
30000,60.00000000002736,-36344.92397594388,298.8581944191187,0.9914122574434279,710
35000,70.00000000001826,-36637.00905443996,298.35680125552597,1.0018729985415191,711
40000,79.99999999999496,-36709.25508495091,295.4087974451171,0.9970329152768707,711
45000,89.99999999997165,-36385.83551826194,305.3336158055764,0.9967719745449707,711
50000,99.99999999994834,-36506.791482712695,301.61196094205286,0.9992789911715214,711
55000,109.99999999992504,-36611.259264431515,309.7857578805538,1.003592204382779,710
60000,119.99999999990173,-36701.40446536805,297.5082627923087,1.0055673240240486,710
65000,129.99999999989262,-36482.87951161456,307.0769279263021,0.9893124920651092,710
70000,139.99999999994037,-36681.60147500667,298.46159828083864,1.0090978763785743,710
75000,149.99999999998812,-36302.873132544395,303.47684915547995,0.9996163257564644,709
80000,160.00000000003587,-36195.33823974515,296.3914447688151,0.9799026726232155,709
85000,170.00000000008362,-36431.36087610363,303.23843798420415,0.9980612506261121,709
90000,180.00000000013137,-36716.59411854236,304.33324121166424,0.9948226473660409,709
95000,190.0000000001791,-36471.640973058995,292.24864355907533,0.9967995797122675,709
100000,200.00000000022686,-36505.76192226462,303.5870262011716,1.0095108007377491,709
105000,210.0000000002746,-36640.7917506902,314.0378703855795,1.0014026316036242,709
110000,220.00000000032236,-36167.266880512325,293.58276493442685,0.983173672000663,709
115000,230.0000000003701,-36540.612807961355,292.23386396286185,0.9957707469712712,709
120000,240.00000000041786,-36466.054907725804,304.4361006051163,0.9824501402601905,709
125000,250.0000000004656,-36693.192609635356,316.13135793235,1.004903811711759,709
130000,260.00000000051335,-36381.13195496588,304.2972095042986,0.996340228182803,709
135000,270.0000000005611,-36546.22883640937,294.4795586762155,0.991229611258085,709
140000,280.00000000060885,-36658.11628850599,304.34579459254843,0.9984399297248465,709
145000,290.0000000006566,-36412.6510984505,302.40750311257165,1.0131860469711216,709
150000,300.00000000070435,-36758.584067467775,295.3101843512745,1.0064511488737933,709
155000,310.0000000007521,-36313.251769861876,298.1718192521514,0.9986751391040181,709
160000,320.00000000079984,-36194.387770424364,299.39326939611846,0.9833386857480727,708
165000,330.0000000008476,-36274.60344295821,297.3787918804304,1.0054929791552023,709
170000,340.00000000089534,-36363.299695809226,294.53216331992087,0.9972932358618346,709
175000,350.0000000009431,-36367.29033988522,312.2857358559565,0.9877114451789291,709
180000,360.00000000099084,-36354.993262390635,307.35534913418934,0.9976946836966618,709
185000,370.0000000010386,-36393.425842106546,301.1055175677595,1.0108241483694906,709
190000,380.00000000108633,-36423.562414153304,306.6404042038303,0.9980277351877196,709
195000,390.0000000011341,-36542.633665091475,299.89950663936276,0.9980706330672307,709
200000,400.00000000118183,-36252.72393960663,300.85682045713844,0.9948416701632703,709
205000,410.0000000012296,-36666.648606707546,291.8998698241637,1.0013082754014848,709
210000,420.00000000127733,-36415.995078692504,304.54287648849936,1.0018949130875894,709
215000,430.0000000013251,-36152.27429223206,312.4393447136728,0.9960155681545428,709
220000,440.0000000013728,-36293.987625115085,292.23501829673626,0.9946399585260413,709
225000,450.0000000014206,-36556.291895183065,292.0330717080289,0.9917859832753579,709
230000,460.0000000014683,-36555.37212842109,298.3759302168733,1.0023345675467075,709
235000,470.00000000151607,-36451.20367247393,311.7568448104268,0.996713441104903,708
240000,480.0000000015638,-36383.51095725922,302.95484288698697,0.996775951871196,708
245000,490.00000000161157,-36637.83400575127,305.1289070608124,0.9825970284577534,708
250000,500.0000000016593,-36163.39255189206,294.5853039043536,1.0021401506313643,708
255000,510.00000000170706,-36457.99882877999,292.80387815266744,0.9985399656543026,708
260000,520.0000000015274,-36547.41790333408,299.21743961131966,0.9994738946195111,708
265000,530.0000000012909,-36471.94894955197,306.9440352390105,1.009620861640715,708
270000,540.0000000010544,-36648.94975956384,289.95955825990666,0.9921668524597655,708
275000,550.000000000818,-36401.7660881358,311.4303744550173,0.9987313785694709,708
280000,560.0000000005815,-36090.18483444746,293.50649644629607,1.0011597454256782,708
285000,570.000000000345,-36633.33642778892,301.07311376685635,1.0080508627923035,707
290000,580.0000000001086,-36159.142377351876,301.58310259519254,0.994255566982239,707
295000,589.9999999998721,-36622.20145019033,295.43052365768193,1.001988804827096,707
300000,599.9999999996356,-36380.55406309964,308.00039502583166,0.986931811483236,707
305000,609.9999999993992,-36538.31196726384,299.5494136657376,0.9981140292838047,707
310000,619.9999999991627,-36480.217534312105,300.89670681512035,1.0012369891591533,707
315000,629.9999999989262,-36416.499732569355,310.7321261396275,1.002961465181505,707
320000,639.9999999986898,-36415.47785268366,295.43108021151426,0.999311454025819,707
325000,649.9999999984533,-36440.075068069855,293.90713275313664,0.9996690464886654,707
330000,659.9999999982168,-36433.39946849964,297.8984482549648,1.0039048747634922,707
335000,669.9999999979804,-36304.2334149027,306.8256129513587,1.0110081409451446,707
340000,679.9999999977439,-36399.631488022744,298.88039473309624,0.9912601743674613,707
345000,689.9999999975074,-36785.5653191013,294.2949064825194,0.9982922243570942,707
350000,699.999999997271,-36358.36378512581,313.71739844369586,1.0015542660965704,707
355000,709.9999999970345,-36604.41196042951,308.04640347596893,0.9970130148548201,706
360000,719.999999996798,-36408.255357356655,296.5119489800618,0.9846580143156834,706
365000,729.9999999965615,-36739.89021592133,303.92895638525636,1.00349270925591,706
370000,739.9999999963251,-36252.485727052845,304.4050160429267,1.000065202375853,706
