#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-36334.148231704836,298.78493544430336,0.985076903494434,0
10000,19.999999999999794,-36410.57757007977,312.5067907929064,0.9947663941417701,711
15000,29.99999999999425,-36569.575907287246,303.789385051977,0.9891545154758894,711
20000,40.00000000000292,-36753.680001422996,307.96300285354266,0.9978442916052341,711
25000,50.00000000001514,-36431.79926643908,308.7122892166654,1.0014901335976927,710
30000,60.00000000002736,-36401.795843459986,303.1727234057822,0.9904524222094024,710
35000,70.00000000001826,-36417.876168335875,298.2709682867214,0.985876386204348,710
40000,79.99999999999496,-36445.31143446418,293.3272448860838,0.9953382945774724,709
45000,89.99999999997165,-36394.32502157125,298.5728678210899,0.9983733819315361,708
50000,99.99999999994834,-36634.995119930594,297.16561114955243,1.0000534695694898,707
55000,109.99999999992504,-36330.87098497461,298.95833288272394,0.9960280364816007,708
60000,119.99999999990173,-36804.58922388745,301.2588378420073,0.9959406267860124,708
65000,129.99999999989262,-36782.669031644415,293.804809300412,0.9976312503455859,707
70000,139.99999999994037,-36506.413316254766,303.90193260473217,0.9899450415062235,707
75000,149.99999999998812,-36566.12996561098,301.38334099560456,0.9878236611164337,706
80000,160.00000000003587,-36636.118802210345,290.09535739498926,0.9932386746848796,705
85000,170.00000000008362,-36652.26943253772,302.7996262070884,1.0009234124640647,705
90000,180.00000000013137,-36336.44267283968,295.91365361033314,0.9885927292683395,705
95000,190.0000000001791,-36541.733913558564,292.49624817513666,0.987882690924676,705
100000,200.00000000022686,-36564.74637506,297.8401131680972,0.9935991915898883,706
105000,210.0000000002746,-36383.49720920142,298.1391680939895,1.0049443299816383,706
110000,220.00000000032236,-36759.309713837574,308.6125836282631,0.9850590019143404,706
115000,230.0000000003701,-36409.812316675554,304.27399914818096,0.9935532434053231,706
120000,240.00000000041786,-36639.76425474472,299.12752524774487,0.9881662123206483,706
125000,250.0000000004656,-36293.49339492354,299.1097567513209,0.9837752746254392,706
130000,260.00000000051335,-36630.08413701487,292.69440195254236,1.002802750466249,706
135000,270.0000000005611,-36187.40271056173,304.7575413629302,0.9862322648314755,706
140000,280.00000000060885,-36218.12046182051,295.47991265702285,0.990050954156735,706
145000,290.0000000006566,-36498.24764419542,297.9975148371152,0.9942308466941076,707
150000,300.00000000070435,-36294.433014216425,307.2451308622879,0.9928607728281769,707
155000,310.0000000007521,-36507.47195548081,309.5230026323908,0.9906176136678656,707
160000,320.00000000079984,-36516.486105776974,306.234140519352,1.0035433519552028,707
165000,330.0000000008476,-36619.26363891471,298.5045559914507,1.002510525276847,707
170000,340.00000000089534,-36737.00914879661,301.3348177466695,0.9871210762023493,707
175000,350.0000000009431,-36939.24959018422,301.1653367981799,0.9949801854928091,707
180000,360.00000000099084,-36492.4013783751,291.9549274273522,0.9874769274537063,707
185000,370.0000000010386,-36751.74472719652,300.80143304427156,1.0039777419341962,707
190000,380.00000000108633,-36529.394708777225,299.1085199650269,0.9915005794129502,707
195000,390.0000000011341,-36678.132352074754,296.6390493848765,0.998036764367174,707
200000,400.00000000118183,-36459.49830132036,296.67233954929037,0.9923017191940545,707
205000,410.0000000012296,-36790.239598885644,294.3694434698386,0.9999798209665528,707
210000,420.00000000127733,-36183.23397545531,294.02561688010303,0.9873794437131073,707
215000,430.0000000013251,-36542.31629992559,301.80716704545785,1.004620343279885,707
220000,440.0000000013728,-36085.732281250384,299.5646261371539,0.9877708883953515,707
225000,450.0000000014206,-36683.462041449035,297.4523188256095,1.014255912523975,707
230000,460.0000000014683,-36519.37445544344,297.86835312181046,1.0037143218535878,707
235000,470.00000000151607,-36788.275676180754,302.72764524477685,1.0074647462169881,707
240000,480.0000000015638,-36414.520803002815,304.2263004234419,1.000792128312125,707
245000,490.00000000161157,-36503.7102702118,302.86130061694985,1.0030551851953053,707
250000,500.0000000016593,-36503.242882776714,294.29030976012666,0.9958308459858985,707
255000,510.00000000170706,-36598.684084950975,302.1433873994852,1.0086447160077403,707
260000,520.0000000015274,-36176.26920717282,305.51196038917305,0.9813988031237727,707
265000,530.0000000012909,-36598.46834829479,304.8848891250037,1.0035781105354764,706
270000,540.0000000010544,-36632.60903617754,307.60569529320236,1.0037682153041045,706
275000,550.000000000818,-36413.11332982086,299.17021498799323,0.9933377681806136,706
280000,560.0000000005815,-36341.551639222394,297.2176798525304,0.996267823713726,706
