#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-31683.219967738405,304.6146117807817,1.0317502725847816,0
10000,19.999999999999794,-31470.915143950668,300.7189216186917,1.022584762873642,410
15000,29.99999999999425,-31530.958450176433,305.01293474806255,1.0396281516977186,410
20000,40.00000000000292,-31164.189627538814,305.6708503794856,1.0384547116277185,416
25000,50.00000000001514,-31630.258473604947,296.04485563650627,1.0303385149953896,414
30000,60.00000000002736,-31542.24081596636,297.57826213043455,1.0321170674087428,414
35000,70.00000000001826,-31445.47203562208,294.38509042638407,1.0246802905766643,415
40000,79.99999999999496,-31251.259010791808,298.29815060296147,1.0266178028301187,417
45000,89.99999999997165,-31374.160425360373,305.4073125962868,1.0275985721450724,417
50000,99.99999999994834,-31200.727732219675,296.4839703687907,1.0268150401184335,417
55000,109.99999999992504,-31173.303881174594,306.99020543799395,1.0335701039131586,418
60000,119.99999999990173,-31273.506977632293,305.7374194758012,1.030744622801302,418
65000,129.99999999989262,-31499.778573782067,300.1750888718349,1.018435350762112,418
70000,139.99999999994037,-31404.617312825634,293.7188632334533,1.0393947212573091,417
75000,149.99999999998812,-31495.617806344933,299.126874568688,1.0230616736277238,417
80000,160.00000000003587,-31620.10039985529,293.77520566192294,1.0430151552220526,417
85000,170.00000000008362,-31784.041454962717,292.92995432849784,1.0451150961697517,418
90000,180.00000000013137,-31310.2753344003,298.8195191524713,1.0383280470425649,418
95000,190.0000000001791,-31157.816006698005,289.5814291982931,1.0307888756939458,419
100000,200.00000000022686,-31285.847433983,303.73214993120547,1.0514976600567318,420
105000,210.0000000002746,-31415.215508516587,306.6537404054367,1.0477336242232074,420
110000,220.00000000032236,-31450.554855375434,302.08864397389453,1.0449378568786856,420
115000,230.0000000003701,-31105.274228425755,297.7038548040932,1.0248938354111627,421
120000,240.00000000041786,-31302.639398066123,301.76993197709237,1.021299209582987,420
125000,250.0000000004656,-30905.602662288788,307.41746566204495,1.0284758744404523,420
130000,260.00000000051335,-31315.06962602894,290.86918500222123,1.0162259939205502,421
135000,270.0000000005611,-31021.05872271175,299.89795383363486,1.028922999671652,420
140000,280.00000000060885,-31534.93262668277,310.41179187500074,1.028245730462447,421
145000,290.0000000006566,-31316.570112714748,314.9984141017842,1.0355529101834016,420
150000,300.00000000070435,-31107.920761019894,297.55011006726306,1.0424278951027641,420
155000,310.0000000007521,-31487.3728554041,299.094030494988,1.0321710962007224,420
160000,320.00000000079984,-31272.383385604277,296.77204066418176,1.0235797742009065,420
165000,330.0000000008476,-31631.489156858705,289.1689152930462,1.0273132545583459,420
170000,340.00000000089534,-31359.106241542846,301.8516687156064,1.030786281662696,420
175000,350.0000000009431,-31334.02750531974,307.2060762244351,1.0225483807130853,420
180000,360.00000000099084,-31060.99501465386,303.8691183365131,1.0198348579334444,420
185000,370.0000000010386,-31092.305800481437,303.3930995050917,1.0212785435653615,420
190000,380.00000000108633,-31476.153412320884,304.8559726325842,1.0429429499945342,420
195000,390.0000000011341,-31350.748671086825,300.3855016052122,1.0159086285131624,420
200000,400.00000000118183,-31159.167674371565,298.35468454206494,1.0282555979896306,421
205000,410.0000000012296,-31467.00932847563,291.4126730299372,1.040096361287163,421
210000,420.00000000127733,-31385.134171768907,300.2196533963246,1.040197179299214,421
215000,430.0000000013251,-31301.224983490014,295.8686467023291,1.0289333320140313,421
220000,440.0000000013728,-31610.638001103012,294.2154120048201,1.0383935787852216,420
225000,450.0000000014206,-31471.965367525583,299.21816768782963,1.0266823355136143,421
