#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
505000,1009.9999999899404,-31189.83479333503,305.3728406821993,1.0331278724664008,0
510000,1019.999999989704,-31245.39613889187,295.83697084349535,1.0320516768297003,423
515000,1029.9999999894676,-31685.124196313118,297.697075327656,1.0294869199717447,435
520000,1039.9999999892311,-31367.07934261099,291.21078251976485,1.0191364205038627,426
525000,1049.9999999889947,-31440.40381826341,299.6923863192932,1.038776889419243,424
530000,1059.9999999887582,-31441.57371130216,302.09325938016957,1.0287781475954483,425
535000,1069.9999999885217,-31652.869882953528,295.655840086029,1.036846278017235,427
540000,1079.9999999882853,-31328.824320229964,292.34109743163003,1.0286982455752294,428
545000,1089.9999999880488,-31327.315486669337,300.0425443621685,1.024444542544351,427
550000,1099.9999999878123,-31188.192738313664,297.859935970656,1.0358941070737215,426
555000,1109.9999999875758,-31002.675003605254,302.0368403474464,1.0227054781396576,426
560000,1119.9999999873394,-31359.882465963048,297.5111568043442,1.0473738602368365,425
565000,1129.999999987103,-31337.394482298754,298.9471035367218,1.0295326383416508,425
570000,1139.9999999868664,-31556.794396452984,298.9991178248671,1.0287413428186354,426
575000,1149.99999998663,-31180.703776123293,295.5343074378073,1.0172193539514638,426
580000,1159.9999999863935,-31537.0997748948,300.1338757834369,1.0267102000025181,426
585000,1169.999999986157,-31373.669001972827,291.78006702985624,1.0427583217471001,426
590000,1179.9999999859206,-31399.083279630227,306.2365153385978,1.044105397185033,426
595000,1189.999999985684,-31608.657475143642,297.4270836360975,1.0285242645632109,426
600000,1199.9999999854476,-31523.156705042493,296.6018643149699,1.0356806361905302,425
605000,1209.9999999852112,-31246.765953522292,299.36243264828585,1.0381821136195297,424
610000,1219.9999999849747,-31520.091402941733,299.9321959349618,1.0345588284336504,424
615000,1229.9999999847382,-31471.54363645389,303.2742480057434,1.0340328084540895,424
620000,1239.9999999845018,-31429.297288213333,299.4522702866105,1.0369022500096634,424
625000,1249.9999999842653,-31335.26391880549,307.5805752688688,1.0301836626922356,424
630000,1259.9999999840288,-31290.97469015015,301.2005708627474,1.0189007863974135,423
635000,1269.9999999837923,-31698.669035765808,304.7871437107895,1.0370477575905022,423
640000,1279.9999999835559,-31733.600549040566,303.6833147195815,1.039329267947844,424
645000,1289.9999999833194,-31430.255715586303,290.5946736597046,1.0377736036871865,423
650000,1299.999999983083,-31471.16972956079,301.1272988942481,1.028364517331509,424
655000,1309.9999999828465,-31658.85554456446,302.7203226484842,1.0404635009472316,424
660000,1319.99999998261,-31581.59920871025,301.08072350810323,1.0426951390830896,424
665000,1329.9999999823735,-31321.592668729078,304.47256834367784,1.021347336561305,424
670000,1339.999999982137,-31094.17102485252,301.4531733887551,1.0198106888349356,424
675000,1349.9999999819006,-31853.95452996457,290.52297207840263,1.0403900321853106,423
680000,1359.9999999816641,-31490.8272681644,307.4724675160778,1.040329986662354,423
685000,1369.9999999814277,-31375.102685930993,295.493477370677,1.0363229403749086,423
690000,1379.9999999811912,-31672.163958248275,309.2274135112082,1.0421958596735426,424
695000,1389.9999999809547,-31601.447912417032,304.8591900112324,1.0474063920372312,423
700000,1399.9999999807183,-31109.150898213906,306.6578578840638,1.0218104373898165,423
705000,1409.9999999804818,-31344.09357490731,296.0732375124383,1.0367311954585003,423
710000,1419.9999999802453,-31525.164766688773,284.8974621163393,1.0149888813377488,423
715000,1429.9999999800089,-31537.53995442044,301.767959417564,1.0384396163244929,423
720000,1439.9999999797724,-31529.516889799852,305.92670858626826,1.0444680514090017,423
725000,1449.999999979536,-31893.87489474035,306.4621531673638,1.05148332825445,423
730000,1459.9999999792994,-31410.94298486822,307.76078677529284,1.024075777693123,423
735000,1469.999999979063,-31499.168160850822,298.69955689144683,1.0382987335083689,423
740000,1479.9999999788265,-31336.9709475805,294.15755664234325,1.030423767360222,423
745000,1489.99999997859,-31321.20532420394,304.51872240642837,1.0313758490330827,423
750000,1499.9999999783536,-31442.74681465281,308.7539226201533,1.0322419759310324,422
755000,1509.999999978117,-31604.87765786567,303.9462396687521,1.0255299393356228,422
760000,1519.9999999778806,-31366.977885126544,303.871569672626,1.0316905213466054,422
765000,1529.9999999776442,-31498.81985614411,311.24725701503763,1.0375233940099502,422
770000,1539.9999999774077,-31175.837759354996,291.898688716444,1.0320432525823726,423
775000,1549.9999999771712,-31656.73516517121,293.8697353107762,1.0244736283381968,423
780000,1559.9999999769348,-31485.894896398473,296.99790830570834,1.0363189459812214,423
785000,1569.9999999766983,-31262.352812939673,295.71928755901337,1.0388099029078592,423
790000,1579.9999999764618,-31400.120728457667,309.27904477808596,1.0422153596161041,423
795000,1589.9999999762254,-31244.272571621754,294.10563810951487,1.0262312157687081,423
800000,1599.9999999759889,-31894.809562151873,298.77129677487557,1.0384223687079315,424
805000,1609.9999999757524,-31714.858442853496,304.17714403994813,1.0353216873638063,424
810000,1619.999999975516,-31473.806379219808,299.8896422721271,1.0426512559295653,424
815000,1629.9999999752795,-31308.318759219284,298.0117464500847,1.03281547658245,424
820000,1639.999999975043,-31134.76543948651,301.39070262000325,1.0288209710819598,424
825000,1649.9999999748065,-31122.746761204296,301.8933797316523,1.0154993144143436,424
830000,1659.99999997457,-31465.190582685667,301.80298671248954,1.0294416075093262,423
835000,1669.9999999743336,-31275.531611477607,303.8184254717411,1.0273952516862,423
840000,1679.9999999740971,-31589.739368206443,304.13049204954973,1.0389114062621605,423
845000,1689.9999999738607,-31226.920953084977,304.70596235311353,1.0210700297416133,423
850000,1699.9999999736242,-31572.390073124698,293.3579805950841,1.0388004993198166,424
855000,1709.9999999733877,-31545.93012096235,301.6628009285338,1.0445303408957627,424
860000,1719.9999999731513,-31306.51522059829,301.67321910701355,1.0447389071295243,424
865000,1729.9999999729148,-31609.860115562362,292.0989322351655,1.036029099724352,424
870000,1739.9999999726783,-31547.87612499183,303.77562284508247,1.0344299878411687,424
875000,1749.9999999724419,-31323.070790966798,305.9055658122946,1.0318556677978474,424
880000,1759.9999999722054,-31687.498630309943,303.44434775070175,1.0410507938206173,424
885000,1769.999999971969,-31525.36548185433,292.29701168372486,1.0449829301022227,424
890000,1779.9999999717324,-31682.65492132542,302.9339336094464,1.0378859410600243,424
895000,1789.999999971496,-31616.60661723488,304.9776967914398,1.042805337624235,424
900000,1799.9999999712595,-31391.359490069677,294.24207028504776,1.0446406189556068,424
905000,1809.999999971023,-31649.10944763274,295.08107837181035,1.0335933125307997,423
910000,1819.9999999707866,-31530.097834381188,301.9800765955823,1.03006629338314,423
