#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
505000,1009.9999999899404,-45454.98234658208,294.74777960749805,1.0432600916000887,0
510000,1019.999999989704,-45526.834264459816,295.5656895400308,1.0362226811867656,446
515000,1029.9999999894676,-45089.35853522472,292.92205058050007,1.052677898341588,439
520000,1039.9999999892311,-45654.43521372936,295.8560332871956,1.0430924510300752,438
525000,1049.9999999889947,-45453.377050306735,298.2560050147734,1.0363498182050996,435
530000,1059.9999999887582,-45682.77755927967,290.1059072613194,1.046442933927422,435
535000,1069.9999999885217,-45642.11622464194,302.59275303890007,1.0426930584391245,432
540000,1079.9999999882853,-45754.17646611959,295.704966549869,1.053533806120375,432
545000,1089.9999999880488,-45875.65085170683,304.9018608929217,1.055831516368337,433
550000,1099.9999999878123,-45446.663453896996,299.9901948155768,1.0452670701426374,434
555000,1109.9999999875758,-45343.53915839558,296.92282031489236,1.0414658017839298,434
560000,1119.9999999873394,-45353.68642115162,296.00540199503126,1.0409766052315848,433
565000,1129.999999987103,-45477.20126860979,309.39679580076324,1.0450483804941908,433
570000,1139.9999999868664,-45444.313875767926,293.1341884921323,1.035185140922579,432
575000,1149.99999998663,-45428.8488677945,296.09099811800746,1.0490344783595689,433
580000,1159.9999999863935,-45661.86442956643,292.8935314033678,1.0607866977790037,433
585000,1169.999999986157,-45530.87360517305,306.86165706654697,1.0355156674815507,432
590000,1179.9999999859206,-45702.67484495338,307.4033477699534,1.045214086430262,433
595000,1189.999999985684,-45496.945149107574,306.56180049507486,1.0469248702650045,433
600000,1199.9999999854476,-45327.966460285155,291.58018277526753,1.0383442521251325,433
605000,1209.9999999852112,-45366.23183547903,295.9180306594054,1.0523934136361728,432
610000,1219.9999999849747,-44943.96439392152,296.9820390933897,1.035946819544918,431
615000,1229.9999999847382,-45519.007567968365,300.5863768290114,1.0237655021703544,431
620000,1239.9999999845018,-45655.038202434866,291.69267722904374,1.0516495124256833,431
625000,1249.9999999842653,-45414.708823306864,293.89401809775836,1.0406881960498091,431
630000,1259.9999999840288,-45609.407050046546,308.12605227625437,1.0388344307513149,431
635000,1269.9999999837923,-45502.95960496631,293.9368354550361,1.026995230452165,431
640000,1279.9999999835559,-45267.681759059604,304.1960016110027,1.0406649084407131,431
645000,1289.9999999833194,-45581.151079664356,291.73574543158725,1.0434947326264965,431
650000,1299.999999983083,-45278.69020882493,303.78094917520053,1.0426573925152929,431
655000,1309.9999999828465,-45641.07724128399,298.88035888112626,1.0333741738417175,431
660000,1319.99999998261,-45602.45064837899,306.00969006524656,1.0391085958918662,431
665000,1329.9999999823735,-45462.90468299319,297.82750341357126,1.043357861192091,431
670000,1339.999999982137,-45579.13055609621,298.7492246945287,1.047665854708508,432
675000,1349.9999999819006,-45090.206051707326,304.3304932650027,1.0349254606137588,432
680000,1359.9999999816641,-45648.10054276377,311.7616105995622,1.0443021348409143,432
685000,1369.9999999814277,-45437.83965940593,299.32443218459207,1.044292152206844,432
690000,1379.9999999811912,-45226.87761448187,300.2642915078394,1.029167283859044,432
695000,1389.9999999809547,-45670.264125733665,301.05900790118886,1.0439702990868012,431
700000,1399.9999999807183,-45145.22202594098,306.65108211387803,1.0494443461069098,431
705000,1409.9999999804818,-45560.98751273312,305.7081740558628,1.0517397731838638,431
710000,1419.9999999802453,-45346.69136376382,310.20017600367447,1.048298414128709,431
715000,1429.9999999800089,-45257.93785151391,296.028981450008,1.0500446671872516,431
720000,1439.9999999797724,-45358.06687482749,296.1111236266333,1.0461028801676713,431
725000,1449.999999979536,-45243.38068092955,296.2765850230537,1.0380633137506607,432
730000,1459.9999999792994,-45572.24624644514,303.3789213974257,1.035291318779791,432
735000,1469.999999979063,-45381.61007915059,308.62203125393256,1.0391750153917676,432
740000,1479.9999999788265,-45745.26276522575,301.42066888697406,1.058416957800663,431
745000,1489.99999997859,-45482.679280235985,298.695003525556,1.0542012286484104,431
750000,1499.9999999783536,-45422.75905808486,303.59731114491103,1.036771902756995,432
755000,1509.999999978117,-45517.74616428581,303.41923030204634,1.031583252900894,431
760000,1519.9999999778806,-45672.72423313506,298.50773788680846,1.0466882758024285,432
765000,1529.9999999776442,-45185.95507073295,296.9752469754258,1.04101822403046,432
770000,1539.9999999774077,-45622.44730603986,297.15413824145656,1.0667246273526585,432
775000,1549.9999999771712,-45741.31890109804,305.0500911491668,1.038665624220471,432
780000,1559.9999999769348,-45595.441356861964,303.0264259117338,1.0399239119224248,432
785000,1569.9999999766983,-45385.54445703491,296.6115985233046,1.0446192742483764,432
790000,1579.9999999764618,-45656.11770117059,301.6422231439652,1.0416934814583778,432
795000,1589.9999999762254,-45091.70474301628,301.4196848017009,1.054424733450348,432
800000,1599.9999999759889,-45600.24880492716,296.06795894514147,1.0344022881173496,432
805000,1609.9999999757524,-45196.282782932074,295.75154658613246,1.0370292173716098,432
810000,1619.999999975516,-45989.39884682084,289.36147569584995,1.0624057600888157,432
815000,1629.9999999752795,-45276.86974087896,301.99068580961614,1.0404386801988033,431
820000,1639.999999975043,-45521.2193764901,297.8364566599782,1.0422506394842241,431
825000,1649.9999999748065,-45634.12935591428,307.52714955647633,1.0424613748785279,431
830000,1659.99999997457,-44956.70666592504,294.32348448844397,1.0269415457981848,432
835000,1669.9999999743336,-45335.36006727317,301.09592074682763,1.0340703153059527,432
840000,1679.9999999740971,-45096.968161872646,303.380831680603,1.0435730143679287,432
845000,1689.9999999738607,-45200.56945985902,308.32900539200364,1.0350789124216195,432
850000,1699.9999999736242,-45482.16468269221,304.32393269651493,1.0310938025347507,432
855000,1709.9999999733877,-45698.258663748595,302.2358967047427,1.039368966257525,432
860000,1719.9999999731513,-45218.30760234999,293.74080952777837,1.0300105919165592,431
865000,1729.9999999729148,-45432.34349099515,302.1312749331519,1.031451418575446,431
870000,1739.9999999726783,-45523.123329894996,308.09413704014014,1.0385064165434805,432
875000,1749.9999999724419,-45169.48357109181,300.12777379592404,1.0315717388284686,432
880000,1759.9999999722054,-45272.988630070875,303.05318917200606,1.0450449999489568,432
885000,1769.999999971969,-45004.738631495304,305.0130239372107,1.044315210879282,432
890000,1779.9999999717324,-45521.83365559863,299.79627212939306,1.041415410572606,431
895000,1789.999999971496,-45087.16034304607,297.41999563153007,1.0367396177066415,431
900000,1799.9999999712595,-45185.99645286481,293.7192368349273,1.0432172864142113,431
905000,1809.999999971023,-45622.44942153455,301.9898367948706,1.0388388207154784,431
910000,1819.9999999707866,-45280.12936996453,302.2351248731559,1.0334838036104974,431
915000,1829.99999997055,-45518.09012915098,304.123121413419,1.0484264948594404,431
920000,1839.9999999703136,-45273.36641537247,300.3220245105321,1.0204529769097972,431
