#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-37327.46765015228,298.57957821005516,1.004222952092756,0
10000,19.999999999999794,-37390.54198354797,292.3658234547733,1.010351474375484,452
15000,29.99999999999425,-37742.20601041091,311.9675790727719,1.004020160188364,451
20000,40.00000000000292,-37674.07005178623,302.02011142146785,1.0078200124264658,451
25000,50.00000000001514,-37336.615654587134,306.50416657017934,0.9889040414630539,452
30000,60.00000000002736,-37745.02904998232,295.66991612748467,1.0073157278473792,452
35000,70.00000000001826,-37510.770457489794,298.8261679502901,1.0116039666787673,454
40000,79.99999999999496,-37474.27170741689,297.0893053163255,1.0042078319645011,454
45000,89.99999999997165,-37494.51612672812,296.76735245688786,1.003392115092356,453
50000,99.99999999994834,-37633.228876609064,301.8298573783719,1.0014648403130475,454
55000,109.99999999992504,-37559.53896216379,293.61513614247355,1.0001144892639198,454
60000,119.99999999990173,-37283.40565226384,307.12168006417727,0.9989468445104425,454
65000,129.99999999989262,-37447.39195514278,302.73126888768,0.993821803963984,454
70000,139.99999999994037,-37341.7249803429,287.49072754296947,1.0199229592486618,455
75000,149.99999999998812,-37871.66154532827,302.5669429859966,1.0231504539076122,455
80000,160.00000000003587,-37570.35531765636,304.9663957426871,1.0084338034459717,455
85000,170.00000000008362,-37190.512040816626,306.544440943922,0.9961522648547511,455
90000,180.00000000013137,-37508.480477453326,294.36703206589334,1.0063717060296062,454
95000,190.0000000001791,-37659.44854514749,300.33742548765315,1.004239980655056,454
100000,200.00000000022686,-37540.44114444801,306.68415024442,0.9959062601260602,454
105000,210.0000000002746,-37303.48747486659,303.2240246397688,0.9856564842439336,454
110000,220.00000000032236,-37563.5820361166,289.3620936716075,1.000556017572983,455
115000,230.0000000003701,-37657.01790221187,306.5265232866657,1.0213218359205365,455
120000,240.00000000041786,-37621.88671650842,303.4599808153933,1.0062014310973608,455
125000,250.0000000004656,-37329.154721819155,311.0709092858233,1.0076096106139323,455
130000,260.00000000051335,-37460.730841069046,300.82301821234773,1.0072128976333894,455
135000,270.0000000005611,-37496.06508236661,301.6228156203693,1.01480612633152,455
140000,280.00000000060885,-37447.69032006641,307.6296698604422,0.9975798154135942,455
145000,290.0000000006566,-37775.67438445374,303.62319695226915,0.9930988911396856,455
150000,300.00000000070435,-37409.95202280785,307.68116294751195,1.010217590863406,455
155000,310.0000000007521,-37410.40266750354,299.66071108555855,1.0080268504811662,455
160000,320.00000000079984,-37449.45889061128,304.21324881166606,1.0097828072911428,454
165000,330.0000000008476,-37326.572329696355,297.4148094231474,1.0173087012461053,454
170000,340.00000000089534,-37424.02718476017,306.1955914210579,1.011865665877423,454
175000,350.0000000009431,-37274.429937609326,300.52148502536875,1.0082480553606175,454
180000,360.00000000099084,-37392.68951668017,297.40558828647386,1.0016541976814561,454
185000,370.0000000010386,-37815.200986299984,305.66415532104094,1.0048508454623286,453
190000,380.00000000108633,-37548.515134239395,297.42641150977164,1.0027984057786021,453
195000,390.0000000011341,-36931.2155605836,295.7509491359769,1.01305091817991,453
200000,400.00000000118183,-37402.928128194995,299.1165227790259,1.0004035110331826,453
205000,410.0000000012296,-37872.9635738128,304.17004869433987,1.0052704099661298,453
210000,420.00000000127733,-37398.323254590854,301.80336426578475,1.0126286147033412,454
215000,430.0000000013251,-37947.26280490449,307.12113527054447,1.0157007488546694,454
220000,440.0000000013728,-37367.977429797116,302.6894610207488,1.007462796125601,454
225000,450.0000000014206,-37464.14331708418,304.1778170479926,1.0108162011011703,454
230000,460.0000000014683,-37695.38747894514,293.17484199946836,0.9953680399074324,453
235000,470.00000000151607,-37323.83281747982,296.64830495935195,1.008225930872055,453
240000,480.0000000015638,-37423.273977352335,296.4276635380715,1.0054123416071352,453
245000,490.00000000161157,-37652.60770469159,298.4830690268833,1.0048401103160716,453
250000,500.0000000016593,-37450.33084189615,305.86655624439396,1.0120061949627355,453
255000,510.00000000170706,-37320.68830394428,293.896148769284,1.006068095818258,453
260000,520.0000000015274,-37271.245094743615,302.5729357159573,1.0014735995193906,453
265000,530.0000000012909,-37165.86910365141,301.9604867849901,1.0060438846037656,453
270000,540.0000000010544,-37349.08082870941,301.3420047689783,1.0095119766032499,453
275000,550.000000000818,-37539.57961874595,304.25336176507307,1.0066886770978525,453
280000,560.0000000005815,-37542.38091230637,307.488709552343,1.0157271674428203,453
285000,570.000000000345,-37384.260755617375,308.83223118343216,1.0096577521705958,453
290000,580.0000000001086,-37691.365799392195,304.10917305026095,1.0049027227786367,452
295000,589.9999999998721,-37371.224808657455,302.94775373531775,0.9959458279332427,452
300000,599.9999999996356,-37528.079806631606,294.9922735584601,1.0017307281755348,452
305000,609.9999999993992,-37588.6384266738,302.02600326371874,0.9988695252189179,452
