#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
505000,1009.9999999899404,-31322.05991174886,305.44197843543253,1.0423347702857815,0
510000,1019.999999989704,-31295.031227461615,291.24879237475545,1.0426767874765352,438
515000,1029.9999999894676,-31527.14177768267,297.74637269931475,1.0382969562923723,442
520000,1039.9999999892311,-31626.193866966234,303.30269718217795,1.038139277551467,442
525000,1049.9999999889947,-31749.450253186485,307.51888918175644,1.0460444490590504,444
530000,1059.9999999887582,-31199.83218404607,300.6967418873214,1.0237740766773207,445
535000,1069.9999999885217,-31369.526061233017,298.8386512228019,1.0467786096280756,445
540000,1079.9999999882853,-31212.962310565956,312.50190117393987,1.0377818328388932,446
545000,1089.9999999880488,-31474.574596686696,296.92185320418264,1.0473747907035333,446
550000,1099.9999999878123,-31663.612539802154,308.4852250221997,1.039695982168655,446
555000,1109.9999999875758,-31214.666182438843,303.5157996444844,1.0418408084978932,446
560000,1119.9999999873394,-31403.9581396243,304.42379638428713,1.0282358346908231,446
565000,1129.999999987103,-31718.081359339936,304.65449748559075,1.0371384380852673,445
570000,1139.9999999868664,-31228.936063928093,308.2597569963688,1.0405785463748265,445
575000,1149.99999998663,-31116.233669419045,306.1637552154499,1.027890023076711,446
580000,1159.9999999863935,-31167.821104065602,306.67727497341343,1.0251402072432323,446
585000,1169.999999986157,-31511.88986291713,296.058027497722,1.0354655875190997,445
590000,1179.9999999859206,-31681.08283699272,305.7408064266868,1.0427240404381608,446
595000,1189.999999985684,-31493.27200727351,308.69679632538634,1.0459454248948796,446
600000,1199.9999999854476,-31674.61120321328,307.3346849251161,1.0483947764739168,446
605000,1209.9999999852112,-31927.720949391456,302.88781120599504,1.0469157357874752,446
610000,1219.9999999849747,-31419.563508167397,301.7788449862782,1.0321867111958924,445
615000,1229.9999999847382,-31434.987141822057,306.4303513381443,1.0291061997871582,445
620000,1239.9999999845018,-31351.004632734286,301.7455277391018,1.023208389597978,446
625000,1249.9999999842653,-31491.04821277724,307.8427584082358,1.0465587508297423,446
630000,1259.9999999840288,-31073.59681598749,305.59296235370147,1.0397076235805085,446
635000,1269.9999999837923,-31362.53013505781,309.8558256337924,1.0342060866725964,446
640000,1279.9999999835559,-31389.672848798742,294.2878912646665,1.031600150124829,446
645000,1289.9999999833194,-31402.07495038418,296.9777695846969,1.043261437130588,445
650000,1299.999999983083,-31393.002171320986,293.90653573503107,1.035314624109663,445
655000,1309.9999999828465,-31306.41948334154,307.93641107743673,1.0434093003381804,445
660000,1319.99999998261,-31454.976574932778,295.6498282290876,1.0389931351536805,446
665000,1329.9999999823735,-31781.27344168164,302.09011606810094,1.0391934042148325,446
670000,1339.999999982137,-31693.437648764404,301.120621000613,1.0371207782494667,446
675000,1349.9999999819006,-31314.503202764376,302.7382227745188,1.0363526297105714,446
680000,1359.9999999816641,-31328.5487699472,295.89149940712286,1.034981229411259,446
685000,1369.9999999814277,-31304.30559101462,297.8034713672506,1.0337957441449324,446
690000,1379.9999999811912,-31516.756976584118,302.8770155651124,1.0335500943510025,446
695000,1389.9999999809547,-31160.99592011489,293.48839362299844,1.022140836243069,446
700000,1399.9999999807183,-31361.665916145488,294.3336709841724,1.0327085723847669,446
705000,1409.9999999804818,-31478.448551722046,300.5342452030124,1.0477968606560775,446
710000,1419.9999999802453,-31613.128993124003,294.58706812761886,1.044215545059024,446
715000,1429.9999999800089,-31305.7266929443,305.756544416627,1.0441523093308736,446
720000,1439.9999999797724,-31272.60956356066,312.9999349048563,1.0400900445565642,446
725000,1449.999999979536,-31794.922873876378,297.91359853331016,1.049581741109948,446
730000,1459.9999999792994,-31376.698684730334,303.8022814539752,1.024776649563808,446
735000,1469.999999979063,-31310.988643361925,306.3133824104481,1.0408290781624807,446
740000,1479.9999999788265,-31831.543151509366,307.0926454936216,1.0331647843363423,446
