#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45349.93642716561,303.5420924567656,1.036981736412099,0
10000,19.999999999999794,-45318.55544138054,289.9976213623683,1.05453235822664,468
15000,29.99999999999425,-45610.820968668326,299.9826507393419,1.050185770082088,477
20000,40.00000000000292,-45481.24853982436,290.05332094689595,1.0422696859381593,474
25000,50.00000000001514,-45231.411149331805,291.7079813955366,1.0263452470667083,475
30000,60.00000000002736,-45375.16950174904,298.7106222191957,1.040649221277033,474
35000,70.00000000001826,-44921.19138698798,303.1987158455574,1.0322865573778524,473
40000,79.99999999999496,-45520.18961662837,295.3612648042841,1.0371124370511502,472
45000,89.99999999997165,-45055.28550666469,299.06524811535763,1.0380180502096776,471
50000,99.99999999994834,-45338.031828210806,293.77320168497,1.0354105601727623,470
55000,109.99999999992504,-45087.37431258516,288.9797563741447,1.037747525574931,470
60000,119.99999999990173,-45275.31852753289,303.635856028055,1.0525738982322117,471
65000,129.99999999989262,-45290.21723764282,296.81658245514285,1.0409673843369953,470
70000,139.99999999994037,-45525.173992658354,308.12143028330723,1.029701017954766,470
75000,149.99999999998812,-45386.15178110797,306.797041810104,1.0375148839712336,470
80000,160.00000000003587,-45619.43992081657,297.53815768289326,1.0533273743081875,470
85000,170.00000000008362,-45163.654791119334,303.32786779243037,1.0366750655365802,469
90000,180.00000000013137,-45212.725906978274,296.1328954440767,1.0335218608840493,469
95000,190.0000000001791,-44953.153008808295,304.4563507493653,1.0446361627386866,469
100000,200.00000000022686,-45108.33569385912,295.4649300899338,1.0326151705830853,470
105000,210.0000000002746,-45108.512925058574,302.774856068908,1.0437323077819387,470
110000,220.00000000032236,-45399.679215387325,304.569976339401,1.0328353509425459,469
115000,230.0000000003701,-45595.4079428323,297.77269355617267,1.0430269903785212,469
120000,240.00000000041786,-45259.23428534425,305.5189785173004,1.0329937389842059,469
125000,250.0000000004656,-45326.64305036698,296.3934843488288,1.0400901607491553,469
130000,260.00000000051335,-45284.13646666103,293.59469740636445,1.0514160270750708,469
135000,270.0000000005611,-45570.51379266041,294.0517972576514,1.0375869180373378,469
140000,280.00000000060885,-45382.88744905646,297.5892872454085,1.0503423667562481,469
145000,290.0000000006566,-45191.43956610767,296.7452002737092,1.0279600027073539,469
150000,300.00000000070435,-45405.365863629675,309.68594021224953,1.0479403891117585,469
155000,310.0000000007521,-44847.81982043659,299.2254723059134,1.0458324250443087,469
160000,320.00000000079984,-45091.91897769814,304.08199954451726,1.0476234088447678,469
165000,330.0000000008476,-45083.50463937281,294.0957593070104,1.0553320444072007,469
170000,340.00000000089534,-45265.88545624548,301.45829912915343,1.0464791872096222,470
175000,350.0000000009431,-44960.410946202755,307.11594732053624,1.0457577802330824,470
180000,360.00000000099084,-45246.861408406316,310.30439699459106,1.0535447235729887,470
185000,370.0000000010386,-45682.51751732486,299.3739784913091,1.0484951608267343,471
190000,380.00000000108633,-45203.75057644618,297.5750693991476,1.0568576219506796,471
195000,390.0000000011341,-45110.4308466822,302.08968477718827,1.039059745723791,471
200000,400.00000000118183,-45130.67579183055,300.0352841125194,1.0548046445559587,472
205000,410.0000000012296,-45218.213803282444,301.76800600553486,1.0296716263478245,472
210000,420.00000000127733,-45274.71923826623,294.6181870370649,1.0411693875604549,472
215000,430.0000000013251,-45383.20663367133,303.2066840890663,1.0441267894694606,472
220000,440.0000000013728,-45402.2520593167,294.5351649705056,1.0516945471149266,472
225000,450.0000000014206,-45450.16534523229,306.17620236671326,1.0463479963996813,472
230000,460.0000000014683,-45562.320099871635,298.9626960401981,1.046485257648674,472
235000,470.00000000151607,-45474.57286411279,304.8330455552453,1.0618674143859892,472
240000,480.0000000015638,-45548.73926970482,302.8853177975505,1.0521038576892532,472
245000,490.00000000161157,-45384.94460172142,297.7031081355303,1.0681622367215515,472
250000,500.0000000016593,-45443.75829286809,292.34702280694273,1.0440687909274557,472
255000,510.00000000170706,-45507.2781414006,293.64617850903454,1.0534569538594318,472
260000,520.0000000015274,-45308.23309956724,297.7970084168799,1.0391156923326874,472
265000,530.0000000012909,-45390.66944579469,305.5048973810997,1.0439257410710532,471
270000,540.0000000010544,-45525.4880779667,291.0201930826645,1.062861495815454,471
275000,550.000000000818,-45068.29677517855,303.684407629435,1.0320860466185011,471
280000,560.0000000005815,-44981.03782931907,299.9815961188775,1.0282057999903105,472
285000,570.000000000345,-45427.454842774256,297.8957912003795,1.0417350144299773,472
290000,580.0000000001086,-45438.71770827635,304.2847991538214,1.0428067290168401,471
295000,589.9999999998721,-45277.58154934234,287.530981276167,1.0627981792859245,471
300000,599.9999999996356,-45391.41797099021,297.8306000316722,1.0484696725762996,471
305000,609.9999999993992,-45458.93893737803,296.8276559700191,1.0477126886436776,471
310000,619.9999999991627,-45272.936949429364,287.7823715468684,1.0551858879672162,471
315000,629.9999999989262,-45363.46340976108,298.6144173968313,1.044416355863463,471
320000,639.9999999986898,-45603.31124327058,298.69761523346807,1.0418184486871063,472
325000,649.9999999984533,-45269.949703727005,310.16290208228287,1.0308882457444186,472
330000,659.9999999982168,-45042.50682133593,297.43734377849916,1.0389759449241172,473
335000,669.9999999979804,-45764.379756415816,298.9040474243718,1.047155271028734,473
340000,679.9999999977439,-45213.44618042113,293.81036729133615,1.034039929145821,473
345000,689.9999999975074,-45228.696570870554,311.2834363257175,1.0464934880861971,473
350000,699.999999997271,-44922.763090722845,298.74741675539843,1.0373867680237114,473
355000,709.9999999970345,-45276.40004284805,308.3699301127358,1.042383767407279,473
360000,719.999999996798,-45660.6869146963,295.82807106984535,1.0622251562277245,473
365000,729.9999999965615,-45289.39708491511,305.7579086425149,1.0475466597503802,473
370000,739.9999999963251,-45307.8975542484,294.40046650119024,1.0390555176303249,473
