#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
505000,1009.9999999899404,-45576.1642046714,301.04238806600426,1.054625283750358,0
510000,1019.999999989704,-45323.54881505889,307.21740571521406,1.0345472259043806,466
515000,1029.9999999894676,-45582.74382094771,296.7059840164401,1.057859278486797,465
520000,1039.9999999892311,-45378.36825504564,293.13902324570535,1.042435223598497,464
525000,1049.9999999889947,-45314.206765767565,308.306516174811,1.0571784785460658,465
530000,1059.9999999887582,-45567.463371675025,313.75056466213374,1.0497827034891285,466
535000,1069.9999999885217,-45192.06974607095,293.0823081007304,1.0397192839833012,465
540000,1079.9999999882853,-45361.778997305344,296.0834064022839,1.03725794573255,467
545000,1089.9999999880488,-45400.547783804155,304.44474992425677,1.0427068475209402,468
550000,1099.9999999878123,-45442.88428199725,301.3123513748844,1.0572572057746354,467
555000,1109.9999999875758,-45194.56914924146,304.0321589625696,1.049007480859384,467
560000,1119.9999999873394,-45541.86336829155,299.0382771734808,1.044389743194642,467
565000,1129.999999987103,-45646.7645369019,303.8295155933343,1.0465384139265284,467
570000,1139.9999999868664,-45382.665694323136,293.1052168008185,1.0391054066203942,467
575000,1149.99999998663,-45348.20486704647,300.4084049268256,1.0475348209516093,466
580000,1159.9999999863935,-45280.47036072679,298.23291820883566,1.0402316848685955,466
585000,1169.999999986157,-45738.10432870273,309.6219989640926,1.047068906457503,467
590000,1179.9999999859206,-45112.41593240091,305.07299124090696,1.0390858634806692,467
595000,1189.999999985684,-45394.39511094708,301.962895961356,1.0465340254372861,467
600000,1199.9999999854476,-45492.285926249315,310.6341611898049,1.0274386463684504,467
605000,1209.9999999852112,-45189.46487358524,296.8322455220402,1.0481992384233503,466
610000,1219.9999999849747,-45593.400814021676,301.9731296858625,1.0351347289209236,466
615000,1229.9999999847382,-45333.70538743021,310.2581108742087,1.0527153463721208,466
620000,1239.9999999845018,-45581.732718574436,306.8773687354766,1.0390527374933234,466
625000,1249.9999999842653,-45092.510345758434,300.1525618141634,1.0290820597459827,467
630000,1259.9999999840288,-45574.60764955662,300.23216612921766,1.0405556030041005,467
635000,1269.9999999837923,-45686.76348393323,299.90478459505306,1.0553079578689588,466
640000,1279.9999999835559,-45383.99747009459,309.4923197069875,1.0427511867813566,466
645000,1289.9999999833194,-45713.39081925622,305.1061336655015,1.0555619081078074,466
650000,1299.999999983083,-45512.595985463646,295.78354265023694,1.0549117472873673,466
655000,1309.9999999828465,-44909.03938033566,305.2939928182265,1.0374558714096072,466
660000,1319.99999998261,-45213.35572336905,296.5524781488428,1.0360646560204214,466
665000,1329.9999999823735,-45424.09299585354,301.17935201631724,1.0502559095951327,466
670000,1339.999999982137,-45488.782773845334,302.3698818105749,1.046041605892021,466
675000,1349.9999999819006,-45434.25481958923,292.75510233664323,1.046239430919722,466
680000,1359.9999999816641,-45284.02799427821,295.4405175791836,1.0361514659864555,466
685000,1369.9999999814277,-45594.646471652086,296.01794181345616,1.0449603864431778,466
690000,1379.9999999811912,-45354.06343094513,300.54566182726757,1.0300847224413356,466
695000,1389.9999999809547,-45791.46121267346,302.5497141297652,1.045509764160936,466
700000,1399.9999999807183,-45581.14705040798,294.9563491359768,1.0420606352565214,466
705000,1409.9999999804818,-45328.50051166737,300.6692867817066,1.0420986717350111,466
710000,1419.9999999802453,-45834.38767209853,294.15595079351607,1.0609432426301877,466
715000,1429.9999999800089,-45248.923901988834,291.3930014168331,1.0506040025073689,466
720000,1439.9999999797724,-45269.87564374361,301.6959012137831,1.0429272741112319,466
725000,1449.999999979536,-45065.89908903875,299.5460573970852,1.0377020167497668,466
730000,1459.9999999792994,-45154.52958143409,300.48822407197446,1.0524780360491088,466
735000,1469.999999979063,-45575.66448007777,290.86592554473174,1.0507149479859963,466
740000,1479.9999999788265,-45411.30228122696,303.8995892641917,1.0619376910498635,466
745000,1489.99999997859,-44952.0062132006,296.1952938215543,1.022624435497362,466
750000,1499.9999999783536,-45419.18410505305,299.32597373016984,1.0421334639148894,466
755000,1509.999999978117,-45280.885888859426,302.15544231614507,1.0469389133879194,466
760000,1519.9999999778806,-45661.46910639276,287.9628874163597,1.0498258252896484,466
765000,1529.9999999776442,-45194.639044982556,290.80436695762404,1.03859618030474,466
770000,1539.9999999774077,-45597.25679000528,301.572276259344,1.0650596794481926,466
775000,1549.9999999771712,-45328.001176941354,301.3878739181412,1.0403616196888836,466
780000,1559.9999999769348,-45228.17773957705,294.91441820751226,1.0416812012450851,466
785000,1569.9999999766983,-45577.15523096005,290.16878235774016,1.0430297776254018,466
790000,1579.9999999764618,-45543.840556815645,304.2311697502053,1.0427754215496003,466
795000,1589.9999999762254,-45660.78088712544,297.533822020984,1.0600038602947068,466
800000,1599.9999999759889,-45143.77761227242,297.9381713190419,1.045829885284362,466
805000,1609.9999999757524,-45680.44161110598,308.9823911824371,1.0432901986600527,466
810000,1619.999999975516,-45605.98483186864,300.9756735566261,1.055051909475682,466
815000,1629.9999999752795,-45326.485574477876,291.0699750745863,1.0400545917756965,466
820000,1639.999999975043,-45285.26721429682,299.3570850338699,1.0404908164351787,466
825000,1649.9999999748065,-45214.11891030401,300.79150557552646,1.0332432619761125,466
830000,1659.99999997457,-45255.63598155475,294.7265004647614,1.0370859808903639,466
835000,1669.9999999743336,-45433.01385525483,301.3235420698123,1.0392750059336824,466
840000,1679.9999999740971,-45327.79920415694,304.49976595848347,1.0441592385847696,466
845000,1689.9999999738607,-45627.99541838278,304.3284096630255,1.0566080813579548,466
850000,1699.9999999736242,-45152.19214703131,301.4862270414517,1.0460610146263942,466
855000,1709.9999999733877,-45389.087189589685,311.70450331113716,1.0526330980610938,466
860000,1719.9999999731513,-45640.660789795016,298.40404014419033,1.0491903879852031,466
865000,1729.9999999729148,-45174.68759871402,298.0971846490645,1.0410603899844564,466
870000,1739.9999999726783,-45130.25298925419,294.73778880973236,1.0352303713018491,466
875000,1749.9999999724419,-44954.90324532293,285.19292676658927,1.0533207050281583,466
880000,1759.9999999722054,-45203.47483725549,307.34149938985956,1.0315951719850116,466
885000,1769.999999971969,-45229.7472910693,296.18519680710796,1.0387756873590224,466
890000,1779.9999999717324,-45186.25082506705,292.4598086066087,1.0451787470336578,466
895000,1789.999999971496,-45314.578787303995,299.07255233857404,1.0254345461892937,466
900000,1799.9999999712595,-45557.437584728614,304.7388718537753,1.0551075256702556,466
905000,1809.999999971023,-45708.143083421426,294.3515438296468,1.0515968069722903,466
910000,1819.9999999707866,-45603.8679212993,294.25797555844343,1.0514957733416415,466
915000,1829.99999997055,-45446.44797492999,287.0847596396704,1.0318274531922562,466
920000,1839.9999999703136,-45586.58386563251,299.5322496810048,1.0634212414664233,466
925000,1849.9999999700772,-45512.52980379196,300.5058596697404,1.0365105181843977,466
930000,1859.9999999698407,-45163.59435084247,299.83933953623387,1.0517761941394257,466
935000,1869.9999999696042,-45282.42314683643,298.85053520080737,1.0433871924349436,466
