#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-44528.86681589263,298.713404099294,1.0350258686781986,0
10000,19.999999999999794,-44282.20070472223,300.23960995073503,1.02774901314152,442
15000,29.99999999999425,-44508.508721508,302.3673020418332,1.0399960171007137,438
20000,40.00000000000292,-44309.874270032655,300.3468029833607,1.030828898394018,438
25000,50.00000000001514,-44513.852238732885,299.148753939313,1.0420453650041257,440
30000,60.00000000002736,-44540.44087755072,307.28439592386854,1.0382314802986163,439
35000,70.00000000001826,-44454.79988328056,293.71467966053746,1.039259074518526,437
40000,79.99999999999496,-44212.729557591054,297.73007591409583,1.0441820517303793,438
45000,89.99999999997165,-44271.35348948679,298.7661439378704,1.0307970998323701,438
50000,99.99999999994834,-44087.889685608185,303.13795751725274,1.0225569570641144,438
55000,109.99999999992504,-43925.54077867791,299.8494572464639,1.0282485706842315,438
60000,119.99999999990173,-44554.11773684574,301.7346209163265,1.0259505556938213,437
65000,129.99999999989262,-44347.00613342621,301.0002610056927,1.026257379976347,438
70000,139.99999999994037,-43896.3000801864,295.80188142000264,1.0199152119968007,436
75000,149.99999999998812,-44175.18241389023,292.24265129077077,1.0211381421565977,436
80000,160.00000000003587,-44427.27059441354,311.66329925003487,1.0340893345816098,435
85000,170.00000000008362,-44790.238457942876,292.7482487051745,1.0465406688061394,436
90000,180.00000000013137,-44310.8946348289,297.3140062465811,1.023582454701493,435
95000,190.0000000001791,-44476.253378972644,297.2807829054016,1.03561662757441,435
100000,200.00000000022686,-44560.76328944822,305.6216139781304,1.04333438669331,436
105000,210.0000000002746,-44239.42395308454,299.0956596133974,1.0297430765836184,436
110000,220.00000000032236,-44469.76954828805,305.90658241136464,1.0507566977522484,436
115000,230.0000000003701,-44206.91363456909,300.0455675200054,1.0325194344768212,435
120000,240.00000000041786,-44070.18756771184,300.83741346081274,1.024104372584816,435
125000,250.0000000004656,-44181.3354564319,300.1049244555803,1.0269860022414226,436
130000,260.00000000051335,-44436.44237310818,303.46006834613866,1.0424891804576533,437
135000,270.0000000005611,-44321.91386969644,305.8283194843658,1.030859821463242,437
140000,280.00000000060885,-44303.536227674136,299.4806525575091,1.0280986637698637,437
145000,290.0000000006566,-44284.69489495596,293.8334132254282,1.028956236554344,436
150000,300.00000000070435,-44406.069552231405,300.3336278705871,1.0189054662390025,437
155000,310.0000000007521,-44039.245974181016,293.4044244637737,1.0241370603088982,436
160000,320.00000000079984,-44339.33345458281,293.07878845523686,1.0326833751695128,436
165000,330.0000000008476,-44205.72751377965,294.39446821467556,1.0324105736074296,436
